作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0515	0001		神奈川県	横須賀市	緒明公園 ベンチ	238-0017	神奈川県横須賀市上町1		35.274884	139.668454	"https://www.google.co.jp/maps/@35.274945,139.668405,3a,75y,90t/data=!3m5!1e2!3m3!1s60672744!2e1!3e10"	16.0					たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0002		神奈川県	横須賀市	緒明公園 階段	238-0017	神奈川県横須賀市上町1		35.275447	139.667996	"https://www.google.co.jp/maps/@35.275438,139.66802,3a,75y,90t/data=!3m5!1e2!3m3!1s60673759!2e1!3e10?hl=ja"						たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0003		神奈川県	横須賀市	緒明公園 遊具	238-0017	神奈川県横須賀市上町1		35.275543	139.66787	"https://www.google.co.jp/maps/@35.275503,139.667875,3a,75y,90t/data=!3m5!1e2!3m3!1s60300914!2e1!3e10?hl=ja"						たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0004		神奈川県	横須賀市	緒明公園 滑り台	238-0017	神奈川県横須賀市上町1		35.275101	139.668168	"https://www.google.co.jp/maps/@35.275098,139.668288,3a,75y,90t/data=!3m5!1e2!3m3!1s60307566!2e1!3e10?hl=ja"						たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0005		神奈川県	横須賀市	緒明公園 本のモニュメント	238-0017	神奈川県横須賀市上町1		35.274694	139.668268	"https://www.google.co.jp/maps/@35.27469,139.668279,3a,75y,90t/data=!3m5!1e2!3m3!1s60309211!2e1!3e10?hl=ja"						たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0006		神奈川県	横須賀市	緒明公園脇の道	238-0017	神奈川県横須賀市上町1		35.275111	139.668503	"https://www.google.co.jp/maps/@35.2750267,139.668545,3a,75y,334.58h,90.61t/data=!3m4!1e1!3m2!1sZWN9rIESpI6kXpt3ncxigA!2e0?hl=ja"						たまゆら ～hitotose～	タマユラヒトトセ	第1話。「中学三年の初夏…」というテロップが出ていたカットの坂道。				ヨコスカシ	タ	14	10	2	
0515	0007		神奈川県	横須賀市	汐入公園	238-0042	神奈川県横須賀市汐入町		35.278696	139.661394	"https://www.google.co.jp/maps/@35.278707,139.661339,3a,75y,55.5h,83.78t/data=!3m5!1e2!3m3!1s60517798!2e1!3e10?hl=ja"	16.0					たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0008		神奈川県	横須賀市	コスモホーム	238-0042	神奈川県横須賀市汐入町2-38		35.278806	139.661546	"https://www.google.co.jp/maps/@35.2787598,139.6614596,3a,75y,48.06h,99.56t/data=!3m4!1e1!3m2!1s__-BdcECzhM1mthD4ZCeLQ!2e0?hl=ja"					046-821-0601	たまゆら ～hitotose～	タマユラヒトトセ	第1話。ビル前面に「設計」という大きな文字看板が設置されているビル。	http://cosmo-home.jp/			ヨコスカシ	タ	14	10	2	
0515	0009		神奈川県	横須賀市	京急 汐入駅	238-0042	神奈川県横須賀市汐入町2-41		35.280222	139.661972	"https://www.google.co.jp/maps/@35.280147,139.6618072,3a,75y,56.35h,99.71t/data=!3m4!1e1!3m2!1sFQCINvUoPgsplVMZhsB2kw!2e0?hl=ja"	13.0					たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
0515	0010		神奈川県	横須賀市	汐入駅前ロータリー	238-0042	神奈川県横須賀市汐入町2-41		35.280707	139.661784	-						たまゆら ～hitotose～	タマユラヒトトセ	第1話。				ヨコスカシ	タ	14	10	2	
