作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0530	0001	完了	東京都	調布市	京王電鉄 つつじヶ丘駅	182-0006	東京都調布市西つつじヶ丘3-35-1		35.65809	139.575312	-						ちはやふる2	チハヤフルツー	第1話で、部活を切り上げて白波かるた会に向かう真島太一を追って来た花野菫が、偶然を装って電車待ちをしている太一に声をかけ、同じ電車に乗っていた駅。<br />第20話では、吉野会大会会場に向かう綾瀬千早が改札を通っていました。				チョウフシ	チ	13	36	2		
0530	0002	完了	東京都	府中市	片町文化センター 	183-0021	東京都府中市片町2-17		35.670291	139.469372	"https://www.google.co.jp/maps/@35.6703597,139.4691747,3a,55.2y,118.22h,89.5t/data=!3m6!1e1!3m4!1sduFqSxxYtd6PXaMBIXqQWg!2e0!7i16384!8i8192?hl=ja"	16.0				042-368-7001	ちはやふる2	チハヤフルツー	第2話で、部活を切り上げて真島太一がやって来た白波かるた会の練習場で、そうとは知らない花野菫が太一を尾行して来ていました。				フチュウシ	チ	13	44	2		
0530	0003	完了	東京都	府中市	分倍河原商店街	183-0021	東京都府中市片町2-20		35.669894	139.469238	"https://www.google.co.jp/maps/@35.6698422,139.4692103,3a,30y,8.18h,88.69t/data=!3m6!1e1!3m4!1sIqDgdquHROmD1BYinopkkA!2e0!7i13312!8i6656"						ちはやふる2	チハヤフルツー	第2話で、部活を切り上げて白波かるた会に向かう真島太一を、花野菫が尾行していた商店街で、サンノーブルから北側を望む構図で、商店街ゲート越しに片町文化センターが描かれていました。				フチュウシ	チ	13	44	2		
0530	0004	完了	東京都	府中市	京王 分倍河原駅	183-0021	東京都府中市片町2-21-18		35.668556	139.468722	"https://www.google.co.jp/maps/@35.6686565,139.4688578,3a,15y,215.95h,103.35t/data=!3m6!1e1!3m4!1sE2mQ7on2W9WYKruUwYNvyw!2e0!7i13312!8i6656"	13.0					ちはやふる2	チハヤフルツー	第1話ラスト～第2話冒頭で、部活を切り上げて白波かるた会に向かう真島太一が下車した駅で、偶然を装って一緒に電車に乗ってきた花野菫も、太一を追って下車していました。				フチュウシ	チ	13	44	2		
0530	0005	完了	東京都	府中市	府中5号踏切	183-0045	東京都府中市美好町3-1		35.670252	139.469044	"https://www.google.co.jp/maps/@35.6701895,139.4691389,3a,26.3y,299.57h,93.2t/data=!3m6!1e1!3m4!1sOSPR1zngw8aZ8ae18xiPsA!2e0!7i13312!8i6656?hl=ja"						ちはやふる2	チハヤフルツー	オープニングで綾瀬千早、綿谷新、真島太一の3人が、三角関係を暗示するように線路を挟んで対峙していた踏切。3人それぞれの背景に描かれている踏切周辺の建物も忠実に描かれていました。				フチュウシ	チ	13	44	2		
0530	0006	完了	静岡県	富士市	富士高等学校	416-0903	静岡県富士市松本17		35.167503	138.652707	"https://www.google.co.jp/maps/@35.1662376,138.6527654,3a,30.3y,27.39h,95.9t/data=!3m6!1e1!3m4!1scQEl0D_9Cfvk1oz6EbxMgw!2e0!7i16384!8i8192"					0545-61-0100	ちはやふる2	チハヤフルツー	第25話で、綾瀬千早と真島太一が、かるた部顧問の桜沢翠に誘われた合宿に参加するために訪れた富士崎高校のモデル。<br />大江奏が太一に渡した地図は実際の地図と全く同じに作画されていました。	http://www.edu.pref.shizuoka.jp/fuji-h/home.nsf/			フジシ	チ	22	1	3		
0530	0017	完了	静岡県	富士市	緑道公園前の道	416-0907	静岡県富士市中島		35.166719	138.649776	"https://www.google.co.jp/maps/@35.166755,138.6497837,3a,41.2y,269.16h,93.66t/data=!3m6!1e1!3m4!1sqKOuzLGXal7YowaB7OPumQ!2e0!7i13312!8i6656"						ちはやふる2	チハヤフルツー	綾瀬千早と真島太一が、かるた部顧問の桜沢翠に誘われた合宿に参加するために訪れた富士崎高校へ向かって歩いていた場所で、背景に公園の遊具などが描かれていました。				フジシ	チ	22	1	3		
0530	0007	完了	静岡県	富士市	JR 竪堀駅	416-0907	静岡県富士市中島3		35.16807	138.646045	"https://www.google.co.jp/maps/@35.167912,138.6461155,3a,42.5y,332.82h,94.01t/data=!3m6!1e1!3m4!1sVcsTbgt-zfWMrtI_CwefvA!2e0!7i13312!8i6656"						ちはやふる2	チハヤフルツー	第25話で、富士崎高校かるた部顧問の桜沢翠に誘われた合宿に参加する綾瀬千早と真島太一が利用していた駅。				フジシ	チ	22	1	3		
0530	0010	完了	滋賀県	大津市	近江神宮　楼門	520-0015	滋賀県大津市神宮町1-1		35.032151	135.852284	"https://www.google.co.jp/maps/@35.0320079,135.8527705,3a,28y,289.59h,99.61t/data=!3m6!1e1!3m4!1so0JfowpFnk0eGF1ZnAbJlw!2e0!7i13312!8i6656?hl=ja"						ちはやふる2	チハヤフルツー	百人一首第1首目の歌人である天智天皇を祀る神社であることから、毎年競技かるたの名人位・クイーン位決定戦をはじめとする各種大会が行われることから、「かるたの聖地」「かるたの殿堂」などと呼ばれる神社で、長い石段下から見上げる楼門が、オープニングをはじめ、作品のキービジュアルとして各所で描かれています。<br />第7話のラストから、全国大会（第34回全国高等学校小倉百人一首かるた選手権大会）の舞台として度々作中で登場。<br />第8話ラスト～第9話冒頭では、綾瀬千早たちの団体戦を見に来た綿谷新が、石段で若宮詩暢に再会していました。	http://oumijingu.org/	http://oumijingu.org/		オオツシ	チ	25	1	5		
0530	0012	完了	滋賀県	大津市	近江神宮　社務所	520-0015	滋賀県大津市神宮町1-1		35.033124	135.852816	-						ちはやふる2	チハヤフルツー	第8話の全国大会で、駒野勉が偵察に向かった昨年の優勝校である富士崎高校が入っているEFブロックの試合会場。大広間で行われると話していました。<br />第9話では、第1試合の観戦を終えた駒野が、社務所前から携帯電話で真島太一に、登録メンバー8人の内5人がA級であることを伝えていました。<br />第20話では、駒野と大江奏が出場した全国大会C級個人戦が行われていることが語られていました。				オオツシ	チ	25	1	5		
0530	0011	完了	滋賀県	大津市	近江勧学館	520-0015	滋賀県大津市神宮町1-1		35.033633	135.8528	-						ちはやふる2	チハヤフルツー	第8～20話で、綾瀬千早たち瑞沢高校競技かるた部が参加した全国大会の会場。				オオツシ	チ	25	1	5		
