作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0597	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.062401,141.353214,3a,30.7y,51.05h,112.37t/data=!3m4!1e1!3m2!1s_hszx36HYacfPuM3nGXzaw!2e0?hl=ja"	17.0		120	1.6	011-231-0838	ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	ト	1	1	1	
0597	0002	完了	北海道	札幌市	旧北海道庁	060-0003	北海道札幌市中央区北三条西6		43.063942	141.347982	"https://www.google.co.jp/maps/@43.064106,141.349085,3a,32.7y,270.39h,98.88t/data=!3m5!1e1!3m3!1svA0jvt86bmImHkW8b7gHWg!2e0!3e5?hl=ja"	16.0		120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。				サッポロシ	ト	1	1	1	
0597	0003	完了	北海道	札幌市	JR 札幌駅	060-0005	北海道札幌市中央区北五条西2		43.068112	141.352016	"https://www.google.co.jp/maps/@43.067215,141.350697,3a,58y,15.98h,108.48t/data=!3m5!1e1!3m3!1sPiK4QN-eN08AAAQIt9X8_Q!2e0!3e11"	15.0		120	1		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。				サッポロシ	ト	1	1	1	
0597	0004	完了	北海道	札幌市	大通公園	060-0042	北海道札幌市中央区大通西2		43.060566	141.352384	"https://www.google.co.jp/maps/@43.060612,141.352166,3a,35.6y,99.54h,100.09t/data=!3m4!1e1!3m2!1sv9OGsgWmgGPZbUJPG_1udQ!2e0?hl=ja"			120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。				サッポロシ	ト	1	1	1	
0597	0005	完了	北海道	札幌市	サッポロビール園	065-0007	北海道札幌市東区北7条東9-2-10		43.071473	141.368953	"https://www.google.co.jp/maps/@43.070556,141.368611,3a,75y,90t/data=!3m5!1e2!3m3!1s-wgLj1eMDWPo%2FUa9ZNZIyIXI%2FAAAAAAACrog%2F1g_9-fquMWM!2e4!3e12"	16.0		0		0120-150-550	ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所で、ケッセルホール内で昼食を取っていました。雰囲気はそのままですが、外観の建物構造は改変されています。	http://www.sapporo-bier-garten.jp/			サッポロシ	ト	1	1	1	
0597	0006	完了	北海道	函館市	函館山ロープウェイ 山麓駅	040-0054	北海道函館市元町19-7		41.760904	140.714273	"https://www.google.co.jp/maps/@41.761922,140.71367,3a,19.5y,163.33h,94.36t/data=!3m4!1e1!3m2!1satt5LpRCd5n29sY60bCeaA!2e0"	17.0		120		0138-23-3105	ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第20話（TV版第19話）の修学旅行最終日に、青葉陸たちが乗っていたロープウェイ。	http://www.334.co.jp/			ハコダテシ	ト	1	4	1	
0597	0007	完了	北海道	函館市	函館山頂上展望台	040-0000	北海道函館市函館山		41.759465	140.704553	"https://www.google.co.jp/maps/@41.7595,140.703833,3a,28.8y,58.02h,77.77t/data=!3m5!1e1!3m3!1sh4zjX150FX8AAAQfCPSjUw!2e0!3e11"	17.0		120			ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第20話（TV版第19話）の修学旅行最終日に、青葉陸たちが景色を眺めていた展望台。				ハコダテシ	ト	1	4	1	
0597	0008	完了	北海道	小樽市	小樽運河	047-0007	北海道小樽市港町5		43.198026	141.003096	"https://www.google.co.jp/maps/@43.198025,141.002994,3a,19.6y,337.34h,96.81t/data=!3m5!1e1!3m3!1s-LWtUJ8xXrIAAAQp2XLPkA!2e0!3e11"	17.0		120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、自由行動日に青葉陸と春日つかさが訪れた場所で、ずっと熱があるのを隠して元気に振る舞っていたつかさが、ついに症状を悪化させて倒れてしまいました。				オタルシ	ト	1	3	1	
0597	0009	完了	北海道	小樽市	可否茶館小樽ファクトリー	047-0027	北海道小樽市堺町5-30		43.194039	141.006597	"https://www.google.co.jp/maps/@43.194041,141.006598,2a,90y,90t/data=!3m5!1e2!3m3!1s-p1IbdkhEnds%2FUT7CLwcsm5I%2FAAAAAAAAEb8%2FyUtd4e7nScs!2e4!3e12!"	17.0		0		0134-24-0012	ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、自由行動日に青葉陸と春日つかさが訪れた場所で、店内2階の様子が描かれていました。				オタルシ	ト	1	3	1	
0597	0010	完了	北海道	小樽市	堺町通り	047-0027	北海道小樽市堺町4		43.194271	141.006121	"https://www.google.co.jp/maps/@43.194508,141.005957,3a,38y,152.57h,97.73t/data=!3m4!1e1!3m2!1s70gai3tyV50zc7dYuf7Jfw!2e0?hl=ja"	17.0		120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、自由行動日に青葉陸と春日つかさが訪れた場所。特定できる建物などはなく、雰囲気だけのものです。				オタルシ	ト	1	3	1	
0597	0011	完了	北海道	小樽市	旧三井銀行小樽支店	047-0031	北海道小樽市色内1-3-10		43.197766	141.001397	"https://www.google.co.jp/maps/@43.197449,141.001363,3a,22.7y,356.11h,95.15t/data=!3m4!1e1!3m2!1sk-9H59Cnlxs-MRxOjfhsTQ!2e0?hl=ja"	17.0		120	1.4		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、自由行動日に青葉陸と春日つかさが訪れた場所。				オタルシ	ト	1	3	1	
0597	0012	完了	北海道	小樽市	旧国鉄手宮線址	047-0031	北海道小樽市色内1-15		43.198957	140.998723	"https://www.google.co.jp/maps/@43.199183,140.998764,3a,15y,174.44h,90.27t/data=!3m4!1e1!3m2!1sK_heXVN7bIpMetv9Xk1_MA!2e0?hl=ja"	17.0		120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。				オタルシ	ト	1	3	1	
0597	0013	完了	北海道	小樽市	小樽運河プラザ 消防犬ぶん公記念碑	047-0031	北海道小樽市色内2-1-20		43.200102	141.000814	"https://www.google.co.jp/maps/@43.199859,141.001043,3a,15y,317.05h,88.4t/data=!3m4!1e1!3m2!1sNej_wazGq0rZjhjl1Peusg!2e0?hl=ja"	17.0		120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、自由行動日に青葉陸と春日つかさが訪れた場所で、この像の前で記念撮影をしていました。				オタルシ	ト	1	3	1	
0597	0014	完了	北海道	小樽市	JR 小樽駅	047-0032	北海道小樽市稲穂2		43.197556	140.993861	"https://www.google.co.jp/maps/@43.197625,140.994164,3a,15y,299.59h,99.63t/data=!3m4!1e1!3m2!1slpQO0qb18L_L-L6mbDYAzQ!2e0?hl=ja"	17.0		120	3		ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。				オタルシ	ト	1	3	1	
0597	0015	完了	北海道	小樽市	三角市場	047-0032	北海道小樽市稲穂3-10		43.198420	140.993800	-	17.0		0			ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所。				オタルシ	ト	1	3	1	
0597	0016	完了	北海道	富良野市	ふらのチーズ工房	076-0013	北海道富良野市中五区		43.320673	142.377103	-	17.0		0		0167-23-1156	ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所で、作中では「富良野アイスクリーム工房」となっており、春日つかさたちがアイスクリーム作りの体験をしていました。	http://www.furano-cheese.jp/			フラノシ	ト	1	29	1	
0597	0017	完了	北海道	富良野市	五郎の石の家	076-0162	北海道富良野市東麓郷		43.315104	142.563266	"https://www.google.co.jp/maps/@43.313438,142.56443,3a,75y,90t/data=!3m5!1e2!3m3!1s54635545!2e1!3e10"	12.0		0			ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第19話（TV版第18話）の修学旅行で、青葉陸たちが訪れた場所で、堂島凶平が屋根に上って「ぼたる～（元ネタは「北の国から」の蛍）」と叫んで号泣していました。				フラノシ	ト	1	29	1	
0597	0018	完了	神奈川県	横浜市	横浜・八景島シーパラダイス	236-0006	神奈川県横浜市金沢区八景島		35.337525	139.647387	"https://www.google.co.jp/maps/@35.337542,139.646055,3a,33y,91.22h,99.92t/data=!3m5!1e1!3m3!1sdAc-96LHPhCyEKPpNsY3fA!2e0!3e5?hl=ja"					045-788-8888	ときめきメモリアル Only Love	トキメキメモリアルオンリーラブ	第20話（TV版第19話）で、修学旅行に行ってしまった青葉陸に会えない寂しさを紛らわせるために弥生水奈が訪れた場所で、外観の他、イルカのショーの行われていたアクアスタジアムや、アクアチューブ、大水槽などが描かれていました。ちなみに作中では大水槽の前で泣き崩れる水奈にたくさんのイルカが寄り添おうと集まっている様子が描かれていましたが、実際には大水槽にイルカは居ません。	http://www.seaparadise.co.jp/			ヨコハマシ	ト	14	1	2	
