作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0606	0017	完了	東京都	北区	津田たばこ店前の丁字路	115-0052	東京都北区赤羽北2-27		35.786505	139.707714	"https://www.google.co.jp/maps/@35.7864959,139.7076716,3a,52.7y,353.43h,83.12t/data=!3m6!1e1!3m4!1sU0QAtawzONmzN7BKpxAQOQ!2e0!7i13312!8i6656"						とらドラ！	トラドラ	第20話で、ハワイ帰りの川嶋亜美と修学旅行の話をしていた喫茶店から帰る高須竜児と逢坂大河が歩いていたシーンで背景に描かれていた丁字路。<br />※画面左側に描かれていた津田たばこ店（作中では「津山たばこ店」）は閉店・解体済。				キタク	ト	13	7	2	
0606	0018	完了	東京都	北区	興國ゴム赤羽工場	115-0052	東京都北区赤羽北2-30-1		35.787081	139.708212	"https://www.google.co.jp/maps/@35.7871704,139.7082964,3a,53y,100.38h,106.82t/data=!3m6!1e1!3m4!1s5jg2kei4uHzlPH7sDf6BQA!2e0!7i16384!8i8192"						とらドラ！	トラドラ	第20話の通学シーンで、逢坂大河に押し付けられたカバンを高須竜児と一緒に持って学校に向かう櫛枝実乃梨が、小学校の頃は弟と一緒に床屋でほとんど丸刈りの髪にしてもらっていたと話していたシーンで描かれていた建物。				キタク	ト	13	7	2	
0606	0001	完了	東京都	北区	アクトピア北赤羽壱番館 脇の道	115-0052	東京都北区赤羽北2-31		35.786442	139.70741	"https://www.google.co.jp/maps/@35.7865022,139.7076076,3a,72y,249.39h,91.21t/data=!3m6!1e1!3m4!1syPVC2NrxeoZrFe8gZd7TFA!2e0!7i13312!8i6656"	17			2		とらドラ！	トラドラ	第6話のボランティア町内清掃で、逢坂大河たち一行が歩いていた場所。<br />第20話で、高須竜児と逢坂大河がハワイ帰りの川嶋亜美と修学旅行の話をしていた喫茶店シーンから帰り道シーンへの場面転換カットでも、同じ構図で道が描かれていました。				キタク	ト	13	7	2	
0606	0019	完了	東京都	北区	住宅地の交差点（シャトー・しむら前）	115-0052	東京都北区赤羽北2-36		35.787294	139.709026	"https://www.google.co.jp/maps/@35.7872892,139.7089781,3a,37y,70.28h,89.77t/data=!3m6!1e1!3m4!1spGfB-c31qZjGDTn_hRQVmg!2e0!7i16384!8i8192"						とらドラ！	トラドラ	第6話で、川嶋亜美のストーカーを追いかける逢坂大河と櫛枝実乃梨が走っていた場所。				キタク	ト	13	7	2	
0606	0003	完了	東京都	北区	浮間橋	115-0051	東京都北区浮間1-1		35.787093	139.705904	"https://www.google.co.jp/maps/@35.7874675,139.7056592,3a,50y,158.89h,98.56t/data=!3m6!1e1!3m4!1skB3T86TXDWE3jxopzWnKAg!2e0!7i16384!8i8192"	16					とらドラ！	トラドラ	第15話で、突然金髪姿でわかりやすくグレた北村祐作を心配する高須竜児と櫛枝実乃梨が、一緒に北村家へ行くために歩いていたシーンのラストで、北村は留守で会えなかったと語る竜児のモノローグのカットで描かれていた橋。<br />第24話では、互いに母親と衝突して逃げ出した竜児とと逢坂大河が、互いの家庭の話を打ち明けていた場所で、竜児が自殺しようとしていると勘違いして止めようとする大河に、逆に橋から落とされた竜児が、橋の下から「嫁に来いよ」とプロポーズをしていました。				キタク	ト	13	7	2	
0606	0002	完了	東京都	北区	新河岸川河川敷	115-0051	東京都北区浮間1-2		35.788202	139.707626	-	17					とらドラ！	トラドラ	第14話で、学校帰りの逢坂大河が階段に座ってたそがれている北村祐作を見つけて声をかけていた場所。<br />第17～24話のオープニングで、白いコートを着た大河が歩いていたのも、この場所でした。				キタク	ト	13	7	2	
0606	0004	完了	東京都	北区	新河岸川沿いの歩道	115-0052	東京都北区赤羽北2-23		35.786501	139.705803	-	18					とらドラ！	トラドラ	第15話で、突然金髪姿でわかりやすくグレた北村祐作を心配する高須竜児と櫛枝実乃梨が、一緒に北村家へ行くために歩いていた歩道。北村が何を考えているかという話から、北村の幼馴染みである川嶋亜美の話に及び、櫛枝が珍しく真面目な話をしていました。<br />川沿いの景色のカットで描かれていた団地群は、浮間三丁目エステート及び都営浮間三丁目アパートかと思われます。				キタク	ト	13	7	2	
0606	0005	完了	東京都	北区	新河岸川沿いの塀	115-0052	東京都北区赤羽北2-29		35.787952	139.708707	"https://www.google.co.jp/maps/@35.7879774,139.7089784,3a,28y,266.91h,82.05t/data=!3m6!1e1!3m4!1sPjsw_PJmpMkZFRLtsloXuw!2e0!7i13312!8i6656"	18			4		とらドラ！	トラドラ	第14話で、学校帰りに塀の上を歩く逢坂大河が北村祐作を見かけていた場所。<br />車止め越しに見上げる構図で、塀の上を歩く大河の姿が描かれていました。				キタク	ト	13	7	2	
0606	0006	完了	東京都	新宿区	JR 新宿駅	160-0022	東京都新宿区新宿3		35.689348	139.700460	"https://www.google.co.jp/maps/@35.6893401,139.7004434,2a,55.2y,63.56h,85.25t/data=!3m6!1e1!3m4!1spN5CP0vs9EDFEI2cb6a73A!2e0!7i13312!8i6656"						とらドラ！	トラドラ	第9話で、川嶋亜美の別荘へ行く逢坂大河たち5人が待ち合わせをしていた駅で、櫛枝実乃梨たちがChoo Choo TRAINの回転ダンスや千手観音の舞で出迎えていました。<br />南口の券売機付近や湘南新宿ライン5・6番線ホーム（作中では3番ホーム）などが描かれていました。				シンジュクク	ト	13	11	2	
0606	0016	完了	東京都	杉並区	シュガーローゼ	166-0004	東京都杉並区阿佐谷南1-35-19		35.702639	139.636432	"https://www.google.com/maps/@35.7027765,139.6363309,3a,35y,150.4h,93.6t/data=!3m6!1e1!3m4!1sfrgIul5cy00v5BPW63jaJA!2e0!7i13312!8i6656"						とらドラ！	トラドラ	第23～24話で、高須竜児を大学進学させるために高須泰子がアルバイトを始めたケーキ屋で、倒れた泰子の代わりに竜児と逢坂大河がアルバイトをしていました。				スギナミク	ト	13	12	2	
