作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0649	0001	完了	愛知県	岡崎市	岩津天満宮	444−2144	愛知県岡崎市岩津町字東山53		35.005345	137.176752		16.0				0564-45-2525	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。	http://www.iwazutenjin.or.jp/	http://www.iwazutenjin.or.jp/		オカザキシ	ノ	23	31	3	
0649	0002	完了	愛知県	名古屋市	ナナちゃん	450-0002	愛知県名古屋市中村区名駅1-2-1	オーヴァトゥーワンビル	35.168108	136.884898	"https://www.google.co.jp/maps/@35.1689083,136.8860306,3a,75y,90t/data=!3m5!1e1!3m3!1s7uEN8E4zQuoAAAQYIqftXA!2e0!3e11"	16.0				052-585-1111	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。名鉄百貨店本店ヤング館前に聳え立っています。				ナゴヤシ	ノ	23	1	3	
0649	0003	完了	愛知県	名古屋市	富士浅間神社	451-0035	愛知県名古屋市西区浅間1-3-2		35.184279	136.891501		16.0				052-531-7110	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。				ナゴヤシ	ノ	23	1	3	
0649	0004	完了	愛知県	名古屋市	熱田神宮	456-0031	愛知県名古屋市熱田区神宮1-1-1		35.127381	136.908668		14.0				052-671-4151	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。	http://atsutajingu.or.jp/	http://atsutajingu.or.jp/		ナゴヤシ	ノ	23	1	3	
0649	0005	完了	愛知県	名古屋市	サンシャイン栄	460-0003	愛知県名古屋市中区錦3-24-4		35.169504	136.906254		16.0					のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。				ナゴヤシ	ノ	23	1	3	
0649	0006	完了	愛知県	名古屋市	久屋大通公園	460-0008	愛知県名古屋市中区栄3		35.164578	136.909051		16.0					のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。				ナゴヤシ	ノ	23	1	3	
0649	0007	完了	愛知県	名古屋市	大須観音	460-0011	愛知県名古屋市中区大須2-21-47		35.159742	136.899435		16.0					のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。	http://www.osu-kannon.jp/	http://www.osu-kannon.jp/		ナゴヤシ	ノ	23	1	3	
0649	0008	完了	愛知県	名古屋市	大須のまねき猫	460-0011	愛知県名古屋市中区大須3	東仁王門通り ふれあい広場	35.158361	136.904639		16.0				052-261-2287	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。				ナゴヤシ	ノ	23	1	3	
0649	0009	完了	愛知県	名古屋市	名古屋城	460-0031	愛知県名古屋市中区本丸		35.185579	136.899084		12.0				052-231-1700	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。	http://www.nagoyajo.city.nagoya.jp/	http://www.nagoyajo.city.nagoya.jp/		ナゴヤシ	ノ	23	1	3	
0649	0010	完了	愛知県	名古屋市	山田天満宮	462-0813	愛知県名古屋市北区山田町3-25		35.195789	136.938448		16.0				052-981-5695	のらのらの～ら	ノラノラノーラ	「SAY!YOU!SAY!ME!」内のコーナーで、SKE48がアニメを作るという企画で誕生した、1話完結のショートアニメ内に登場したロケ地。				ナゴヤシ	ノ	23	1	3	
