作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0672	0001	完了	東京都	港区	路地	107-0051	東京都港区赤元坂1-3		35.677666	139.734322	"https://www.google.co.jp/maps/@35.677719,139.734326,3a,75y,233.1h,88.96t/data=!3m4!1e1!3m2!1s3rRIW5s_8a5RcMQtL2wzng!2e0?hl=ja"	17		120	1		はたらく魔王さま！	ハタラクマオウサマ	第13話で真奥貞夫を尾行する遊佐恵美と佐々木千穂が身を潜めていた場所。真奥はこの道を豊川稲荷の方に向かって歩いていました。				ミナトク	ハ	13	22	2	
0672	0002	完了	東京都	港区	東京メトロ 赤坂見附駅	107-8006	東京都港区赤坂3-1-6		35.676801	139.737154	-	16		0			はたらく魔王さま！	ハタラクマオウサマ	第13話で真奥貞夫が「マグロナルド」を休んで日雇いバイトに出掛けたシーンで、改札が描かれていました。				ミナトク	ハ	13	22	2	
0672	0003	完了	東京都	港区	高橋是清翁記念公園	107-8006	東京都港区赤坂7-3-39		35.673703	139.728848	-	16		0			はたらく魔王さま！	ハタラクマオウサマ	第13話で真奥貞夫に尾行がバレた遊佐恵美と佐々木千穂が、魔王の昼飯につき合って、日雇いバイトをしている事情を聞いていた公園。	http://www.city.minato.tokyo.jp/shisetsu/koen/akasaka/04.html			ミナトク	ハ	13	22	2	
0672	0004	完了	東京都	渋谷区	渋谷区立中央図書館	150-0001	東京都渋谷区神宮前1-4-1		35.672526	139.706051	-	17		0		03-3403-2591	はたらく魔王さま！	ハタラクマオウサマ	第1話で芦屋四郎が魔力を取り戻す手段を探していた図書館。	http://www.lib.city.shibuya.tokyo.jp/hp/intro_kan01/top/kan-chuo-top.html	http://www.lib.city.shibuya.tokyo.jp/hp/intro_kan01/top/kan-chuo-top.html		シブヤク	ハ	13	10	2	
0672	0005	完了	東京都	渋谷区	渋谷区役所	150-0042	東京都渋谷区宇田川町1-1		35.663952	139.698031	"https://www.google.co.jp/maps/@35.6647255,139.6985803,3a,40.9y,200.86h,93.4t/data=!3m4!1e1!3m2!1sOtIwRt2A7ERmKZ6x9H9tiQ!2e0?hl=ja"	17		120	3		はたらく魔王さま！	ハタラクマオウサマ	第1話で地球に来た魔王サタンと悪魔大元帥アルシエルが、職員に催眠術をかけて戸籍と住民票を入手していた区役所。				シブヤク	ハ	13	10	2	
0672	0006	完了	東京都	渋谷区	代々木第三児童遊園地	151-0053	東京都渋谷区代々木2-13-3		35.687159	139.696148	"https://www.google.co.jp/maps/@35.6873708,139.696104,3a,75y,154.49h,90.26t/data=!3m4!1e1!3m2!1sjcKo0oILfsfbTVCFsQbing!2e0?hl=ja"	18		120	5		はたらく魔王さま！	ハタラクマオウサマ	第1話で地球に来たばかりの悪魔大元帥アルシエルが、警察官に触れられたことで激昂して攻撃魔法を放とうとするも発動せず、恥ずかしいポーズを取っただけになってしまった場所。公園の入口辺りです。				シブヤク	ハ	13	10	2	
0672	0007	完了	東京都	渋谷区	新宿二丁目交差点	151-0053	東京都渋谷区代々木2-13		35.687311	139.696451	"https://www.google.co.jp/maps/@35.687595,139.6965451,3a,75y,207.82h,92.99t/data=!3m4!1e1!3m2!1sYGj0p2OWjNBE5Iqyc7Gi4A!2e0?hl=ja"	18		120	2		はたらく魔王さま！	ハタラクマオウサマ	第1話で異世界から地球へ逃れてきた魔王サタンと悪魔大元帥アルシエルが出現した場所で、地球の風景に驚き、その身なりや挙動不審さで警察に連行されてしまっていました。YU-WAビル他、横断歩道、甲州街道を挟んだ向いのビル郡などが描かれていました。				シブヤク	ハ	13	10	2	
0672	0008	完了	東京都	渋谷区	常盤橋	151-0065	東京都渋谷区大山町24		35.672182	139.672936	"https://www.google.co.jp/maps/@35.672169,139.6729743,3a,75y,348.54h,88.43t/data=!3m4!1e1!3m2!1sJur4YZigJFW8yIAYBX6z_w!2e0?hl=ja"	18		120	1.7		はたらく魔王さま！	ハタラクマオウサマ	第11話でフリーマッケット帰りの遊佐恵美、佐々木千穂、鎌月鈴乃の3人が真奥貞夫の処遇について口論をしていた場所。				シブヤク	ハ	13	10	2	
0672	0009	完了	東京都	渋谷区	代々木警察署	151-0071	東京都渋谷区本町1-11-3		35.679915	139.683241	"https://www.google.co.jp/maps/@35.6797479,139.6832761,3a,75y,319.94h,96.6t/data=!3m4!1e1!3m2!1s8xVNIBjyW_ypNAIleoSJSg!2e0?hl=ja"	18		120	2	03-3375-0110	はたらく魔王さま！	ハタラクマオウサマ	第3話で、前回襲撃を受けた際に放置した自転車から警察に呼び出された真奥貞夫が、身元保証人として遊佐恵美を指名したために、恵美が身分証と印鑑を駆使して書類に記名捺印させられていた警察署。作中では署の名前が「東代々木警察署」になっていました。				シブヤク	ハ	13	10	2	
0672	0010	完了	東京都	渋谷区	幡ヶ谷駅 南口前	151-0072	東京都渋谷区幡ヶ谷1-3		35.67679	139.67693		18		0			はたらく魔王さま！	ハタラクマオウサマ	第2話で真奥貞夫のバイトが終わった場面転換の挿入カットで描かれていた場所。				シブヤク	ハ	13	10	2	
