作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1052	0008	完了	神奈川県	川崎市	ラウンドワン川崎大師店	210-0821	神奈川県川崎市川崎区殿町1-5-1		35.537939	139.741879	"https://www.google.co.jp/maps/@35.5385693,139.7420805,3a,42y,216.88h,112.37t/data=!3m6!1e1!3m4!1sC71XFP0wVa-D4CT_M6lyzQ!2e0!7i13312!8i6656"						はねバド！	ハネバド	第9話で、「北小町高校」を訪れたコニー・クリステンセンと志波姫唯華が、羽咲綾乃と藤沢エレナを連れ出して訪れた遊戯施設。UFOキャッチャーやビリアード場、バッティング場、				カワサキシ	ハ	14	2	2	
1052	0001	完了	神奈川県	川崎市	ガス橋	211-0013	神奈川県川崎市中原区上平間		35.563130	139.678239	"https://www.google.co.jp/maps/@35.5629289,139.6779912,3a,45.5y,335.03h,74.02t/data=!3m6!1e1!3m4!1s8G0OVlZ-A_V-gc5wHVJq1Q!2e0!7i13312!8i6656"						はねバド！	ハネバド	第1話で、羽咲綾乃に敗北したのが原因で、部員に厳しすぎる練習を強いたり、心無い言葉をかけ続けて退部者を増やしてしまっていた荒垣なぎさが、当の相手がバドミントンを辞めていることを知ってショックを受け、弱い自分に向き合わずに他人に八つ当たりしていただけだったことを認めて泉理子の前で泣いていた橋。				カワサキシ	ハ	14	2	2	
1052	0002	完了	神奈川県	横浜市	山下公園	231-0023	神奈川県横浜市中区山下町279		35.446793	139.648882	"https://www.google.co.jp/maps/@35.4465316,139.6493515,3a,25y,94.77h,90.71t/data=!3m6!1e1!3m4!1sMc8_B3sk4zXYn5Rxsb_ejw!2e0!7i13312!8i6656"						はねバド！	ハネバド	三浦のり子と映画を観に来ていた藤沢エレナが、ランニングをしている荒垣なぎさを見かけて声をかけ、話をしていた公園。<br />背景に氷川丸なども描かれていました。				ヨコハマシ	ハ	14	1	2	
1052	0003		神奈川県	横浜市	横浜緑ケ丘高等学校	231-0832	神奈川県横浜市中区本牧緑ケ丘37		35.424374	139.652572						045-621-8641	はねバド！	ハネバド	主人公・羽咲綾乃が通う「北小町高校」のモデル。	http://www.y-midorigaoka-h.pen-kanagawa.ed.jp			ヨコハマシ	ハ	14	1	2	
1052	0004	完了	神奈川県	横浜市	坂道	231-0832	神奈川県横浜市中区本牧緑ケ丘		35.424654	139.651229	"https://www.google.co.jp/maps/@35.4245281,139.6512543,3a,19.4y,348.68h,80.12t/data=!3m6!1e1!3m4!1s77gWO6hBq8hzAx8woxkAMg!2e0!7i13312!8i6656"						はねバド！	ハネバド	第1話で、羽咲綾乃と藤沢エレナの学校帰りシーンで、坂下を見下ろす構図で描かれていた坂道。				ヨコハマシ	ハ	14	1	2	
1052	0005	完了	山梨県	甲府市	甲斐清和高等学校　体育館	400-0867	山梨県甲府市青沼3-16		35.650893	138.575285	-						はねバド！	ハネバド	本作品を制作するライデンフィルム制作プロデューサー 新家朋人が、甲斐清和高バドミントン部の柿崎孝央顧問が中学時代のバドミントン部の先輩だった縁で取材を依頼し、部活動や練習試合の様子を撮影してアニメ制作に反映させたことがあり、体育館内の細部や下駄箱に至るまで忠実に描かれています。<br />外観は館内ほどには忠実ではないものの、似ている部分も確認できます。	http://seika.ito-gakuen.ed.jp/			コウフシ	ハ	19	1	2	
1052	0006	完了	宮城県	宮城郡	JR 松島海岸駅	981-0213	宮城県宮城郡松島町松島字浪打浜10		38.368465	141.058755	"https://www.google.co.jp/maps/@38.3683357,141.0591096,3a,28y,297.32h,93.64t/data=!3m6!1e1!3m4!1s_9Zq3HjgnXl3Gk6X1ykrlQ!2e0!7i13312!8i6656"						はねバド！	ハネバド	第9話のラストで、家族になろうと告白するもフラレてしまったコニー・クリステンセンが、志波姫唯華と一緒に帰ってきた駅。作中では駅名が「松乃町北駅」になっていました。				ミヤギグン	ハ	4	6	1	
1052	0007	完了	宮城県	仙台市	青葉体育館	981-0912	宮城県仙台市青葉区堤町1-1-5		38.281738	140.870769	"https://www.google.co.jp/maps/@38.2822642,140.8705877,3a,48y,167.64h,106.25t/data=!3m5!1e1!3m3!1sIOO84gDrARYB8WBQVeeAUA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DIOO84gDrARYB8WBQVeeAUA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D191.90398%26pitch%3D0%26thumbfov%3D100"						はねバド！	ハネバド	第6話で、コニー・クリステンセンたちフレゼリシア女子短大付属高校バドミントン部が参加した「平成30年全国高等学校総合体育大会 宮城県予選 バドミントン女子シングルス競技会場」として描かれていた施設。				センダイシ	ハ	4	1	1	
1052	0009		神奈川県	横浜市	住宅街	231-0832	神奈川県横浜市中区本牧緑ケ丘82-43		35.424983	139.649934	"https://www.google.co.jp/maps/@35.4249963,139.6498464,3a,22.6y,76.57h,80.05t/data=!3m6!1e1!3m4!1s0iYzW54B-sliKENWQndiEQ!2e0!7i13312!8i6656"						はねバド！	ハネバド	第3話				ヨコハマシ	ハ	14	1	2	
1052	0010		東京都	新宿区	JR 新宿駅												はねバド！	ハネバド					シンジュクク	ハ	13	11	2	
