作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0688	0001	完了	東京都	新宿区	新宿大ガード	160-0023	東京都新宿区西新宿7-1		35.693616	139.699853	"https://www.google.co.jp/maps/@35.6935325,139.699132,3a,33.2y,79.98h,96.71t/data=!3m4!1e1!3m2!1s1bTPo-zGkDAla4t5kB7qBQ!2e0"						ばらかもん	バラカモン	第11話冒頭の半田清舟の帰京シーンで、西側から望む新宿大ガードとガード向こうのビル群が描かれていました。				シンジュクク	ハ	13	11	2	
0688	0002	完了	長崎県	五島市	福江空港	853-0013	長崎県五島市上大津町2183		32.668225	128.837399	"https://www.google.co.jp/maps/@32.6686555,128.838116,3a,30y,228.96h,91.63t/data=!3m4!1e1!3m2!1s3yPq5AMnfUF1PgUyjyInCQ!2e0?hl=ja"					0959-72-7311	ばらかもん	バラカモン	第1話冒頭で、半田清舟が一人降り立った空港。第7話では五島を訪れた川藤鷹生と神崎康介を見送るシーンで、ロビーや土産売り場なども描かれていました。	http://www.fukuekuko.jp/			ゴトウシ	ハ	42	14	8	
0688	0003	完了	長崎県	五島市	五島バス富江営業所	853-0201	長崎県五島市富江町富江161-1		32.614284	128.767448	"https://www.google.co.jp/maps/@32.6143759,128.7675444,3a,90y,220.71h,97.37t/data=!3m4!1e1!3m2!1sN_22_CuWeGRB2vxqIfnDBg!2e0"						ばらかもん	バラカモン	第10話の祭に向かうシーンで、バスから降りた半田清舟と琴石なると久保田陽菜の3人が、この建物から出てくる姿が描かれていました。				ゴトウシ	ハ	42	14	8	
0688	0004	完了	長崎県	五島市	中央市場	853-0201	長崎県五島市富江町富江209		32.615620	128.767332	"https://www.google.co.jp/maps/@32.6155288,128.7673142,3a,65.9y,0.75h,105.7t/data=!3m4!1e1!3m2!1s19oZAGe_YJVKP6hSihRcww!2e0"						ばらかもん	バラカモン	第10話の祭でフリースロー大会をやっていた背景に描かれていた店。				ゴトウシ	ハ	42	14	8	
0688	0005	完了	長崎県	五島市	富江町商店街	853-0201	長崎県五島市富江町富江210		32.615458	128.767231	"https://www.google.co.jp/maps/@32.6155288,128.7673142,3a,50.9y,232.65h,82.32t/data=!3m4!1e1!3m2!1s19oZAGe_YJVKP6hSihRcww!2e0"						ばらかもん	バラカモン	第10話の祭でフリースロー大会をやっていた場所。浜口水産富江本店や林鮮魚などが入っている建物です。				ゴトウシ	ハ	42	14	8	
0688	0006	完了	長崎県	五島市	長崎大学歯学部離島歯科保健医療研究所	853-0205	長崎県五島市富江町狩立402-1		32.612666	128.763287	-					0959-86-2150	ばらかもん	バラカモン	第2話で半田清舟が入院していた「七ッ岳病院」のモデル。作中では2階建になっていましたが、実際には1階建。道路に面した敷地の入口周辺も描かれていました。				ゴトウシ	ハ	42	14	8	
0688	0007	完了	長崎県	五島市	墓地	853-0212	長崎県五島市富江町山下		32.587482	128.762377	"https://www.google.co.jp/maps/@32.5876632,128.7623384,3a,40.9y,194.81h,87.18t/data=!3m4!1e1!3m2!1sqPlTQY1kj8GBIH8imjUuMQ!2e0"						ばらかもん	バラカモン	第8話でお盆の墓参りやオンデ（念仏踊り）が行われていた墓。				ゴトウシ	ハ	42	14	8	
0688	0008	完了	長崎県	五島市	山下簡易郵便局（旧・くみあいマーケット山下店）	853-0212	長崎県五島市富江町山下283-3		32.589314	128.755995	"https://www.google.co.jp/maps/@32.5893574,128.7561242,3a,37y,230.49h,89.08t/data=!3m4!1e1!3m2!1sU1gOq8OYb1mN3mfixXwTjQ!2e0"						ばらかもん	バラカモン	第3話で琴石なるが、カタカナを読めるようになったことを自慢しようと、半田清舟に五島牛乳の「あけ口」を「あけろ」でないことに気づかされていた。				ゴトウシ	ハ	42	14	8	
0688	0009	完了	長崎県	五島市	サイクリングロード	853-0213	長崎県五島市富江町岳		32.589405	128.790776	-						ばらかもん	バラカモン	オープニングをはじめ、各話で登場する海岸沿いの道。第1話で半田清舟が体育座りで落ち込んでいたのも、第4話で清舟が箱に躓きワカメをぶちまけていたりしていたのもこの道でした。				ゴトウシ	ハ	42	14	8	
0688	0010	完了	長崎県	五島市	倭寇漁港（坪地区）	853-0213	長崎県五島市富江町岳		32.578675	128.774921	"https://www.google.co.jp/maps/@32.5785786,128.7749374,3a,42.5y,1.31h,91.85t/data=!3m4!1e1!3m2!1sWI1iIO8kria6y5m9p4EWFQ!2e0"						ばらかもん	バラカモン	第1話で半田清舟が琴石なると夕陽を眺めていた港。第4話では、清舟が、山村美和の父・巌の船「唯我独尊丸」の船体に名前を書かされていました。背景に描かれていた建物なども実在します。				ゴトウシ	ハ	42	14	8	
0688	0011	完了	長崎県	五島市	民家	853-0213	長崎県五島市富江町岳780		32.588533	128.766798	"https://www.google.co.jp/maps/@32.5884983,128.7668876,3a,90y,292.78h,89.12t/data=!3m4!1e1!3m2!1sJuBuXu_0Ol0m7vDlgB5CbA!2e0"						ばらかもん	バラカモン	買い物をしたり、電話を借りたりと、作中頻繁に登場した「木下商店」のモデル。				ゴトウシ	ハ	42	14	8	
0688	0012	完了	長崎県	五島市	倉庫	853-0213	長崎県五島市富江町岳783		32.588848	128.766969	"https://www.google.co.jp/maps/@32.5888345,128.7671597,3a,39.4y,292.79h,89.57t/data=!3m4!1e1!3m2!1sy3gfNNiZ4WfOAFPrSi1SJg!2e0"						ばらかもん	バラカモン	第3話ラストと第5話ラストのザリガニ釣りシーンで、教頭（坂本一行）、山村美和と新井珠子の背景に描かれていた倉庫。				ゴトウシ	ハ	42	14	8	
0688	0013	完了	長崎県	五島市	神社	853-0213	長崎県五島市富江町岳785		32.588424	128.767152	"https://www.google.co.jp/maps/@32.5882682,128.7669825,3a,60.7y,12.66h,91.41t/data=!3m4!1e1!3m2!1s28a9m_bEZKBPSkZSUgcpUw!2e0"						ばらかもん	バラカモン	第10話で半田清舟が寄付者奉名板の文字書きを頼まれていた神社。				ゴトウシ	ハ	42	14	8	
0688	0014	完了	長崎県	五島市	池	853-0213	長崎県五島市富江町岳785		32.588659	128.767237	"https://www.google.co.jp/maps/@32.5888345,128.7671597,3a,54.7y,145.32h,76.45t/data=!3m4!1e1!3m2!1sy3gfNNiZ4WfOAFPrSi1SJg!2e0"						ばらかもん	バラカモン	第3話ラストと第5話ラストで、半田清舟と琴石なるがザリガニ釣りをしていた池。				ゴトウシ	ハ	42	14	8	
0688	0015	完了	長崎県	五島市	倭寇漁港（山崎地区） 堤防	853-0213	長崎県五島市富江町岳1708		32.587167	128.784828	-						ばらかもん	バラカモン	第5話で、なるたちが海に飛び込んでいた堤防。第7話で釣りをしていたのもこの堤防でした。				ゴトウシ	ハ	42	14	8	
0688	0016	完了	長崎県	五島市	多郎島海水浴場突堤	853-0214	長崎県五島市富江町土取		32.612037	128.782075	-						ばらかもん	バラカモン	第6話で五島の予想以上の環境に中てられた川藤鷹生が、海を眺めてたそがれていた場所。				ゴトウシ	ハ	42	14	8	
0688	0017	完了	長崎県	五島市	さんさん富江キャンプ村	853-0214	長崎県五島市富江町土取1333		32.612093	128.77996	"https://www.google.co.jp/maps/@32.612351,128.7799009,3a,30y,136.22h,90.47t/data=!3m4!1e1!3m2!1sh1tXEr9NjgUEA_oIqTzETw!2e0?hl=ja"					0959-86-2920	ばらかもん	バラカモン	第6話で東京から半田清舟に会いに来た川藤鷹生と神崎康介が宿泊していた総合レジャー施設で、川藤たちはなぜかここのテントサイトでテントを張って宿泊していました。作中では名前が「さんさんキャンプ村」になっていました。	http://www.sansan-tomie.jp/			ゴトウシ	ハ	42	14	8	
