作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1148	0001	完了	東京都	千代田区	オノデン本館	101-0021	東京都千代田区外神田1-2-7		35.698299	139.770995	"https://www.google.co.jp/maps/@35.6984012,139.771212,3a,57.9y,243.3h,127.21t/data=!3m6!1e1!3m4!1sQqX6r7Zbdj9gBci0wRzOlA!2e0!7i16384!8i8192"						ぱすてるメモリーズ	パステルメモリーズ	第11話で、「超新星エクシード」の世界のシーンで、エレベーターの地下通路から巨大ロボのエクシードが格納されている秘密基地に繋がっている設定になっていたビル。<br />第12話で、マザーウイルスに対抗するために作られたオノデン坊や型のロボットが出動していたのも、このビルからでした。				チヨダク	ハ	13	17	2	
1148	0002	完了	東京都	千代田区	中央通り（JR線高架北側）	101-0021	東京都千代田区外神田1-4		35.698558	139.771265	"https://www.google.co.jp/maps/@35.698608,139.7712392,3a,30y,8.8h,103.81t/data=!3m6!1e1!3m4!1sAN_mrQBSbG-nWwPMVqCLXw!2e0!7i16384!8i8192"						ぱすてるメモリーズ	パステルメモリーズ	第1話冒頭カットで、作中では過去の姿であるサブカルチャー全盛時代の中央通りを、座標地点辺りから北側を望む構図で通りと左右のビル群が描かれていました。<br />第11話では、浅木泉水、二条院薫子、里中小町の3人が「超新星エクシード」の世界に来たシーンでも、同じ構図で通りが描かれていました。<br />第12話で、みんなで協力してマザーウイルスを倒した後の大団円も、この場所でした。				チヨダク	ハ	13	17	2	
1148	0003	完了	東京都	千代田区	中央通り（JR線高架南側）	101-0021	東京都千代田区外神田1-4		35.698509	139.771268	"https://www.google.co.jp/maps/@35.6980791,139.7711961,3a,59.6y,4.52h,122.87t/data=!3m6!1e1!3m4!1sVtw8RbYG4zWQCzERp7ETDg!2e0!7i16384!8i8192"						ぱすてるメモリーズ	パステルメモリーズ	第1話の浅木泉水が「うさぎ小屋本舗」へ向かうシーンの冒頭カットでJR線高架とビル群が描かれていました。<br />第2話の冒頭カットでも同じカットが使われていました。				チヨダク	ハ	13	17	2	
1148	0004	完了	東京都	千代田区	ツクモ パソコン本店III 前	101-0021	東京都千代田区外神田1-9		35.699031	139.770546	"https://www.google.co.jp/maps/@35.6990536,139.7705653,3a,45y,219.9h,90.46t/data=!3m6!1e1!3m4!1sbhkXfrEnhkJNxayr6mQ-Pw!2e0!7i16384!8i8192"						ぱすてるメモリーズ	パステルメモリーズ	第1話で、リクエストのあったマンガ「うさぎさんカフェへようこそ！」の2巻と5巻以外の巻を、手分けして探すシーンで、江戸川橋美智、二条院薫子、町屋結衣奈の3人が、店を探していた場所。				チヨダク	ハ	13	17	2	
1148	0005	完了	東京都	千代田区	木村ビル前	101-0021	東京都千代田区外神田1-9-8		35.698884	139.770531	"https://www.google.co.jp/maps/@35.6989342,139.77054,3a,34.9y,178.32h,109.6t/data=!3m6!1e1!3m4!1suqWkZq7IHR1FUHFQa8KqOA!2e0!7i16384!8i8192"						ぱすてるメモリーズ	パステルメモリーズ	第1話冒頭カットで、作中では過去の姿であるサブカルチャー全盛時代の秋葉原で、メイドがチラシ配りをしている姿が描かれていた場所。<br />座標地点辺りから南側を望む構図で、AionのビルやJR線高架などが描かれていました。				チヨダク	ハ	13	17	2	
1148	0006	完了	東京都	千代田区	中央通り	101-0021	東京都千代田区外神田1-10		35.699061	139.771326	"https://www.google.co.jp/maps/@35.6993025,139.7714022,3a,59.6y,189.83h,97.12t/data=!3m6!1e1!3m4!1s66pDA4b8xfaGh6iP6mbe9A!2e0!7i13312!8i6656"						ぱすてるメモリーズ	パステルメモリーズ	第11話では、「超新星エクシード」の世界に来て、サブカルチャー全盛時代の秋葉原を散策していた浅木泉水、二条院薫子、里中小町の3人が、突然の警報に驚いていた場所。<br />襲撃してきたマザーウイルスたちとの戦場になっていました。				チヨダク	ハ	13	17	2	
1148	0007	完了	東京都	千代田区	中央通り（JR線高架付近のビル群）	101-0021	東京都千代田区外神田1-10		35.698849	139.771299	"https://www.google.co.jp/maps/@35.6991649,139.7713879,3a,42y,226.95h,110.19t/data=!3m6!1e1!3m4!1setvGYzM7u86yM8aHC83kxw!2e0!7i13312!8i6656"						ぱすてるメモリーズ	パステルメモリーズ	第1話冒頭カットで、作中では過去の姿であるサブカルチャー全盛時代のビル群（セガ 秋葉原1号館、平岡ビル、廣瀬本社ビルなど）が描かれていました。				チヨダク	ハ	13	17	2	
1148	0008	完了	東京都	千代田区	アキハバラ ゲーマーズ本店	101-0021	東京都千代田区外神田1-14-7	宝田ビル	35.698319	139.771688	"https://www.google.co.jp/maps/@35.6982112,139.7716857,3a,58y,1.33h,105.39t/data=!3m6!1e1!3m4!1sbjcdZ3nroCgTSc6xSF6Lzw!2e0!7i13312!8i6656"						ぱすてるメモリーズ	パステルメモリーズ	第12話で、マザーウイルスとの決戦のために作られたでじこ型のロボットとガシャポン型のロボットが出動していたビル。				チヨダク	ハ	13	17	2	
1148	0009	完了	東京都	千代田区	ラジオ会館旧1号館（現ボークス 秋葉原ホビー天国）	101-0021	東京都千代田区外神田1-15-4		35.698039	139.771510	"https://www.google.co.jp/maps/@35.6982865,139.7711764,3a,48.1y,132.89h,116.87t/data=!3m6!1e1!3m4!1stE8xS8NeN7bmWK5f69hXGQ!2e0!7i13312!8i6656"						ぱすてるメモリーズ	パステルメモリーズ	第11話で、浅木泉水たちと一時休戦した摩耶が、屋上から暴走したマザーウイルスをライフルで狙撃していたビル。<br />※現在はボークス 秋葉原ホビー天国になっています。				チヨダク	ハ	13	17	2	
1148	0010	完了	東京都	千代田区	JR 秋葉原駅	101-0021	東京都千代田区外神田1-17-6		35.698581	139.772626	-						ぱすてるメモリーズ	パステルメモリーズ	第1話冒頭カットおよび浅木泉水が「うさぎ小屋本舗」へ向かうシーンの冒頭カットで正面口が描かれていた駅。				チヨダク	ハ	13	17	2	
