作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0713	0001	完了	北海道	函館市	函館山頂上展望台	040-0000	北海道函館市函館山		41.759414	140.704393	"https://www.google.co.jp/maps/@41.759478,140.704565,3a,75y,90t/data=!3m5!1e2!3m3!1s66159282!2e1!3e10?hl=ja"	17.0		0			ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話				ハコダテシ	ヒ	1	4	1	
0713	0002		北海道	函館市	五稜郭タワー	040-0001	北海道函館市五稜郭町43-9		41.794606	140.753949	"https://www.google.co.jp/maps/@41.794491,140.753461,3a,75y,71.05h,124.34t/data=!3m4!1e1!3m2!1sTkdEt9wOXHeiG20cSYdIdg!2e0?hl=ja"	16.0		120		0138-51-4785	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行	http://www.goryokaku-tower.co.jp/			ハコダテシ	ヒ	1	4	1	
0713	0003	完了	北海道	函館市	五稜郭	040-0001	北海道函館市五稜郭町44		41.79696	140.756814	"https://www.google.co.jp/maps/@41.796752,140.756793,1382m/data=!3m1!1e3?hl=ja"	15.0		0		0138-31-5505	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行				ハコダテシ	ヒ	1	4	1	
0713	0004		北海道	函館市	ザ・グラススタジオイン函館	040-0053	北海道函館市末広町14-2		41.765376	140.716855	"https://www.google.co.jp/maps/@41.765346,140.716574,3a,75y,83.83h,98.67t/data=!3m4!1e1!3m2!1s_PvYOnkDnnH4cVtpNOuh9Q!2e0?hl=ja"	17.0		120		0138-27-1569	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行。ガラス作りを体験。	http://www12.plala.or.jp/glassstudio/			ハコダテシ	ヒ	1	4	1	
0713	0005		北海道	函館市	金森赤レンガ倉庫	040-0053	北海道函館市末広町14-12		41.766563	140.71604	"https://www.google.co.jp/maps/@41.76651,140.715811,3a,75y,106.3h,102.77t/data=!3m4!1e1!3m2!1s2S3XTIccDYZbsPPV_AUTLg!2e0?hl=ja"	17.0		120			ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行	http://www.hakodate-kanemori.com/			ハコダテシ	ヒ	1	4	1	
0713	0006	完了	北海道	函館市	八幡坂通	040-0053	北海道函館市末広町19		41.765326	140.713379	"https://www.google.co.jp/maps/@41.765328,140.713382,3a,75y,41.4h,92.05t/data=!3m4!1e1!3m2!1s5jgsFOTX6W659A0ejyqF8w!2e0?hl=ja"	17.0		120			ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行。座標地点から坂下の函館湾側を望む構図で描かれていました。				ハコダテシ	ヒ	1	4	1	
0713	0007		北海道	函館市	旧函館区公会堂	040-0054	北海道函館市元町11-13		41.765026	140.708909	"https://www.google.co.jp/maps/@41.76514,140.709282,3a,75y,243.47h,96.51t/data=!3m5!1e1!3m3!1sIqbtp8IUP3fxKYvPxLY--A!2e0!3e5?hl=ja"	17.0		120		 0138-22-1001	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行	http://www.zaidan-hakodate.com/koukaido/	http://www.zaidan-hakodate.com/koukaido/		ハコダテシ	ヒ	1	4	1	
0713	0008	完了	北海道	函館市	JR 函館駅	040-0063	北海道函館市若松町12-13		41.773696	140.726332	"https://www.google.co.jp/maps/@41.77365,140.726761,3a,75y,90t/data=!3m5!1e2!3m3!1s75548921!2e1!3e10?hl=ja"	15.0		0			ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行				ハコダテシ	ヒ	1	4	1	
0713	0009		北海道	函館市	割烹旅館 若松	042-0932	北海道函館市湯川町1-2-27		41.774354	140.785069	"https://www.google.co.jp/maps/@41.774801,140.784935,3a,75y,141.46h,92.92t/data=!3m4!1e1!3m2!1sbjgXrKEkd0v1MdIsDVZYCg!2e0?hl=ja"	16.0		120	2.5	0138-59-2171	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行	http://www.wakamatsuryokan.com/			ハコダテシ	ヒ	1	4	1	
0713	0010		北海道	函館市	湯元漁火館	042-0924	北海道函館市根崎町375-1		41.772522	140.796077	-	15.0		0		0138-57-1117	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行。入浴シーン。	http://isaribikan.hakodate.ne.jp/			ハコダテシ	ヒ	1	4	1	
0713	0011	完了	北海道	函館市	函館空港	042-0952	北海道函館市高松町511		41.77576	140.814407	"https://www.google.co.jp/maps/@41.77603,140.818285,3a,75y,147.18h,90.54t/data=!3m4!1e1!3m2!1sn7RLehEkijmY-OSzZ9103w!2e0?hl=ja"	13.0		120	3	0138-57-8881	ひだまりスケッチ×ハニカム	ヒダマリスケッチハニカム	第2話の修学旅行	http://www.airport.ne.jp/hakodate/			ハコダテシ	ヒ	1	4	1	
