作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0717	0001	完了	東京都	世田谷区	ザ・スズナリ	155-0031	東京都世田谷区北沢1-45-15		35.662428	139.670336	"https://www.google.co.jp/maps/@35.6624219,139.6701422,3a,44y,47.1h,104.28t/data=!3m6!1e1!3m4!1smQ_3-Tc67MD2l7BTQlLb9A!2e0!7i13312!8i6656"						ひなこのーと	ヒナコノート	第12話で桜木ひなこたちひととせ荘一行が芝居を観に訪れていた劇場。偶然同じ公演を観に来ていた中島ゆあ、黒柳ルリ子と遭遇していました。作中では劇場名が「ザ・スズラン」になっていました。				セタガヤク	ヒ	13	14	2	
0717	0002	完了	東京都	世田谷区	「劇」小劇場	155-0031	東京都世田谷区北沢2-6-6		35.661612	139.669079	"https://www.google.co.jp/maps/@35.6616581,139.6690105,3a,67.6y,101.22h,87.33t/data=!3m7!1e1!3m5!1s1fsxmZkDv_Po-ZP2mdunOQ!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D1fsxmZkDv_Po-ZP2mdunOQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D194.30093%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ひなこのーと	ヒナコノート	第12話で、桜木ひなこたちひととせ荘一行が芝居を観にザ・スズナリ（作中では「スズナリ」）に向かうシーンの挿入カットで描かれていた劇場その4。				セタガヤク	ヒ	13	14	2	
0717	0003	完了	東京都	世田谷区	北沢タウンホール 前	155-0031	東京都世田谷区北沢2-8-18		35.661967	139.669901	"https://www.google.co.jp/maps/@35.6619962,139.6694796,3a,58.3y,94.36h,98.94t/data=!3m6!1e1!3m4!1saSwvB2UyGZjLxAWHdrnt8g!2e0!7i13312!8i6656"					03-5478-8006	ひなこのーと	ヒナコノート	第12話でザ・スズナリ（作中では「ザ・スズラン」）での観劇を終えたひなこたちひととせ荘一行と、劇場で遭遇した中島ゆあ、黒柳ルリ子たちが話をしていた場所。	https://kitazawatownhall.jp/			セタガヤク	ヒ	13	14	2	
0717	0004	完了	東京都	世田谷区	旧・東北沢6号踏切	155-0031	東京都世田谷区北沢2-9		35.662020	139.668209	"https://www.google.co.jp/maps/@35.6621647,139.6681259,3a,58.7y,169.64h,103.16t/data=!3m6!1e1!3m4!1sxSy4ARvxTZVfOSIBAjtMEA!2e0!7i13312!8i6656"						ひなこのーと	ヒナコノート	第12話で、ザ・スズナリ（作中では「ザ・スズラン」）に向かう桜木ひなこ一行が歩いていた場所。				セタガヤク	ヒ	13	14	2	
0717	0005	完了	東京都	世田谷区	Geki地下リバティ	155-0031	東京都世田谷区北沢2-11-3	イサミヤビル4F	35.661151	139.668288	"https://www.google.co.jp/maps/@35.6610744,139.6682352,3a,17.8y,338.25h,104.06t/data=!3m6!1e1!3m4!1s6Zi6B_9Hai7vAw_fLX64IA!2e0!7i13312!8i6656"					03-3413-8420	ひなこのーと	ヒナコノート	第12話で、桜木ひなこたちひととせ荘一行が芝居を観にザ・スズナリ（作中では「ザ・スズラン」）に向かうシーンの挿入カットで描かれていた劇場その1。	http://www.liberty-entertain.com/			セタガヤク	ヒ	13	14	2	
0717	0006	完了	東京都	世田谷区	本多劇場	155-0031	東京都世田谷区北沢2-10-15		35.661478	139.668777	"https://www.google.co.jp/maps/@35.6614126,139.6689375,3a,30.8y,291.56h,100.11t/data=!3m7!1e1!3m5!1s9GmHzlyDdyMUSB7e1mTABw!2e0!3e11!7i13312!8i6656"						ひなこのーと	ヒナコノート	第12話で、桜木ひなこたちひととせ荘一行が芝居を観にザ・スズナリ（作中では「ザ・スズラン」）に向かうシーンの挿入カットで描かれていた劇場その3。	http://www.honda-geki.com/honda.html			セタガヤク	ヒ	13	14	2	
0717	0007	完了	東京都	世田谷区	小劇場 楽園	155-0031	東京都世田谷区北沢2-10-18	藤和下北沢ハイタウンB棟地下1F	35.661620	139.668863	"https://www.google.co.jp/maps/@35.6615628,139.668979,3a,22.7y,327.96h,91.35t/data=!3m6!1e1!3m4!1swDlfGKdASnt51K0LJ6wlPA!2e0!7i13312!8i6656"						ひなこのーと	ヒナコノート	第12話で、桜木ひなこたちひととせ荘一行が芝居を観にザ・スズナリ（作中では「ザ・スズラン」）に向かうシーンの挿入カットで描かれていた劇場その2。	http://www.honda-geki.com/rakuen.html			セタガヤク	ヒ	13	14	2	
0717	0008	完了	東京都	世田谷区	小田急 下北沢駅	155-0031	東京都世田谷区北沢2-20-1		35.661528	139.667361	-						ひなこのーと	ヒナコノート	第12話で、ザ・スズナリ（作中では「スズナリ」）に向かう桜木ひなこ一行が下車していた駅で、長らく工事中の迷路のような構内を通っているうちに、ひなこがはぐれてしまっていました。				セタガヤク	ヒ	13	14	2	
0717	0009	完了	東京都	世田谷区	小田急 下北沢駅 北口	155-0031	東京都世田谷区北沢2-20-1		35.661675	139.667079	-						ひなこのーと	ヒナコノート	第12話で、ザ・スズナリ（作中では「スズナリ」）に向かう桜木ひなこ一行が下車していた駅で、長らく工事中の迷路のような構内を通っているうちに一行からはぐれてしまったひなこが出ていた出入口。				セタガヤク	ヒ	13	14	2	
0717	0010	完了	東京都	世田谷区	小田急 下北沢駅 南口	155-0031	東京都世田谷区北沢2-20-1		35.661327	139.667561	"https://www.google.co.jp/maps/@35.6613631,139.6676787,3a,48y,231.07h,93.2t/data=!3m6!1e1!3m4!1sQ9fY8iDOg7S8YZzlfl7Umg!2e0!7i13312!8i6656"						ひなこのーと	ヒナコノート	第12話で、ザ・スズナリ（作中では「スズナリ」）に向かう桜木ひなこ一行が下車していた駅で、長らく工事中の迷路のような構内を通っているうちにはぐれてしまったひなこを除く、萩野千秋、柊真雪、夏川くいなの3人が出た改札。				セタガヤク	ヒ	13	14	2	
