作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1090	0001	完了	東京都	中野区	中野サンプラザ	164-0001	東京都中野区中野4-1-1		35.707636	139.664682	"https://www.google.co.jp/maps/@35.7063182,139.6654113,2a,44y,339.26h,98.7t/data=!3m7!1e1!3m5!1sYFKjaR7d8bhY1Npmt8uWHQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DYFKjaR7d8bhY1Npmt8uWHQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D195.71559%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、中野駅北口ペデストリアンデッキのフェンスの上に座るえにし越しに描かれていたビル。<br />OPその1				ナカノク	ヒ	13	19	2		
1090	0002	完了	東京都	中野区	新井薬師梅照院　門	165-0026	東京都中野区新井5-3-5		35.713787	139.667704	"https://www.google.co.jp/maps/@35.7137327,139.6677287,2a,47y,328.03h,92.08t/data=!3m6!1e1!3m4!1sZoya1mOQFJj9ZytPh3U9aA!2e0!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、紐手ときよが立っていた場所。<br />OPその2				ナカノク	ヒ	13	19	2		
1090	0003	完了	東京都	中野区	中野四季の森公園　案内板前	164-0001	東京都中野区中野4-13		35.708107	139.660383	"https://www.google.co.jp/maps/@35.708137,139.6603914,2a,26y,128.14h,86.88t/data=!3m6!1e1!3m4!1sJEMeGFkP8c3YuYH6S_YflA!2e0!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、紐手きなみが案内板を見ていた公園。<br />OPその3				ナカノク	ヒ	13	19	2		
1090	0004	完了	東京都	中野区	中野ブロードウェイ　入口	164-0001	東京都中野区中野5-52-15		35.708519	139.665648	"https://www.google.co.jp/maps/@35.7085094,139.6655801,3a,60y,56.47h,77.91t/data=!3m7!1e1!3m5!1shaVk3ZgLhyJ0SwjhmtmJ0g!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DhaVk3ZgLhyJ0SwjhmtmJ0g%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D96.041374%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、紐手こころが立っていた場所。<br />OPその4				ナカノク	ヒ	13	19	2		
1090	0005	完了	東京都	中野区	レンガ坂　ゲート	164-0001	東京都中野区中野3-35		35.705073	139.664334	"https://www.google.co.jp/maps/@35.7051014,139.6643048,3a,54y,122.95h,84.64t/data=!3m7!1e1!3m5!1sM82q35SnG3pZ-NnfjFwOqA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DM82q35SnG3pZ-NnfjFwOqA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D72.045296%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						ひもてはうす	ヒモテハウス	オープニングで、本郷たえが立っていた場所。<br />OPその5				ナカノク	ヒ	13	19	2		
1090	0006	完了	東京都	中野区	Bar スミス 前	164-0001	東京都中野区中野5-49-2		35.709535	139.666821	"https://www.google.co.jp/maps/@35.7094515,139.6667902,3a,26y,9.17h,90.63t/data=!3m6!1e1!3m4!1slTdyMQ9ABtF4NdaubNpHOA!2e0!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、新井みなもが立っていた場所。<br />OPその6				ナカノク	ヒ	13	19	2		
1090	0007	完了	東京都	中野区	新井薬師梅照院　常香炉	165-0026	東京都中野区新井5-3-5		35.713983	139.667578	"https://www.google.co.jp/maps/@35.7139374,139.6675391,2a,42y,356.81h,81.37t/data=!3m7!1e1!3m5!1sUl2cRLiwJATiDs2LefSuDA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DUl2cRLiwJATiDs2LefSuDA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D55.675865%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、紐手ときよが煙を見ていた常香炉。<br />OPその7				ナカノク	ヒ	13	19	2		
1090	0008	完了	東京都	中野区	中野四季の森公園　ウッドデッキ	164-0001	東京都中野区中野4-13		35.707584	139.661597	"https://www.google.co.jp/maps/@35.7074083,139.6617536,2a,15y,316.59h,86.8t/data=!3m6!1e1!3m4!1sita_iWuFgcTpwjo4U48T7A!2e0!7i13312!8i6656"						ひもてはうす	ヒモテハウス	オープニングで、紐手きなみがベンチに座っていた場所。<br />OPその8				ナカノク	ヒ	13	19	2		
1090	0009	完了	東京都	中野区	中野ブロードウェイ　1階エスカレーター	164-0001	東京都中野区中野5-52-15		35.708903	139.665628	-						ひもてはうす	ヒモテハウス	オープニングで、紐手こころが立っていた場所。<br />OPその9				ナカノク	ヒ	13	19	2		
1090	0010	完了	東京都	中野区	レンガ坂	164-0001	東京都中野区中野3-36		35.705085	139.665260	-						ひもてはうす	ヒモテハウス	オープニングで、本郷たえが立っていた場所。<br />OPその10				ナカノク	ヒ	13	19	2		
