作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1240	0001	完了	山梨県	南都留郡	山梨県立富士山世界遺産センター	401-0301	山梨県南都留郡富士河口湖町船津6663-1		35.485868	138.770754	"https://www.google.co.jp/maps/@35.4854967,138.7710798,2a,18y,287.07h,89.31t/data=!3m6!1e1!3m4!1sBkRHBryBLYpihpogRP2MDw!2e0!7i13312!8i6656"						へやキャン△	ヘヤキャン	第2話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」で訪れた博物館。<br />南館の冨嶽三六〇などが描かれていました。<br />梨っ子スタンプラリー①「ふじさんセンター」	http://www.fujisan-whc.jp/			ミナミツルグン	ヘ	19	17	2	
1240	0002	完了	山梨県	南都留郡	富士山LAVACAFE	401-0301	山梨県南都留郡富士河口湖町船津6663-1	富士山世界遺産センター北館2F	35.485777	138.770845	-						へやキャン△	ヘヤキャン	第2話で、各務原なでしこたち野クル（野外活動サークル）が訪れた富士山世界遺産センターで食事をしていた施設内の喫茶店。<br />なでしこが「青い富士山カレー」を食べていました。<br />※2019年3月24日閉店済。				ミナミツルグン	ヘ	19	17	2	閉店
1240	0003	完了	山梨県	南都留郡	河口湖大橋	401-0302	山梨県南都留郡富士河口湖町小立		35.510342	138.763280	"https://www.google.co.jp/maps/@35.5104942,138.7634568,3a,36.5y,194.82h,84.97t/data=!3m6!1e1!3m4!1sKCnvKdsCiGiNXM8iWG6P9Q!2e0!7i16384!8i8192"						へやキャン△	ヘヤキャン	第2話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」のポイントに向かうため、レンタサイクルに乗って渡っていた橋。背後に富士山が描かれていました。				ミナミツルグン	ヘ	19	17	2	
1240	0004	完了	山梨県	南都留郡	河口湖大石公園駐車場	401-0305	山梨県南都留郡富士河口湖町大石		35.523448	138.745728	"https://www.google.co.jp/maps/@35.523329,138.7457256,3a,24.1y,355.59h,89.9t/data=!3m6!1e1!3m4!1s9dotoJrsyTylLIW14mFvew!2e0!7i13312!8i6656"						へやキャン△	ヘヤキャン	第3話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」で訪れた大石公園で、レンタサイクルを停めていた場所。				ミナミツルグン	ヘ	19	17	2	
1240	0005	完了	山梨県	南都留郡	富士山の集いモニュメント	401-0305	山梨県南都留郡富士河口湖町大石	大石公園	35.522956	138.745825	"https://www.google.co.jp/maps/@35.5230574,138.7456933,3a,15y,135h,89.33t/data=!3m6!1e1!3m4!1sgUpujzuugDDsxFMv30EOtw!2e0!7i13312!8i6656"						へやキャン△	ヘヤキャン	第3話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」で訪れた大石公園で、夫婦に頼まれて写真を撮ってあげていた場所。				ミナミツルグン	ヘ	19	17	2	
1240	0006	完了	山梨県	南都留郡	河口湖生活館	401-0305	山梨県南都留郡富士河口湖町大石2585		35.522640	138.745594	-						へやキャン△	ヘヤキャン	第3話で、各務原なでしこたち野クル（野外活動サークル）が訪れた店で、テラス席で休憩していました。<br />梨っ子スタンプラリー②				ミナミツルグン	ヘ	19	17	2	
1240	0007	完了	山梨県	南都留郡	河口湖富士山パノラマロープウェイ　富士見台駅	401-0303	山梨県南都留郡富士河口湖町浅川1163-1		35.503984	138.772093	-						へやキャン△	ヘヤキャン	第5話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」のポイントに向かうためにロープウェイに乗っていた場所。				ミナミツルグン	ヘ	19	17	2	
1240	0008	完了	山梨県	南都留郡	たぬき茶屋	401-0303	山梨県南都留郡富士河口湖町浅川1163		35.503644	138.777111	-						へやキャン△	ヘヤキャン	第5話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」でやって来た店。<br />一行が富士山を眺めていた屋上展望スペースの他、店の周囲のある「カチカチ山」をテーマにしたタヌキとウサギのオブジェなどが描かれていました。一行が食べていたのは、たぬき団子でした。<br />作中では店名が「たぬき喫茶」になっています。<br />梨っ子スタンプラリー③「たぬき喫茶」				ミナミツルグン	ヘ	19	17	2	
1240	0009	完了	山梨県	南都留郡	鳴沢氷穴バス停	401-0320	山梨県南都留郡鳴沢村鳴沢		35.477726	138.664264	-						へやキャン△	ヘヤキャン	第8話で、「梨っ子スタンプラリー」のポイントである鳴沢氷穴に向かう各務原なでしこたち野クル（野外活動サークル）が、鳴沢・精進湖・本栖湖周遊バスに乗ってやって来たバス停。				ミナミツルグン	ヘ	19	17	2	
1240	0010	完了	山梨県	南都留郡	鳴沢氷穴	401-0320	山梨県南都留郡鳴沢村8533		35.474895	138.666930	"https://www.google.co.jp/maps/@35.4750421,138.6668909,3a,46y,110.9h,91.27t/data=!3m6!1e1!3m4!1sq5FMGWnxmwX6GR5oGRs9bw!2e0!7i13312!8i6656"						へやキャン△	ヘヤキャン	第8話で、各務原なでしこたち野クル（野外活動サークル）が「梨っ子スタンプラリー」で訪れた洞窟。<br />洞窟内の他、志摩リンがスタンプラリーの紙をなでしこに渡していた洞窟入口や、バイクを停めていた駐車場などが描かれていました。<br />梨っ子スタンプラリー⑧				ミナミツルグン	ヘ	19	17	2	
