作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1221	0015	完了	東京都	港区	レインボーブリッジ	108-0022	東京都港区海岸3-33		35.637631	139.759817	"https://www.google.co.jp/maps/@35.6388445,139.7580619,3a,26y,120.03h,98.21t/data=!3m6!1e1!3m4!1sj4eJzPacpVcXsyjEKEfc1A!2e0!7i16384!8i8192"						へんたつ（テレビ版）	ヘンタツ	第10話のタイトルバックに描かれていた橋。作中では廃墟設定で蔦に覆われた姿で描かれていました。				ミナトク	ヘ	13	22	2	
1221	0016	完了	東京都	江東区	東京ビッグサイト　南展示棟	135-0063	東京都江東区有明3-11-1		35.626613	139.795247	-						へんたつ（テレビ版）	ヘンタツ	第10話で、鬼が猫にカメレオンの話をしていた場所。窓の外に見える有明4丁目の倉庫群のシルエットも一致します。				コウトウク	ヘ	13	8	2	
1221	0001	完了	東京都	渋谷区	バスタ新宿　歩行者デッキ	151-0051	東京都渋谷区千駄ケ谷5-24	バスタ新宿3F	35.688061	139.701103	-						へんたつ（テレビ版）	ヘンタツ	第7話で、鬼と猫がオープニングについて話していた場所。				シブヤク	ヘ	13	10	2	
1221	0002	完了	東京都	渋谷区	Suicaのペンギン像	151-0051	東京都渋谷区千駄ケ谷5-24	Suicaのペンギン広場	35.687895	139.701055	"https://www.google.co.jp/maps/@35.6880349,139.7011639,2a,15y,177.77h,87.54t/data=!3m6!1e1!3m4!1s_uXrFySKSbxZ7uhhstvu7A!2e0!7i13312!8i6656"						へんたつ（テレビ版）	ヘンタツ	第7話で披露されたテレビアニメ版のオープンニングのカットで描かれていた金色の像。				シブヤク	ヘ	13	10	2	
1221	0014	完了	東京都	新宿区	地下トンネル工事現場入口前の交差点	160-0022	東京都新宿区新宿3-1		35.689489	139.706349	"https://www.google.co.jp/maps/@35.689626,139.706478,3a,38y,189.51h,93.27t/data=!3m6!1e1!3m4!1sYKQQJjtrxiZlEj4nGZ79Dg!2e0!7i16384!8i8192"						へんたつ（テレビ版）	ヘンタツ	第9話で、車にまで乗ってさらにネズミから逃げている鬼と猫が走っていた交差点。				シンジュクク	ヘ	13	11	2	
1221	0013	完了	東京都	新宿区	新宿駅南口周辺案内図	160-0022	東京都新宿区新宿3-38-2		35.689191	139.700533	-						へんたつ（テレビ版）	ヘンタツ	第8話で、レストランに現れたネズミにびびって駅前まで逃げてきた鬼と猫が、腰掛けて話をしていた場所。				シンジュクク	ヘ	13	11	2	
1221	0012	完了	東京都	新宿区	東京都庁第一庁舎	163-8001	東京都新宿区西新宿2-8-1		35.689503	139.691737	-						へんたつ（テレビ版）	ヘンタツ	第12話で、鬼と猫が巨大な敵と交戦しているシーンで描かれていたビル。				シンジュクク	ヘ	13	11	2	
1221	0003	完了	東京都	中野区	コーヒーロード	164-0001	東京都中野区中野2-25-3		35.704735	139.666126	-						へんたつ（テレビ版）	ヘンタツ	第3話で、鬼と猫がエジプト話に花を咲かせていた喫茶店。				ナカノク	ヘ	13	19	2	
1221	0004	完了	東京都	中野区	六曜舎	164-0001	東京都中野区中野3-34-23		35.705025	139.664973	-						へんたつ（テレビ版）	ヘンタツ	第4話で、同人誌即売会「コミティア」終了後の鬼（たつき）と猫（伊佐佳久）が、会場でのエピソードを話していた喫茶店。<br />第2話のラストと第3話のラストで店前のカットが描かれていました。				ナカノク	ヘ	13	19	2	
1221	0005	完了	東京都	中野区	四季の庭・水辺の庭	164-0001	東京都中野区中野3-34-28	中野マルイ	35.704235	139.665100	-						へんたつ（テレビ版）	ヘンタツ	第5話で、鬼と猫が、『へんたつ』の放送枠が『Fate/Grand Order -絶対魔獣戦線バビロニア-』と『マギアレコード 魔法少女まどか☆マギカ外伝』というビッグなアニメの間に挟まれている件について話していた場所。				ナカノク	ヘ	13	19	2	
1221	0006	完了	東京都	中野区	かこい（中野犬屋敷跡）	164-0001	東京都中野区中野4-8		35.706865	139.663797	"https://www.google.com/maps/@35.7067807,139.6639289,3a,15y,307.59h,85.17t/data=!3m6!1e1!3m4!1sZQaAwjJ3k07cu7VYmIbTWw!2e0!7i13312!8i6656"						へんたつ（テレビ版）	ヘンタツ	第7話で披露されたテレビアニメ版のオープンニングのカットで描かれていた場所。				ナカノク	ヘ	13	19	2	
1221	0007	完了	東京都	中野区	囲桃園跨線橋から望む線路	164-0001	東京都中野区中野4-14		35.705627	139.660803	-						へんたつ（テレビ版）	ヘンタツ	第5話のタイトルバックで、橋上から中野駅方向を見下ろした構図で線路が描かれていました。				ナカノク	ヘ	13	19	2	
