作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1215	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9		35.680530	139.765737	"https://www.google.co.jp/maps/@35.6803001,139.7650304,3a,23y,62.25h,111.27t/data=!3m6!1e1!3m4!1sZnWZci0WVy0mW2v_nQuL8Q!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第7話冒頭カットで丸の内駅舎が描かれており、北風ふぶきたち一行が大阪へ向かう新幹線に乗り込んでいました。				チヨダク	マ	13	17	2	
1215	0002	完了	東京都	渋谷区	渋谷スクランブルスクエア	150-0002	東京都渋谷区渋谷2-24-12		35.658406	139.702240	"https://www.google.co.jp/maps/@35.6595955,139.700311,3a,44y,124.54h,119.62t/data=!3m6!1e1!3m4!1sevs9XnekiuJUy7Ze4thQzw!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第3話の、北風ふぶきたち一行がヨシモト∞ホールでのお笑いライブを観に行った渋谷の冒頭カットで描かれていたビル。				シブヤク	マ	13	10	2	
1215	0003	完了	東京都	渋谷区	道玄坂二丁目東交差点	150-0042	東京都渋谷区宇田川町27		35.660064	139.698369	"https://www.google.co.jp/maps/@35.6600482,139.6982559,3a,37.5y,116.76h,110.02t/data=!3m6!1e1!3m4!1sUWpfMeQa6044n3qLdN5dMQ!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第3話で、ヨシモト∞ホールへお笑いライブを観に行く北風ふぶきたち一行が歩いていた場所。				シブヤク	マ	13	10	2	
1215	0004	完了	東京都	渋谷区	ヨシモト∞ホール	150-0042	東京都渋谷区宇田川町31-2	渋谷ビーム	35.661352	139.697316	"https://www.google.co.jp/maps/@35.6612926,139.6970308,3a,47y,73.64h,109.15t/data=!3m6!1e1!3m4!1s0Q4Q9WrlBitKPXw4u-LreA!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第3話で、北風ふぶきたち一行が、富田純基からチケットを買ったお笑いライブを観に行った劇場。<br />第11～12話では、「お笑い新人王決定戦」予選会場となっており、「とこなつ」（北風ふぶき、凩まふゆ）と「とこなつ」（北風ふぶき、凩まふゆ）と「R凸」（新谷りん、朝生祇なゆた）、「マネー&カネー」（凩まなつ、金成かなえ）、「ふりいくっ！」（富田純基、うぶのハツナ）が出演していました。<br />オープニングで描かれていた「とこなつ」のライブもこのステージでした。				シブヤク	マ	13	10	2	
1215	0005	完了	東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂2-1		35.659059	139.700621	-						まえせつ！	マエセツ	第3話の、北風ふぶきたち一行がヨシモト∞ホールでのお笑いライブを観に行った渋谷の冒頭カットで描かれていた銅像。			∞	シブヤク	マ	13	10	2	
1215	0006	完了	東京都	新宿区	新宿永谷ホール（新宿Fu）	160-0021	東京都新宿区歌舞伎町2-45-5	新宿永谷ビル1F	35.696761	139.700442	"https://www.google.co.jp/maps/@35.6967144,139.7003081,3a,52y,56.01h,94.46t/data=!3m6!1e1!3m4!1sbJuOA0qHnNvnD6kg7VvSvA!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第9話で、「とこなつ」（北風ふぶき、凩まふゆ）と「とこなつ」（北風ふぶき、凩まふゆ）と「R凸」（新谷りん、朝生祇なゆた）がお笑いライブに出演していたホール。<br />「とこなつ」のボケとツッコミが噛み合っていない様が露呈し、2人の悩みのきっかけとなっていました。<br />作中では名前が「新宿Pu」になっていました。				シンジュクク	マ	13	11	2	
1215	0007	完了	埼玉県	さいたま市	大宮ほこすぎ橋	330-0081	埼玉県さいたま市中央区新都心		35.896444	139.631422	-						まえせつ！	マエセツ	第9話で、新谷りんの発案によるコンビシャッフルでコンビを組むことになった北風ふぶきと朝生祇なゆたが、ネタ合わせをしていた場所。<br />ふぶきがなゆたから、ツッコミの方が向いていると指摘されていました。				サイタマシ	マ	11	1	2	
1215	0008	完了	埼玉県	さいたま市	珈琲館伯爵邸	330-0802	埼玉県さいたま市大宮区宮町1-46		35.908499	139.625458	"https://www.google.co.jp/maps/@35.9084477,139.6255318,3a,27y,327.94h,89.99t/data=!3m6!1e1!3m4!1s_Eg-RdxaByq65TKQoceVdA!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第1話をはじめ各話で、「とこなつ」（北風ふぶき、凩まふゆ）と「R凸」（新谷りん、朝生祇なゆた）がお茶している様子が描かれていた、4人の行きつけの喫茶店。<br />第11話で、ふぶきたちが食べていた「お嬢様セット」（大宮ナポリタン＋唐揚げ＋フレンチトースト＋スープ＋サラダ）も、「お笑い新人王決定戦」予選突破のお祝いに御馳走になっていた「パラダイス沖縄」も実在するメニューです。<br />作中では店名が「男爵邸」になっていました。				サイタマシ	マ	11	1	2	
1215	0009	完了	埼玉県	さいたま市	ドン・キホーテ 大宮東口店	330-0802	埼玉県さいたま市大宮区宮町1-60		35.907655	139.625155	"https://www.google.co.jp/maps/@35.9075762,139.6250582,3a,70y,38.66h,119.67t/data=!3m6!1e1!3m4!1sYpPtcvV4n5WnS6M5Ni6XWQ!2e0!7i16384!8i8192"						まえせつ！	マエセツ	第3話で、「男爵亭」帰りにネタ集めをしようと新谷りんと一緒に街に来た朝生祇なゆたが、カメの餌を買っていた店。<br />第6話の「つんどら」（凩まなつ、金成かなえ）が「ハイスクールマンザイ」へ向けて活動するシーンの挿入カットでも同じ構図のカットが描かれていました。<br />作中では、店名が「ドンキフォルテ」になっていました。				サイタマシ	マ	11	1	2	
1215	0010	完了	埼玉県	さいたま市	大宮ラクーンよしもと劇場	330-0802	埼玉県さいたま市大宮区宮町1-60	大宮RAKUUN 6F	35.907537	139.625337	-						まえせつ！	マエセツ	第10話で、ステージ前の楽屋にいた「JKクール」（草葉える、藁猪野あらし）が、マネージャーの山田から「お笑い新人王決定戦」の審査員の仕事が入ったことを聞かされていた劇場。<br />第11話の回想シーンでは、グッズ売り場で北風ふぶきと凩まふゆが、新谷りんと朝生祇なゆたに出会ったエピソードが描かれていました。				サイタマシ	マ	11	1	2	
1215	0011	完了	埼玉県	さいたま市	大宮第二公園	330-0805	埼玉県さいたま市大宮区寿能町2		35.920369	139.643604	"https://www.google.co.jp/maps/@35.9207939,139.6435112,3a,18y,170.98h,90.94t/data=!3m6!1e1!3m4!1snCWmruuKTBhd10s8k3nRNg!2e0!7i13312!8i6656"						まえせつ！	マエセツ	第1話をはじめ各話で、「とこなつ」（北風ふぶき、凩まふゆ）と「R凸」（新谷りん、朝生祇なゆた）がネタ合わせをしていた場所。<br />第2話でも、この場所で「R凸とこなつお笑いライブ!! IN 男爵亭」に向けてのネタ合わせをしているカットが描かれていました。<br />第6話では、学校帰りの「つんどら」（凩まなつ、金成かなえ）がネタ合わせをしていました。<br />同話の終盤で、「ハイスクールマンザイ」で落選したショックで溝が出来てしまっていた2人が、コンビとしてやっていく決意を新たにしていたのもこの場所でした。<br />第9話では、互いのボケとツッコミが噛み合わずに悩んでいたふぶきとまふゆが、りんとなゆたのおかげで互いの役割を取り変えての再スタートとなり、お笑いへ向ける決意を新たにしていました。				サイタマシ	マ	11	1	2	
