作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1190	0001	完了	青森県	東津軽郡	龍飛崎展望台	030-1711	青森県東津軽郡外ヶ浜町三厩龍浜		41.258942	140.342456	-						ましろのおと	マシロノオト	第6話の合宿で、澤村雪たち三味線部一行が、津軽海峡の景色を眺めながら、「鈴音」の店主・大俵ヒロシから津軽三味線の歴史講釈を聞いていた場所。				ヒガシツガルグン	マ	2	11	1		4
1190	0002	完了	青森県	東津軽郡	吉田松陰先生詩碑	030-1711	青森県東津軽郡外ヶ浜町三厩龍浜		41.256640	140.342251	-						ましろのおと	マシロノオト	第6話の合宿で、澤村雪たち三味線部一行が、津軽海峡の景色を眺めながら、「鈴音」の店主・大俵ヒロシから津軽三味線の歴史講釈を聞いていたシーンの冒頭カットで描かれていたモニュメント。				ヒガシツガルグン	マ	2	11	1		0
1190	0003	完了	青森県	東津軽郡	水準点の蓋	030-1711	青森県東津軽郡外ヶ浜町三厩龍浜		41.258916	140.342512	-						ましろのおと	マシロノオト	第6話の合宿で、一人スランプ気味で落ち込む前田朱利が、澤村雪の三味線の音を聞いて、思わず音の方へ走り出すシーンで足元に描かれていたマンホール蓋のモデル。<br />実際には路上に設置されたマンホール蓋ではなく、展望台にある水準点の蓋です。				ヒガシツガルグン	マ	2	11	1		0
1190	0004	完了	青森県	東津軽郡	義経寺から望む防波堤	030-1732	青森県東津軽郡外ヶ浜町三厩家ノ上		41.199207	140.429738	-						ましろのおと	マシロノオト	第6話の澤村雪たち三味線部一行が合宿した津軽シーンの冒頭カットで、参道の階段あたりから望む構図で、厩石公園越しに三厩漁港の防波堤が描かれていました。				ヒガシツガルグン	マ	2	11	1		0
1190	0005	完了	青森県	弘前市	弘前市民会館	036-8356	青森県弘前市下白銀町1-6		40.604903	140.462227	"https://www.google.co.jp/maps/@40.6043955,140.4620295,3a,34y,19.73h,94.63t/data=!3m6!1e1!3m4!1sitl18N_NVE5-ywx2JZ6w9g!2e0!7i13312!8i6656"						ましろのおと	マシロノオト	第2話の、東京で下宿をはじめた澤村雪を訪ねた澤村若菜が、東京へ来る前に出場したという「第39回津軽三味線全国大会」の会場となっていた施設。<br />大会直前に田沼舞に雪のことを聞かれた若菜が、雪が東京にいることを教えていました。				ヒロサキシ	マ	2	2	1		2
1190	0006	完了	東京都	台東区	浅草寺　雷門	111-0032	東京都台東区浅草2-3-1		35.711135	139.796373	"https://www.google.co.jp/maps/@35.7108002,139.7963485,3a,24y,3.06h,95.48t/data=!3m6!1e1!3m4!1syqlKGVjiOpRxE76C1FR-RA!2e0!7i16384!8i8192"						ましろのおと	マシロノオト	第7話の「松吾郎杯」の会場である浅草公会堂シーンの冒頭カットで描かれていた門。				タイトウク	マ	13	15	2		0
1190	0007	完了	東京都	台東区	浅草公会堂	111-0032	東京都台東区浅草1-38-6		35.712570	139.795181	"https://www.google.co.jp/maps/@35.7122617,139.7948081,3a,55y,47.89h,110.44t/data=!3m6!1e1!3m4!1sovEJYeaKixzXlG3eLQiUag!2e0!7i16384!8i8192"						ましろのおと	マシロノオト	第7～12話で、澤村雪たち三味線部が出場した津軽三味線甲子園「松吾郎杯」の会場。<br />第7～9話では団体戦、第10～12話では個人戦が行われていました。				タイトウク	マ	13	15	2		5
1190	0008	完了	東京都	荒川区	夕やけだんだん	116-0013	東京都荒川区西日暮里3-13		35.727657	139.767053	"https://www.google.co.jp/maps/@35.7276602,139.7669091,3a,29y,93.61h,91.21t/data=!3m6!1e1!3m4!1syuSgxvao1u9u67mMlSdoAw!2e0!7i16384!8i8192"						ましろのおと	マシロノオト	第2話で、澤村雪が訪ねてきた澤村若菜と一緒に上っていた階段。				アラカワク	マ	13	2	2		3
1190	0009	完了	東京都	荒川区	谷中銀座 前	116-0013	東京都荒川区西日暮里3-13		35.727669	139.766819	"https://www.google.co.jp/maps/@35.7276449,139.7672222,3a,38y,271.23h,77.91t/data=!3m6!1e1!3m4!1sxUc7mnbvRGdeb90Q2Fr6jg!2e0!7i13312!8i6656"						ましろのおと	マシロノオト	第2話で、澤村雪が訪ねてきた澤村若菜と一緒に歩いていた場所。<br />作中では通りの名前が「あやめ通り」になっています。				アラカワク	マ	13	2	2		3
1190	0010	完了	東京都	荒川区	すずむら	116-0013	東京都荒川区西日暮里3-15-3		35.727744	139.766184	"https://www.google.co.jp/maps/@35.7276884,139.7660511,3a,70y,72.6h,91t/data=!3m6!1e1!3m4!1sJAvlz-Rj91PoDJVt935aEA!2e0!7i13312!8i6656"						ましろのおと	マシロノオト	澤村雪が下宿している建物の立地モデル。<br />作中では1階が定食屋「たぬきち食堂」になっているアパートに描き変えられていますが、隣接する建物は忠実に描かれています。				アラカワク	マ	13	2	2		5
1190	0011	完了	東京都	荒川区	三味線かとう	116-0012	東京都荒川区東尾久6-26-4		35.746855	139.772432	"https://www.google.co.jp/maps/@35.7467448,139.7724198,3a,36y,9.06h,110.34t/data=!3m6!1e1!3m4!1sj3_cQxTGhwPRpWOaMrVVkA!2e0!7i16384!8i8192"						ましろのおと	マシロノオト	第6話で、澤村雪たち三味線部一行が訪れた和楽器屋。店主・大俵ヒロシの発案で、三味線部が夏休みに津軽で合宿をすることになっていました。<br />第3話で学校に残されていた神木清流（緒方洸輔）の三味線を修理した縁で、三味線部御用達になったとのこと。<br />作中では店名が「三味線 鈴音」になっていました。	http://www.shamisen-katoh.com/			アラカワク	マ	13	2	2		4
