作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0836	0001	完了	東京都	千代田区	JR 秋葉原駅 電気街口（南）付近	101-0021	東京都千代田区外神田1-17-6		35.698169	139.771921	"https://www.google.co.jp/maps/@35.6981711,139.7719077,3a,36.9y,272.27h,104.81t/data=!3m6!1e1!3m4!1su9PUzVsAfwZVCzakj-bsEg!2e0!7i13312!8i6656?hl=ja"	17		120	1.8		まんがーる！	マンガール	第10話の佐々山はなたち「コミックアース・スター」編集部一行が、秋葉原の書店への挨拶回りに来た話の冒頭カットで、駅前辺りからオノデン方向（西側）を望む構図でビル群が描かれていました。				チヨダク	マ	13	17	2	
0836	0002	完了	東京都	江東区	東京ビッグサイト（東京国際展示場）	135-0063	東京都江東区有明3-11-1		35.629204	139.794756	"https://www.google.co.jp/maps/@35.632222,139.792116,3a,15y,43.01h,99.76t/data=!3m5!1e1!3m3!1smR67kGqZ2xMAAAAGOsfUhQ!2e0!3e11"	15		120	4		まんがーる！	マンガール	第8話で、佐々山はなたち「コミックアース・スター」編集部が、ブースを出店した「コミスケ（コミックス-パーマーケット）」の会場。				コウトウク	マ	13	8	2	
0836	0003	完了	東京都	渋谷区	恵比寿駅前	150-0022	東京都渋谷区恵比寿南1-5-5		35.647205	139.709284	"https://www.google.co.jp/maps/@35.6471864,139.7088719,3a,51.4y,89.45h,104.05t/data=!3m6!1e1!3m4!1sWbHLbFnlrfVfc9_2TBaIug!2e0!7i13312!8i6656!6m1!1e1"	18		120	1.6		まんがーる！	マンガール	第3話で、巻頭グラビアを飾るモデルと待ち合わせをしていた場所。JR恵比寿駅西口を出て、東京メトロ恵比寿駅1番出入口前辺りになります。				シブヤク	マ	13	10	2	
0836	0004	完了	東京都	渋谷区	渋谷ガーデンタワー	150-0036	東京都渋谷区南平台町16		35.653878	139.693802	"https://www.google.co.jp/maps/@35.6539366,139.6934507,3a,75y,95.81h,133.46t/data=!3m6!1e1!3m4!1sgb7HclRDdDPPvDh5NTNMyQ!2e0!7i13312!8i6656!6m1!1e1?hl=ja"	17		120	1		まんがーる！	マンガール	作中度々登場する「コミック アース・スター編集部：があるビル。実際に、「コミック アース・スター」を発行するアース・スター エンターテイメントが11階に会社を構えているビルになります。				シブヤク	マ	13	10	2	
0836	0005	完了	東京都	板橋区	凸版印刷所 板橋事業所	174-0056	東京都板橋区志村1-11-1		35.772805	139.697591	"https://www.google.co.jp/maps/@35.7727536,139.6977349,3a,23.3y,292.53h,91.7t/data=!3m6!1e1!3m4!1sNlkBASFlqCAUOK_vpA149Q!2e0!7i13312!8i6656"					03-3968-5971	まんがーる！	マンガール	第6話で、佐々山はな一行が、「コミック アース・スター」創刊号の校正作業のために出向いた印刷所。建物構造は大分アレンジされていますが、門はほぼ忠実に描かれていました。	http://www.toppan-b.co.jp/company/map/map_09.html			イタバシク	マ	13	3	2	
0836	0006	完了	東京都	練馬区	としまえん	176-0022	東京都練馬区向山3-25-1		35.744945	139.645046	"https://www.google.co.jp/maps/@35.7431583,139.6473511,3a,49.4y,319.62h,93.05t/data=!3m6!1e1!3m4!1slS1zbrfAsOYzi3-iiFjtDQ!2e0!7i13312!8i6656"						まんがーる！	マンガール	第3話で「コミック アース・スター」創刊号の巻頭グラビアの撮影に訪れた遊園地で、正面ゲートやオートスクーター、イーグル、カルーセルエルドラド（メリーゴーランド）などが描かれていました。				ネリマク	マ	13	20	2	
0836	0007	完了	京都府	京都市	寺田屋	612-8045	京都府京都市伏見区南浜町263		34.930286	135.759556	"https://www.google.co.jp/maps/@34.9301722,135.7595091,3a,75y,6.35h,91.13t/data=!3m6!1e1!3m4!1sn-jxec2tWanppCkcCq8CqQ!2e0!7i13312!8i6656"						まんがーる！	マンガール	第7話で、佐々山はなたち編集部一行とマンガ家の藤森しのぶが、マンガ「改造人間 坂本龍馬」の取材で訪れた龍馬ゆかりの場所（その1）。				キョウトシ	マ	26	10	5	
0836	0008	完了	兵庫県	神戸市	神戸海軍操練所跡碑	650-0041	兵庫県神戸市中央区新港町17		34.685651	135.193491	"https://www.google.co.jp/maps/@34.6857383,135.1932843,3a,19y,99.97h,91.05t/data=!3m6!1e1!3m4!1s0218Gv7qa4LjyGDClLelUA!2e0!7i13312!8i6656"						まんがーる！	マンガール	第7話で、佐々山はなたち編集部一行とマンガ家の藤森しのぶが、マンガ「改造人間 坂本龍馬」の取材で訪れた龍馬ゆかりの場所（その2）。				コウベシ	マ	28	1	5	
0836	0009	完了	広島県	福山市	鞆の浦 常夜燈	720-0201	広島県福山市鞆町鞆		34.382432	133.380802	"https://www.google.co.jp/maps/@34.3827202,133.3810054,3a,36.6y,206.91h,104.03t/data=!3m8!1e1!3m6!1s-M-xu7rN8QcI%2FVdLxwjLV9eI%2FAAAAAAAAAVU%2FtzxR_ZpZ68A!2e4!3e11!6s%2F%2Flh6.googleusercontent.com%2F-M-xu7rN8QcI%2FVdLxwjLV9eI%2FAAAAAAAAAVU%2FtzxR_ZpZ68A%2Fs203-k-no%2F!7i10240!8i5120"						まんがーる！	マンガール	第7話で、佐々山はなたち編集部一行とマンガ家の藤森しのぶが、マンガ「改造人間 坂本龍馬」の取材で訪れた龍馬ゆかりの場所（その3）。鞆の浦は、慶応3年（1867年）に、坂本龍馬の乗ったいろは丸と紀州藩船の明光丸との衝突突事件の際、坂本龍馬と海援隊士が宿泊した港で、事件に関連する遺物や写真などを展示するいろは丸展示館がこの常夜燈の前にあります。				フクヤマシ	マ	34	15	6	
0836	0010	完了	長崎県	長崎市	聖福寺	850-0053	長崎県長崎市玉園町3-77		32.753035	129.876913	"https://www.google.co.jp/maps/@32.753076,129.877084,3a,75y,90t/data=!3m8!1e2!3m6!1s86962332!2e1!3e10!6s%2F%2Flh6.googleusercontent.com%2Fproxy%2FUayBilNgR-1rke2EY9zrrld0LIJjEDrr80A_Qv2ru7-u5rtTjeTULOjpqeQypIs0jxK0IKAKLc-aeK_QV4Qyp4TVPof_Ioi2wA%3Dw203-h134!7i4814!8i3188"						まんがーる！	マンガール	第7話で、佐々山はなたち編集部一行とマンガ家の藤森しのぶが、マンガ「改造人間 坂本龍馬」の取材で訪れた龍馬ゆかりの場所（その5）で、大雄宝殿が描かれていました。慶応3年（1867年）、坂本龍馬の乗ったいろは丸が瀬戸内海で紀州藩船の明光丸と衝突して沈没した事件について、紀州藩と談判（交渉）が行われた寺で、紀州藩が賠償金8万3000両（後に7万両に減額）を支払うことで決着しました。				ナガサキシ	マ	42	1	8	
