作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0883	0001	完了	群馬県	利根郡	高原千葉村林間キャンプ場	379-1404	群馬県利根郡みなかみ町相俣2325		36.748878	138.893918	-	14.0				0278-66-0563	やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第8話で比企谷八幡たち「奉仕部」の合宿した施設。				トネグン	ヤ	10	14	2	
0883	0002	完了	群馬県	利根郡	高原千葉村（高原千葉村青少年自然の家）	379-1404	群馬県利根郡みなかみ町相俣2325		36.750286	138.892287	"https://www.google.co.jp/maps/@36.7492651,138.8911693,3a,15y,26.23h,89.3t/data=!3m6!1e1!3m4!1sqn8McplQgo_UQXJWC8OhSw!2e0!7i13312!8i6656"	14.0			5	0278-66-0563	やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第7話で比企谷八幡たち「奉仕部」の合宿した施設。	http://www.city.chiba.jp/shimin/shimin/somu/kogenchibamura/chibamuratop.html	http://www.city.chiba.jp/shimin/shimin/somu/kogenchibamura/chibamuratop.html		トネグン	ヤ	10	14	2	
0883	0004	完了	千葉県	千葉市	JR 千葉みなと駅	260-0024	千葉県千葉市中央区中央港1-1-1		35.60723	140.102168	"https://www.google.co.jp/maps/@35.6072011,140.1019584,3a,28y,79.36h,100.65t/data=!3m6!1e1!3m4!1s1rpvA9c5r0mtN4_NjyuENA!2e0!7i13312!8i6656"	14.0			2		やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第9話で比企谷八幡と由比ヶ浜結衣が下車した花火大会の会場の最寄駅。南口出入口や駅前ロータリーなどが描かれていました。				チバシ	ヤ	12	1	2	
0883	0015	完了	千葉県	千葉市	千葉ポートタワー	260-0024	千葉県千葉市中央区中央港1-10		35.600412	140.097853	-						やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第9話の花火大会で、比企谷八幡たちが眺めていた花火のカットで描かれていた塔。				チバシ	ヤ	12	1	2	
0883	0003	完了	千葉県	千葉市	千葉ポートパーク　展望の丘	260-0024	千葉県千葉市中央区中央港1-10		35.598185	140.099443	-	15.0					やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第9話の花火大会の会場。座標地点は、比企谷八幡と由比ヶ浜結衣、雪ノ下陽乃の3人が花火を見ていた休憩場です。				チバシ	ヤ	12	1	2	
0883	0005	完了	千葉県	千葉市	中央郵便局前交差点	260-0024	千葉県千葉市中央区中央港1-14-1		35.602609	140.101331	"https://www.google.co.jp/maps/@35.602536,140.1013015,3a,53.8y,59.67h,83.21t/data=!3m6!1e1!3m4!1smBt8B0KStaKx5yUm2BAJhw!2e0!7i13312!8i6656"	17.0					やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第9話で花火大会の会場に向かう比企谷八幡と由比ヶ浜結衣が信号待ちをしていた交差点。背景に葉中央郵便局が描かれていました。交差点を渡るカットでは、千葉ポートパーク側を望む構図で、千葉ポートタワーや千葉県立美術館県民アトリエ棟の建物などが描かれていました。				チバシ	ヤ	12	1	2	
0883	0006	完了	千葉県	千葉市	東横イン千葉みなと駅前 前	260-0024	千葉県千葉市中央区中央港1-23-1		35.606815	140.102253	"https://www.google.co.jp/maps/@35.606903,140.1022769,3a,43.8y,230.67h,83.5t/data=!3m6!1e1!3m4!1sIxaZLJRNXYa7kZnT8mqzBg!2e0!7i13312!8i6656"	17.0					やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第9話で花火大会の会場に向かう人々のカットで描かれていた場所。				チバシ	ヤ	12	1	2	
0883	0007	完了	千葉県	千葉市	JR 千葉駅	260-0031	千葉県千葉市中央区新千葉1-1-1		35.613056	140.113889	"https://www.google.co.jp/maps/@35.6123076,140.1150238,3a,47.9y,299.56h,113.42t/data=!3m6!1e1!3m4!1sDKh4eGEF5zGLSBas2ZP_wg!2e0!7i16384!8i8192"	15.0					やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第5話Bパート冒頭の街の光景のカットで描かれていた駅。				チバシ	ヤ	12	1	2	
0883	0008	完了	千葉県	千葉市	稲毛高等学校	261-0003	千葉県千葉市美浜区高浜3-1-1		35.620431	140.068409	"https://www.google.co.jp/maps/@35.6197924,140.0693158,3a,40y,307.18h,96.7t/data=!3m6!1e1!3m4!1sa1sGkSHHF8qCW0ykfGvF6A!2e0!7i13312!8i6656"	16.0				043-277-4400	やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	比企谷八幡たちの通う「千葉市立総武高等学校」のモデル。<br />エンディングでは、生徒通用門側の実写写真が使われていました。	http://www.inage-h.ed.jp/	http://www.inage-h.ed.jp/		チバシ	ヤ	12	1	2	
0883	0009	完了	千葉県	千葉市	稲毛高校前交差点	261-0003	千葉県千葉市美浜区高浜4-5		35.620361	140.069734	"https://www.google.co.jp/maps/@35.620352,140.0696747,3a,71.7y,60.72h,77.67t/data=!3m6!1e1!3m4!1siOlBbsfuE7gZfeD4C3TM0g!2e0!7i13312!8i6656"	17.0			2		やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル	第2話で比企谷八幡と材木座義輝が信号待ちをしていた交差点。材木座が様々なポーズや身振り手振りをしながら、わけのわからないセリフを吐いていました。				チバシ	ヤ	12	1	2	
