作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0884	0029	完了	東京都	江戸川区	葛西臨海公園　ダイヤと花の大観覧車	134-0086	東京都江戸川区臨海町6		35.643992	139.857069	"https://www.google.co.jp/maps/@35.6435932,139.8605249,3a,30y,277.6h,99.42t/data=!3m7!1e1!3m5!1s4i85AypGnHGfnqpqe_AlRA!2e0!3e5!7i13312!8i6656"	15					やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第13話で、比企谷八幡と雪ノ下雪乃と由比ヶ浜結衣の3人が乗っていた観覧車。<br />観覧車の手前にパークトレインの「なのはな号」や案内図板なども描かれていました。				エドガワク	ヤ	13	4	2	
0884	0030	完了	東京都	江戸川区	葛西臨海公園　展望レストハウス・クリスタルビュー	134-0086	東京都江戸川区臨海町6		35.640626	139.859399	"https://www.google.co.jp/maps/@35.6407717,139.8594786,3a,32y,206.96h,94.82t/data=!3m6!1e1!3m4!1suxhQHFoKqegw4jqNhvY8aQ!2e0!7i13312!8i6656"	17					やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第13話のラストシーンで、由比ヶ浜結衣が、比企谷八幡と雪ノ下雪乃に、3人の関係が変わる可能性もある決意を打ち明けていた場所。				エドガワク	ヤ	13	4	2	
0884	0031	完了	東京都	江戸川区	葛西臨海水族園	134-8587	東京都江戸川区臨海町6-2-3		35.639977	139.862179	"https://www.google.co.jp/maps/@35.6398552,139.8623296,2a,27y,57.27h,84.53t/data=!3m6!1e1!3m4!1szNDWy-0Df5qki8uDhW91JA!2e0!7i13312!8i6656"	15			4		やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第13話で、比企谷八幡と雪ノ下雪乃と由比ヶ浜結衣の3人がデートした場所。<br />「マグロとせいくらべ」や、2Fのサメ水槽、ナーサリーフィッシュを見ていた「世界の海」、イヌザメを見ていた「タッチン フィーリン」、「ペンギンの生態」、「海藻の林」、クラゲを見ていた「深海の生物」、3Fエントランスホールの出入口などが忠実に描かれていました。<br />夫婦ペンギンのパネルも実在します。	http://www.tokyo-zoo.net/zoo/kasai/			エドガワク	ヤ	13	4	2	
0884	0032	完了	東京都	江戸川区	JR 葛西臨海公園駅	134-0086	東京都江戸川区臨海町6-3-3		35.644263	139.861695	"https://www.google.co.jp/maps/@35.6441848,139.8614898,2a,40y,68.69h,119.6t,0.12r/data=!3m6!1e1!3m4!1sARJwvaLOzlrNYSGQ9huEwA!2e0!7i16384!8i8192"	14					やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第13話で、比企谷八幡と雪ノ下雪乃と由比ヶ浜結衣の3人デートで利用していた駅。駅舎や、出入口周辺のﾏｸﾄﾞﾅﾙどや売店、高架下の駐車場などが描かれていました。				エドガワク	ヤ	13	4	2	
0884	0033	完了	神奈川県	横浜市	臨港パーク	220-8522	神奈川県横浜市西区みなとみらい1-1-1		35.460916	139.637142	"https://www.google.co.jp/maps/@35.4609142,139.6372392,3a,90y,231.09h,90.11t/data=!3m7!1e1!3m5!1sx_MVWaO9EIb9EqbSFIa8Wg!2e0!3e5!7i13312!8i6656"	14.0			1	045-223-2222	やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	オープニング冒頭の比企谷八幡と雪ノ下雪乃と由比ヶ浜結衣の3人の周囲を、ぐるりと回るように描かれたカットで、臨港パークから見えるヨコハマグランドインターコンチネンタルホテル、横浜ベイホテル東急、みなとみらいセンタービル、ブリリアグランデみなと未来のオーシャンフロントタワーとパークフロントタワーなどが描かれていましたが、ビルの並びや見え方（角度）は実際のものとは一致しません。	http://www.interconti.co.jp/yokohama/	http://www.interconti.co.jp/yokohama/		ヨコハマシ	ヤ	14	1	2	
0884	0001	完了	千葉県	千葉市	千葉PARCO	260-0013	千葉県千葉市中央区中央2-2-2		35.609429	140.120509	"https://www.google.co.jp/maps/@35.6094035,140.1204163,3a,50y,61.68h,142.97t/data=!3m6!1e1!3m4!1sQALXtyj-LuptbHsNsUhUaQ!2e0!7i13312!8i6656"	17.0				043-225-6161	やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第4話の葉山隼人の頼みで比企谷八幡が付き合った折本かおり、仲町千佳とのデートで、4人がショッピングを楽しんでいた（八幡は見ていただけだが）場所で、三浦優美子と海老名姫菜、さらには戸部翔と一色いろはと次々に偶然遭遇していました。<br />※2016年11月30日閉店・解体済	http://chiba.parco.jp/			チバシ	ヤ	12	1	2	解体
0884	0002	完了	千葉県	千葉市	千葉PARCO 東口	260-0013	千葉県千葉市中央区中央2-2-2		35.609311	140.121458	"https://www.google.co.jp/maps/@35.6093355,140.1215552,3a,34y,239.82h,87.74t/data=!3m6!1e1!3m4!1sfUqlelhOqfRg3BJpgTzJPQ!2e0!7i13312!8i6656"	17.0				043-225-6161	やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第4話の葉山隼人の頼みで比企谷八幡が付き合った折本かおり、仲町千佳とのデートで、ショッピングを終えた4人が、どこかで食事をしないかと話していた場所。<br />※2016年11月30日閉店・解体済				チバシ	ヤ	12	1	2	閉店
0884	0003	完了	千葉県	千葉市	サンマルクカフェ 千葉中央銀座通り店	260-0013	千葉県千葉市中央区中央3-4-17		35.608950	140.121850	"https://www.google.co.jp/maps/@35.6089394,140.1216702,3a,44y,91.06h,92.28t/data=!3m6!1e1!3m4!1sYS1D8BH2xnZCP_N9BLmENA!2e0!7i13312!8i6656"	18.0				043-201-3309	やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第4話の葉山隼人の頼みで比企谷八幡が付き合った折本かおり、仲町千佳とのデートで、4人が食事をしていた店。<br />作中では店名が「ヨンマルクカフェ」になっていました。<br />※2019年1月31日閉店済。		http://r.gnavi.co.jp/gab1000/		チバシ	ヤ	12	1	2	閉店
0884	0004	完了	千葉県	千葉市	ミスタードーナツ 京成千葉中央ショップ	260-0014	千葉県千葉市中央区本千葉町4-15		35.607321	140.119645	"https://www.google.co.jp/maps/@35.6074131,140.1195302,3a,22.3y,125.85h,89.37t/data=!3m6!1e1!3m4!1seKH5G_WkgyiqLlYFWA-BFw!2e0!7i13312!8i6656"	18.0			4.5		やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第3話で比企谷八幡が雪ノ下陽乃に遭遇してからまれ、さらに運悪く、八幡が中学時代に告白したことがある折本かおりとその友人・仲町千佳に遭遇して、陽乃に呼び出された葉山隼人を含めた5人でお茶することになった店。<br />外装は勿論のこと、内装などもかなり忠実に再現されていました。<br />作中では店名が「master Donut」になっています。<br />※2015年3月29日閉店済。				チバシ	ヤ	12	1	2	閉店
0884	0005	完了	千葉県	千葉市	千葉中央ショッピングセンターMio 前	260-0014	千葉県千葉市中央区本千葉町15		35.608978	140.117042	"https://www.google.co.jp/maps/@35.6090015,140.1170411,3a,80y,155.76h,95.51t/data=!3m6!1e1!3m4!1sV5xj4U5Z0RdWyKW8i1jDyA!2e0!7i13312!8i6656"	18.0			1.5		やはり俺の青春ラブコメはまちがっている。続	ヤハリオレノセイシュンラブコメハマチガッテイルゾク	第3話で、修学旅行での一件で雪ノ下雪乃と仲違いした比企谷八幡が、学校帰りに携帯電話の妹の小町にメールを書こうとして断念していた場所。<br />※リニューアルにより、現在の看板は作中に描かれていた当時のものとは異なります。	http://www.yourelm-mio.jp/			チバシ	ヤ	12	1	2	
