作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0901	0001	完了	富山県	高岡市	JR 富山駅	930-0001	富山県富山市明輪町1-227		36.701797	137.211904							ゆるゆり さん☆ハイ！	ユルユリサンハイ	第2話で、赤座あかねが、庭に干していたあかりのスク水抱き枕を、あかりに気づかれる前に回収するために、猛ダッシュして電車に乗り込んでいた駅。駅の西端から、マリエとやまを望む構図で描かれていました。				タカオカシ	ユ	16	7	4	
0901	0002	完了	富山県	高岡市	JR 高岡駅	933-0021	富山県高岡市下関町6-1		36.741763	137.014887	"https://www.google.com/maps/@36.7417827,137.0149197,3a,15y,105.57h,91.13t/data=!3m6!1e1!3m4!1s9gC93ld5DikTiOpU1Yqsmg!2e0!7i13312!8i6656!6m1!1e1?hl=ja"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第2話で、赤座あかねが、庭に干していたあかりのスク水抱き枕を、あかりに気づかれる前に回収するために、急いで下車していた駅は、高岡駅でした。猛ダッシュしていたのは、東口のタクシー乗り場前になります。				タカオカシ	ユ	16	7	4	
0901	0003	完了	富山県	高岡市	赤祖父神社	933-0806	富山県高岡市赤祖父		36.731019	137.020982	"https://www.google.co.jp/maps/@36.7311405,137.0208007,3a,30y,157.43h,85.76t/data=!3m6!1e1!3m4!1sVahJcSrFLR6JGTO3X-TxiQ!2e0!7i13312!8i6656?hl=ja"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第7話で、赤座あかりがつき合わされた、吉川ちなつの結衣とのデートシミュレーションで、2人が参拝していた神社。				タカオカシ	ユ	16	7	4	
0901	0004		富山県	高岡市	ドリームアイランド鐘紡店　ゲームスポット207	933-0856	富山県高岡市鐘紡町1655-3		36.732448	137.002299						0766-26-2070	ゆるゆり さん☆ハイ！	ユルユリサンハイ	第8話				タカオカシ	ユ	16	7	4	
0901	0005	完了	富山県	高岡市	バロー高岡木津店	933-0857	富山県高岡市木津458-135		36.739906	137.000287	"https://www.google.co.jp/maps/@36.7390572,137.0010009,3a,17y,337.48h,89.95t/data=!3m6!1e1!3m4!1slx4ePahSCCmv7f5EodO0Tw!2e0!7i13312!8i6656"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第8話で、昨晩の変な夢を引きづった大室櫻子に、何の罪もない向日葵が鞄をぶつけられていたのは、バロー高岡木津店の前でした。第7話の綾乃と京子の映画デートの別れのシーンで、綾乃の背後に描かれていたのもこの店でした。				タカオカシ	ユ	16	7	4	
0901	0006	完了	富山県	高岡市	夢なる街 彩都の石碑	933-0857	富山県高岡市木津		36.740447	137.000832	"https://www.google.co.jp/maps/@36.7403936,137.0009215,3a,26.3y,310.91h,82.22t/data=!3m7!1e1!3m5!1sRaIBSCkhnCYgciSHafTK0w!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DRaIBSCkhnCYgciSHafTK0w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D183.71814%26pitch%3D0!7i13312!8i6656"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第7話で、杉浦綾乃と歳納京子の映画デートの帰りにお別れしていた場所。				タカオカシ	ユ	16	7	4	
0901	0007		富山県	高岡市	舘川町交差点	933-0871	富山県高岡市駅南3-3		36.738643	137.019941	"https://www.google.co.jp/maps/@36.7386504,137.0205368,3a,18.7y,268.87h,88.46t/data=!3m6!1e1!3m4!1schdupFIgxleGTFsbsZUqBw!2e0!7i13312!8i6656"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第7話				タカオカシ	ユ	16	7	4	
0901	0008		富山県	高岡市	南星橋付近（喫茶ラ・フォーレ）	933-0866	富山県高岡市清水町1-5-23		36.739240	137.002736	"https://www.google.co.jp/maps/@36.7391443,137.0025324,3a,24.5y,28.59h,91.34t/data=!3m6!1e1!3m4!1s8kMAPESTP74wTk6jQOPzew!2e0!7i13312!8i6656"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第8話				タカオカシ	ユ	16	7	4	
0901	0009	完了	富山県	高岡市	アミング高岡店	933-0874	富山県高岡市京田445		36.730988	137.016877	"https://www.google.co.jp/maps/@36.7306744,137.0165174,3a,15y,49.32h,92.86t/data=!3m6!1e1!3m4!1sPabR4Iv0dhxDtp4a_WYiEQ!2e0!7i13312!8i6656?hl=ja"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第7話で、赤座あかりがつき合わされた、吉川ちなつの結衣とのデートシミュレーションで、2人がショッピングしていた店。				タカオカシ	ユ	16	7	4	
0901	0010	完了	富山県	高岡市	高岡駅前交差点	933-0021	富山県高岡市下関町6		36.742449	137.015073	"https://www.google.co.jp/maps/@36.7423199,137.0152152,3a,35.5y,333.55h,97.75t/data=!3m6!1e1!3m4!1sSX8NunWAsWjnEHgFArFMrw!2e0!7i13312!8i6656"						ゆるゆり さん☆ハイ！	ユルユリサンハイ	第5話Bパートで、杉浦綾乃と池田千歳が、休日にショッピングに出ていた街のカットで描かれていた交差点。				タカオカシ	ユ	16	7	4	
