作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0898	0001	完了	埼玉県	草加市	松原団地C65	340-0041	埼玉県草加市松原3-C65		35.844813	139.791245	"https://www.google.co.jp/maps/@35.84491,139.790884,3a,75y,107.98h,99.07t/data=!3m4!1e1!3m2!1sSq5qlRcqOiNTZ4d6rLMyRQ!2e0?hl=ja"	17.0		120	3		ゆるゆり	ユルユリ	第5話に登場した古谷向日葵の住むアパート。				ソウカシ	ユ	11	35	2	
0898	0002	完了	千葉県	市原市	牛久商店街	290-0225	千葉県市原市牛久897		35.399659	140.142237		18.0		0			ゆるゆり	ユルユリ	第6話で魔女っ娘ミラクるん（コスプレした吉川ちなつ）と、まりちゃんが散歩するシーン。作中では座標位置から南を向いた構図で描かれており、千葉信用金庫は「七森信用金庫」、お食事処金中は「中金」に名前が変えられていました。				イチハラシ	ユ	12	2	2	
0898	0003	完了	千葉県	市原市	小湊鉄道 上総牛久駅	290-0225	千葉県市原市牛久897-2		35.400139	140.142222	"https://www.google.co.jp/maps/@35.399981,140.14216,3a,75y,90t/data=!3m5!1e2!3m3!1s77378717!2e1!3e10?hl=ja"	14.0		0			ゆるゆり	ユルユリ	赤座あかりたちの通う中学校の最寄り駅のモデル。第4話で駅舎入口脇に設置された七夕の笹に短冊をかけていました。				イチハラシ	ユ	12	2	2	
0898	0004	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.681377	139.766041		14		0			ゆるゆり	ユルユリ	第5話で「コムケ（コミックエクストリームマーケット）」へ向かう歳納京子、船見結衣、杉浦綾乃、池田千歳の4人が、夜行バスで東京に到着したシーンで赤レンガ本駅舎が描かれていました。				チヨダク	ユ	13	17	2	
0898	0005	完了	東京都	中央区	東京駅八重洲口前バス停留所	104-0028	東京都中央区八重洲2-１		35.679878	139.769142		17		0			ゆるゆり	ユルユリ	第5話で「コムケ（コミックエクストリームマーケット）」へ向かうために夜行バスでやって来た歳納京子、船見結衣、杉浦綾乃、池田千歳の4人が下車した場所。				チュウオウク	ユ	13	16	2	
0898	0006	完了	東京都	江東区	東京臨海高速鉄道 国際展示場駅前	135-0063	東京都江東区有明2-5-25		35.634389	139.791611		16		0			ゆるゆり	ユルユリ	第5話で歳納京子、船見結衣、杉浦綾乃、池田千歳の4人が「コムケ（コミックエクストリームマーケット）」の会場である東京ビッグサイトへ行く際に利用した駅。				コウトウク	ユ	13	8	2	
0898	0007	完了	東京都	江東区	東京ビッグサイト（東京国際展示場）	135-0063	東京都江東区有明3-11-1		35.629204	139.794756	"https://www.google.co.jp/maps/@35.629945,139.793429,3a,75y,90t/data=!3m5!1e2!3m3!1s18822940!2e1!3e10?hl=ja"	15		0		03-5530-1112	ゆるゆり	ユルユリ	第5話で歳納京子、船見結衣、杉浦綾乃、池田千歳の4人が来た「コムケ（コミックエクストリームマーケット）」の会場。京子が出店しており、他の3人はその手伝いに駆り出されていました。ちなみに、この作品世界には女しか出て来ないので、コミケ会場にも女しかいなかったりします。				コウトウク	ユ	13	8	2	
0898	0008	完了	東京都	大田区	小林児童公園	146-0094	東京都大田区東矢口3-11-26		35.563021	139.70319	"https://www.google.co.jp/maps/@35.5630392,139.702987,3a,75y,115.15h,96.46t/data=!3m4!1e1!3m2!1sb0vRhC6R4_Pt0KO9dWUdHg!2e0?hl=ja"	19		120	1.4		ゆるゆり	ユルユリ	第11話で幼少期の赤座あかりたちが遊んでいた公園のモデル。作中で描かれていたものと同じすべり台、ブランコなどが実在します。				オオタク	ユ	13	5	2	
0898	0009	完了	東京都	渋谷区	グルメタウン 前	150-0042	東京都渋谷区宇田川町23-3		35.65965	139.699487		18		0			ゆるゆり	ユルユリ	第3話で船見結衣が、彼女の住むアパートに遊びに来て迷った赤座あかりと吉川ちなつを迎えに来た場所のモデル。				シブヤク	ユ	13	10	2	
0898	0010	完了	東京都	新宿区	常圓寺	160-0023	東京都新宿区西新宿7-12-5		35.694014	139.696561		16.0				03-3371-1797	ゆるゆり	ユルユリ	船見結衣の実家のモデル。入口の門や塀の辺りのみが辛うじて作画の雰囲気を感じますが、建物は全く似ていません。	http://www.joenji.jp/	http://www.joenji.jp/		シンジュクク	ユ	13	11	2	
0898	0011	完了	東京都	武蔵野市	東亜会館	180-0003	東京都武蔵野市吉祥寺南町2-3-16		35.702847	139.5811	"https://www.google.co.jp/maps/@35.702953,139.5807134,3a,75y,115.92h,99.79t/data=!3m4!1e1!3m2!1sv5bJWNjQ5f9ypzkuTH9jLg!2e0?hl=ja"	15.0					ゆるゆり	ユルユリ	第7話のくじ引きクリスマスデートで歳納京子と吉川ちなつが行った映画館。				ムサシノシ	ユ	13	48	2	
0898	0012	完了	東京都	武蔵野市	ガスト吉祥寺店	180-0004	東京都武蔵野市吉祥寺本町1-18-3	サニーシティ吉祥寺ビル2F	35.704371	139.581151	"https://www.google.co.jp/maps/@35.7043358,139.5809012,3a,75y,90.68h,89.57t/data=!3m4!1e1!3m2!1sUAOnPfvgVcRoV80oOLfbYA!2e0?hl=ja"	16.0				0422-23-7372	ゆるゆり	ユルユリ	第7話のくじ引きクリスマスデートで古谷向日葵と大室櫻子が食事をしていたファミレス。作中では店名が「ベガス」に変えられていました。1Fのローソンもなぜか「ポプラ」の店名、外装に変えられています。				ムサシノシ	ユ	13	48	2	
0898	0013	完了	東京都	武蔵野市	DEVA DEVA CAFE	180-0004	東京都武蔵野市吉祥寺本町2-14-7	吉祥ビル2F	35.706567	139.577715	"https://www.google.co.jp/maps/@35.706604,139.577618,3a,75y,105.41h,84.05t/data=!3m4!1e1!3m2!1smtMI52yPbXJSMgoI_0LXEA!2e0?hl=ja"	16.0				0422-21-6220	ゆるゆり	ユルユリ	第7話のくじ引きクリスマスデートで赤座あかりと池田千歳がお茶をした喫茶店。外観カットでは1Fのカレルチャペックが描かれていましたが、店内シーンでは2Fのこちらのお店が描かれていました。				ムサシノシ	ユ	13	48	2	
0898	0014	完了	東京都	武蔵野市	カレルチャペック 吉祥寺ライヴス本店	180-0004	東京都武蔵野市吉祥寺本町2-14-7	吉祥ビル1F	35.706567	139.577715		16.0				0422-23-0488	ゆるゆり	ユルユリ	第7話のくじ引きクリスマスデートで赤座あかりと池田千歳がお茶をした紅茶専門店。店内シーンでは2FのDEVA DEVA CAFEが描かれていました。	http://www.karelcapek.co.jp/omresource/omc/req__PRODUCT/ett__20101111050809221827000000/parentpage__59630410/hier__20080822023446500394000000	http://www.karelcapek.co.jp/omresource/omc/req__PRODUCT/ett__20101111050809221827000000/parentpage__59630410/hier__20080822023446500394000000		ムサシノシ	ユ	13	48	2	
0898	0015	完了	神奈川県	横浜市	本町ビル（旧帝国火災横浜支店）	231-0005	神奈川県横浜市中区本町5-49		35.449606	139.636206	-	16.0					ゆるゆり	ユルユリ	第3話に登場した船見結衣の住むアパートのモデル。作中では元文化会館と言っていた建物です。残念ながら2011年に解体されてしまいました。				ヨコハマシ	ユ	14	1	2	解体
0898	0016	完了	富山県	富山市	JR 富山駅	930-0001	富山県富山市明輪町1-227		36.702245	137.213418	"https://www.google.co.jp/maps/@36.702577,137.214188,3a,75y,240.94h,94.81t/data=!3m4!1e1!3m2!1s2lT7BHP7y16MyKiDdL9QeQ!2e0?hl=ja"	12.0					ゆるゆり	ユルユリ	第5話で歳納京子、船見結衣、杉浦綾乃、池田千歳の4人が東京ビッグサイトへ向かう夜行バスに乗るために待ち合わせしていた駅で、北側駅舎や富山ライトレール富山駅北駅が描かれていました。				トヤマシ	ユ	16	1	4	
0898	0017	完了	滋賀県	長浜市	長浜図書館	526-0056	滋賀県長浜市朝日町18-5		35.377351	136.270326	-	15.0				0749-63-2122	ゆるゆり	ユルユリ	第8話で歳納京子と船見結衣が春休みの宿題をするために来た図書館で、池田千歳の双子の妹池田千鶴を見かけて千歳と勘違いしていました。				ナガハマシ	ユ	25	14	5	
0898	0018	完了	京都府	京都市	清水寺	605-0862	京都府京都市東山区清水1-294		34.994841	135.784988	"https://www.google.co.jp/maps/@34.994685,135.785211,3a,75y,90t/data=!3m5!1e2!3m3!1s2183631!2e1!3e10?hl=ja"	15.0					ゆるゆり	ユルユリ	第10話の修学旅行で歳納京子たちが訪れた寺。バス停から仁王門、絵馬掛、胎内めぐり、ふれ愛観音、本堂、音羽の滝、舌切茶屋（作中では「下切茶屋」になっていました）まで忠実に描かれていました。				キョウトシ	ユ	26	10	5	
0898	0019	完了	京都府	京都市	清水寺 仁王門	605-0862	京都府京都市東山区清水1-294		34.995424	135.783334	"https://www.google.co.jp/maps/@34.995445,135.78298,3a,75y,96.62h,93.26t/data=!3m5!1e1!3m3!1sFJIoojxDSVGEbLrKgpIySw!2e0!3e5?hl=ja"						ゆるゆり	ユルユリ	第10話の修学旅行で歳納京子たちが訪れた場所。滝自体はスルーして、すぐ横の辺りから舞台を仰ぎ見て、落ちて竹の柵に刺さったら死ぬとか物騒な話をしていました。				キョウトシ	ユ	26	10	5	
0898	0020	完了	京都府	京都市	舌切茶屋	605-0862	京都府京都市東山区清水1-294		34.994456	135.784234	"https://www.google.co.jp/maps/@34.994555,135.784329,3a,75y,236.56h,86.6t/data=!3m5!1e1!3m3!1smVqDU5Vd6es86ON4br5HBg!2e0!3e5?hl=ja"						ゆるゆり	ユルユリ	第10話の修学旅行で歳納京子たちが訪れた清水寺境内の茶屋。作中では店名が「下切茶屋」になっていました。				キョウトシ	ユ	26	10	5	
0898	0021	完了	京都府	京都市	地主神社	605-0862	京都府京都市東山区清水1-294		34.995208	135.785147		16.0					ゆるゆり	ユルユリ	第10話の修学旅行で歳納京子たちが訪れた縁結びの神様として有名な神社。清水寺境内にある神社です。				キョウトシ	ユ	26	10	5	
0898	0022	完了	京都府	舞鶴市	かにの宿 ふじつ温泉	624-0951	京都府舞鶴市上福井宮ヶ谷1611		35.448179	135.278829	"https://www.google.co.jp/maps/@35.448961,135.279023,3a,75y,189.25h,101.69t/data=!3m4!1e1!3m2!1sewip6x0ZB_UeB4j1UIfbLQ!2e0?hl=ja"	15.0				0773-75-5531	ゆるゆり	ユルユリ	第10話の修学旅行で歳納京子たちが宿泊したホテル。	http://www.tsukasa-ltd.co.jp/fujitsu/	http://www.tsukasa-ltd.co.jp/fujitsu/		マイヅルシ	ユ	26	5	5	
