作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0900	0001	完了	富山県	南砺市	北川交差点付近	932-0211	富山県南砺市井波		36.561396	136.975958	"https://www.google.co.jp/maps/@36.561331,136.976279,3a,15y,116.03h,93.24t/data=!3m4!1e1!3m2!1ssbrZD7AEHWljX982ZNjclw!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	キャンプ場へ向かう赤座あかりたち一行が歩いていた道で、交差点東側から交差点方向を望む構図で描かれていました。				ナントシ	ユ	16	12	4	
0900	0002	完了	富山県	南砺市	坂道	932-0211	富山県南砺市井波		36.560375	136.979492	"https://www.google.co.jp/maps/@36.560333,136.979611,3a,19.2y,288.8h,89.48t/data=!3m4!1e1!3m2!1sf8zdL4oSmp-697whDx0ACg!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行がキャンプ場へ向かう場面の挿入カットで描かれていた坂道で、座標地点辺りから、西側の下り方面を望む構図で描かれていました。				ナントシ	ユ	16	12	4	
0900	0003	完了	富山県	南砺市	水門	932-0211	富山県南砺市井波		36.560139	136.980311	"https://www.google.co.jp/maps/@36.560182,136.980294,3a,22.5y,170.21h,75.8t/data=!3m4!1e1!3m2!1seQ45hRZoIrdhz6Vjywl7gw!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行がキャンプ場へ向かう場面の挿入カットで描かれていた水門。				ナントシ	ユ	16	12	4	
0900	0004	完了	富山県	南砺市	祠	932-0211	富山県南砺市井波		36.560322	136.980954	"https://www.google.co.jp/maps/@36.56036,136.980876,3a,49.5y,137.19h,83.14t/data=!3m4!1e1!3m2!1smKTRPLeeRGnBbhuk8x5VGA!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行が、キャンプ場に向かう途中で休憩していた祠。				ナントシ	ユ	16	12	4	
0900	0005	完了	富山県	南砺市	県道21号線（蒐古堂前）	932-0211	富山県南砺市井波		36.560209	136.971544	"https://www.google.co.jp/maps/@36.560136,136.971438,3a,18.3y,44.09h,90.38t/data=!3m4!1e1!3m2!1sf2ifSzARzrPUJBirXxk0KA!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行が乗るバスが通っていた道で、電柱の「古美術 蒐古堂」の広告や、周囲の建物まで忠実に描かれていました。				ナントシ	ユ	16	12	4	
0900	0006	完了	富山県	南砺市	閑乗寺公園	932-0211	富山県南砺市井波外二入会1		36.560657	136.984767	"https://www.google.co.jp/maps/@36.560815,136.984736,3a,45.5y,170.92h,98.09t/data=!3m4!1e1!3m2!1sHJHzmXnhVfFX9L3F_OOQYg!2e0"					0763-82-2565	ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行がキャンプをするために訪れた公園で、入口周辺から、池、小川、キャンプ場の他、呼び名について話していたシーソーなどの木製遊具、水場小屋、砺波平野が一望できる高台などが忠実に描かれていました。木馬の付いたシーソーは、肝試しの際の折り返し地点としても登場した他、エンディングカットにも描かれていました。				ナントシ	ユ	16	12	4	
0900	0007	完了	富山県	南砺市	閑乗寺口バス停（庄川町方面行き）	932-0226	富山県南砺市北川		36.561712	136.971985	"https://www.google.co.jp/maps/@36.561813,136.972035,3a,75y,263.42h,87.12t/data=!3m4!1e1!3m2!1sJTEsyEPSUzooY04gwijPuQ!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行がバスを下車したバス停で、向かいの田舎まんじゅう本舗よしむら本店の店内からガラス戸と暖簾越しに描かれていました。				ナントシ	ユ	16	12	4	
0900	0008	完了	富山県	南砺市	閑乗寺口バス停（高岡駅方面行き）	932-0226	富山県南砺市北川		36.561422	136.972042	"https://www.google.co.jp/maps/@36.561432,136.971995,3a,39.9y,42.86h,86.58t/data=!3m4!1e1!3m2!1sCMBLs-N--CVoJaSKYS_zOw!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	キャンプの帰りに、赤座あかりたち一行が高岡駅行きのバスに乗り込んでいたバス停。				ナントシ	ユ	16	12	4	
0900	0009	完了	富山県	南砺市	大門川沿いの道	932-0226	富山県南砺市北川		36.560898	136.972504	-						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	バスを下りた赤座あかりたち一行が歩いていた川沿いの細道です。				ナントシ	ユ	16	12	4	
0900	0010	完了	富山県	南砺市	県道21号線	932-0226	富山県南砺市北川		36.561549	136.972019	"https://www.google.co.jp/maps/@36.561528,136.972007,3a,25.6y,183.91h,91.72t/data=!3m4!1e1!3m2!1ssCxGK1TlEDDoDGvkfyntzQ!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行を乗せたバスが去って行くラストシーンの道で、あかりたちがバスに乗り込んだバス停近くの交差点（座標地点）辺りから、南側を望む構図で描かれていました。ちなみに画面奥に見えるのは瑞泉寺の屋根です。				ナントシ	ユ	16	12	4	
0900	0011	完了	富山県	南砺市	八百屋おぐら	932-0226	富山県南砺市北川1759		36.561275	136.972064	"https://www.google.co.jp/maps/@36.561339,136.971983,3a,75y,123.05h,91.56t/data=!3m4!1e1!3m2!1smsLM9j9W4jH1xh97Sajpgg!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	キャンプ場で、カレー作りを始めた段階で、ルーと肉の担当だった大室櫻子がレトルトカレーを持ってくるというバカが発覚したため、櫻子と歳納京子と吉川ちなつの3人が、急遽ルーと肉の調達に行った店で、京子と櫻子がちなつにお菓子を買わせようとしたり、京子と櫻子がルーを辛口にするか甘口にするかでもめたりしていました。				ナントシ	ユ	16	12	4	
0900	0012	完了	富山県	南砺市	道の駅井波 木の香浴泉 ゆら湯ら	932-0226	富山県南砺市北川730		36.561129	136.977923	"https://www.google.co.jp/maps/@36.561113,136.976936,3a,15y,84h,91.13t/data=!3m4!1e1!3m2!1sJ3lmmdJXG2BPHXu6mgN7jg!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行が、キャンプの途中で入りに来た銭湯で、露店岩風呂	http://www.kibori.co.jp/			ナントシ	ユ	16	12	4	
0900	0013	完了	富山県	砺波市	三島町（北）交差点	939-1365	富山県砺波市三島町3		36.633962	136.952758	"https://www.google.co.jp/maps/@36.634546,136.953239,3a,23.5y,215.58h,94.39t/data=!3m4!1e1!3m2!1smj6imcC4RpuB-0jucI38ig!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行が乗るバスが通っていた道で、交差点を北東側から望む構図で描かれていました。				トナミシ	ユ	16	10	4	
0900	0014	完了	富山県	砺波市	砺波駅前バスのりば	939-1366	富山県砺波市表町		36.636790	136.953184	"https://www.google.co.jp/maps/@36.636874,136.953128,3a,46.1y,181.93h,83.17t/data=!3m4!1e1!3m2!1s-adZUWFedZG8FEDwL_yJaA!2e0"						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	キャンプ場に向かう赤座あかりたち一行がバスを待っていた駅前停留場。				トナミシ	ユ	16	10	4	
0900	0015	完了	富山県	砺波市	JR 砺波駅	939-1366	富山県砺波市表町1-1		36.636565	136.953716	-						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりたち一行が利用したキャンプ場の最寄り駅で、改札周辺が描かれていました。高岡駅からキャンプ場の最寄バス停までは、直通の路線バスがありますが、歳納京子が「魔女っ娘ミラクるん」のラッピング電車に乗りたかったために、行きのみ高岡駅からこの駅まで電車移動をしていました。				トナミシ	ユ	16	10	4	
0900	0016	完了	富山県	高岡市	JR 高岡駅	933-0021	富山県高岡市下関町6-1		36.741595	137.015055	-						ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	キャンプに行く赤座あかりたちが待ち合わせをしていた駅で、改札前コンコースや発券機、改札、ホームなどが描かれていました。珍しく遅刻したあかりを歳納京子、船見結衣、吉川ちなつの3人が待っていたのは、立山連峰の案内パネル前になります。				タカオカシ	ユ	16	7	4	
0900	0017	完了	富山県	高岡市	らんぶる	933-0871	富山県高岡市駅南3-1-5		36.738389	137.016221	"https://www.google.co.jp/maps/@36.738623,137.016258,3a,31.7y,192.1h,90.85t/data=!3m4!1e1!3m2!1s6grlx8eYqGwnt4lxSxg8-A!2e0"					0766-24-1751	ゆるゆり なちゅやちゅみ！	ユルユリナチュヤチュミ	赤座あかりが、吉川ちなつと2人でキャンプの予習をしようと待ち合わせをしていた喫茶店で、ちなつを待つあかりを見かけた大室櫻子と古谷向日葵が合流。ちなみに飲んでいたのは、あかりがバナナジュース、櫻子がホットココア、向日葵がホットレモンティでした。	http://www.ramble.jp/			タカオカシ	ユ	16	7	4	
