作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0899	0001	完了	埼玉県	草加市	松原団地C65	340-0041	埼玉県草加市松原3-C65		35.844813	139.791245	"https://www.google.co.jp/maps/@35.84491,139.790884,3a,75y,107.98h,99.07t/data=!3m4!1e1!3m2!1sSq5qlRcqOiNTZ4d6rLMyRQ!2e0?hl=ja"	17.0		120	3		ゆるゆり♪♪	ユルユリダイニキ	第5話、第7話に登場した古谷向日葵の住むアパート。				ソウカシ	ユ	11	35	2	
0899	0002	完了	千葉県	市原市	牛久商店街 ゲート	290-0225	千葉県市原市牛久		35.399875	140.142252	"https://www.google.co.jp/maps/@35.399502,140.142232,3a,75y,355.23h,94.63t/data=!3m4!1e1!3m2!1sWwE75s06Lm_kp2rszQ7Q_Q!2e0?hl=ja"	18.0		120	3		ゆるゆり♪♪	ユルユリダイニキ	第3話で歳納京子と船見結衣が下校時に歩いていた商店街のシーンで、画面奥に特徴的な商店街のゲートが描かれていました。				イチハラシ	ユ	12	2	2	
0899	0003	完了	千葉県	市原市	福田書店	290-0225	千葉県市原市牛久1197		35.39885	140.142312	"https://www.google.co.jp/maps/@35.398943,140.142279,3a,75y,147.9h,110.58t/data=!3m4!1e1!3m2!1sBXRoA66b7lfAmAi-s31gpw!2e0?hl=ja"	18.0		120	1	0436-92-0107	ゆるゆり♪♪	ユルユリダイニキ	第9話で、レシピの本と参考書を買いに行きた古谷向日葵が、マンガの新刊チェックに来た歳納京子と遭遇した本屋で、向日葵が京子に後ろから胸を揉まれていました。作中では店名が「高田書店」になっていました。				イチハラシ	ユ	12	2	2	
0899	0004	完了	千葉県	市原市	小湊鉄道 上総牛久駅	290-0225	千葉県市原市牛久897-2		35.400139	140.142222	"https://www.google.co.jp/maps/@35.399981,140.14216,3a,75y,90t/data=!3m5!1e2!3m3!1s77378717!2e1!3e10?hl=ja"	14.0		0			ゆるゆり♪♪	ユルユリダイニキ	赤座あかりたちの通う中学校の最寄り駅のモデル。第5話のみんなで市民プールに行く回で、1人電車に乗り遅れたあかりが駅舎の待合室で次の電車待ちをしていました。あかりがパンチオレンジのボタンを押したのに、めちゃにがブラックコーヒーが出てきてしまった自動販売機も実在します。				イチハラシ	ユ	12	2	2	
0899	0005	完了	東京都	港区	青山中学校	107-0061	東京都港区北青山1-1-9		35.674185	139.722171	"https://www.google.co.jp/maps/@35.6744991,139.7228551,3a,49.4y,250.72h,94.74t/data=!3m4!1e1!3m2!1sFxfYOujSjHUXLAwnmNqjUA!2e0"	16		120	3	03-3404-7522	ゆるゆり♪♪	ユルユリダイニキ	赤座あかりたちの通う「七森中学校」のモデル。	http://www1.r4.rosenet.jp/aoyama-j/			ミナトク	ユ	13	22	2	
0899	0006	完了	東京都	江東区	東京ビッグサイト（東京国際展示場）	135-0063	東京都江東区有明3-11-1		35.629204	139.794756	"https://www.google.co.jp/maps/@35.6321853,139.7921073,2a,18.5y,146.02h,95.49t/data=!3m7!1e1!3m5!1sV5fnmYOMEuzRJ15P6finew!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DV5fnmYOMEuzRJ15P6finew%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D191.483%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	15		0		03-5530-1112	ゆるゆり♪♪	ユルユリダイニキ	第6話で歳納京子、船見結衣、赤座あかり、吉川ちなつの4人が出店した「コムケ（コミックエクストリームマーケット）」の会場。京子が出店しており、他の3人はその手伝いに駆り出されていました。ちなみに、この作品世界には女しか出て来ないので、コミケ会場にも女しかいなかったりします。				コウトウク	ユ	13	8	2	
0899	0007	完了	東京都	葛飾区	モガール洋菓子店	125-0041	東京都葛飾区東金町1-34-1		35.773312	139.8715	"https://www.google.co.jp/maps/@35.773322,139.871617,3a,75y,276.72h,99.42t/data=!3m4!1e1!3m2!1sTNP11pa9rIre0lq6q3X13Q!2e0?hl=ja"	18		120	1	03-3607-9661	ゆるゆり♪♪	ユルユリダイニキ	第3話で歳納京子と船見結衣がバレンタインチョコを買っていたケーキ屋のモデル。作中でも同じ店名になっていました。				カツシカク	ユ	13	6	2	
0899	0008	完了	東京都	武蔵野市	東亜会館	180-0003	東京都武蔵野市吉祥寺南町2-3-16		35.702847	139.5811	"https://www.google.co.jp/maps/@35.702953,139.5807134,3a,75y,115.92h,99.79t/data=!3m4!1e1!3m2!1sv5bJWNjQ5f9ypzkuTH9jLg!2e0?hl=ja"	15.0					ゆるゆり♪♪	ユルユリダイニキ	第8話で船見結衣と吉川ちなつがホラー映画「足音」を見た映画館。				ムサシノシ	ユ	13	48	2	
0899	0009	完了	東京都	武蔵野市	ファーストキッチン吉祥寺伊勢丹前店	180-0004	東京都武蔵野市吉祥寺本町1-8-3	コスモビル1F	35.704565	139.578981	"https://www.google.co.jp/maps/@35.70455,139.5791092,3a,75y,220.19h,93.23t/data=!3m4!1e1!3m2!1s9l_Blt_RbRc9C006uvhYSw!2e0?hl=ja"					0422-29-7685	ゆるゆり♪♪	ユルユリダイニキ	第8話で映画を見終わった船見結衣と吉川ちなつが歩いているシーンの背景に描かれていた店。作中では店名が「Last Kitchen」に変えられていました。				ムサシノシ	ユ	13	48	2	
0899	0010	完了	東京都	武蔵野市	BOOKSルーエ	180-0004	東京都武蔵野市吉祥寺本町1-14-3		35.704655	139.58037	"https://www.google.co.jp/maps/@35.7047644,139.5803402,3a,75y,173.72h,89.04t/data=!3m4!1e1!3m2!1s7_9XaLmN6tNHHqnWBl9ong!2e0?hl=ja"						ゆるゆり♪♪	ユルユリダイニキ	第8話で船見結衣と吉川ちなつが雑誌を立ち読みしていた本屋。作中では店名が「BOOKSドール」に変えられていました。	http://www.books-ruhe.co.jp/	http://www.books-ruhe.co.jp/		ムサシノシ	ユ	13	48	2	
0899	0011	完了	東京都	武蔵野市	戎ビアホール 吉祥寺	180-0004	東京都武蔵野市吉祥寺本町1-15-9	岩崎吉祥寺ビルB1F	35.703892	139.58054	"https://www.google.co.jp/maps/@35.7039332,139.5807072,3a,75y,242.16h,92.05t/data=!3m4!1e1!3m2!1sgwchWAc3BMyR4cMy771Bhw!2e0?hl=ja"					0422-20-2301	ゆるゆり♪♪	ユルユリダイニキ	第8話で帰りの電車に乗るために急ごうとする船見結衣に吉川ちなつが抱きついて困らせていたシーンで背景に描かれていた店。	http://www.yakitoriebisu.co.jp/entry/	http://www.yakitoriebisu.co.jp/entry/		ムサシノシ	ユ	13	48	2	
0899	0012	完了	神奈川県	横浜市	本町ビル（旧帝国火災横浜支店）	231-0005	神奈川県横浜市中区本町5-49		35.449606	139.636206	-	16.0					ゆるゆり♪♪	ユルユリダイニキ	"第5話,第6話,第7話に登場した船見結衣の住むアパートのモデル。残念ながら2011年に解体されてしまいました。"				ヨコハマシ	ユ	14	1	2	解体
0899	0013	完了	富山県	南砺市	北原荘	932-0371	富山県南砺市利賀村北原1-17		36.528028	136.996751	-					0763-82-3741	ゆるゆり♪♪	ユルユリダイニキ	第1話で赤座あかりたち4人が宿泊した旅館のモデル。作中では実際の建物を左右反転こそされているものの、建物外観や自動販売機、植木鉢に至るまで忠実に再現されています。	http://www.kitaharasou.com/	http://www.kitaharasou.com/		ナントシ	ユ	16	12	4	
0899	0014	完了	富山県	高岡市	高岡大和	933-8501	富山県高岡市御旅屋町101		36.745513	137.013942	"https://www.google.co.jp/maps/@36.74491,137.013366,3a,75y,29.53h,110.23t/data=!3m4!1e1!3m2!1s0nb-E6sIOQvx-dzT6cux4Q!2e0?hl=ja"					0766-27-1111	ゆるゆり♪♪	ユルユリダイニキ	第3話で杉浦綾乃やがチョコを買っていたデパートのモデル。同じデパート内で赤座あかりもチョコを買おうとしますが、迷っているうちに売り切れてしまいます。	http://www.daiwa-dp.co.jp/tenpo/takaoka/	http://www.daiwa-dp.co.jp/tenpo/takaoka/		タカオカシ	ユ	16	7	4	
0899	0015	完了	京都府	京都市	清水寺 音羽の瀧	605-0862	京都府京都市東山区清水1-294		34.994439	135.785275	"https://www.google.co.jp/maps/@34.9945,135.785212,3a,75y,138.29h,97.33t/data=!3m5!1e1!3m3!1sQin0NGYRu7a3uo9jgRwsvA!2e0!3e5?hl=ja"						ゆるゆり♪♪	ユルユリダイニキ	第10話の修学旅行で歳納京子たちが訪れた場所。滝自体はスルーして、すぐ横の辺りから舞台を仰ぎ見て、落ちて竹の柵に刺さったら死ぬとか物騒な話をしていました。				キョウトシ	ユ	26	10	5	
0899	0016	完了	京都府	舞鶴市	かにの宿 ふじつ温泉	624-0951	京都府舞鶴市上福井宮ヶ谷1611		35.448179	135.278829	"https://www.google.co.jp/maps/@35.448961,135.279023,3a,75y,189.25h,101.69t/data=!3m4!1e1!3m2!1sewip6x0ZB_UeB4j1UIfbLQ!2e0?hl=ja"	15.0				0773-75-5531	ゆるゆり♪♪	ユルユリダイニキ	第10話の修学旅行で歳納京子たちが宿泊したホテル。	http://www.tsukasa-ltd.co.jp/fujitsu/	http://www.tsukasa-ltd.co.jp/fujitsu/		マイヅルシ	ユ	26	5	5	
