作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0907	0001	完了	岩手県	盛岡市	岩手銀行中ノ橋支店	020-0871	岩手県盛岡市中ノ橋通1-2-20		39.700678	141.155208	"https://www.google.co.jp/maps/@39.700387,141.155142,3a,75y,0.26h,110.89t/data=!3m4!1e1!3m2!1sWhiXeaSuJRSaNyX1q_2vLw!2e0"	17.0		120	1	019-654-5571	よくわかる現代魔法	ヨクワカルゲンダイマホウ	物語のメイン舞台である「姉原十字魔法学院」のモデル。				モリオカシ	ヨ	3	1	1	
0907	0002	完了	東京都	千代田区	有楽町マリオン	100-0006	東京都千代田区有楽町2-5-1		35.673644	139.762696	"https://www.google.co.jp/maps/@35.672677,139.763149,3a,37.5y,330.38h,114.08t/data=!3m4!1e1!3m2!1sJVq9fHdMJ-A4HaP8p5YJqg!2e0"	17		120	1		よくわかる現代魔法	ヨクワカルゲンダイマホウ	オープニング冒頭のカットで登場。				チヨダク	ヨ	13	17	2	
0907	0003	完了	東京都	千代田区	ザ・ペニンシュラ東京	100-0006	東京都千代田区有楽町1-8-1		35.674727	139.76066	"https://www.google.co.jp/maps/@35.673788,139.761119,3a,37.5y,341.86h,127.98t/data=!3m4!1e1!3m2!1sH7-Dxk3wGGXcB89ibcDOcw!2e0"	17		120	1	03-6270-2888	よくわかる現代魔法	ヨクワカルゲンダイマホウ	オープニング冒頭のカットで登場。				チヨダク	ヨ	13	17	2	
0907	0004	完了	東京都	中央区	松屋銀座	104-0061	東京都中央区銀座3-6-1		35.672293	139.766644	"https://www.google.co.jp/maps/@35.672044,139.76589,3a,75y,83.44h,112.53t/data=!3m4!1e1!3m2!1sldkIhP_0ax3epUSKxFqRcg!2e0"	17		120	1.2	03-3567-1211	よくわかる現代魔法	ヨクワカルゲンダイマホウ	第1話冒頭で森下こよみと一之瀬・弓子・クリスティーナがジャン・ジヤック・ギバルトスと屋上で戦っていたビル。	http://matsuya.com/m_ginza/	http://matsuya.com/m_ginza/		チュウオウク	ヨ	13	16	2	
0907	0005	完了	東京都	中央区	銀座三丁目交差点	104-0061	東京都中央区銀座4		35.672034	139.76588	"https://www.google.co.jp/maps/@35.672165,139.766022,3a,37.5y,41.58h,108.95t/data=!3m4!1e1!3m2!1sHt1JKBPx9oYFgpvlYPz-0A!2e0"	18		120	1		よくわかる現代魔法	ヨクワカルゲンダイマホウ	オープニングラストのカットで森下こよみが携帯電話を翳している場所。二丁目方向で松屋銀座や大和証券、シャネル銀座ビルディングなどが描かれています。				チュウオウク	ヨ	13	16	2	
0907	0006	完了	東京都	中央区	東京メトロ 銀座駅	104-0061	東京都中央区銀座4-1		35.671944	139.763889	-	17		0		03-3561-4478	よくわかる現代魔法	ヨクワカルゲンダイマホウ	オープニング冒頭のカットで登場。				チュウオウク	ヨ	13	16	2	
0907	0007	完了	東京都	中央区	銀座和光本店	104-0061	東京都中央区銀座4-5-11		35.671655	139.765016	"https://www.google.co.jp/maps/@35.671045,139.765382,3a,37.5y,327.75h,105.92t/data=!3m4!1e1!3m2!1sqQSbdlaO1KUEKGUjlxeaIg!2e0"	18		120	3		よくわかる現代魔法	ヨクワカルゲンダイマホウ	オープニング冒頭のカットで登場。				チュウオウク	ヨ	13	16	2	
0907	0008		東京都	中央区	数寄屋橋公園	104-0061	東京都中央区銀座5-1		35.672398	139.762079	"https://www.google.co.jp/maps/@35.672469,139.762433,3a,37.5y,318.59h,82.71t/data=!3m4!1e1!3m2!1syzpJ4u2y2qhbuu8gQtVgLQ!2e0"	18	○	120	1	03-3543-0211	よくわかる現代魔法	ヨクワカルゲンダイマホウ	ギバルテスの使い魔との戦闘場所。				チュウオウク	ヨ	13	16	2	
0907	0009	完了	東京都	中央区	クリスチャンディオール銀座店	104-0061	東京都中央区銀座5-6-1		35.671513	139.764185	"https://www.google.co.jp/maps/@35.671739,139.764222,3a,30y,172.05h,89.14t/data=!3m4!1e1!3m2!1s7r3uBl5DNl6JjGAPyyo6EA!2e0"	18		120	1	03-5537-8211	よくわかる現代魔法	ヨクワカルゲンダイマホウ	オープニング冒頭のカットで登場。				チュウオウク	ヨ	13	16	2	
0907	0010		東京都	中央区	auショップ銀座	104-0061	東京都中央区銀座8-8-6		35.668229	139.76154	"https://www.google.co.jp/maps/@35.66804,139.761667,3a,15y,341.47h,92.33t/data=!3m4!1e1!3m2!1sQ37VvYIXYvALR9cEK9tMHQ!2e0"	19		120	3	03-6215-6699	よくわかる現代魔法	ヨクワカルゲンダイマホウ					チュウオウク	ヨ	13	16	2	
0907	0011		東京都	渋谷区	東急 代官山駅	150-0034	東京都渋谷区代官山町19-4		35.648111	139.703167	"https://www.google.co.jp/maps/@35.647951,139.702828,3a,75y,90t/data=!3m5!1e2!3m3!1s35117318!2e1!3e10"	16		0			よくわかる現代魔法	ヨクワカルゲンダイマホウ					シブヤク	ヨ	13	10	2	
