作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0920	0001	完了	埼玉県	さいたま市	アニメイト大宮コミック館	330-0854	埼玉県さいたま市大宮区桜木町1-3-6	高井ビル1F	35.90452	139.623474	-	17.0		0		048-640-7755	らき☆すた	ラキスタ	第16話でこなたが訪れたアニメショップ。外観はなく描かれたのは店内のみでした。				サイタマシ	ラ	11	1	2	
0920	0002	完了	埼玉県	さいたま市	旧アニメイト大宮	330-0854	埼玉県さいたま市大宮区桜木町1-4-3	109ビル1F	35.904551	139.622919	-	17.0	○	0			らき☆すた	ラキスタ	第15話で泉こなたが、涼宮ハルヒの激奏チケット先行発売抽選券を一緒に引いてもらうために、柊かがみ、柊つかさ、高良みゆきの3人と共に行列に並んでいた店。ちなみに当たったのはつかさとみゆきの2人でした。				サイタマシ	ラ	11	1	2	
0920	0003	完了	埼玉県	さいたま市	スクランブル交差点	330-0854	埼玉県さいたま市大宮区桜木町2-2		35.905709	139.621309	"https://www.google.co.jp/maps/@35.905632,139.621333,3a,75y,67.01h,95.04t/data=!3m4!1e1!3m2!1sRkTYG8zTnM9CLtyZHZXRfA!2e0?hl=ja"	16.0		120	3		らき☆すた	ラキスタ	第15話で泉こなたたちが行ったライブ（涼宮ハルヒの激奏）の帰り道で描かれていた交差点。				サイタマシ	ラ	11	1	2	
0920	0004	完了	埼玉県	さいたま市	ゲーマーズ大宮店	330-0854	埼玉県さいたま市大宮区桜木町2-251		35.90452	139.623474	"https://www.google.co.jp/maps/@35.906429,139.618793,3a,75y,338.92h,95.88t/data=!3m4!1e1!3m2!1sHO3tihVkbHD4eAuuZ8SUgQ!2e0?hl=ja"	17.0	○	120	3	048-650-7871	らき☆すた	ラキスタ	第14話で泉こなたが、少し前にポイントを使ってしまったばかりなのに、新しく超欲しいポイント交換景品が登場していることに衝撃を受けていたアニメショップ。現在は別の建物に移転してしまい、アニメイトの看板は見られませんが、ビルの外観はそのまま残されています。				サイタマシ	ラ	11	1	2	移転
0920	0005	完了	埼玉県	さいたま市	JR 大宮駅	330-0853	埼玉県さいたま市大宮区錦町630		35.906278	139.623833		13.0		0			らき☆すた	ラキスタ	第19話で駅前の高架通路を小早川ゆたか、岩崎みなみ、田村ひよりの3人が歩いていたところ、すれ違った『鋼の錬金術師』のコスプレイヤーに、ひよりだけが反応して写真を撮っていました。				サイタマシ	ラ	11	1	2	
0920	0006	完了	埼玉県	さいたま市	JR 大宮駅 駅前	330-0853	埼玉県さいたま市大宮区錦町630		35.906286	139.622475		17.0		0			らき☆すた	ラキスタ	第14話で柊かがみと高良みゆきが、歩きながら塾や教材の勧誘電話について話していた場所。背景にそごう大宮店や北山ビルの屋上広告などの南側の景色が忠実に描かれていました。				サイタマシ	ラ	11	1	2	
0920	0007	完了	埼玉県	さいたま市	大宮ソニックシティ	330-8669	埼玉県さいたま市大宮区桜木町1-7-5		35.9052	139.619606	"https://www.google.co.jp/maps/@35.905178,139.621611,3a,75y,282.7h,110.41t/data=!3m4!1e1!3m2!1sU3YFrAnQ38mym5ka-zB7zA!2e0?hl=ja"	16.0		120	2		らき☆すた	ラキスタ	第15話で泉こなたたちが行ったライブ（涼宮ハルヒの激奏）の会場。ライブシーンの直前挿入カットで外観が描かれていました。	http://www.sonic-city.or.jp/	http://www.sonic-city.or.jp/		サイタマシ	ラ	11	1	2	
0920	0008	完了	埼玉県	幸手市	東武鉄道 幸手駅	340-0115	埼玉県幸手市中1-1-23		36.07466	139.715122	"https://www.google.co.jp/maps/@36.074916,139.71541,3a,75y,231.85h,91.38t/data=!3m4!1e1!3m2!1sdPPyJwqJBJu0WdmPwHuJRw!2e0?hl=ja"	13.0		120	3		らき☆すた	ラキスタ	第20話で、浴衣を着て花火を見に行く泉こなたと小早川ゆたかが電車に乗った駅。				サッテシ	ラ	11	33	2	
0920	0009	完了	埼玉県	幸手市	きまぐれスタジオ・美水かがみギャラリー幸手	340-0111	埼玉県幸手市北3-14-18		36.086943	139.725234	"https://www.google.co.jp/maps/@36.086828,139.72534,3a,75y,326.24h,104.68t/data=!3m4!1e1!3m2!1sOOpmjpVjHWr-g8h8h03Kfw!2e0?hl=ja"	17.0		120	3		らき☆すた	ラキスタ	第4話に出て来た泉家のモデルであり、作者の旧宅。幸手市商工会運営のギャラリー兼交流施設として2009年3月28日に開館したが、2011年1月10日に閉館しています。				サッテシ	ラ	11	33	2	閉館
0920	0010	完了	埼玉県	幸手市	田んぼ	340-0103	埼玉県幸手市内国府間		36.087571	139.725097	"https://www.google.co.jp/maps/@36.087618,139.725107,3a,75y,12.15h,77.5t/data=!3m4!1e1!3m2!1sQdMeBbVPXDMQj4YEeb62gw!2e0?hl=ja"	17.0		120	1.5		らき☆すた	ラキスタ	オープニングで泉こなたが踊っていた田んぼの道。				サッテシ	ラ	11	33	2	
