作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0975	0001	完了	長野県	飯田市	遠山川沿いの遊歩道	399-1311	長野県飯田市南信濃和田		35.322254	137.933597	-						わんおふ -one off-	ワンオフ	第4話エンディングで、バイクに乗った汐崎春乃、鏑木小夜、別所杏里、前園利絵の4人が並んで走っていた桜並木の続く遊歩道。				イイダシ	ワ	20	28	2	
0975	0002		長野県	飯田市	鐘櫓 前	399-1311	長野県飯田市南信濃和田		35.318850	137.922835	"https://www.google.co.jp/maps/@35.318721,137.922741,3a,15y,334.73h,105.16t/data=!3m4!1e1!3m2!1sapCxT0C8Qpb__059W8ZZOA!2e0?hl=ja"						わんおふ -one off-	ワンオフ	第4話				イイダシ	ワ	20	28	2	
0975	0003	完了	長野県	飯田市	福島屋商店	399-1311	長野県飯田市南信濃和田1131		35.322499	137.935167	"https://www.google.co.jp/maps/@35.322364,137.935162,3a,38.9y,3.3h,89.22t/data=!3m4!1e1!3m2!1sGt4PxHI6UKSSxLIg8H70wA!2e0"						わんおふ -one off-	ワンオフ	第1話冒頭の通学シーンで、汐崎春乃が鏑木小夜、別所杏里と合流していた場所。看板の喜久水の文字は「喜寿水」に変えられていましたが、自動販売機や周囲の建物まで、ほぼ忠実に描かれていました。				イイダシ	ワ	20	28	2	
0975	0004		長野県	飯田市	龍淵寺	399-1311	長野県飯田市南信濃和田1198		35.321247	137.935553	"https://www.google.co.jp/maps/@35.3212197,137.9353065,3a,75y,90t/data=!3m5!1e2!3m3!1s-vqonVHA90h0%2FUHq_ZayrO_I%2FAAAAAAAAE3A%2F9WQIA99uPq4!2e4!3e15"						わんおふ -one off-	ワンオフ	第3話。				イイダシ	ワ	20	28	2	
0975	0005	完了	長野県	飯田市	飯田市遠山郷商工会館 前	399-1311	長野県飯田市南信濃和田1257		35.319422	137.933231	"https://www.google.co.jp/maps/@35.319512,137.933356,3a,47.1y,244.33h,98.85t/data=!3m4!1e1!3m2!1sW6PgypexInQ58iWgOVCyGw!2e0"						わんおふ -one off-	ワンオフ	第3話のオープニングの鏑木小夜のシーンで描かれていた場所で、秋葉街道から来た小夜の乗るバイクが、この交差点を折り返して商工会館側へ走って行く姿が描かれていました。				イイダシ	ワ	20	28	2	
0975	0006	完了	長野県	飯田市	下栗の里 葛折の山道	399-1403	長野県飯田市上村		35.374447	137.987150	-						わんおふ -one off-	ワンオフ	第1話冒頭の通学シーンで、汐崎春乃がバイクで下っていた葛折の山道。多少省略されているところもありますが、家の連なりなどは忠実に再現されていました。				イイダシ	ワ	20	28	2	
0975	0007	完了	長野県	飯田市	天空の里ビューポイント（おおぎびら展望台） 	399-1403	長野県飯田市上村		35.377558	137.986483	"https://www.google.co.jp/maps/@35.377563,137.986486,3a,75y,90t/data=!3m5!1e2!3m3!1s80544957!2e1!3e10"						わんおふ -one off-	ワンオフ	第1話、第2話で、汐崎春乃がいつも一人でコーヒーを飲みながら物思いにふけるお気に入りの場所からの風景で、度々シンシア・B・ロジャースがやって来ては一緒にお茶しながら話をしていました。この展望台から望む天空の里（下栗の里）の風景になります。				イイダシ	ワ	20	28	2	
0975	0008	完了	長野県	飯田市	下栗の里 半場看板	399-1403	長野県飯田市上村		35.373531	137.982059	"https://www.google.co.jp/maps/@35.373561,137.982057,3a,44.9y,209.4h,90.19t/data=!3m4!1e1!3m2!1sjTh8gkT85dyUGkFmY2VM7g!2e0"						わんおふ -one off-	ワンオフ	第2話冒頭で、夢を持っている友人達と自分の不甲斐なさに落ち込む汐崎春乃のモノローグシーンで、薄暗い早朝のカットで描かれていた看板。作中では半場の文字が「伴場」に変えられていました。				イイダシ	ワ	20	28	2	
0975	0009	完了	長野県	飯田市	下栗の里 山道	399-1403	長野県飯田市上村		35.373639	137.982255	"https://www.google.co.jp/maps/@35.373561,137.982057,3a,44.9y,70.33h,79.06t/data=!3m4!1e1!3m2!1sjTh8gkT85dyUGkFmY2VM7g!2e0"						わんおふ -one off-	ワンオフ	第2話冒頭で、夢を持っている友人達と自分の不甲斐なさに落ち込む汐崎春乃のモノローグシーンで、薄暗い早朝のカットで描かれていた山道。				イイダシ	ワ	20	28	2	
0975	0010		長野県	飯田市	小川路峠道路（矢筈トンネル東側出入口）	399-1403	長野県飯田市上村		35.441354	137.991438	"https://www.google.co.jp/maps/@35.441323,137.991438,3a,47.9y,358.5h,94.3t/data=!3m4!1e1!3m2!1svhseAw6vM0-WXcgyIgAlQA!2e0?hl=ja"						わんおふ -one off-	ワンオフ	第3話				イイダシ	ワ	20	28	2	
0975	0011		長野県	飯田市	下栗の里案内柱前	399-1403	長野県飯田市上村		35.384606	137.969622	"https://www.google.co.jp/maps/@35.38474,137.969657,3a,46.5y,161.17h,80.23t/data=!3m4!1e1!3m2!1sNf-7l-WYakUOx0JAAAb4lQ!2e0?hl=ja"						わんおふ -one off-	ワンオフ	第4話。秋葉街道から下栗の里へ向かう山道へ続く道へ入っていくところが描かれていました。				イイダシ	ワ	20	28	2	
0975	0012	完了	長野県	飯田市	はんば亭	399-1403	長野県飯田市上村1250-1		35.374694	137.982460	-						わんおふ -one off-	ワンオフ	第3話のオープニングの鏑木小夜のシーンで描かれていた店。作中では店名が「かぶらぎ亭」になっていました。				イイダシ	ワ	20	28	2	
0975	0013	完了	長野県	飯田市	ハイランドしらびそ	399-1403	長野県飯田市上村979-53		35.434028	138.028423	"https://www.google.co.jp/maps/@35.433513,138.028408,3a,33.9y,357.5h,104.9t/data=!3m4!1e1!3m2!1suegV3t2G4RL-uOQdaV6KEA!2e0"					050-3583-2302	わんおふ -one off-	ワンオフ	汐崎春乃の両親の経営する「ペンションNIWA」のモデル。建物構造は異なりますが、細部は一致します。				イイダシ	ワ	20	28	2	
0975	0014		長野県	飯田市	ハイランドしらびそ ディーゼル機関車	399-1403	長野県飯田市上村979-53		35.433309	138.028715	"https://www.google.co.jp/maps/@35.433345,138.028261,3a,15y,87.14h,90.59t/data=!3m4!1e1!3m2!1s_gHjYqFKATIColzKqw9RvQ!2e0"						わんおふ -one off-	ワンオフ	第4話。ハイランドしらびそに保存されている旧・遠山森林鉄道のディーゼル機関車が描かれていました。				イイダシ	ワ	20	28	2	
0975	0015		長野県	上伊那郡	小渋ダム	399-3801	長野県上伊那郡中川村大草		35.607514	137.978995	"https://www.google.co.jp/maps/@35.606688,137.979033,3a,75y,90t/data=!3m5!1e2!3m3!1s-_KDoihlWPjI%2FUkfUt_d2FVI%2FAAAAAAAAcwo%2FAimt0AYG4XM!2e4!3e15"						わんおふ -one off-	ワンオフ	第4話				カミイナグン	ワ	20	27	2	
0975	0016	完了	長野県	上伊那郡	四徳大橋	399-3801	長野県上伊那郡中川村大草		35.612088	137.988399	"https://www.google.co.jp/maps/@35.613004,137.986047,3a,21.7y,118.6h,93.75t/data=!3m4!1e1!3m2!1s9LOB7H0sBQGLBcgLgctASA!2e0"						わんおふ -one off-	ワンオフ	第1話冒頭の通学シーンで、汐崎春乃がバイクで渡っていた橋。作中ではトンネルの中から橋を望む構図で描かれていましたが、直近の四徳渡隧道（トンネル）は少し離れているので、作画のような構図では見ることはできません。				カミイナグン	ワ	20	27	2	
0975	0017	完了	長野県	下伊那郡	喬木インターチェンジ 下	395-1104	長野県下伊那郡喬木村氏乗		35.451887	137.940105	"https://www.google.co.jp/maps/@35.451885,137.940089,3a,42.6y,66.31h,113.88t/data=!3m4!1e1!3m2!1sWmT23wtK_Io-AkKcMWyGpw!2e0?hl=ja"						わんおふ -one off-	ワンオフ	第3話のオープニングで、汐崎春乃の家に向かう鏑木小夜、別所杏里、前園利絵が合流していた場所で、高架道路				シモイナグン	ワ	20	29	2	
0975	0018	完了	静岡県	磐田市	駒場海岸	438-0233	静岡県磐田市駒場		34.647886	137.806160	-						わんおふ -one off-	ワンオフ	第2話で汐崎春乃がシンシア・B・ロジャースと一緒に夜のツーリングで朝の海を見に来た海岸。背景に描かれている風車は磐田ウインドファームのものです、				イワタシ	ワ	22	22	3	
