作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0004	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.06241,141.3532116,3a,89.9y,76.85h,98.9t/data=!3m4!1e1!3m2!1sY08UAsFHqdQbERVjxXdEsw!2e0?hl=ja"	17.0		120	1.4	011-231-0838	アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第91話で、全国5ヶ所のドームスタジアムで行われるアイドルユニット「アイカツ8」のサマーツアー１ヶ所目として北海道入りしたシーンで描かれてていた場所の一つ。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	ア	1	1	1	
0004	0002	完了	北海道	札幌市	井門札幌ビル	060-0001	北海道札幌市中央区北一条西3-2-14		43.061905	141.352099	"https://www.google.co.jp/maps/@43.062223,141.3515786,3a,34.9y,125.08h,99.65t/data=!3m4!1e1!3m2!1s1bgUzj2gqpj2TGHGwWlYzQ!2e0"	17.0		120	1.7		アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第91話で、全国5ヶ所のドームスタジアムで行われるアイドルユニット「アイカツ8」のサマーツアー１ヶ所目として北海道入りしたシーンで描かれてていたビル。作中では、ビル入口の文字が「ハ・ン・ド」になっていました。				サッポロシ	ア	1	1	1	
0004	0003	完了	北海道	札幌市	ホテルモントレ札幌	060-0005	北海道札幌市中央区北五条西2		43.068194	141.352565	"https://www.google.co.jp/maps/@43.0676075,141.3542675,82a,35y,118.7h,60.03t/data=!3m1!1e3"	15.0		0			アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第91話で、全国5ヶ所のドームスタジアムで行われるアイドルユニット「アイカツ8」のサマーツアー１ヶ所目として北海道入りしたメンバーが宿泊したホテル。JRタワー展望台から見下ろした夜景のカットで、ホテルビルの他、パチンコスタジアムベガスベガス札幌店など北4西1交差点周辺が描かれていました。				サッポロシ	ア	1	1	1	
0004	0004	完了	北海道	札幌市	テレビ北海道本社	060-8517	北海道札幌市中央区大通東6-12-4		43.063603	141.366038	"https://www.google.co.jp/maps/@43.064028,141.3660517,3a,49.4y,198.33h,120.31t/data=!3m6!1e1!3m4!1sFpNmYpsE8Q1CUWrwMwv2QQ!2e0!7i13312!8i6656"						アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第154話の「ルミナス☆ジャパンツアー」で北海道を訪れていた大空あかりが出演し、「大空お天気in北海道」と題し、氷上スミレ、新条ひなきをゲストに迎えてお天気コーナーをしていたテレビ局。				サッポロシ	ア	1	1	1	
0004	0005	完了	北海道	札幌市	札幌ドーム	062-0045	北海道札幌市豊平区羊ケ丘1		43.014993	141.409843	"https://www.google.co.jp/maps/@43.015775,141.409529,2a,90y/data=!3m5!1e2!3m3!1s104514090!2e1!3e10"	14.0				011-850-1000	アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第91話で、アイドルユニット「アイカツ8」のサマーツアーでライブが行われた全国5ヶ所（北海道、東京、名古屋、大阪、福岡）のドームスタジアムの一つ。	http://www.sapporo-dome.co.jp/			サッポロシ	ア	1	1	1	
0004	0006	完了	北海道	札幌市	Zepp Sapporo	064-0809	北海道札幌市中央区南九条西4-4		43.049576	141.353430	"https://www.google.co.jp/maps/@43.0496787,141.3535857,3a,38.6y,232.17h,89.33t/data=!3m4!1e1!3m2!1shQ1NQtnVxU_WGzBxd07z-g!2e0"	17.0		120	2.6	011-532-6969	アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第44話のラストで、キング離脱の危機を脱したバンド「モア・ザン・トゥルー」のライブが行われていた会場。作中ではZPの文字が「LiB」になっていました。				サッポロシ	ア	1	1	1	
0004	0007	完了	北海道	旭川市	ホテルルートイン旭川駅前	070-0031	北海道旭川市一条通6-39-1		43.766132	142.356292	"https://www.google.co.jp/maps/@43.7664788,142.3561413,3a,55.6y,161.22h,121.84t/data=!3m6!1e1!3m4!1sKLsxvXx_3LYlShjoEGZa2w!2e0!7i13312!8i6656?hl=ja"	16.0		120	1.7	0166-21-5011	アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第153話の「ルミナス☆ジャパンツアー」で北海道を訪れた大空あかり、氷上スミレ、新条ひなきが宿泊していたホテル。	http://www.route-inn.co.jp/search/hotel/index_hotel_id_507			アサヒカワシ	ア	1	2	1	
0004	0008	完了	東京都	港区	テレビ東京	105-8012	東京都港区虎ノ門4-3-12		35.664658	139.743934	-	18		0			アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第3話のいちご達が美月の一日マネージャーとなった回で、コメンテーターとして美月が出演するモーニングビジネスサテライトの収録がおこなわれた「テレビTKY」のモデル。南側から見上げた構図で描かれていました。				ミナトク	ア	13	22	2	
0004	0009	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.705652	139.751884	"https://www.google.co.jp/maps/@35.7044318,139.7533098,3a,42.6y,327.0h,96.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE9scURYeVBZN3czcG9vNjVrNUU5VXIwd1k2RFR0dW1UZjNfcHVh!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE9scURYeVBZN3czcG9vNjVrNUU5VXIwd1k2RFR0dW1UZjNfcHVh%3Dw203-h100-k-no-pi-1.9962698-ya263.0177-ro3.0389307-fo100!7i5376!8i2688 "						アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第92話で、アイドルユニット「アイカツ8」のサマーツアーでライブが行われた全国5ヶ所（北海道、東京、名古屋、大阪、福岡）のドームスタジアムの一つ。作中では名前が「TOKYO DREAM STADIUM」になっていました。				ブンキョウク	ア	13	21	2	
0004	0010	完了	東京都	新宿区	新宿スタジオアルタ	160-0022	東京都新宿区新宿3-24-3		35.692491	139.701118	"https://www.google.co.jp/maps/@35.6924182,139.7010181,3a,52y,32.95h,123.39t/data=!3m6!1e1!3m4!1sBbaDwMdqpF2wYQkx-VNehw!2e0!7i13312!8i6656"	17.0					アイカツ！-アイドルカツドウ！-	アイカツアイドルカツドウ	第12話でクラスメイトのユナのためにクリスマスツリーを斬り倒しに行った映像ドキュメントが流れる野外モニター。名前が「PALTA」になっていました。				シンジュクク	ア	13	11	2	
