作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0010	0001	完了	埼玉県	さいたま市	JR 大宮駅	330-0853	埼玉県さいたま市大宮区錦町630		35.906278	139.623833	"https://www.google.co.jp/maps/@35.9051245,139.6215092,3a,28y,73.35h,98.17t/data=!3m6!1e1!3m4!1sMAwx9fsO0SNcEmqA7qP9wQ!2e0!7i13312!8i6656"	13.0		0			アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第1話で、初上京の天海春香が、ホームのキヨスクで買い物をしながら高槻やよいに電話していた駅。<br />ホームで春香が落としたインベルの起動キーを萩原雪歩が拾ったことが、春香と知り合うきっかけとなっていました。<br />第26話では、春香からiDOLのアイドルマスター（パイロット）であることを打ち明けられたやよいが、東京へ向かうシーンでもこの駅が描かれており、やよいが駅前に停まっていたタクシーに乗り込んでいました。				サイタマシ	ア	11	1	2	
0010	0002	完了	東京都	千代田区	JR 東京駅　東北・上越・北陸新幹線のりば 前	100-0005	東京都千代田区丸の内1-9-1		35.681758	139.767381	-			0			アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第1話で渋々天海春香と萩原雪歩を迎えに来たものの待ちぼうけを喰らった水瀬伊織が、春香に怒りの電話をかけていた場所。				チヨダク	ア	13	17	2	
0010	0003	完了	東京都	千代田区	JR 東京駅　「仲間」の像	100-0005	東京都千代田区丸の内1-9-1		35.681298	139.767281	-	19		0			アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第1話で歓迎のためにペンギンの着ぐるみを着て天海春香を迎えに来たものの、行き違いになってしまった高槻やよいが、春香に電話をしていた場所。<br />作中では像がなく、像がある場所に設置された公衆電話で電話をしていました。<br />※現在は像がエレベーター横に移動されています。				チヨダク	ア	13	17	2	
0010	0011	完了	東京都	千代田区	有楽町マリオン 前	100-0006	東京都千代田区有楽町2-5		35.673197	139.762672	"https://www.google.co.jp/maps/@35.6730961,139.7626662,3a,30y,349.33h,92.65t/data=!3m6!1e1!3m4!1sZtZarFsdrLC3ctCHqVBdLg!2e0!7i16384!8i8192"						アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第17話で、クリスマス&萩原雪歩のバースデーパーティーのための買い出しに行く雪歩が、天海春香と待ち合わせをしていた場所。				チヨダク	ア	13	17	2	
0010	0013	完了	東京都	千代田区	山下橋ガード（山下橋架道橋） 前	100-0011	東京都千代田区内幸町1-7		35.672183	139.760011	"https://www.google.co.jp/maps/@35.6722944,139.7599861,3a,40y,186.97h,98.61t/data=!3m6!1e1!3m4!1sIzFEbYiE-f5ouI26hupJ8Q!2e0!7i13312!8i6656"						アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第5話で、萩原雪歩が天海春香に追試の結果を話していたシーンの冒頭カットで描かれていた場所。<br />煉瓦造の新永間市街線高架橋を画面左に、帝国ホテルタワーの一部が画面右に描かれていました。<br />流れから雪歩と春香が話をしていたのは、山下橋ガードということになりますが、作中で描かれていた高架下は実際のものと大分形状が異なるので、ガード下のみ別の場所に描き変えられているようです。				チヨダク	ア	13	17	2	
0010	0004	完了	東京都	中央区	築地川銀座公園	104-0045	東京都中央区築地1-13		35.66865	139.768884	"https://www.google.co.jp/maps/@35.66901,139.7693401,3a,31.3y,225.12h,96.03t/data=!3m6!1e1!3m4!1sb9wU-j67lBDPAH-OlC5MLQ!2e0!7i16384!8i8192"	17		0			アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第1話で、「十六夜寮」を探す天海春香と萩原雪歩がアメリカンドッグを食べて休憩していた公園で、春香が公園下を通る首都高速都心環状線から発進する「iDOL」を目撃していました。				チュウオウク	ア	13	16	2	
0010	0009	完了	東京都	中央区	日証金築地寮	104-0045	東京都中央区築地3-7-6		35.667552	139.773464	"https://www.google.co.jp/maps/@35.667393,139.7734923,3a,59y,355.68h,102.57t/data=!3m6!1e1!3m4!1s2Buprlg-g0RtftsvDiEOFg!2e0!7i13312!8i6656"						アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	上京した天海春香が下宿することになった「十六夜寮」の立地モデル。<br />作中では建物が改変されています。				チュウオウク	ア	13	16	2	
0010	0005	完了	東京都	中央区	欧風料理ムッシュ	104-0045	東京都中央区築地3-10-10		35.667854	139.772623	-	18		0		03-3541-0152	アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第2話で、アイドルオーディションに合格して上京した天海春香から、芸能アイドルではなく、iDOLの操縦者である「アイドルマスター」だったことを聞いた高槻やよいが、悪徳業者に騙されていると憤慨していた喫茶店のモデル。<br />第5話では、春香、萩原雪歩、水瀬伊織の3人が、やよいのラジオ番組への投稿ハガキを書かされていました。<br /><br />第13話では、春香とやよいがパフェを食べていました。<br />第16話では、インベルの過去を聞いた春香がやよいに相談をしていました。<br />第22話では、アイドルマスター課の解散後のジョセフ・真月がアルバイトをしており、基地奪還の作戦会議の場となっていました。<br />作中では店名が「純喫茶ムッシュ」になっていましたが、実際には喫茶店ではなく洋食屋です。<br />※2012年春に閉店し、建物も解体済です。				チュウオウク	ア	13	16	2	閉店
0010	0006	完了	東京都	中央区	築地本願寺脇の道路	104-0045	東京都中央区築地3-15		35.66701	139.772685	"https://www.google.co.jp/maps/@35.6671952,139.7725743,3a,38.9y,149.02h,96.74t/data=!3m6!1e1!3m4!1sNZqt_T7bLKksynIYvUpmRw!2e0!7i16384!8i8192"	18		0			アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第5話で、追試を受けに「玉兎高等学校」に向かう天海春香と萩原雪歩が歩いていた場所で、不安そうな雪歩を見て、春香が寄り道をしようと雪歩の手を引いて走っていく姿が描かれていました。				チュウオウク	ア	13	16	2	
0010	0012	完了	東京都	中央区	和光本館	104-0061	東京都中央区銀座4-5-11		35.671536	139.765055	"https://www.google.co.jp/maps/@35.671114,139.7649209,3a,40y,10.25h,113.79t/data=!3m6!1e1!3m4!1sSFknMTKNjorm1ZhWD61KXw!2e0!7i13312!8i6656"						アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第17話冒頭の雨の街のカットで、夜の交差点から見上げる構図で描かれていたビル。<br />第17話では、萩原雪歩が、天海春香の映像が映し出された巨大モニターを見上げるシーンで、同じく交差点から見上げるビルが描かれていました。				チュウオウク	ア	13	16	2	
0010	0007	完了	東京都	中央区	泰明小学校	104-0061	東京都中央区銀座5-1-13		35.672382	139.761476	"https://www.google.co.jp/maps/@35.6720155,139.7614032,3a,90y,358.45h,94.93t/data=!3m6!1e1!3m4!1sUZlYBp5IlDDx0MW0qqYDew!2e0!7i13312!8i6656"	17		0		03-3571-1765	アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	「モンデンキント」の本拠地の隠れ蓑であり、天海春香たちの通う学校でもある「玉兎高等学校」のモデル。	http://www.chuo-tky.ed.jp/~taimei-es/	http://www.chuo-tky.ed.jp/~taimei-es/		チュウオウク	ア	13	16	2	
0010	0008	完了	東京都	中央区	銀座四丁目交差点（三愛ドリームセンター前）	104-0061	東京都中央区銀座5-7-2	三愛ビル1F	35.671167	139.764638	"https://www.google.co.jp/maps/@35.6709864,139.7648168,3a,33y,351.17h,110.03t/data=!3m6!1e1!3m4!1s7jYlweIWfnC4sSMFeebbKA!2e0!7i13312!8i6656"	18		0		03-5537-8959	アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第2話の天海春香と萩原雪歩が一緒に「玉兎高等学校」に行くシーンの挿入カットで、三愛ドリームセンター越しに浜一・和光ビルや和光本館などのビル群が描かれていました。	http://www.doutor.co.jp/shopsearch/detail/05000027.html	http://www.doutor.co.jp/shopsearch/detail/05000027.html		チュウオウク	ア	13	16	2	
0010	0010	完了	東京都	渋谷区	大盛堂書店 前	150-0042	東京都渋谷区宇田川町22-1		35.659732	139.700139	"https://www.google.co.jp/maps/@35.6595686,139.7003918,3a,40y,301.51h,113.82t/data=!3m6!1e1!3m4!1stiD1BKEZG5Aq0KJKYgf3iQ!2e0!7i13312!8i6656"						アイドルマスター XENOGLOSSIA	アイドルマスターゼノグラシア	第16話で、天海春香が出場してアイドルデビューのきっかけとなった「ガールズサンタコンテスト07」				シブヤク	ア	13	10	2	
