作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0009	0039	完了	東京都	港区	文化放送	105-0013	東京都港区浜松町1-31		35.656880	139.757153	"https://www.google.co.jp/maps/@35.6565063,139.7573296,3a,42.8y,343.63h,127.01t/data=!3m6!1e1!3m4!1sm-qACZWmH2fiKwW2azcRJA!2e0!7i13312!8i6656?hl=ja"						アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第6話で、new generations（島村卯月、渋谷凛、本田未央）が、CDデビュー告知のためにゲスト出演したラジオ番組「高森藍子のゆるふわタイム」の収録が行われていたラジオ局。<br />作中では局名が「文花放送」になっていました。				ミナトク	ア	13	22	2	
0009	0001	完了	東京都	港区	日テレプラザ	105-0021	東京都港区東新橋1-6-1		35.663958	139.760004	"https://www.google.co.jp/maps/@35.663826,139.760062,3a,90y,328.12h,97.56t/data=!3m5!1e1!3m3!1snyW2AaSdSKI2e7p4DL0xoA!2e0!3e2?hl=ja"	17		120	1		アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第1話冒頭のプロデューサー、スーパーバイザーがテロップされているカットで描かれていた吹き抜けの中庭。	http://www.ntv.co.jp/shiodome/			ミナトク	ア	13	22	2	
0009	0005	完了	東京都	渋谷区	竹下通り ゲート（西側）	150-0001	東京都渋谷区神宮前1		35.671544	139.703159	"https://www.google.co.jp/maps/@35.671569,139.703076,3a,27.7y,115.94h,107.18t/data=!3m4!1e1!3m2!1sjpJ_E0YcP_V1Lq5wU2AHLQ!2e0?hl=ja"	19		120	2		アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第1話冒頭の音響監督、音楽、音楽制作、音楽制作協力がテロップされているカットで、ゲートが描かれていました。<br />第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンでは、ゲートをバックに3人が記念撮影をしていました。				シブヤク	ア	13	10	2	
0009	0003	完了	東京都	渋谷区	原宿警察署	150-0001	東京都渋谷区神宮前1-4-17		35.671831	139.707635	"https://www.google.co.jp/maps/@35.6716863,139.7078185,3a,25.7y,319.57h,92.22t/data=!3m6!1e1!3m4!1sOyF6rHsUq7HwKZmdYeESRA!2e0!7i13312!8i6656"				4		アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、トークショーイベント2回目公演の場所への移動途中でプロデューサーと逸れてしまった凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）を探すために原宿にやって来た城ヶ崎美嘉が、莉嘉から警察にいると連絡を受けて訪れた警察署。				シブヤク	ア	13	10	2	
0009	0004	完了	東京都	渋谷区	THE World Connection	150-0001	東京都渋谷区神宮前1-6-8	ローリエビル	35.670836	139.705701	"https://www.google.co.jp/maps/@35.6708219,139.7056066,3a,24.9y,81.34h,81.48t/data=!3m6!1e1!3m4!1sbLctVqJvv_SFJdQoeAPlTg!2e0!7i16384!8i8192"						アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンで、3人が店頭のマスコットを物色していた店。				シブヤク	ア	13	10	2	
0009	0006	完了	東京都	渋谷区	closetchild	150-0001	東京都渋谷区神宮前1-6-11	丸一原宿ビル	35.670992	139.705336	"https://www.google.co.jp/maps/@35.67095,139.705284,3a,27.3y,57.3h,114.34t/data=!3m4!1e1!3m2!1s-ZIGlFLS-UOkfam20RBOIg!2e0"	19		120	4	03-3403-4106	アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンで、2Fのショーウシンドウに飾られた神崎蘭子が着そうなゴスロリ服を見た3人が、揃って「蘭子ちゃん」と言っていました。	http://www.closetchildonlineshop.com/			シブヤク	ア	13	10	2	
0009	0007	完了	東京都	渋谷区	マリオンクレープ 原宿竹下通り店	150-0001	東京都渋谷区神宮前1-6-15		35.671219	139.704922	"https://www.google.co.jp/maps/@35.671237,139.704704,3a,21.6y,93.98h,84.71t/data=!3m4!1e1!3m2!1skG38v_CNUconIElpH4SVsg!2e0"	19		120	4		アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンで、3人がクレープを買っていた店。<br />作中では店名が「ミリオンクレープ」になっていました。				シブヤク	ア	13	10	2	
0009	0008	完了	東京都	渋谷区	キャンディー・ア・ゴー・ゴー 原宿竹下通り店	150-0001	東京都渋谷区神宮前1-7-1	キュートキューブ1F	35.670850	139.705425	"https://www.google.co.jp/maps/@35.6708864,139.705477,3a,75y,212.6h,88.34t/data=!3m6!1e1!3m4!1sBpI_m_nKWnPJMn8-Pm-XpA!2e0!7i13312!8i6656"	19		120	2	03-6804-6671	アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンで、3人のそばにいると周囲から変な目で見られるのを気にして距離をを置くプロデューサーに、3人が何でそんなに離れて歩くのか尋ねていた場所。	http://candyagogo.com/shops/shops16.php			シブヤク	ア	13	10	2	
0009	0036	完了	東京都	渋谷区	モンキ 原宿店 前	150-0001	東京都渋谷区神宮前1-7-1	キュートキューブ原宿1F	35.670782	139.705642	"https://www.google.co.jp/maps/@35.6707914,139.7056764,3a,37y,253.77h,80.77t/data=!3m6!1e1!3m4!1sxWGY0EdJODmHflYz0T_lDA!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンで、3人をスマホで撮影していたプロデューサーが、盗撮していると勘違いされて警察に声をかけられていた場所。<br />※閉店済				シブヤク	ア	13	10	2	閉店
0009	0009	完了	東京都	渋谷区	175番館 前	150-0001	東京都渋谷区神宮前1-7-3		35.670700	139.705744	"https://www.google.co.jp/maps/@35.6707343,139.7057884,3a,60y,228.56h,73.12t/data=!3m6!1e1!3m4!1szzReEy3bpbw0MWYahlUhug!2e0!7i16384!8i8192"	19		120	1		アイドルマスター シンデレラガールズ（1st SEASON）	アイドルマスターシンデレラガールズ	第10話で、凸レーション（諸星きらり、城ヶ崎莉嘉、赤城みりあ）が、トークショーイベント2回目公演の場所への移動途中にプロデューサーにおねだりしてやって来た原宿シーンで、3人が読者モデルのスカウトに声をかけられていた場所。				シブヤク	ア	13	10	2	
