作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1205	0001	完了	東京都	千代田区	東京駅丸の内駅舎	100-0005	東京都千代田区丸の内1-9		35.680524	139.765741	"https://www.google.co.jp/maps/@35.6807248,139.7650924,3a,32y,87.76h,106.31t/data=!3m6!1e1!3m4!1sLKEaUGmKZadet9RHAYop6w!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第21話のProject Kroneのイメージカットの一つで、駅舎前でポーズを取る宮本フレデリカの姿が描かれていました。				チヨダク	ア	13	17	2	
1205	0002	完了	東京都	千代田区	中央通り（ソフマップAKIBA3号店 Mac Collection前）	101-0021	東京都千代田区外神田3-13		35.700725	139.771383	"https://www.google.co.jp/maps/@35.7006842,139.7714298,3a,53y,286.46h,92.73t/data=!3m6!1e1!3m4!1sA0AtNqb58RkMqOVPW0Nu1A!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第14話で、プロデューサーとnew generations（島村卯月、渋谷凛、本田未央）がミニライブイベント（第15話でイベントの模様が描かれていました）の顔合わせで秋葉原にやって来たシーンで、4人が車を下りていた場所。プロデューサーのストーカー騒ぎの中とあって、3人が周囲を警戒していました。				チヨダク	ア	13	17	2	
1205	0003	完了	東京都	千代田区	ソフマップAKIBA3号店 Mac Collection	101-0021	東京都千代田区外神田3-13-7		35.700756	139.771239	"https://www.google.co.jp/maps/@35.7007562,139.7715502,3a,62y,276.56h,113.99t/data=!3m6!1e1!3m4!1s9hegtOhYrGeOVl5LSLEP3A!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第15話で、高垣楓とnew generations（島村卯月、渋谷凛、本田未央）が出演した「ゾフマップインストアライブ」の会場となっていたビル。<br />作中では店名が「Zofmap」になっており、8階イベントスペースが会場という設定になっていました。				チヨダク	ア	13	17	2	
1205	0004	完了	東京都	千代田区	中央通り（タイトーステーション 秋葉原店前）	101-0021	東京都千代田区外神田4-2		35.700231	139.771436	"https://www.google.co.jp/maps/@35.700037,139.7712986,3a,44.8y,43.97h,123.38t/data=!3m6!1e1!3m4!1s_PHXv1Qd2wqsF2JnOhhMSg!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第14話で、プロデューサーとnew generations（島村卯月、渋谷凛、本田未央）がミニライブイベントの顔合わせで秋葉原にやって来たシーンの冒頭カットで、タイトーステーション 秋葉原店から北側に建ち並ぶビル群が描かれていました。				チヨダク	ア	13	17	2	
1205	0005	完了	東京都	千代田区	科学技術館	102-0091	東京都千代田区北の丸公園2-2-1	北の丸公園	35.691569	139.753123	"https://www.google.com/maps/@35.6913134,139.7525126,3a,38y,88.92h,107.07t/data=!3m6!1e1!3m4!1sViNlA4bC6QmPfqIdhmEOrg!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第19話で、＊（Asterisk）（前川みく、多田李衣菜）が単独ライブをしていた会場。				チヨダク	ア	13	17	2	
1205	0006	完了	東京都	千代田区	北の丸公園（科学技術館前の交差点）	102-0091	東京都千代田区北の丸公園2-2-1		35.691261	139.752453	"https://www.google.com/maps/@35.691332,139.7525641,3a,25.8y,223.05h,89.79t/data=!3m6!1e1!3m4!1sJZUItzn1RoS3v7jZsSKdcg!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第19話で、＊（Asterisk）（前川みく、多田李衣菜）の単独ライブを見に来て、伝言を残して会場を後にした木村夏樹が歩いていた場所。				チヨダク	ア	13	17	2	
1205	0007	完了	東京都	港区	テレビ東京（日経電波会館）	105-0001	東京都港区虎ノ門4-3-12		35.663967	139.743395	"https://www.google.co.jp/maps/@35.6647275,139.7440052,3a,41y,241.83h,107.65t/data=!3m6!1e1!3m4!1sdFz9pjbKn_q19l0rJGD9xA!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第17話で、シンデレラプロジェクト継続のため、プロデューサーが企画営業で回っていたテレビ局の一つ。<br />※2016年に移転済。				ミナトク	ア	13	22	2	移転
1205	0008	完了	東京都	港区	元赤坂知性ビル	107-0051	東京都港区元赤坂1-4-2		35.677037	139.732743	"https://www.google.co.jp/maps/@35.6770948,139.7327975,3a,75y,226.82h,132.48t/data=!3m6!1e1!3m4!1sz2T3WxrcWNNomlcefLnrTw!2e0!7i13312!8i6656?hl=ja"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第23話で、本田未央が演劇「秘密の花園」の稽古をしていたビル。				ミナトク	ア	13	22	2	
1205	0009	完了	東京都	台東区	浅草花やしき	111-0032	東京都台東区浅草2-28-1		35.715222	139.795035	"https://www.google.co.jp/maps/@35.7150991,139.7951039,3a,48y,331.86h,95.65t/data=!3m6!1e1!3m4!1s5rUd9Dfr0hiadSdiGlRBMg!2e0!7i16384!8i8192"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第23話で、緒方智絵里と神崎蘭子がレポーターを務めるロケが行われていた場所。				タイトウク	ア	13	15	2	
1205	0010	完了	東京都	台東区	食事処 芳野屋	111-0032	東京都台東区浅草2-29		35.715157	139.795178	"https://www.google.co.jp/maps/@35.7150991,139.7951039,3a,42.8y,34.05h,81.88t/data=!3m6!1e1!3m4!1s5rUd9Dfr0hiadSdiGlRBMg!2e0!7i16384!8i8192"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第23話で、花やしきでのロケが押していて、プロデューサーが次の現場に神崎蘭子の入りが30分遅れることを伝え謝っていたシーンで、背後に描かれていた建物。				タイトウク	ア	13	15	2	
1205	0011	完了	東京都	葛飾区	フーテンの寅像	125-0052	東京都葛飾区柴又4-8		35.756926	139.875671	"https://www.google.co.jp/maps/@35.7567887,139.8757245,3a,15y,342.14h,89.75t/data=!3m6!1e1!3m4!1sz6r0Bu3SVboVBJtAgm9SaA!2e0!7i13312!8i6656"				5		アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第18話で、三村かな子と緒方智絵里がロケで訪れた柴又シーンの冒頭カットで描かれていた銅像。				カツシカク	ア	13	6	2	
1205	0012	完了	東京都	葛飾区	帝釈天参道（立花屋煎餅店前付近）	125-0052	東京都葛飾区柴又7		35.757876	139.876935	"https://www.google.com/maps/@35.7579407,139.8770324,3a,15y,235.08h,90.4t/data=!3m7!1e1!3m5!1sdEqsEPzd4sGwz1q-D80JIg!2e0!3e2!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第18話で、三村かな子と緒方智絵里がロケで訪れた柴又シーンで、2人のことが気がかりで、自分たちの撮影を終えた諸星きらりと双葉杏がやって来た場所。<br />立花屋煎餅店前辺りから西側を望む構図で、商店街の店々や神明會と書かれたゲートなどが描かれていました。				カツシカク	ア	13	6	2	
1205	0013	完了	東京都	葛飾区	映画の碑	125-0052	東京都葛飾区柴又7-3		35.757483	139.876021	"https://www.google.co.jp/maps/@35.7574195,139.8759825,3a,15y,118.25h,86.66t/data=!3m6!1e1!3m4!1s4kHhuR78ZiFa1dUl9hp0Dg!2e0!7i13312!8i6656"				5		アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第18話で、三村かな子と緒方智絵里がロケで訪れた柴又シーンの冒頭カットで描かれていた石碑。				カツシカク	ア	13	6	2	
1205	0014	完了	東京都	葛飾区	帝釈天参道交差点	125-0052	東京都葛飾区柴又7-3		35.757532	139.876335	"https://www.google.co.jp/maps/@35.7575422,139.8763533,3a,40y,273.31h,80.6t/data=!3m6!1e1!3m4!1sHfwmM9y-EgU7FnIKU9iT5Q!2e0!7i13312!8i6656"						アイドルマスター シンデレラガールズ（2nd SEASON）	アイドルマスターシンデレラガールズ	第18話で、三村かな子と緒方智絵里が、同じ場所で先にロケをしていたカワイイボクと野球どすえ（輿水幸子、小早川紗枝、姫川友紀）の撮影を見学シていた場所。				カツシカク	ア	13	6	2	
