作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0051	0016	完了	千葉県	千葉市	カンデオホテルズ千葉	260-0025	千葉県千葉市中央区問屋町1-45	千葉ポートスクエア	35.602473	140.110577	"https://www.google.co.jp/maps/@35.6017079,140.1106245,3a,58y,3.47h,118.24t/data=!3m6!1e1!3m4!1sdr_u61zu5gCK6_yuNYkR_Q!2e0!7i16384!8i8192"						アマガミSS	アマガミエスエス	第4話で、森島はるかが橘純一を連れてきたホテルの外観モデル。<br />作中では、低層部分の形状が描き変えられています。<br />※2020年5月24日閉館				チバシ	ア	12	1	2	
0051	0001	完了	千葉県	銚子市	銚子ポートタワー	288-0001	千葉県銚子市川口町2-6385-267		35.740924	140.862831	"https://www.google.co.jp/maps/@35.74029,140.862623,3a,62.3y,12.93h,100.43t/data=!3m4!1e1!3m2!1siRJ-cA48Np7L2eBtbx1kWQ!2e0"	17.0			2.5	0479-24-9500	アマガミSS	アマガミエスエス	第8話で、橘純一が棚町薫とデートで訪れた場所。<br />土産物売場や、エレベーター前など、かなり忠実に再現されています。	http://www.choshikanko.com/extra/porttower/	http://www.choshikanko.com/extra/porttower/		チョウシシ	ア	12	25	2	
0051	0002	完了	千葉県	銚子市	川口神社	288-0001	千葉県銚子市川口町2-6378		35.73824	140.855417	-	17.0					アマガミSS	アマガミエスエス	第22話冒頭で、絢辻詞が、手帳を見てしまった橘純一に本性を表していた神社。<br />第23話では、絢辻が手帳を燃やし、純一に「あなたを私のものにします」と宣言していました。<br />※ファンの間では「綾辻神社」と呼称されています。				チョウシシ	ア	12	25	2	
0051	0003	完了	千葉県	銚子市	君ヶ浜しおさい公園	288-0011	千葉県銚子市君ヶ浜		35.714227	140.865625	-	17.0					アマガミSS	アマガミエスエス	第7話で、橘純一が学校を無断欠席した棚町薫を探してやって来た砂浜。				チョウシシ	ア	12	25	2	
0051	0004	完了	千葉県	銚子市	君ヶ浜しおさい公園　休憩所	288-0011	千葉県銚子市君ヶ浜		35.714719	140.865857	-	17.0					アマガミSS	アマガミエスエス	第14話で、七咲逢が橘純一にイナゴマスクの変身ポーズを練習させられていた場所。				チョウシシ	ア	12	25	2	
0051	0005	完了	千葉県	銚子市	犬吠埼灯台	288-0012	千葉県銚子市犬吠埼9576		35.707906	140.868442	"https://www.google.co.jp/maps/@35.716399,140.867066,3a,15y,172.54h,89.91t/data=!3m4!1e1!3m2!1sf3gotgGNeOFCNNVCbvylsA!2e0"	17.0			5		アマガミSS	アマガミエスエス	第14話で、橘純一と七咲逢が君ヶ浜しおさい公園の休憩所で話しをしているシーンの挿入カットで描かれていた灯台。				チョウシシ	ア	12	25	2	
0051	0015	完了	千葉県	銚子市	銚子マリーナ ベンチ	288-0025	千葉県銚子市潮見町15		35.706167	140.837836	-						アマガミSS	アマガミエスエス	第13話で、橘純一と七咲遥が、福引で当てた商品券で買った大判焼きを食べていた屋根のあるベンチ。<br />ちなみに、七咲が食べていたのはクリームの大判焼きでした。<br />第16話のラストでは、ベンチ前の石段で膝枕をしてもらっていました。				チョウシシ	ア	12	25	2	
0051	0006	完了	千葉県	銚子市	ガスト 銚子店	288-0043	千葉県銚子市東芝町2-1		35.731797	140.830127	"https://www.google.co.jp/maps/@35.732016,140.83006,3a,39.6y,153.44h,86.26t/data=!3m4!1e1!3m2!1sT-HMtjuv33cak9mST-EU1g!2e0"	18.0				0479-20-0155	アマガミSS	アマガミエスエス	棚町薫がバイトをしているファミレスのモデル。作中では「トトス」となっていました。				チョウシシ	ア	12	25	2	
0051	0007	完了	千葉県	銚子市	銚子駅 駅前	288-0044	千葉県銚子市西芝町1438		35.729694	140.827278	"https://www.google.co.jp/maps/@35.7301235,140.8275734,3a,59y,222.13h,93.03t/data=!3m6!1e1!3m4!1sL_as0q1tNI38Z3eOSYVajA!2e0!7i13312!8i6656"	17.0					アマガミSS	アマガミエスエス	第4話で、橘純一が森島はるかとデートの待ち合わせした場所。				チョウシシ	ア	12	25	2	
0051	0008	完了	千葉県	銚子市	銚子駅前広場	288-0044	千葉県銚子市西芝町1438		35.729985	140.827407	"https://www.google.co.jp/maps/@35.7301951,140.8273985,3a,23.8y,181.76h,88.24t/data=!3m6!1e1!3m4!1sw_Ib3slNhcPhevklrVZWUw!2e0!7i13312!8i6656"	17.0			5		アマガミSS	アマガミエスエス	DVD特典アニメの絢辻詞編では、「ようこそ銚子へ」のゲートを潜り、ゲートの横辺りで、移動販売のメロンパンを買って食べていました。				チョウシシ	ア	12	25	2	
0051	0009	完了	千葉県	銚子市	銚子駅 駅前横断歩道	288-0044	千葉県銚子市西芝町3		35.730195	140.827332	"https://www.google.co.jp/maps/@35.730173,140.827325,3a,75y,12.53h,82.04t/data=!3m4!1e1!3m2!1suo3M11xdga1rJsZqzIYLKQ!2e0"	17.0			2		アマガミSS	アマガミエスエス	第5話で橘純一と棚町薫が信号待ちをしていた横断歩道。<br />DVD特典アニメの絢辻詞編でも渡っています。				チョウシシ	ア	12	25	2	
0051	0010	完了	千葉県	銚子市	田園地帯	288-0805	千葉県銚子市上野町		35.725081	140.801871	"https://www.google.co.jp/maps/@35.725097,140.802057,3a,75y,295.42h,93.17t/data=!3m4!1e1!3m2!1s0qe3X5jBCNDICrvUDpqmyA!2e0"	15.0			2		アマガミSS	アマガミエスエス	次回予告で描かれている風車の見える田園風景。				チョウシシ	ア	12	25	2	
0051	0011	完了	千葉県	銚子市	銚子高等学校	288-0814	千葉県銚子市春日町2689		35.724722	140.815833	-	15.0				0479-22-6906	アマガミSS	アマガミエスエス	橘純一たちの通う「輝日東高校」のモデル。	http://www.chiba-c.ed.jp/kencho/	http://www.chiba-c.ed.jp/kencho/		チョウシシ	ア	12	25	2	
0051	0012	完了	千葉県	銚子市	清川町第1公園	288-0817	千葉県銚子市清川町4-6		35.725816	140.819175	-	16.0					アマガミSS	アマガミエスエス	第13話で、橘純一が七咲逢と初めて出会った公園。<br />出会いの場面で七咲が乗っていて、付き合い出してからは2人で向き合って乗ったブランコが実在します。<br />※ファンｎ間では「七咲公園」と呼称されています。				チョウシシ	ア	12	25	2	
0051	0017	完了	千葉県	木更津市	龍宮城スパ／ホテル三日月　アクアパーク	292-0006	千葉県木更津市北浜1		35.421892	139.897452	-						アマガミSS	アマガミエスエス	第4話で、クリスマスデートで森島はるかが橘純一を連れてきたホテル内のプールのモデル。<br />はるかが両親に会う前にホテルで汗を流すと言う表現に、純一がまた勘違いを発動させていました。				キサラヅシ	ア	12	33	2	
0051	0013	完了	東京都	江東区	大江戸温泉物語	135-0064	東京都江東区青海2-6-3		35.615459	139.777526	"https://www.google.co.jp/maps/@35.6165052,139.7771749,3a,42.1y,143.62h,92t/data=!3m7!1e1!3m5!1sPYTqmV3QN3UxKGwzEW5EIw!2e0!5s20140601T000000!7i13312!8i6656"	15.0				03-5500-1126	アマガミSS	アマガミエスエス	第10話で、中多紗江の特訓のために訪れた温泉。<br />作中では「小江戸温泉物語」となっていました。	http://www.ooedoonsen.jp/higaeri/access/	http://www.ooedoonsen.jp/higaeri/access/		コウトウク	ア	13	8	2	
0051	0014	完了	東京都	練馬区	としまえん	176-0022	東京都練馬区向山3-25-1		35.744945	139.645046	"https://www.google.co.jp/maps/@35.743129,139.647379,3a,75y,321.18h,97.16t/data=!3m5!1e1!3m3!1sTMDGYiDfjqU3PnSkHYcZ8A!2e0!3e5?hl=ja"	13.0			2	03-3990-3131	アマガミSS	アマガミエスエス	第11話で、橘純一と中多紗江が行った遊園地。<br />メリーゴーランドやステージも作中とほぼ同じものが実在しています。	http://www.toshimaen.co.jp/			ネリマク	ア	13	20	2	
