作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0058	0001	完了	東京都	千代田区	首相官邸	100-8968	東京都千代田区永田町2-3-1		35.673049	139.742580	-	16		0			アリスと蔵六	アリストロクロウ	第12話冒頭で、内藤竜が外出する政府高官を待ち伏せ、「アリスの夢」の資料を手渡して「アリス」を公表すべきだと進言していた場所。				チヨダク	ア	13	17	2	
0058	0002	完了	東京都	墨田区	東京スカイツリー	131−0045	東京都墨田区押上1-1-13		35.710023	139.810702	-	16		0			アリスと蔵六	アリストロクロウ	第1話で研究所から逃げ出した紗名が、眼下に広がる街を眺めていた場所。<br />第2話で樫村早苗と瞬間移動した先が塔近くの空中で、落下シーンで再び塔が描かれていました。				スミダク	ア	13	13	2	
0058	0003	完了	東京都	渋谷区	社会事業大学前歩道橋	150-0001	東京都渋谷区神宮前1-3		35.672090	139.708243	"https://www.google.co.jp/maps/@35.672005,139.7086619,3a,20.3y,296.61h,103.54t/data=!3m6!1e1!3m4!1sulecWoxMC1TipRxZssSOfg!2e0!7i13312!8i6656"	18		120	3		アリスと蔵六	アリストロクロウ	第6話で美容院に向かう樫村蔵六と紗名が渡っていた歩道橋。				シブヤク	ア	13	10	2	
0058	0004	完了	東京都	渋谷区	東郷神社　階段前	150-0001	東京都渋谷区神宮前1-5-3		35.671495	139.705467	"https://www.google.co.jp/maps/@35.6715337,139.7053639,3a,40.8y,81.26h,88.34t/data=!3m6!1e1!3m4!1srryt1HZNgC5lYhAmbDJrSQ!2e0!7i13312!8i6656"	18		120	2		アリスと蔵六	アリストロクロウ	第6話で、迷子になった紗名が辿り着いた神社。				シブヤク	ア	13	10	2	
0058	0005	完了	東京都	渋谷区	東郷神社　神池前の鳥居	150-0001	東京都渋谷区神宮前1-5-3		35.671272	139.706187	"https://www.google.co.jp/maps/@35.6712733,139.7062916,3a,90y,302.55h,91.08t/data=!3m6!1e1!3m4!1s00suj6oYqHmYCMWnkjOKZg!2e0!7i13312!8i6656"	18		120	2		アリスと蔵六	アリストロクロウ	第6話で、迷子になった紗名が辿り着いた神社で、ここから境内へ入っていきました。				シブヤク	ア	13	10	2	
0058	0006	完了	東京都	渋谷区	マリオンクレープ原宿竹下通り店 前	150-0001	東京都渋谷区神宮前1-6-15		35.671180	139.704856	"https://www.google.co.jp/maps/@35.6712274,139.7048383,3a,90y,109.74h,91.06t/data=!3m6!1e1!3m4!1sSS3IklkdDkqq_JprPjK3iA!2e0!7i13312!8i6656"	19		120	1		アリスと蔵六	アリストロクロウ	第6話で美容院で髪を切ってもらった紗名が樫村蔵六を探しに街を巡るシーンで、いい匂いにつられてディスプレイのクレープを見ていた紗名が、野良猫に遭遇していた場所。蔵六が紗名を探して同じ場所を通っていました。				シブヤク	ア	13	10	2	
0058	0007	完了	東京都	渋谷区	マリオンクレープ原宿竹下通り店 脇	150-0001	東京都渋谷区神宮前1-6-15		35.671346	139.704927	"https://www.google.co.jp/maps/@35.6712274,139.7048383,3a,22.9y,26.74h,82.39t/data=!3m7!1e1!3m5!1sSS3IklkdDkqq_JprPjK3iA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DSS3IklkdDkqq_JprPjK3iA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D82.807655%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	19		120	1		アリスと蔵六	アリストロクロウ	第6話で美容院で髪を切ってもらった紗名が樫村蔵六を探しに街を巡るシーンで、紗名が街で遭遇した野良猫が走っていった場所。				シブヤク	ア	13	10	2	
0058	0008	完了	東京都	渋谷区	サンタモニカクレープ 原宿明治通り店	150-0001	東京都渋谷区神宮前1-8-5		35.670227	139.706573	"https://www.google.co.jp/maps/@35.6702802,139.706595,3a,38y,228.12h,73.97t/data=!3m7!1e1!3m5!1sYKvC1mkCo1b4UU9hmjf4Hg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DYKvC1mkCo1b4UU9hmjf4Hg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D308.85297%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	19		120	1.5		アリスと蔵六	アリストロクロウ	第6話で、柏村蔵六が紗名を連れて仕事場（柏村生花）へ向かうシーンで描かれていたクレープ屋。				シブヤク	ア	13	10	2	
0058	0009	完了	東京都	渋谷区	竹下通り（ロッテリア 原宿竹下通りイースト店前）	150-0001	東京都渋谷区神宮前1-8		35.670373	139.706407	"https://www.google.co.jp/maps/@35.6703891,139.7064304,3a,31y,302.97h,97.99t/data=!3m6!1e1!3m4!1sy6tp5paQ--u8Aw5JRMTu9A!2e0!7i13312!8i6656"	18		120	2		アリスと蔵六	アリストロクロウ	第6話で、柏村蔵六が紗名を連れて仕事場（柏村生花）へ行くシーンで、蔵六が歩き疲れて能力を使おうとする紗名を制して「力を使うんだったら、考えて使え」と忠告していた場所。				シブヤク	ア	13	10	2	
0058	0010	完了	東京都	渋谷区	シャトーヒロ新館	150-0001	東京都渋谷区神宮前1-15-11		35.670535	139.703830	"https://www.google.co.jp/maps/@35.6705375,139.7037778,3a,31.6y,57.91h,80.46t/data=!3m6!1e1!3m4!1syzGNSf34iKoc86jSt4oa2Q!2e0!7i13312!8i6656"	18		120	2		アリスと蔵六	アリストロクロウ	第1話で紗名が樫村蔵六に連れてこられた樫村生花店の建物モデル。2話以降も頻繁に登場していました。				シブヤク	ア	13	10	2	
0058	0011	完了	東京都	渋谷区	カルビープラス 原宿竹下通り店	150-0001	東京都渋谷区神宮前1-16-8		35.671084	139.704930	"https://www.google.co.jp/maps/@35.6711479,139.7049808,3a,49.2y,179h,100.47t/data=!3m6!1e1!3m4!1sQ1G7mrPBNMSAGBiz_j9wwQ!2e0!7i16384!8i8192"	19		120	1		アリスと蔵六	アリストロクロウ	第6話で美容院で髪を切ってもらった紗名が樫村蔵六を探しに街を巡るシーンで、歩きながら歌っていた即興歌につまって歌詞を考えて立ち止まっていた紗名の背景に描かれていた店。				シブヤク	ア	13	10	2	
0058	0012	完了	東京都	渋谷区	JR 原宿駅 表参道口	150-0001	東京都渋谷区神宮前1-18-20		35.670343	139.702714	"https://www.google.co.jp/maps/@35.6700353,139.7028706,3a,22.3y,333.77h,94.38t/data=!3m7!1e1!3m5!1sE3vqxdJNld1BbWxWxJ3OyQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DE3vqxdJNld1BbWxWxJ3OyQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D27.812862%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	17		0			アリスと蔵六	アリストロクロウ	第1話の樫村蔵六と紗名が新宿から樫村家へタクシーで向かうシーンの挿入カットで描かれていた駅。第7話の紗名の初電車シーンでは、この駅で改札を初体験していました。第8話では、雛霧あさひと雛霧よながが紗名の住む樫村家へ遊びに行くシーンでこの駅を利用していました。				シブヤク	ア	13	10	2	
0058	0013	完了	東京都	渋谷区	竹下通り（Bil Air前）	150-0001	東京都渋谷区神宮前1-20		35.671356	139.704105	"https://www.google.co.jp/maps/@35.6713838,139.70411,3a,44.4y,108.2h,99.91t/data=!3m7!1e1!3m5!1suwkqPeTkbZHCyqIxVkOiTQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DuwkqPeTkbZHCyqIxVkOiTQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D24.703592%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	19		120	1		アリスと蔵六	アリストロクロウ	第6話で、紗名を美容院に預け、髪を切ってもらっている間に喫茶店で内藤竜から頼んでいた養子縁組の書類を受け取った樫村蔵六が、美容院に戻る際に通っていた場所。				シブヤク	ア	13	10	2	
0058	0014	完了	東京都	渋谷区	クレアーズ 原宿駅前店	150-0001	東京都渋谷区神宮前1-20-9	柴崎ビル1F	35.671364	139.704241	"https://www.google.co.jp/maps/@35.6713692,139.704134,3a,15y,87.98h,94.2t/data=!3m6!1e1!3m4!1s0Zlsp4-hvLnwrQbPE7Xq0Q!2e0!7i13312!8i6656"	19		120	1.5	03-5785-1605	アリスと蔵六	アリストロクロウ	第6話で、紗名が美容院で髪を切っている間に、樫村蔵六がブタのぬいぐるみを買っていた店。作中では店名が「Plush Toys」になっていました。				シブヤク	ア	13	10	2	
0058	0015	完了	東京都	渋谷区	表参道ヒルズ 前	150-0001	東京都渋谷区神宮前4-12-10		35.667024	139.708862	-	17		0			アリスと蔵六	アリストロクロウ	第6話で美容院で髪を切ってもらった紗名が、樫村蔵六がなかなか迎えに来ないので、自分から迎えに行こうと美容院を出て歩いていた場所。				シブヤク	ア	13	10	2	
0058	0016	完了	東京都	渋谷区	神宮前交番	150-0001	東京都渋谷区神宮前4-25-19		35.667915	139.707132	"https://www.google.co.jp/maps/@35.6678428,139.7069611,3a,15.9y,46.59h,90.4t/data=!3m6!1e1!3m4!1sJHhgpCegE5itv7XZUri34g!2e0!7i13312!8i6656"	18		120	1		アリスと蔵六	アリストロクロウ	第6話で美容院で髪を切ってもらった紗名が、樫村蔵六がなかなか迎えに来ないので、自分から迎えに行こうと美容院を出て歩いていたシーンでこの交番前を通っており、この後迷子になった紗名が保護されていたのもこの交番でした。				シブヤク	ア	13	10	2	
0058	0017	完了	東京都	新宿区	四谷警察署 旧庁舎	160-0017	東京都新宿区左門町6-5		35.686603	139.720494	"https://www.google.co.jp/maps/@35.6868989,139.7202143,3a,35.3y,142.85h,108.14t/data=!3m6!1e1!3m4!1soj9j7vJkpJLGWYpt_ZjS3g!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で樫村蔵六と紗名たちが取り調べを受けていた警察署。老朽化による改築のため、2016年に解体されてしまいました。				シンジュクク	ア	13	11	2	解体
0058	0018	完了	東京都	新宿区	歌舞伎町一番街	160-0021	東京都新宿区歌舞伎町1		35.694156	139.701130	"https://www.google.co.jp/maps/@35.6941819,139.7011334,3a,20.6y,15.49h,101.8t/data=!3m6!1e1!3m4!1s0pcX9CH-I_B5nINv7q7pow!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話の樫村蔵六が紗名を連れて家へ帰る際に歓楽街を歩くシーンで描かれていた歓楽街。				シンジュクク	ア	13	11	2	
0058	0019	完了	東京都	新宿区	上海小吃	160-0021	東京都新宿区歌舞伎町1-3-10		35.694891	139.703797	"https://www.google.co.jp/maps/@35.6949749,139.703626,3a,49.8y,117.61h,83.8t/data=!3m6!1e1!3m4!1s9uhoNBDxQmQcLb8-SqxJnA!2e0!7i13312!8i6656"					03-3232-5909	アリスと蔵六	アリストロクロウ	第1話で警察から解放され、車を処分した樫村蔵六が食事をしに訪れ、紗名と再会していた店。最初に注文していたビール（青島ビール）と羊の炒め物（大葱羊肉 ダーツォンヤンロウ）と揚げパン（銀糸捲 インスージェン）も実在します。				シンジュクク	ア	13	11	2	
0058	0020	完了	東京都	新宿区	ロボットレストラン	160-0021	東京都新宿区歌舞伎町1-7-1		35.694379	139.702782	"https://www.google.co.jp/maps/@35.6943786,139.702726,3a,15y,71.09h,99.61t/data=!3m6!1e1!3m4!1sEtgEDB003JoADuO9slfN8w!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で、樫村蔵六が紗名を連れて神社へ向かう際に歓楽街を歩くシーンで描かれていた店。				シンジュクク	ア	13	11	2	
0058	0021	完了	東京都	新宿区	歌舞伎町さくら通り	160-0021	東京都新宿区歌舞伎町1-10		35.694593	139.702843	"https://www.google.co.jp/maps/@35.694634,139.702844,3a,15y,21.35h,93.55t/data=!3m6!1e1!3m4!1s2QlOqHQ8QcdCxqo3DHB75g!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で、樫村蔵六が紗名を連れて神社へ向かう際に歓楽街を歩くシーンで描かれていた通り。				シンジュクク	ア	13	11	2	
0058	0022	完了	東京都	新宿区	無料案内所	160-0021	東京都新宿区歌舞伎町1-11-11	杉山ビル1F	35.695052	139.702956	"https://www.google.co.jp/maps/@35.6950614,139.7030149,3a,66.4y,282.59h,93.21t/data=!3m6!1e1!3m4!1sOInndWpVq_GUOgMF-YaSjA!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で届け物の後に樫村蔵六がコンビニへ向かうシーンで描かれていた無料案内所。				シンジュクク	ア	13	11	2	
0058	0023	完了	東京都	新宿区	VIPクリスタル	160-0021	東京都新宿区歌舞伎町1-16-9		35.693974	139.701877	"https://www.google.co.jp/maps/@35.6940119,139.7019629,3a,59y,209.11h,84.98t/data=!3m6!1e1!3m4!1sH7MaQIW4fUozL0VzxK_-Zg!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で、樫村蔵六が紗名を連れて神社へ向かう際に歓楽街を歩くシーンで描かれていた店。				シンジュクク	ア	13	11	2	
0058	0024	完了	東京都	新宿区	マイアミガーデン 新宿歌舞伎町セントラルロード店	160-0021	東京都新宿区歌舞伎町1-17-12	第一浅川ビル1F	35.694081	139.701500	"https://www.google.co.jp/maps/@35.6940046,139.7016184,3a,20.7y,325.91h,97.77t/data=!3m6!1e1!3m4!1sZF28hnZozFOY34ZIdUV4-A!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で、樫村蔵六が紗名を連れて神社へ向かう際に歓楽街を歩くシーンで描かれていた店。				シンジュクク	ア	13	11	2	
0058	0025	完了	東京都	新宿区	歌舞伎町一番街のゲート	160-0021	東京都新宿区歌舞伎町1-23		35.693842	139.701024	"https://www.google.co.jp/maps/@35.6937734,139.7009363,3a,27.7y,28.45h,107.01t/data=!3m6!1e1!3m4!1sAFw7y5loS7RvXgZ55rx1hQ!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第1話で警察から解放され、車を処分した樫村蔵六が食事に向かうシーンで描かれていたゲート。				シンジュクク	ア	13	11	2	
0058	0026	完了	東京都	新宿区	花園神社	160-0022	東京都新宿区新宿5-17-3		35.693549	139.705238	"https://www.google.co.jp/maps/@35.6934662,139.7055664,3a,33.8y,293.0h,101.0t/data=!3m8!1e1!3m6!1sCAoSK0FGMVFpcE5zN01Sc094VndpejNrMmxhMGhDQV9JcUJ5SzNveThZOU1TNEU.!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSK0FGMVFpcE5zN01Sc094VndpejNrMmxhMGhDQV9JcUJ5SzNveThZOU1TNEU.%3Dw203-h100-k-no-pi-0-ya79.41783-ro-0-fo100!7i7168!8i3584 "						アリスと蔵六	アリストロクロウ	第1話で、樫村蔵六が紗名と話をするために連れてきた神社。				シンジュクク	ア	13	11	2	
0058	0027	完了	神奈川県	横浜市	カフェオー・ジャルダン・ドゥ・ペリー	231-0021	神奈川県横浜市中区日本大通3	横浜開港資料館	35.447307	139.643925	"https://www.google.co.jp/maps/@35.4472908,139.6442644,3a,22.6y,222.0h,94.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1jS25tN2ZtLVctdE5MLUs1V2ZtdFZ0SGxIS0JvMDZ3TkJBUkpq!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE1jS25tN2ZtLVctdE5MLUs1V2ZtdFZ0SGxIS0JvMDZ3TkJBUkpq%3Dw203-h100-k-no-pi-0-ya255.17429-ro0-fo100!7i2508!8i1254 "						アリスと蔵六	アリストロクロウ	第7話で、開港記念広場に広げられたテラス席で紗名が一条雫に勉強を見てもらっていました。				ヨコハマシ	ア	14	1	2	
0058	0028	完了	神奈川県	横浜市	ホテルニューグランド	231-0023	神奈川県横浜市中区山下町10		35.444789	139.649608	"https://www.google.co.jp/maps/@35.4448227,139.6503603,3a,52.2y,272.48h,110.56t/data=!3m6!1e1!3m4!1sqx0H1Uf4nHtQVXzeDmRiAw!2e0!7i13312!8i6656"					045-681-1841	アリスと蔵六	アリストロクロウ	第７話で、樫村蔵六が依頼主と打ち合わせをしていたホテル。				ヨコハマシ	ア	14	1	2	
0058	0029	完了	神奈川県	横浜市	横浜高速鉄道 元町・中華街駅 元町口	231-0861	神奈川県横浜市中区元町1-11-6		35.441848	139.651387	"https://www.google.co.jp/maps/@35.4419831,139.6515841,3a,36.8y,245.5h,90.85t/data=!3m6!1e1!3m4!1sWQAKl-tAOFupkhGs_L9CMw!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第7話で、依頼主との打ち合わせに向かう樫村蔵六と、社会科見学をする紗名と付き添いの一条雫が別れていた場所。				ヨコハマシ	ア	14	1	2	
0058	0030	完了	神奈川県	横浜市	横浜中華街 朝陽門	231-0023	神奈川県横浜市中区山下町		35.444021	139.647883	"https://www.google.co.jp/maps/@35.4442414,139.6481351,3a,42.9y,224.63h,97.76t/data=!3m6!1e1!3m4!1s86CFjO2Oww2s-RtBN_f_9Q!2e0!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第７話で、樫村蔵六と紗名、一条雫が食事をするために訪れ、買い食いをしていた雛霧あさひ、雛霧よながと遭遇した中華街の冒頭カットで描かれた門。				ヨコハマシ	ア	14	1	2	
0058	0031	完了	神奈川県	横浜市	永華楼	231-0023	神奈川県横浜市中区山下町146		35.443256	139.645364	"https://www.google.co.jp/maps/@35.4433186,139.6453481,3a,42.8y,171.59h,80.55t/data=!3m6!1e1!3m4!1s5NQYIj9KjNCEa9RqSW5VYg!2e0!7i13312!8i6656"					045-681-0885	アリスと蔵六	アリストロクロウ	第7話の中華街シーン冒頭で、雛霧あさひが肉まんを買っていた店。店舗の前に設けられたテイクアウトの屋台になります。	http://www.eikaro.co.jp/			ヨコハマシ	ア	14	1	2	
0058	0032	完了	神奈川県	横浜市	景珍楼 新館	231-0023	神奈川県横浜市中区山下町152		35.443284	139.644819	"https://www.google.co.jp/maps/@35.4431845,139.6448263,3a,90y,334.0h,90.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBHdnAxbUJoT2dNTFVnXzZKbnBkVVdDYzZFOUFZVUxpTkhPMGlM!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcFBHdnAxbUJoT2dNTFVnXzZKbnBkVVdDYzZFOUFZVUxpTkhPMGlM%3Dw203-h100-k-no-pi-0.1293291-ya299.13974-ro-1.8743217-fo100!7i5376!8i2688 "					045-228-8628	アリスと蔵六	アリストロクロウ	第7話の中華街シーンの挿入カットで描かれていた店の一つ。				ヨコハマシ	ア	14	1	2	
0058	0033	完了	神奈川県	横浜市	公生和	231-0023	神奈川県横浜市中区山下町152		35.443296	139.644876	"https://www.google.co.jp/maps/@35.4432409,139.644887,3a,60.7y,319.47h,98.01t/data=!3m7!1e1!3m5!1sUgDzm8Ra-vb0w_Jwf5t3BQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DUgDzm8Ra-vb0w_Jwf5t3BQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D254.103%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						アリスと蔵六	アリストロクロウ	第7話の中華街シーンの挿入カットで描かれていた店の一つ。				ヨコハマシ	ア	14	1	2	
