作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1214	0001	完了	東京都	千代田区	PREMIST 千代田御茶ノ水前の坂道	101-0021	東京都千代田区外神田2-19		35.702090	139.766632	"https://www.google.com/maps/@35.7020163,139.7667015,3a,31.9y,324.94h,83.72t/data=!3m6!1e1!3m4!1sgDlYVgqZ3_6YDU_2_mbyQg!2e0!7i16384!8i8192"						イエスタデイをうたって	イエスタデイヲウタッテ	第5話で、「KOGA gallery」でのアルバイト終わりの魚住陸生をギャラリー前で待っていた野中晴が、陸生を食事でも行こうと誘うも、湊航一でも誘えばどうかとすげない態度であしらわれていた場所。				チヨダク	イ	13	17	2	
1214	0002	完了	東京都	千代田区	gallery bauhaus	101-0021	東京都千代田区外神田2-19-14		35.702032	139.766809	"https://www.google.com/maps/@35.7019688,139.7667712,3a,65.4y,29.22h,95.89t/data=!3m6!1e1!3m4!1s7vrhAeFCcdpDKKgFC1VNlQ!2e0!7i16384!8i8192"						イエスタデイをうたって	イエスタデイヲウタッテ	第5話で、魚住陸生がアルバイトを始めた「KOGA gallery」のモデル。				チヨダク	イ	13	17	2	
1214	0003	完了	東京都	渋谷区	TOHOシネマズ 渋谷	150-0043	東京都渋谷区道玄坂2-6-17	渋東シネタワー 2～8F	35.659179	139.698858	"https://www.google.com/maps/@35.6594499,139.6991471,3a,35y,230.61h,115.48t/data=!3m6!1e1!3m4!1suWwuXyYRkcnYPmxAhz8f_w!2e0!7i16384!8i8192"						イエスタデイをうたって	イエスタデイヲウタッテ	第3話で、野中晴が映画（『ナマゴラス対ヒトデラン南海大決戦』）を観る約束をした魚住陸生と待ち合わせをしていた映画館。<br />作中では渋東シネタワーの文字が「渋イーストタワー」になっていました。				シブヤク	イ	13	10	2	
1214	0004	完了	東京都	渋谷区	SHIBUYA109	150-0043	東京都渋谷区道玄坂2-29-1		35.659561	139.699013	"https://www.google.com/maps/@35.65949,139.7005205,3a,15y,274.04h,106.19t/data=!3m6!1e1!3m4!1sZfO7UAII3DMKbbXkDGXYLw!2e0!7i16384!8i8192"				5		イエスタデイをうたって	イエスタデイヲウタッテ	第3話で、前夜に風邪をひいた森ノ目榀子の看病をしていて寝過ごし、野中晴と映画を見に行く時間を大幅に過ぎてから慌てて渋谷に向かうシーンで描かれていたビル。<br />作中ではビル名が「SHIBUYA910」になっていました。				シブヤク	イ	13	10	2	
1214	0005	完了	東京都	世田谷区	太子堂中学校バス停	154-0004	東京都世田谷区太子堂3-37		35.651305	139.670156	-						イエスタデイをうたって	イエスタデイヲウタッテ	第1話の5年前の回想シーンで、大学受験に向かう魚住陸生が落とした受験票を拾ってあげたメガネでお下げ髪の野中晴が、別の日にバス停で本を読んでいた陸生の横をメガネを外した晴が通り過ぎるのに全く気づかない様子が描かれていました。<br />第12話では、晴の実家に向かう陸生がバスを下車して、バスに乗ろうとしていた晴とばったりと遭遇し、告白の場となっていました。<br />※作中ではベンチが描かれていますが、実際には存在しません。				セタガヤク	イ	13	14	2	
1214	0006	完了	東京都	世田谷区	なにわ	154-0017	東京都世田谷区世田谷4-1-2		35.642474	139.654897	"https://www.google.com/maps/@35.6424924,139.6549919,3a,34y,239.8h,88.49t/data=!3m6!1e1!3m4!1sGbTFw9o37SMvfC4hVcnP-g!2e0!7i13312!8i6656"						イエスタデイをうたって	イエスタデイヲウタッテ	第5話で、魚住陸生が、新しいアルバイト先の「KOGA gallery」で一緒になった野中晴、湊航一の3人でお好み焼きを食べに来た店。<br />第7話冒頭では、晴が陸生に奢らせるために訪れ、目一杯注文していました。<br />同話中盤でも写真スタジオでのアルバイト帰りの陸生が、晴とお好み焼きを食べていました。<br />作中では店名が「あやか」になっていました。				セタガヤク	イ	13	14	2	
1214	0007	完了	東京都	世田谷区	くぬぎ公園	154-0017	東京都世田谷区世田谷4-17		35.645647	139.651464	"https://www.google.co.jp/maps/@35.6459053,139.6515656,3a,15y,199.28h,91.8t/data=!3m6!1e1!3m4!1sw-B4mCtNv0Ijtd130LGGKg!2e0!7i16384!8i8192"				5		イエスタデイをうたって	イエスタデイヲウタッテ	第1話で、野中晴が魚住陸生に5年前に出会っていたことを打ち明けていた公園。<br />2人が座っていたベンチのカットは、キービジュアルでも使用されていましたが、実際のベンチは作中のものとは形状が異なり、背もたれがないベンチです。<br />挿入カットで描かれていたパンダの遊具も実在します。				セタガヤク	イ	13	14	2	
1214	0008	完了	東京都	世田谷区	くぬぎ公園前の道	154-0017	東京都世田谷区世田谷4-17		35.645874	139.651596	"https://www.google.com/maps/@35.645904,139.6515647,3a,23.4y,116.32h,97.95t/data=!3m6!1e1!3m4!1sw-B4mCtNv0Ijtd130LGGKg!2e0!7i16384!8i8192"				4		イエスタデイをうたって	イエスタデイヲウタッテ	第1話で、コンビニでのアルバイト帰りの魚住陸生が、カラス（カンスケ）の散歩中の野中晴と遭遇していた場所。				セタガヤク	イ	13	14	2	
1214	0009	完了	東京都	世田谷区	世田谷区役所前交差点	154-0017	東京都世田谷区世田谷4-21		35.646661	139.653551	"https://www.google.com/maps/@35.6464959,139.6535467,3a,15.5y,359.21h,90.7t/data=!3m6!1e1!3m4!1sCD6H2Rb1-Td62YIx6b9CDw!2e0!7i13312!8i6656"				5		イエスタデイをうたって	イエスタデイヲウタッテ	第3話で、コーヒーの配達中の野中晴が信号待ちをしていた交差点。<br />互いに近くにいるのに気づかず、「約束くらい守れよな！」と大声で叫んだ晴に気づいた魚住陸生が駆け寄り声をかけていました。<br />それまでいつでも逃げられる体制で人付き合いをしていた晴が逃げない決心をして、陸生に自己紹介をする重要な場面です。				セタガヤク	イ	13	14	2	
1214	0010	完了	東京都	世田谷区	世田谷区役所第二庁舎脇の坂道	154-0017	東京都世田谷区世田谷4-22		35.646070	139.651359	"https://www.google.com/maps/@35.6461038,139.6511308,3a,22.7y,102.66h,92.09t/data=!3m6!1e1!3m4!1sVedJbobWquLeryCUKgSJsg!2e0!7i16384!8i8192"				4.5		イエスタデイをうたって	イエスタデイヲウタッテ	第8話で、福田タカノリの家から帰る魚住陸生が歩いていた坂道。				セタガヤク	イ	13	14	2	
