作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1009	0001	完了	北海道	余市郡	銀山駅	048-2335	北海道余市郡仁木町銀山		43.041041	140.715196	-						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	オープニング及び第2話の回想シーンで、日本一のウマ娘になるために上京するスペシャルウィークが、お母ちゃんに見送られながら旅立っていた駅。第10話では、トレーナーにオーバーワーク気味を指摘され、休養をするために里帰りすることになったスペシャルウィークが利用していた駅で、お母ちゃんが迎えに来ていました。				ヨイチグン	ウ	1	98	1	
1009	0002	完了	東京都	渋谷区	カラオケ館 原宿2号店	150-0001	東京都渋谷区神宮前1-9-18		35.669443	139.705919	"https://www.google.com/maps/@35.669455,139.7060573,3a,38y,248.65h,103.68t/data=!3m6!1e1!3m4!1spQFE7yVeC7RJjdj6KNRJBA!2e0!7i13312!8i6656"					 03-6438-0258	ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第3話で、スペシャルウィークたちが、ウイニングライブの特訓のために訪れたカラオケ屋。<br />第10話では、トウカイテイオーが練習した歌を披露するためにシンボリルドルフを呼び出していたのもこのカラオケ店でした。	http://karaokekan.jp/shop/tokyo_area4/03040006.html			シブヤク	ウ	13	10	2	
1009	0003	完了	東京都	渋谷区	Q'sEYE	150-0042	東京都渋谷区宇田川町21-6		35.659787	139.700391	"https://www.google.co.jp/maps/@35.6594718,139.7006573,3a,49.8y,322.05h,116.61t/data=!3m6!1e1!3m4!1sByMZKAupngRJ9Ce7K84USA!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第5話で、スペシャルウィークとエルコンドルパサーが競うことになる「日本ダービー」を報じる映像が巨大モニターに映し出されていたビル。<br />第7話では、「秋の天皇賞」の中継映像が流されていました。				シブヤク	ウ	13	10	2	
1009	0004	完了	東京都	新宿区	新宿スタジオアルタ	160-0022	東京都新宿区新宿3-24-3		35.692491	139.701118	"https://www.google.co.jp/maps/@35.6923953,139.701153,3a,48y,348.9h,125.22t/data=!3m7!1e1!3m5!1snzTGNOyyrHWh0o86eG4NlQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DnzTGNOyyrHWh0o86eG4NlQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D115.509514%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第8話で、「WDTスペシャル!!」と題された新春特番のテレビ番組が巨大モニターに映し出されていたビル。				シンジュクク	ウ	13	11	2	
1009	0005	完了	東京都	府中市	京王電鉄 東府中駅	183-0015	東京都府中市清水が丘1-8-3		35.668878	139.495034	"https://www.google.co.jp/maps/@35.6688574,139.4952124,2a,32y,312.53h,83.08t/data=!3m7!1e1!3m5!1sF6nD8WuFaoGx8XvfVKXgzg!2e0!3e2!7i13312!8i6656"						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第1話で、「トレセン学園」に入学するために上京したスペシャルウィークが間違って下車してしまった駅。改札前の地図を見て困っているスペシャルウィークに駅員が声をかけ、東京競馬場のことを教えてあげるが、第12話では、ジャパンカップを見に来たお母ちゃんが、スペシャルウィークと全く同じ言動で、駅員に「前に同じものを見たな」と言わしめていました。				フチュウシ	ウ	13	44	2	
1009	0006	完了	東京都	府中市	多磨霊園第1号踏切	183-0015	東京都府中市清水が丘3-12		35.666792	139.501022	"https://www.google.com/maps/@35.6666607,139.5009517,3a,35y,22.97h,94.63t/data=!3m7!1e1!3m5!1stuSqs0tUOB8a5CKtoR4FTw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DtuSqs0tUOB8a5CKtoR4FTw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D229.5721%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第1話冒頭の上京したスペシャルウィークが「トレセン学園」に向かう電車に乗っていたシーンの挿入カットで描かれていた京王線の踏切。				フチュウシ	ウ	13	44	2	
1009	0007	完了	東京都	府中市	黄金の馬（アハルテケ）	183-0016	東京都府中市八幡町1-19		35.667979	139.484809	"https://www.google.co.jp/maps/@35.6680251,139.4847498,3a,15y,135.57h,90.02t/data=!3m6!1e1!3m4!1s9HzRRMwFhRXyzrfNdPCL8A!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第1話で、上京したてのスペシャルウィークが「トレセン学園」へ向かう途中に立ち寄った東京競馬場（作中では「東京レース場」）のシーンの挿入カットでので描かれていた金の馬像。第12話では、ジャパンカップを見に上京したお母ちゃんが、出迎えのトレーナー、サイレンススズカと、この像の前で待ち合わせをしていました。<br />作中ではウマ娘に描き変えられていました。				フチュウシ	ウ	13	44	2	
1009	0008	完了	東京都	府中市	東京競馬場	183-0024	東京都府中市日吉町1-1		35.665100	139.483624	"https://www.google.co.jp/maps/@35.6643138,139.4813621,3a,50.5y,78.77h,107t/data=!3m6!1e1!3m4!1sYqpUZeFwxrpmM46avBdwbQ!2e0!7i13312!8i6656"					042-363-3141	ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第1話で、「トレセン学園」に入学するために上京したスペシャルウィークが間違って下車してしまった駅の駅員に勧められて訪れた競馬場。<br />第5話では、スペシャルウィークとエルコンドルパサーが写真判定になる程の死闘を演じた「日本ダービー」の会場に、第6話では、サイレンススズカが出場して完勝した「毎日王冠」の会場に、第7話では、サイレンススズカが負傷した「秋の天皇賞」の会場となっていました。<br />第10話では、スズカ負傷から1年後の「秋の天皇賞」の会場となっていました。<br />第11話では、サイレンススズカの復帰戦で登場していました。<br />EXTRA Rでは、チームスピカのメンバー7人全員を含む18人のウマ娘が出場したウィンタードリームトロフィーの会場となっていました。<br />作中では、競馬場名は「東京レース場」になっています。	http://www.jra.go.jp/facilities/race/tokyo/			フチュウシ	ウ	13	44	2	
1009	0009	完了	東京都	府中市	東京競馬場　西門	183-0024	東京都府中市日吉町1-1		35.664402	139.480911	"https://www.google.com/maps/@35.6646591,139.4804115,3a,37.1y,122.46h,95.75t/data=!3m6!1e1!3m4!1sgzYpcGH46O3d_zIUia3-iw!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第5話で、スペシャルウィークとエルコンドルパサーが写真判定になる程の死闘を演じた「日本ダービー」シーンの冒頭カットで描かれていた建物。<br />第6話では、サイレンススズカが出場して完勝した「毎日王冠」シーンの冒頭カットで再登場。<br />第7話では、サイレンススズカが出場した「秋の天皇賞」シーンの冒頭カットでも再々登場していました。<br />作中では名前が「東京レース場」になっていました。				フチュウシ	ウ	13	44	2	
1009	0010	完了	東京都	小平市	いなげや 小平回田店	187-0013	東京都小平市回田町92-1		35.718536	139.491673	"https://www.google.co.jp/maps/@35.7182126,139.4914131,3a,60y,47.25h,96.78t/data=!3m6!1e1!3m4!1sPuyV6zaq_mGPL2OuqUx29Q!2e0!7i13312!8i6656"					042-328-2626	ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第8話で、スペシャルウィークや車椅子姿のサイレンススズカが、スピカのメンバーたちと新年会のための食材を買いに訪れた店。				コダイラシ	ウ	13	32	2	
1009	0015	完了	東京都	西東京市	武蔵野徳州会病院	188-0013	東京都西東京市向台町3-5-48		35.717398	139.533481	"https://www.google.co.jp/maps/@35.717022,139.5327124,3a,44.2y,45.73h,102.45t/data=!3m6!1e1!3m4!1sAsQtYGX-5io9goi-GeMO9w!2e0!7i13312!8i6656"					042-465-0700	ウマ娘 プリティーダービー	ウマムスメプリティーダービー	第7話で、「秋の天皇賞」のレース中に足を負傷して気を失ったサイレンススズカが入院した病院。第8話では病院の外観が描かれていました。				ニシトウキョウシ	ウ	13	37	2	
