作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1358	0001	完了	東京都	渋谷区	Q’S EYE	150-0042	東京都渋谷区宇田川町21-6	QFRONT	35.659762	139.700423	"https://www.google.co.jp/maps/@35.6593331,139.7005096,3a,55y,353.7h,111.23t/data=!3m6!1e1!3m4!1snAevOgj_humMNYe-IbiScA!2e0!7i16384!8i8192"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第1話で、トウカイテイオーが出走する日本ダービーの中継映像が映し出されていた巨大モニター。<br />第2話では、トウカイテイオーの骨折を伝える速報映像が、第4話では、ミホノブルボンが無敗で挑む皐月賞を伝えるニュース映像や、天皇賞（春）の告知映像、第5話では、トウカイテイオーとメジロマックイーンが対決した天皇賞（春）の中継映像が映し出されていました。<br />第7話では、天皇賞（春）に出走するウマ娘たちのことを伝えるニュース映像が映し出され、通りかかったライスシャワーが、自分のことが話されているのを耳にして、モニターの方に振り向いていました。<br />第8話では、メジロマックイーンとライスシャワーが対決した天皇賞（春）の中継映像が、第9話では、トウカイテイオーの3度目の骨折を伝える速報映像が映し出されていました。<br />第13話では、トウカイテイオーがメジロマックイーンに奇跡を見せると約束した挑んだ有馬記念の中継映像が映し出されていました。				シブヤク	ウ	13	10	2		1
1358	0002	完了	東京都	新宿区	新宿アルタビジョン	160-0022	東京都新宿区新宿3-24-3	新宿スタジオアルタ	35.692533	139.701161	"https://www.google.com/maps/@35.6923623,139.7011524,3a,52y,3.74h,118.15t/data=!3m6!1e1!3m4!1s9e5bgjI7K28FKSDvi_O8aw!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第3話では、トウカイテイオーとメジロマックイーンの天皇賞（春）での直接対決を伝えるニュース映像が映し出されていた巨大モニター。<br />第6話では、トウカイテイオーの怪我を伝えるニュース映像が、第13話では、有馬記念ファン投票の結果が映し出されていました。<br />作中ではArtaの文字が「ARITA」になっています。				シンジュクク	ウ	13	11	2		1
1358	0003	完了	東京都	三鷹市	井の頭恩賜公園	181-0001	東京都三鷹市井の頭4-1		35.699618	139.577800	"https://www.google.com/maps/@35.7001138,139.5777715,2a,75y,220.4h,91.56t/data=!3m6!1e1!3m4!1sx6v4bSeb80wLLFJ4GKX2Tg!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第9話で、トウカイテイオーがシンボリルドルフに誘われて一緒に訪れていた公園。2人でスワンボートに乗っていました。				ミタカシ	ウ	13	47	2		3
1358	0004	完了	東京都	府中市	東京競馬場	183-0024	東京都府中市日吉町1-1		35.665100	139.483624	"https://www.google.co.jp/maps/@35.6643138,139.4813621,3a,50.5y,78.77h,107t/data=!3m6!1e1!3m4!1sYqpUZeFwxrpmM46avBdwbQ!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第1話で、トウカイテイオーが出走した日本ダービーの行われた「東京レース場」のモデル。<br />第9話では、ウイニングチケットやミホノブルボン、ナリタタイシンらが出走した日本ダービーが行われていました。				フチュウシ	ウ	13	44	2		5
1358	0005	完了	東京都	府中市	宮町中央通り（平山眼科医院前）	183-0023	東京都府中市宮町1-20		35.671083	139.481490	"https://www.google.co.jp/maps/@35.6710464,139.4814725,3a,60y,7.97h,80.65t/data=!3m6!1e1!3m4!1sXPqQKk9TZI_AmuNUG6Rh-w!2e0!7i16384!8i8192"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第9話で、「ゴルシちゃん号2号」に乗って買い出しに出かけたトウカイテイオーが、買い物メモを見ながら移動していた場所。				フチュウシ	ウ	13	44	2		2
1358	0006	完了	東京都	府中市	宮町中央通り（くるる駐車場出口前）	183-0023	東京都府中市宮町1-50		35.671115	139.481265	"https://www.google.co.jp/maps/@35.6710606,139.4812443,3a,26y,357h,87.43t/data=!3m6!1e1!3m4!1swl4CoWCO7B-Zr25g3BnRWQ!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第9話で、「ゴルシちゃん号2号」に乗って買い出しに出かけたトウカイテイオーが、ファンの父子に遭遇し、「ずっと応援していました」「お疲れ様でした」ともう引退したかのような言葉をかけられていた場所。				フチュウシ	ウ	13	44	2		3
1358	0007	完了	東京都	府中市	くるる	183-0023	東京都府中市宮町1-50		35.671718	139.480696	-						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第11話で、トウカイテイオーがスペシャルウィークを伴い、メジロマックイーンへのプレゼントを買いに訪れた商業施設。				フチュウシ	ウ	13	44	2		2
1358	0008	完了	東京都	西東京市	武蔵野徳州会病院	188-0013	東京都西東京市向台町3-5		35.717412	139.533385	"https://www.google.co.jp/maps/@35.7170019,139.5327212,3a,35y,62.18h,100.04t/data=!3m6!1e1!3m4!1stmUlXz8xG59j1bkhMdubEA!2e0!7i16384!8i8192"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第9話で、トウカイテイオーが3度目の骨折を医者から告知されていた病院のモデル。<br />外観は描かれていませんが、第2話で骨折も同じ病院のようです。				ニシトウキョウシ	ウ	13	37	2		2
1358	0009	完了	千葉県	船橋市	中山競馬場	273-0037	千葉県船橋市古作1-1-1		35.724734	139.961220	-						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第4話で、ミホノブルボンやライスシャワーが出走した皐月賞が行われていた「中山レース場」のモデル。<br />第6話では、メジロパーマーが優勝し、走る理由を見失ったトウカイテイオーが11着となったレースが行われていました。<br />同話の1年を総括するニュース映像の中では、ミホノブルボンが優勝した皐月賞のレースの様子が描かれていました。<br />第13話では、12月26日日曜にトウカイテイオーの1年ぶりの復帰戦となった有馬記念のレースが行われていました。				フナバシシ	ウ	12	10	2		5
1358	0010	完了	千葉県	船橋市	中山競馬場　パドック	273-0037	千葉県船橋市古作1-1-1		35.725801	139.959400	-						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第13話で、トウカイテイオーから自分のレースを見てくれと言われてやって来たものの、レース場に向かう勇気が出ないメジロマックイーンが観客スペースに腰かけていた場所。				フナバシシ	ウ	12	10	2		3
1358	0011	完了	京都府	京都市	京都競馬場	612-8265	京都府京都市伏見区葭島渡場島町32		34.906788	135.727144	-						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第2話で、努力空しく菊花賞に出走できなかったトウカイテイオーが、トレーナーに菊花賞を見に連れて来てもらった「京都レース場」のモデル。<br />第5話では、トウカイテイオーとメジロマックイーンが対決した天皇賞（春）の会場となっていました。<br />第7話では、三連覇を狙うメジロマックイーンや、ライスシャワーたちが出走した天皇賞（春）が行われていました。<br />第12話では、このレース場で行われた菊花賞に、自主トレで不参加のメジロマックイーンを除いた「チームスピカ」のメンバーが敵情視察に訪れていました。				キョウトシ	ウ	26	10	5		5
1358	0012	完了	滋賀県	近江八幡市	加茂神社	523-0058	滋賀県近江八幡市加茂町1691		35.125061	136.066426	"https://www.google.co.jp/maps/@35.1247099,136.0654753,3a,55y,53.32h,87.5t/data=!3m6!1e1!3m4!1sKtdGS91_MLiu281ujpEVSA!2e0!7i13312!8i6656"						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第2話で、ウマ娘たちが初詣に訪れた神社のモデル。				オウミハチマンシ	ウ	25	8	5		3
1358	0013	完了	滋賀県	近江八幡市	加茂神社　御神馬像	523-0058	滋賀県近江八幡市加茂町1691		35.125023	136.066083	-						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第2話で、ウマ娘たちが初詣に訪れた神社シーンで描かれていた銅像のモデル。<br />実際には馬の像ですが、作中では水瓶を持つウマ娘に描き変えられていました。				オウミハチマンシ	ウ	25	8	5		1
1358	0014	完了	兵庫県	宝塚市	阪神競馬場	665-0053	兵庫県宝塚市駒の町1-1		34.779526	135.363751	-						ウマ娘 プリティーダービー Season2 	ウマムスメプリティーダービーシーズンツー	第3話で、メジロマックイーンが雨の中の阪神大賞典に挑んでいたレース場のモデル。<br />第4話では、骨折で10か月もレースから遠ざかっていたトウカイテイオーの復帰戦となった大阪杯が行われていました。<br />第6話では、1年を総括するニュース映像の中でメジロパーマーが優勝した宝塚記念のレースの様子が描かれていました。<br />第7話冒頭では、怪我からの復帰戦になるメジロマックイーンがレースに優勝する様子が描かれていました。				タカラヅカシ	ウ	28	6	5		5
