作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0121	1	完了	東京都	千代田区	万世橋	101-0021	東京都千代田区外神田1-16		35.697069	139.771110	-						エロマンガ先生	エロマンガセンセイ	第11話で、新作発売日に合わせて和泉マサムネフェアをやってくれる秋葉原の本屋を見に行こうという和泉正宗の提案で、2人で（和泉紗霧はモニター越しに）秋葉原を訪れた兄妹デート（秋葉原観光）シーンで渡っていた橋。				チヨダク	エ	13	17	2	
0121	2	完了	東京都	千代田区	アキバ・ブリッジ	101-0021	東京都千代田区外神田1-18		35.699187	139.772597	"https://www.google.co.jp/maps/@35.6995759,139.7722465,3a,20.2y,106.69h,103.35t/data=!3m6!1e1!3m4!1srnQuAipFL4RMHLGNqsQFvg!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第11話のラストで、新作の評価を心配する和泉正宗が、まさにその新作の話題で盛り上がっている人たち（『俺の妹がこんなに可愛いわけがない』の高坂京介、高坂桐乃、黒猫、沙織・バジーナ）とすれ違っていた場所。				チヨダク	エ	13	17	2	
0121	3	完了	東京都	千代田区	田中無線電機 セキュリティーシステム店	101-0021	東京都千代田区外神田1-14-3	秋葉原電波会館	35.698534	139.771819	-					03-3253-3201	エロマンガ先生	エロマンガセンセイ	第11話で、新作発売日に合わせて和泉マサムネフェアをやってくれる秋葉原の本屋を見に行こうという和泉正宗の提案で、2人で（和泉紗霧はモニター越しに）秋葉原を訪れた兄妹デート（秋葉原観光）シーンで訪れていた店。				チヨダク	エ	13	17	2	
0121	4	完了	東京都	千代田区	JR 秋葉原駅 電気街口南口 前	101-0021	東京都千代田区外神田1-17-6		35.698158	139.772384	"https://www.google.co.jp/maps/@35.6981729,139.7722879,3a,53y,88.39h,90.03t/data=!3m6!1e1!3m4!1s4KLz1tDE0DoKv-dUo7owUA!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第11話で、新作発売日に合わせて和泉マサムネフェアをやってくれる秋葉原の本屋を見に行こうという和泉正宗の提案で、2人で（和泉紗霧はモニター越しに）秋葉原を訪れた兄妹デートシーンで、『俺の妹がこんなに可愛いわけがない』ネタ（「あーきはーばらー」）をしていた場所。				チヨダク	エ	13	17	2	
0121	5	完了	東京都	千代田区	ベルサール秋葉原	101-0021	東京都千代田区外神田3-12-8	住友不動産秋葉原ビル	35.700013	139.770813	"https://www.google.co.jp/maps/@35.699755,139.7712477,3a,20y,315.04h,93.96t/data=!3m6!1e1!3m4!1s5dHGrfg1AXyUP-Fry8gxuA!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第11話で、新作発売日に合わせて和泉マサムネフェアをやってくれる秋葉原の本屋を見に行こうという和泉正宗の提案で、2人で（和泉紗霧はモニター越しに）秋葉原を訪れた兄妹デート（秋葉原観光）シーンで描かれていた場所。				チヨダク	エ	13	17	2	
0121	6	完了	東京都	千代田区	アニメイト秋葉原	101-0021	東京都千代田区外神田4-3-2		35.700495	139.771726	-					03-5209-3330	エロマンガ先生	エロマンガセンセイ	第11話で、和泉正宗と和泉紗霧が（紗霧はモニター越しで）訪れた、新作発売日に合わせて和泉マサムネフェアをやってくれた秋葉原の本屋。外観はなく、店内の様子が描かれていました。				チヨダク	エ	13	17	2	
0121	7	完了	東京都	足立区	荒川土手	120-0015	東京都足立区足立1		35.760753	139.804325	-						エロマンガ先生	エロマンガセンセイ	第1話冒頭の和泉正宗と高砂智恵の通学シーンで描かれていた土手で、画面奥にJR常磐線の荒川橋梁が描かれています。第6話では、正宗の助言で、和泉紗霧にライトノベルを借りるために和泉家に向かう神野めぐみが、この土手で女性が散歩させていた犬を撫でていました。第11話の回想シーンで、正宗が父親と歩いていたのもこの土手でした。				アダチク	エ	13	1	2	
0121	8	完了	東京都	足立区	千住新橋の標識	120-0031	東京都足立区千住大川町		35.757306	139.801958	"https://www.google.co.jp/maps/@35.7572424,139.801981,3a,23.7y,28.02h,106t/data=!3m6!1e1!3m4!1sKV_ksTcGbDKhqzyeKBOPLg!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第1話冒頭の和泉正宗と高砂智恵の通学シーンの冒頭カットで描かれていた標識。				アダチク	エ	13	1	2	
0121	9	完了	東京都	足立区	五反野駅前通り銀座	120-0011	東京都足立区中央本町2-27		35.766736	139.809262	"https://www.google.co.jp/maps/@35.7668916,139.8093519,3a,40y,194.7h,92.07t/data=!3m6!1e1!3m4!1scgGfta3-9_fRZ5LMLXzekQ!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第6話では、正宗の助言で、和泉紗霧にライトノベルを借りるために和泉家に向かう神野めぐみが、女性と話をしていた場所。				アダチク	エ	13	1	2	
0121	10	完了	東京都	足立区	足立一丁目歩道橋	120-0015	東京都足立区足立1		35.761040	139.805379	"https://www.google.co.jp/maps/@35.761036,139.8056176,3a,42.7y,274.75h,101.08t/data=!3m6!1e1!3m4!1s01Dt4RV4tHeqeKd8lvR2uw!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第1話冒頭の和泉正宗と高砂智恵の通学シーンで描かれていた歩道橋。第6話で、正宗の助言で、和泉紗霧にライトノベルを借りるために和泉家に向かう神野めぐみが渡っていたのもこの橋でした。				アダチク	エ	13	1	2	
0121	11	完了	東京都	足立区	交差点（キッチンオリジン 五反野店前）	120-0015	東京都足立区足立4-37		35.765270	139.808505	"https://www.google.co.jp/maps/@35.765308,139.808531,3a,37.5y,214.14h,84.09t/data=!3m6!1e1!3m4!1sQYrORKeg6giz35dWS7yusw!2e0!7i16384!8i8192"						エロマンガ先生	エロマンガセンセイ	第11話の、2人の新作発売日に和泉マサムネフェアを見に行こうと、パソコンのモニター越しの和泉紗霧を連れて和泉正宗が出かけた兄妹デートシーンで、正宗が信号待ちをしていた場所。<br />自分がネットで小説を書き始めた頃の思い出を語り、その頃何をしていたのかと尋ねた正宗が、紗霧の「登校拒否」の答えにズッコケていました。<br />作中では店名が「キッチンヤミー」になっていました。				アダチク	エ	13	1	2	
0121	12	完了	東京都	足立区	喜田家	120-0015	東京都足立区足立4-38-9		35.765393	139.808525	"https://www.google.co.jp/maps/@35.7653309,139.8084496,3a,36.2y,71.59h,90.46t/data=!3m6!1e1!3m4!1s28S2tXqvKm2Vwa2HuAfw_g!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第11話の、2人の新作発売日に和泉マサムネフェアを見に行こうと、パソコンのモニター越しの和泉紗霧を連れて和泉正宗が出かけた兄妹デートシーンで、正宗が信号待ちをするカットで描かれていた店。<br />作中では店名が「喜町家」になっていました。				アダチク	エ	13	1	2	
0121	13	完了	東京都	足立区	東武鉄道 五反野駅	120-0015	東京都足立区足立3		35.766211	139.809327	"https://www.google.co.jp/maps/@35.7662891,139.8093125,3a,62y,212.23h,93.82t/data=!3m6!1e1!3m4!1sRIZ0Z1OTsopEONW95Go1QA!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第1話で、出版社で渡された「転生の銀狼」シリーズの完結お祝いイラストに感動した和泉正宗が、和泉紗霧に自分が「転生の銀狼」の作者・和泉マサムネであることを告白しようと全速力で家へ帰るシーンで描かれていた駅。作中では駅名が「吾反野駅」になっていました。				アダチク	エ	13	1	2	
0121	14	完了	東京都	大田区	羽田空港国内線旅客ターミナル	144-0041	東京都大田区羽田空港		35.548870	139.784048	-					03-5757-8111	エロマンガ先生	エロマンガセンセイ	第9話で、南の島にある山田家所有の豪華な別荘での夏の取材＆執筆合宿に向かう一行（和泉正宗、山田エルフ、千寿ムラマサ、獅童国光）が待ち合わせをしていた空港。国内線旅客ターミナルビル内や、管制塔が描かれていました。				オオタク	エ	13	5	2	
0121	15	完了	東京都	新宿区	飯田橋駅 B2a出口	162-0823	東京都新宿区神楽河岸1		35.700484	139.742964	"https://www.google.co.jp/maps/@35.7003748,139.742873,3a,24.7y,35.69h,88.18t/data=!3m6!1e1!3m4!1sOYdtizZ-Xyoa-vDbO5UDpw!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第6話で、千寿ムラマサに出版枠を奪われたため新シリーズの小説を、山田エルフの兄が編集を勤める出版社で出版することを神楽坂あやめに認めてもらうため、エルフと共に出版社に向かうシーンで描かれていた駅。				シンジュクク	エ	13	11	2	
0121	16	完了	東京都	新宿区	CANALCAFE	162-0825	東京都新宿区神楽坂1-9		35.700006	139.742853	-					03-3260-8068	エロマンガ先生	エロマンガセンセイ	第6話で、千寿ムラマサに出版枠を奪われたため新シリーズの小説を、山田エルフの兄が編集を勤める出版社で出版することを神楽坂あやめに認めてもらうため、エルフと共に出版社に向かう途中で、2人がお茶をしてた店。				シンジュクク	エ	13	11	2	
0121	17	完了	東京都	千代田区	角川第3本社ビル	102-8078	東京都千代田区富士見1-8-19		35.698422	139.745526	"https://www.google.co.jp/maps/@35.6988064,139.7455501,3a,80y,187.68h,123.83t/data=!3m6!1e1!3m4!1sG9JVF_jaJGXqdEXJys4IyA!2e0!7i13312!8i6656"						エロマンガ先生	エロマンガセンセイ	第1話で、和泉正宗が神楽坂あやめに新シリーズの企画書ならぬ完成原稿を渡すために訪れた出版社。第2話で、正宗が山田エルフと遭遇していたのもこの場所でした。第6話で、正宗が新シリーズの企画をあやめからOKを貰うも、確保していた出版枠が千寿ムラマサに奪われたことを告げられたのも、あやめから別の出版社での出版許可をもらいに訪れ、入口で千寿ムラマと遭遇していたのもこの場所でした。				チヨダク	エ	13	17	2	
