作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0159	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.682231	139.766362	"https://www.google.co.jp/maps/@35.682402,139.765546,3a,37.1y,106.96h,96.08t/data=!3m4!1e1!3m2!1sIqfUJORGbKAayFBm3-M2PA!2e0"	18					カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の22ヵ所目に当たる千代田区のカット。				チヨダク	カ	13	17	2	
0159	0002	完了	東京都	中央区	歌舞伎座	104-0061	東京都中央区銀座4-12-15		35.669373	139.767784	"https://www.google.co.jp/maps/@35.669144,139.767414,3a,43.8y,46.79h,99.18t/data=!3m4!1e1!3m2!1sUv6DLEMiSLsGbuEnRmkQGA!2e0"	17				03-3541-3131	カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の23ヵ所目に当たる中央区のカット。	http://www.kabuki-za.co.jp/	http://www.kabuki-za.co.jp/		チュウオウク	カ	13	16	2	
0159	0003	完了	東京都	港区	レインボーブリッジ	108-0022	東京都港区海岸3		35.638517	139.758844	"https://www.google.co.jp/maps/@35.626347,139.76869,3a,15y,338.36h,91.85t/data=!3m5!1e1!3m3!1sDrdsaFO2MGQKuo_-OsOEIQ!2e0!3e5"	13			5		カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の2ヵ所目に当たる港区のカット。潮風公園からの遠景となります。				ミナトク	カ	13	22	2	
0159	0004	完了	東京都	江東区	東京ビッグサイト（東京国際展示場）	135-0063	東京都江東区有明3-11-1		35.629204	139.794756	"https://www.google.co.jp/maps/@35.6322115,139.7921188,3a,15y,146.45h,94.07t/data=!3m6!1e1!3m4!1stK1w5Q02OZXRAgZll3f9mg!2e0!7i16384!8i8192"	15			5	03-5530-1112	カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の2ヵ所目に当たる江東区のカット。				コウトウク	カ	13	8	2	
0159	0005	完了	東京都	台東区	浅草寺 雷門	111-0032	東京都台東区浅草2-3-1		35.711138	139.796377	"https://www.google.co.jp/maps/@35.71088,139.796352,3a,29.5y,0.36h,94.06t/data=!3m4!1e1!3m2!1sprzLjoDirgb08To1K5r3FQ!2e0"	18					カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の24ヵ所目に当たる台東区のカット。第10話で、「日本のヴァンガードの事を知りたいので案内してほしい」というクエスト依頼を受けたクロノが、依頼者のハイメ・アルカラスと待ち合わせをしていたのもこの場所でした。				タイトウク	カ	13	15	2	
0159	0006	完了	東京都	文京区	東京ドームシティ	112-0004	東京都文京区後楽1-3-61		35.703163	139.752249	"https://www.google.co.jp/maps/@35.70289,139.75226,3a,58y,4.93h,96.28t/data=!3m4!1e1!3m2!1sBkALkDi6-xPLFT84rBdypw!2e0"	17					カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の7ヵ所目に当たる文京区のカット。				ブンキョウク	カ	13	21	2	
0159	0007	完了	東京都	北区	旧古河庭園	114-0024	東京都北区西ケ原1-27-39		35.743153	139.746726	-	17				03-3940-1566	カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の9ヵ所目に当たる北区のカット。正門が描かれていました。				キタク	カ	13	7	2	
0159	0008	完了	東京都	荒川区	あらかわ遊園	116-0011	東京都荒川区西尾久6-35-11		35.753415	139.757801	"https://www.google.co.jp/maps/@35.753062,139.757761,3a,50.5y,6.65h,96.53t/data=!3m4!1e1!3m2!1syR7NUDVtuv4T3hpdpKd_XA!2e0"	17				03-3893-6003	カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の6ヵ所目に当たる荒川区のカット。メインゲート周辺や観覧車が描かれていました。	http://www.city.arakawa.tokyo.jp/yuuen/			アラカワク	カ	13	2	2	
0159	0009	完了	東京都	墨田区	紅葉橋	130-0004	東京都墨田区本所4-8-1		35.702506	139.808224	"https://www.google.co.jp/maps/@35.702465,139.808225,3a,47.1y,0.34h,96.64t/data=!3m4!1e1!3m2!1sLzrQfMqaEiyG7AW08TYzpw!2e0"	17					カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の1ヵ所目に当たる墨田区のカット。橋から北側を望む構図でスカイツリーも描かれていました。				スミダク	カ	13	13	2	
0159	0010	完了	東京都	墨田区	墨田野球場	131-0031	東京都墨田区墨田4		35.733313	139.825366	"https://www.google.co.jp/maps/@35.732952,139.824666,3a,15y,55.72h,87.73t/data=!3m4!1e1!3m2!1sfM5QLsi9daa5wsg73NV5Yg!2e0!6m1!1e1"	15			5		カードファイト!! ヴァンガードG	カードファイトバンガードジー	エンディングで、自転車に乗った新導クロノが行く、東京23区名所巡りの背景25カット内の5ヵ所目に当たる墨田区のカット。荒川と首都高速中央環状線越しに見えるビルの忠実に描かれています。				スミダク	カ	13	13	2	
