作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0180	0051	完了	東京都	千代田区	警視庁本部庁舎	100-0013	東京都千代田区霞が関2-1-1		35.676997	139.752278	"https://www.google.co.jp/maps/@35.6772266,139.7532877,3a,40.8y,238.84h,122.7t/data=!3m6!1e1!3m4!1sWJ_pz_KB8LYHzQzmJOBQJw!2e0!7i16384!8i8192"						ガッチャマン クラウズ	ガッチャマンクラウズ	第9話で、「CROWDS」を使った「NeO HUNDReD」によるテロで崩壊していた建物。				チヨダク	カ	13	17	2	
0180	0001	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675897	139.744805	"https://www.google.co.jp/maps/@35.67632,139.7470672,3a,56y,253.72h,97.05t/data=!3m6!1e1!3m4!1sZlr-Y5mmvpg5F3x_nENWkA!2e0!7i16384!8i8192"	15					ガッチャマン クラウズ	ガッチャマンクラウズ	第4話の爾乃美家累がベルク・カッツェに能力を与えられる回想シーンで、能力によって齎されるイメージの一つとして爆破される様子や本会議場が占拠される様子が描かれていました。<br />第9話では、梅田光一が率いる「NeO HUNDReD」によるテロ活動によって崩壊していました。<br />第12話および第12話ディレクターズカット版「Embrace」では、崩壊した建物の前で、菅山誠太郎総理大臣が記者会見をしていました。				チヨダク	カ	13	17	2	
0180	0052	完了	東京都	千代田区	首相官邸	100-0014	東京都千代田区永田町2-3-1		35.673154	139.742958	"https://www.google.co.jp/maps/@35.6736752,139.7443167,3a,15y,244.29h,93.77t/data=!3m6!1e1!3m4!1sL_Di4u6b6f8MUp2jp6qCbg!2e0!7i16384!8i8192"				5		ガッチャマン クラウズ	ガッチャマンクラウズ	第9話で、「CROWDS」を使った「NeO HUNDReD」によるテロで崩壊していた建物の一つ。<br />SPたちと共に菅山誠太郎総理大臣が逃げ出す姿が描かれていました。				チヨダク	カ	13	17	2	
0180	0002	完了	東京都	中央区	日本橋	103-0022	東京都中央区日本橋室町1		35.683991	139.774623	"https://www.google.co.jp/maps/@35.6837044,139.7744411,3a,15y,34.87h,93.73t/data=!3m6!1e1!3m4!1sYrkmasB-kU_7yb5LC-yqpQ!2e0!7i16384!8i8192"	17			5		ガッチャマン クラウズ	ガッチャマンクラウズ	第4話の爾乃美家累が「CROWDS」の能力を使ってロープウェイ事故でゴンドラに取り残された人々を救おうとするシーンで、助かって欲しいと願う人々の姿が描かれていた場所の一つ。				チュウオウク	カ	13	16	2	
0180	0053	完了	東京都	港区	日本テレビタワー　ロビー	105-0021	東京都港区東新橋1-6-1		35.664373	139.759839	-						ガッチャマン クラウズ	ガッチャマンクラウズ	第4話で、「CROWDS」の能力によりロープウェイ事故に巻き込まれた人々が無事救出されたことでミッションコンプリートになった「GALAX」の画面を、「ギャラクター」の一人がが見ていた場所の一つ。				ミナトク	カ	13	22	2	
0180	0054	完了	東京都	港区	日本テレビタワー　屋上	105-0021	東京都港区東新橋1-6-1		35.664614	139.759908	-						ガッチャマン クラウズ	ガッチャマンクラウズ	第4話で、ロープウェイの事故でゴンドラに取り残された人々を救出すべく、爾乃美家累が「CROWDS」を発動させていた場所。<br />第5話では、「CROWDS」を使用禁止をすることに決めた累が、この屋上で、「LOAD GALAX」の方針に疑問を抱く「HUNDRED」メンバーの一部が作ったコミュニティ「SDWORC」の代表者である梅田光一と直接対話を試みていました。<br />第10話で、累に化けたベルク・カッツェが、「GALAX」を通して一ノ瀬はじめと話していたのも、この屋上でした。				ミナトク	カ	13	22	2	
0180	0055	完了	東京都	港区	麻布通り（永坂）	106-0032	東京都港区六本木5-12		35.657747	139.736403	"https://www.google.co.jp/maps/@35.65756,139.7365267,3a,46y,347.55h,93.48t/data=!3m6!1e1!3m4!1sFPUXsDmhe7QYqb_sEnALqg!2e0!7i13312!8i6656"						ガッチャマン クラウズ	ガッチャマンクラウズ	第7話で、ベルク・カッツェに苦戦する枇々木丈たちを助けに向かう途中で怖気づいたパイマンが、一ノ瀬はじめとうつつがを置き去りにして逃げ去っていた場所。				ミナトク	カ	13	22	2	
0180	0056	完了	東京都	港区	首都高速都心環状線（麻布永坂町）	106-0043	東京都港区麻布永坂町		35.658432	139.73649	"https://www.google.co.jp/maps/@35.6585123,139.7365219,3a,48.9y,194.45h,104.03t/data=!3m6!1e1!3m4!1sno_mZOI-lBwJ-n9vcuKrvg!2e0!7i13312!8i6656"						ガッチャマン クラウズ	ガッチャマンクラウズ	第7話で、ベルク・カッツェに苦戦する枇々木丈たちを助けに向かう一ノ瀬はじめとうつつが、秘密基地から走行形態に変形したパイマンに乗って移動していた高速道路。				ミナトク	カ	13	22	2	
0180	0057	完了	東京都	港区	警視庁鳥居坂住宅 前	106-0045	東京都港区麻布十番1-1		35.657547	139.736270	"https://www.google.co.jp/maps/@35.657491,139.7360847,3a,42y,84.84h,102.27t/data=!3m6!1e1!3m4!1sZbbT2zaxU7TLgabWW48QZA!2e0!7i13312!8i6656"						ガッチャマン クラウズ	ガッチャマンクラウズ	第7話で、一ノ瀬はじめとうつつが、秘密基地から走行形態に変形したパイマンに乗って、ベルク・カッツェに苦戦する枇々木丈たちを助けに向かう途中、怖気づいたパイマンに降ろされていた場所。				ミナトク	カ	13	22	2	
0180	0058	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.705064	139.751797	"https://www.google.co.jp/maps/@35.707858,139.7519885,152a,35y,179.7h,75.52t/data=!3m1!1e3"						ガッチャマン クラウズ	ガッチャマンクラウズ	第9話で、「NeO HUNDReD」のリーダーとなった梅田光一が「CROWDS」を出現させていた場所。				ブンキョウク	カ	13	21	2	
