作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0205	0001		東京都	千代田区	和田倉噴水公園	100-0002	東京都千代田区皇居外苑3-1		35.683216	139.760462	"https://www.google.co.jp/maps/@35.683293,139.760505,3a,37.5y,106.31h,95.57t/data=!3m5!1e1!3m3!1s6LDTzTv-mP9aT0uTMEzo5g!2e0!3e2?hl=ja"	17		120	3		ガンダムビルドファイターズ	ガンダムビルドファイターズ	第6話				チヨダク	カ	13	17	2	
0205	0002		東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.682234	139.766360	"https://www.google.co.jp/maps/@35.682718,139.76625,3a,49.9y,153.68h,108.43t/data=!3m4!1e1!3m2!1sXOfskHRbq7Sec_HDdN1Q0w!2e0"	18		120	1		ガンダムビルドファイターズ	ガンダムビルドファイターズ	第5話				チヨダク	カ	13	17	2	
0205	0003		東京都	港区	東京臨海新交通 お台場海浜公園駅	135-0091	東京都港区台場2-3		35.629885	139.778794	"https://www.google.co.jp/maps/@35.630238,139.779245,3a,42.4y,225.53h,98.16t/data=!3m4!1e1!3m2!1srCqfnkehDRtbkFLI8whZYQ!2e0?hl=ja"	17		120	3		ガンダムビルドファイターズ	ガンダムビルドファイターズ	第4話				ミナトク	カ	13	22	2	
0205	0004		東京都	江東区	ダイバーシティ東京 RG1/1 RX-78-2ガンダムVer.GFT	135-0064	東京都江東区青海1-1-10		35.624446	139.775487	"https://www.google.co.jp/maps/@35.624169,139.775425,3a,38.2y,14.27h,105.68t/data=!3m5!1e1!3m3!1s7o-0-EiEeyQAAAQZVBSdCQ!2e0!3e11"	17		120	3	03-6380-7800	ガンダムビルドファイターズ	ガンダムビルドファイターズ	第4話	http://www.divercity-tokyo.com/			コウトウク	カ	13	8	2	
0205	0005		東京都	渋谷区	cafe Michelangelo	150-0033	東京都渋谷区猿楽町29-3		35.648474	139.69934	"https://www.google.co.jp/maps/@35.648583,139.699734,3a,28.9y,259.22h,92.89t/data=!3m4!1e1!3m2!1sBzXDXjBOHyBToMoVvQKRpg!2e0?hl=ja"	18		120	3	03-3770-9517	ガンダムビルドファイターズ	ガンダムビルドファイターズ	第5話	http://www.aso-net.jp/michelangelo/			シブヤク	カ	13	10	2	
0205	0006		東京都	杉並区	JR 阿佐ヶ谷駅 北口前	166-0001	東京都杉並区阿佐谷北2		35.705105	139.636046	"https://www.google.co.jp/maps/@35.705121,139.63614,3a,39.8y,241.26h,92.28t/data=!3m4!1e1!3m2!1sP3NkHk109JBKXC3LTSHBqA!2e0"						ガンダムビルドファイターズ	ガンダムビルドファイターズ	第1話				スギナミク	カ	13	12	2	
0205	0007		東京都	杉並区	阿佐ヶ谷アニメストリート	166-0004	東京都杉並区阿佐谷南2-40-1		35.705032	139.639767	"https://www.google.co.jp/maps/@35.705056,139.639617,3a,15y,80.21h,91.19t/data=!3m4!1e1!3m2!1s1pIk5_8ilz1MggYheN5-fQ!2e0?hl=ja"						ガンダムビルドファイターズ	ガンダムビルドファイターズ	第3話				スギナミク	カ	13	12	2	
0205	0008		東京都	杉並区	JR 阿佐ヶ谷駅	166-0004	東京都杉並区阿佐谷南3-36-2		35.704757	139.635254							ガンダムビルドファイターズ	ガンダムビルドファイターズ	「けやきが丘駅」のモデル。				スギナミク	カ	13	12	2	
0205	0009		東京都	杉並区	上井草スポーツセンター	167-0023	東京都杉並区上井草3-34-1		35.723636	139.602405	"https://www.google.co.jp/maps/@35.72371,139.602609,3a,41y,237.02h,88.82t/data=!3m4!1e1!3m2!1sOzwedy50QtvE9hr-DwzYoQ!2e0"					03-3390-5707	ガンダムビルドファイターズ	ガンダムビルドファイターズ	第3話	http://www.kamiigusa-spocen.net/			スギナミク	カ	13	12	2	
0205	0010		東京都	練馬区	石神井公園脇の住宅路	177-0041	東京都練馬区石神井町6-6		35.739946	139.601898	"https://www.google.co.jp/maps/@35.739962,139.60201,3a,75y,69.34h,86.44t/data=!3m4!1e1!3m2!1sGVViNKbJvXdjfkMYbjhglg!2e0?hl=ja"						ガンダムビルドファイターズ	ガンダムビルドファイターズ	座標地点から東側を望む構図で描かれていました。				ネリマク	カ	13	20	2	
0205	0011		東京都	練馬区	石神井公園 厳島神社 脇	177-0045	東京都練馬区石神井台1-26-1		35.737334	139.594586	"https://www.google.co.jp/maps/@35.737345,139.59468,3a,52.8y,282.24h,88.83t/data=!3m5!1e1!3m3!1szBOf50wpBrgk3uKrF3AFOg!2e0!3e5?hl=ja"						ガンダムビルドファイターズ	ガンダムビルドファイターズ	第3話				ネリマク	カ	13	20	2	
0205	0012		静岡県	静岡市	パルシェ	420-0851	静岡県静岡市葵区黒金町49		34.972133	138.388702	"https://www.google.co.jp/maps/@34.972571,138.387529,3a,37.9y,119.47h,98.19t/data=!3m4!1e1!3m2!1sNUM71MphQeJflXfvnhmVTw!2e0?hl=ja"	15.0				054-255-1081	ガンダムビルドファイターズ	ガンダムビルドファイターズ	第13話。	http://www.parche.co.jp/	http://www.parche.co.jp/		シズオカシ	カ	22	15	3	
