作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1122	0008	完了	石川県	小松市	安宅海岸	923-0003	石川県小松市安宅町タ		36.420558	136.417082	"https://www.google.co.jp/maps/@36.4200359,136.4166398,3a,19.4y,82.22h,102.44t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE81bS1JTkRWZHJ3SWwzZTZBNy1lcHctNDM1T1AzdS1uQmZTLTF2!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO5m-INDVdrwIl3e6A7-epw-435OP3u-nBfS-1v%3Dw203-h100-k-no-pi-0-ya94.32503-ro-0-fo100!7i8192!8i4096"				4.5		ガーリー・エアフォース	ガーリーエアフォース	第2話の鳴谷慧とグリペンのデートシーンで2人が訪れ、八代通遥からグリペンの置かれている状況について聞かされていた海岸。背後に安宅港口灯台が描かれていました。				コマツシ	カ	17	4	4	
1122	0007	完了	石川県	小松市	アル・プラザ・小松	923-0801	石川県小松市園町ハ23-1		36.406449	136.460491	"https://www.google.co.jp/maps/@36.4056118,136.4613405,3a,36y,329.93h,106.21t/data=!3m6!1e1!3m4!1sr9ui5b7wwXzEq84pr2jS3A!2e0!7i13312!8i6656"						ガーリー・エアフォース	ガーリーエアフォース	第2話の鳴谷慧とグリペンのデートシーンで描かれていた商業施設。施設内の吹き抜けの広場が描かれていました。<br />第4話では、この施設で食事をしていた鳴谷慧と宋明華がところへ基地から逃げてきたイーグルに遭遇していました。<br />第6話では、慧と明華がセール品を買いに来ていました。				コマツシ	カ	17	4	4	
1122	0003	完了	石川県	小松市	莵橋神社	923-0907	石川県小松市浜田町イ233甲		36.406483	136.445772	-						ガーリー・エアフォース	ガーリーエアフォース	第2話で、鳴谷慧とグリペンがうまく飛べるよう神頼みに訪れた神社。				コマツシ	カ	17	4	4	
1122	0009	完了	石川県	小松市	すみげん	923-0924	石川県小松市三日市町9		36.401432	136.449358	"https://www.google.co.jp/maps/@36.4014258,136.4494949,3a,56y,270.51h,91.55t/data=!3m6!1e1!3m4!1sTsN0icZWkmOCesdvOV7S9g!2e0!7i13312!8i6656"						ガーリー・エアフォース	ガーリーエアフォース	第3話の鳴谷慧とグリペンのデートカットで2人が店先の商品を見ている姿が描かれていた店。				コマツシ	カ	17	4	4	
1122	0006	完了	石川県	小松市	こまつ曳山交流館みよっさ	923-0925	石川県小松市八日市町72-3		36.402213	136.449584	"https://www.google.co.jp/maps/@36.4021149,136.4494593,3a,15y,34.61h,87.1t/data=!3m6!1e1!3m4!1srJ-V4QqKMy3TncbBXlPtYQ!2e0!7i13312!8i6656"				5		ガーリー・エアフォース	ガーリーエアフォース	第2話の鳴谷慧とグリペンのデートシーンで描かれていた施設。施設前の花壇を眺めている姿や、施設前を2人が自転車で移動する姿げ描かれていました。				コマツシ	カ	17	4	4	
1122	0004	完了	石川県	小松市	８番らーめん 城南末広店	923-0941	石川県小松市城南町146-1		36.406334	136.440113	"https://www.google.co.jp/maps/@36.4064071,136.4407392,3a,15y,261.38h,89.98t/data=!3m6!1e1!3m4!1sK0mGOdgbOPuyZZy623LD4g!2e0!7i13312!8i6656"				5		ガーリー・エアフォース	ガーリーエアフォース	第2話で、鳴谷慧が昼飯に小松基地の食堂の日替わりBセットより美味しいものを食べさせてやるとグリペンを連れて来た店で、ラーメンと餃子を食べさせていました。				コマツシ	カ	17	4	4	
1122	0005	完了	石川県	小松市	土居原ボンネット広場	923-0945	石川県小松市土居原町770		36.405114	136.452548	"https://www.google.co.jp/maps/@36.4049502,136.4527668,3a,24.3y,310.82h,86.05t/data=!3m6!1e1!3m4!1svm-QaFMJ9CvYXfKDGjtKeA!2e0!7i13312!8i6656"				4		ガーリー・エアフォース	ガーリーエアフォース	第2話の鳴谷慧とグリペンのデートシーンで描かれていた公園。園内に展示されているボンネット型特急電車クハ489-501や鉄道車輪が描かれていました。				コマツシ	カ	17	4	4	
1122	0001	完了	石川県	小松市	航空自衛隊 小松基地	923-0961	石川県小松市向本折町戊267		36.391799	136.418791	"https://www.google.co.jp/maps/@36.3908612,136.4191161,3a,43y,289h,80.88t/data=!3m6!1e1!3m4!1szUqvH-fdh2iU5SaugxoCGg!2e0!7i13312!8i6656"						ガーリー・エアフォース	ガーリーエアフォース	第1～2話で、街で見かけたグリペン（機体）が搬入されたと推測した鳴谷慧が夜中に侵入しようと訪れたものの拘束され、防衛省技術研究本部特別技術研究室室長の八代通遥からグリペンが飛行可能になるよう協力を依頼されて通うことになった基地。	http://www.mod.go.jp/asdf/komatsu/			コマツシ	カ	17	4	4	
1122	0002	完了	石川県	小松市	旧海軍舞鶴鎮守府掩体壕	923-0961	石川県小松市向本折町戊267		36.389657	136.412599	-						ガーリー・エアフォース	ガーリーエアフォース	第2話で、グリペンが小松基地で働くことになった鳴谷慧を案内した気に入りの場所で秘密基地にしていた掩体壕。<br />作中では、掩体壕やT-6G中等練習機が忠実に描かれていました。		http://www.mod.go.jp/asdf/komatsu/1/third/fourth/121.html		コマツシ	カ	17	4	4	
1122	0010	完了	石川県	小松市	小松駅 前	923-0921	石川県小松市土居原町466		36.402185	136.451994	"https://www.google.com/maps/@36.4021509,136.4517739,3a,22.4y,93.79h,91.56t/data=!3m6!1e1!3m4!1sZPMX9nkz33ZdKBnQhd3Ing!2e0!7i13312!8i6656"				4		ガーリー・エアフォース	ガーリーエアフォース	第5話で、駅前のバス停付近で鳴谷慧が男にからまれていたファントムを見かけ助けていました。				コマツシ	カ	17	4	4	
1122	0011	完了	神奈川県	大和市	厚木基地	242-0026	神奈川県大和市草柳		35.459999	139.454967	"https://www.google.com/maps/place/%E3%80%92242-0026+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%A4%A7%E5%92%8C%E5%B8%82%E8%8D%89%E6%9F%B3%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%96/@35.4337109,139.4728606,1457a,35y,330.19h,57.24t/data=!3m1!1e3!4m5!3m4!1s0x6018567004934cdf:0x79d5d3bfef2e555e!8m2!3d35.4607973!4d139.4563554"						ガーリー・エアフォース	ガーリーエアフォース	第9話で、上海奪還作戦にあたり、鳴谷慧たちが、米海軍のヤロスラフ・ギンツブルク博士とライノに対面していた基地。				ヤマトシ	カ	14	5	2	
