作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0237	0001	完了	茨城県	守谷市	常磐自動車道 守谷SA（パサール守谷）	302-0116	茨城県守谷市大柏166		35.939107	139.970104	"https://www.google.co.jp/maps/@35.938983,139.9687776,-29a,43.3y/data=!3m5!1e2!3m3!1s-NKzPMx8p9Z8%2FVAWNERuMzmI%2FAAAAAAAAKJk%2FpH4m67g3R5k!2e4!3e15?hl=ja"	15.0		0			キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第1話の背景に描かれていた建物。	http://www.driveplaza.com/pasar/moriya/			モリヤシ	キ	8	25	2	
0237	0002	完了	栃木県	宇都宮市	上河内サービスエリア（上り）	321-0402	栃木県宇都宮市今里町中丸1145		36.691347	139.892511	"https://www.google.co.jp/maps/@36.691039,139.8922967,-22a,20.8y/data=!3m5!1e2!3m3!1s-uU4L7LYAnFQ%2FVRFw8Sl-SdI%2FAAAAAAAAAfg%2FigWq0if2uqw!2e4!3e12?hl=ja"	15.0		0			キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第10話の背景に描かれていた建物。				ウツノミヤシ	キ	9	1	2	
0237	0003	完了	栃木県	宇都宮市	上河内サービスエリア（下り）	321-0402	栃木県宇都宮市今里町金山1149		36.689166	139.888617	"https://www.google.co.jp/maps/@36.689068,139.888911,3a,78.8y,291.97h,87.09t/data=!3m4!1e1!3m2!1s-rOGJjO7CurzBJy__qQ8Pw!2e0?hl=ja"	15.0		120	1.8		キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第8話の背景に描かれていた建物。				ウツノミヤシ	キ	9	1	2	
0237	0004	完了	栃木県	那須郡	那須高原サービスエリア（上り）	329-3225	栃木県那須郡那須町大字豊原丙4092-2		37.055739	140.102425	"https://www.google.co.jp/maps/@37.056178,140.10236,3a,27y,143.99h,89.84t/data=!3m4!1e1!3m2!1s5Mg7YD3SaN_I0OFKVu144w!2e0?hl=ja"	15.0		120	3		キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第9話の背景に描かれていた建物。				ナスグン	キ	9	19	2	
0237	0005	完了	群馬県	安中市	横川サービスエリア（上り）	379-0301	群馬県安中市松井田町横川917		36.341910	138.740044	"https://www.google.co.jp/maps/@36.34144,138.740078,3a,75y,90t/data=!3m5!1e2!3m3!1s20946283!2e1!3e10?hl=ja"	15.0		0			キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第3話の背景に描かれていた建物。				アンナカシ	キ	10	7	2	
0237	0006	完了	埼玉県	羽生市	羽生パーキングエリア（上り）	348-0004	埼玉県羽生市弥勒字五軒1686		36.181592	139.588189	"https://www.google.co.jp/maps/@36.1816069,139.5881277,3a,75y,90t/data=!3m5!1e2!3m3!1s-9zYZrGrRKNM%2FU0dYC0q86EI%2FAAAAAAAALcM%2FrdTKIkJMUqI!2e4!3e12"	17.0		0			キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第11話の背景に描かれていた建物。				ハニュウシ	キ	11	30	2	
0237	0007	完了	埼玉県	羽生市	羽生パーキングエリア（下り）	348-0004	埼玉県羽生市弥勒字三新田824		36.180695	139.585109	"https://www.google.co.jp/maps/@36.1805,139.585479,3a,75y,90t/data=!3m5!1e2!3m3!1s36969693!2e1!3e10?hl=ja"	17.0		0			キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第7話の背景に描かれていた建物。				ハニュウシ	キ	11	30	2	
0237	0008	完了	埼玉県	入間郡	三芳サービスエリア（上り）	354-0045	埼玉県入間郡三芳町大字上富2204		35.842554	139.504594	"https://www.google.co.jp/maps/@35.842587,139.504385,3a,89.8y,141.57h,91.87t/data=!3m4!1e1!3m2!1sTva2riWCAh-pAaGu62YRtw!2e0?hl=ja"	17.0		120	1		キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第6話の背景に描かれていた建物。				イルマグン	キ	11	41	2	
0237	0009	完了	埼玉県	東松山市	高坂サービスエリア（上り）	355-0053	埼玉県東松山市大字田木字立野4-5		35.985414	139.384898	"https://www.google.co.jp/maps/place/35%C2%B059'09.8%22N+139%C2%B023'07.3%22E/@35.985531,139.384555,3a,31.9y,93.24h,91.08t/data=!3m4!1e1!3m2!1sGttR5A3mi1mymJSuXPeh1g!2e0!4m2!3m1!1s0x0:0x0?hl=ja"	17.0		120	3		キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第5話の背景に描かれていた建物。				ヒガシマツヤマシ	キ	11	23	2	
0237	0010	完了	埼玉県	東松山市	高坂サービスエリア（下り）	355-0053	埼玉県東松山市大字田木字駒堀981-3		35.986066	139.385365	"https://www.google.co.jp/maps/@35.986271,139.385044,3a,81y,152.62h,88.01t/data=!3m4!1e1!3m2!1slRodVnEMGZhsbbwB9TImGw!2e0?hl=ja"	17.0		120	2		キュートランスフォーマー 帰ってきたコンボイの謎	キュートランスフォーマーカエッテキタコンボイノナゾ	第2話の背景に描かれていた建物。				ヒガシマツヤマシ	キ	11	23	2	
