作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1181	0020	完了	東京都	渋谷区	渋谷駅西口歩道橋から望むビル群	150-0031	東京都渋谷区桜丘町2		35.657219	139.701150	-						ギヴン	ギヴン	第4話で、上ノ山立夏と佐藤真冬が楽器店に行ってエフェクターの下見をした帰りのシーンの冒頭カットで、歩道橋の座標地点辺りから西側を望む構図で、荒木ビルやセルリアンタワー、東急プラザ 渋谷などのビル群が描かれていました。				シブヤク	キ	13	10	2	
1181	0012	完了	東京都	渋谷区	ミュージックランドビル	150-0031	東京都渋谷区桜丘町16-12		35.656858	139.701140	"https://www.google.com/maps/@35.6571446,139.7010553,3a,43.3y,152.31h,109.85t/data=!3m7!1e1!3m5!1scmTZGdpnHSQqOT90pcQucg!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DcmTZGdpnHSQqOT90pcQucg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D182.9712%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						ギヴン	ギヴン	第4話で、上ノ山立夏と佐藤真冬がエフェクターの下見に行った渋谷のシーンで、数ある渋谷の楽器店の中でエフェクターを見るならここだと案内するシーンの冒頭カットで描かれていたビル。実際の案内したのは、隣のビルの池部楽器店 グランディ&ジャングルでした。				シブヤク	キ	13	10	2	
1181	0013	完了	東京都	渋谷区	池部楽器店 グランディ&ジャングル	150-0031	東京都渋谷区桜丘町16-13	大和田第一ビル1Ｆ～B1F	35.656839	139.701249	"https://www.google.com/maps/@35.6569251,139.7012994,3a,26.6y,201.49h,86.9t/data=!3m6!1e1!3m4!1s3s9z8pcPLJzLt6R6oinnKg!2e0!7i16384!8i8192"				4		ギヴン	ギヴン	第4話で、上ノ山立夏がエフェクターの下見のために佐藤真冬を連れてきた楽器店。				シブヤク	キ	13	10	2	
1181	0018	完了	東京都	渋谷区	渋谷駅西口歩道橋から望む渋谷駅西口前	150-0043	東京都渋谷区道玄坂1-1		35.657638	139.701172	-						ギヴン	ギヴン	第4話で、エフェクターの下見に上ノ山立夏と佐藤真冬が渋谷を訪れたシーンの挿入カットで、歩道橋から見渡す駅西口前のロータリーなどが描かれていました。				シブヤク	キ	13	10	2	
1181	0019	完了	東京都	渋谷区	渋谷駅西口歩道橋	150-0043	東京都渋谷区道玄坂1-1		35.657518	139.701192	-						ギヴン	ギヴン	第4話で、楽器店に行ってエフェクターの下見をした帰りの上ノ山立夏と佐藤真冬が歩いていた歩道橋で、友人と一緒に渋谷にいた笠井朱乃が偶然通りかかかり、歩道橋の西側から2人の姿を目撃していました。				シブヤク	キ	13	10	2	
1181	0011	完了	東京都	渋谷区	京王井の頭線 渋谷駅 中央口	150-0043	東京都渋谷区道玄坂1-12-1		35.658705	139.699591	"https://www.google.co.jp/maps/@35.6586525,139.6995741,2a,21y,316.02h,83.69t/data=!3m7!1e1!3m5!1sTBeae-FEtGGMZUctmy4Vbw!2e0!3e2!7i13312!8i6656"				4		ギヴン	ギヴン	第4話で、上ノ山立夏と佐藤真冬がエフェクターの下見に行くため待ち合わせをしていたものの、改札前というアバウトな場所を指定していたために別々の改札前に来てしまっていたシーンで、立夏が真冬を待っていた場所。<br />真冬が西口の改札前にいることに気づいた立夏が、慌てて西口へ向かっていました。				シブヤク	キ	13	10	2	
1181	0010	完了	東京都	渋谷区	京王井の頭線 渋谷駅 西口	150-0043	東京都渋谷区道玄坂1-12-1		35.658182	139.698707	"https://www.google.com/maps/@35.6583101,139.6986852,3a,30y,244.84h,83.84t/data=!3m6!1e1!3m4!1s2jCY53CKK0nCH4FXRPDT9Q!2e0!7i16384!8i8192"				3.5		ギヴン	ギヴン	第4話で、上ノ山立夏と佐藤真冬がエフェクターの下見に行くため待ち合わせをしていたものの、改札前というアバウトな場所を指定していたために別々の改札前に来てしまっていたシーンで、真冬がいた場所。<br />別の改札前にいることに気づいた立夏が、中央口から慌てて走って来ていました。				シブヤク	キ	13	10	2	
1181	0009	完了	東京都	渋谷区	ハチ公前広場から望むビル群	150-0043	東京都渋谷区道玄坂2-1		35.659151	139.700793	"https://www.google.co.jp/maps/@35.6594746,139.7010892,3a,37y,229.74h,114.65t/data=!3m6!1e1!3m4!1snx-oe2PaRnYugYK354r1Bg!2e0!7i13312!8i6656"						ギヴン	ギヴン	第4話で、上ノ山立夏と佐藤真冬が渋谷へエフェクターの下見に行くシーンの冒頭カットで描かれていたビル群。<br />渋谷マークシティを中心に、東急百貨店 渋谷駅・東横店、大外ビルのビル看板などが描かれていました。				シブヤク	キ	13	10	2	
1181	0017	完了	東京都	渋谷区	ハチ公前広場	150-0043	東京都渋谷区道玄坂2-1		35.659059	139.700625	-						ギヴン	ギヴン	第4話で、エフェクターの下見に上ノ山立夏と佐藤真冬が渋谷を訪れたシーンの挿入カットで、像の前を2人が歩く姿が描かれていました。				シブヤク	キ	13	10	2	
1181	0001	完了	東京都	世田谷区	下北沢南口商店街ゲート	155-0031	東京都世田谷区北沢2-12		35.661195	139.667621	"https://www.google.com/maps/@35.661254,139.667646,3a,90y,193.44h,96.28t/data=!3m6!1e1!3m4!1sxaIRTmkW05QUoTqKXaxwYg!2e0!7i16384!8i8192"				1		ギヴン	ギヴン	第2話で、スタジオでの練習終わりに行ったファミレスから、上ノ山立夏と佐藤真冬が駅に向かうシーンの冒頭カットで描かれていた商店街ゲート。				セタガヤク	キ	13	14	2	
