作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0260	0001		徳島県	徳島市	鉄道橋	770-0856	徳島県徳島市中洲町1		34.067105	134.556427	"https://www.google.co.jp/maps/@34.067016,134.557048,3a,24.2y,270.92h,90.87t/data=!3m4!1e1!3m2!1sMw9s6TUuzykIzfS9ZOFg_g!2e0"						クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン	かちどき橋から望む構図で描かれています。				トクシマシ	ク	36	1	7	
0260	0002		徳島県	徳島市	大鳴門橋	772-0053	徳島県鳴門市鳴門町土佐泊浦福池		34.238884	134.651050							クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					トクシマシ	ク	36	1	7	
0260	0003		徳島県	徳島市	千疊敷展望台 	772-0053	徳島県鳴門市鳴門町土佐泊浦福池		34.236987	134.642355							クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					トクシマシ	ク	36	1	7	
0260	0004		徳島県	徳島市	阿波おどり会館	770-0904	徳島県徳島市新町橋2-20		34.070139	134.545112	"https://www.google.co.jp/maps/@34.070191,134.545814,3a,32.6y,270.23h,103.29t/data=!3m4!1e1!3m2!1sHiYqgCFQ98sx_2Ka9o4iwg!2e0"					088-611-1611	クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン		http://www.awaodori-kaikan.jp/			トクシマシ	ク	36	1	7	
0260	0005		徳島県	三好市	祖谷のかずら橋	778-0102	徳島県三好市西祖谷山村善徳		33.875330	133.835468	"https://www.google.co.jp/maps/@33.875126,133.835384,3a,75y,135h,90t/data=!3m5!1e1!3m3!1smb3WHPRuDprssXEaVmyFfg!2e0!3e2"						クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					ミヨシシ	ク	36	11	7	
0260	0006		香川県	小豆郡	エンジェルロード	761-4100	香川県小豆郡土庄町		34.477156	134.188562	"https://www.google.co.jp/maps/@34.4777403,134.1894885,3a,75y,90t/data=!3m5!1e2!3m3!1s-UL0VBlciQdk%2FUDYxvpWD9fI%2FAAAAAAAAJ_Q%2Fo8FReCWdw5o!2e4!3e12"						クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					ショウズグン	ク	37	4	7	
0260	0007		香川県	小豆郡	二十四の瞳映画村	761-4424	香川県小豆郡小豆島町田浦		34.445666	134.286114	-					0879-82-2455	クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					ショウズグン	ク	37	4	7	
0260	0008		香川県	仲多度郡	金刀比羅宮	766-0000	香川県仲多度郡琴平町川西892-1		34.183978	133.809401	"https://www.google.co.jp/maps/@34.183956,133.809631,3a,64y,263.64h,109.42t/data=!3m5!1e1!3m3!1swXIbt2P_ASUAAAQfCV0Pcw!2e0!3e11"						クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					ナカタドグン	ク	37	11	7	
0260	0009		愛媛県	松山市	県議会議事堂	790-0001	愛媛県松山市一番町4-4		33.841865	132.765052	"https://www.google.co.jp/maps/@33.84085,132.764873,3a,15y,3.45h,93.19t/data=!3m4!1e1!3m2!1sNypQciQVtAoWRNgdxUfKLw!2e0?hl=ja"						クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン	路面電車越しに議事堂の一部が描かれていました。				マツヤマシ	ク	38	6	7	
0260	0010	完了	愛媛県	松山市	松山城	790-0008	愛媛県松山市丸之内１		33.845532	132.765714	"https://www.google.co.jp/maps/@33.84495,132.7661,3a,29.4y,329.22h,101.25t/data=!3m5!1e1!3m3!1sK8AVLm2tvPRGfxN3ovIwHA!2e0!3e5?hl=ja"						クッキンアイドル アイ！マイ！まいん！	クッキンアイドルアイマイマイン					マツヤマシ	ク	38	6	7	
