作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0286	0001	完了	富山県	富山市	県民会館前交差点	930-0006	富山県富山市新総曲輪4−18		36.694856	137.212929	"https://www.google.co.jp/maps/@36.6947376,137.2123829,3a,64.9y,81.69h,102.6t/data=!3m6!1e1!3m4!1sgi17KVh0XkUP9MqAohDj7Q!2e0!7i13312!8i6656!6m1!1e1"						クロムクロ	クロムクロ	第2話で、黒部ダムから駆けつけたクロムクロが大型ジオフレームと激突していた場所。				トヤマシ	ク	16	1	4	
0286	0002	完了	富山県	富山市	県庁前公園	930-0006	富山県富山市新総曲輪１		36.696568	137.210965	"https://www.google.co.jp/maps/@36.6964326,137.2100526,3a,36.1y,95.32h,96.58t/data=!3m6!1e1!3m4!1s3LhU9ZeU5hTpAC0HF7bgsA!2e0!7i13312!8i6656!6m1!1e1"						クロムクロ	クロムクロ	第2話で、大型ジオフレームに突き飛ばされたクロムクロが大型ジオフレームの刀を躱して飛び退いていた				トヤマシ	ク	16	1	4	
0286	0003	完了	富山県	富山市	富山県警察本部	930-0006	富山県富山市新総曲輪1-7		36.694789	137.210422	"https://www.google.co.jp/maps/@36.6949035,137.2094667,3a,42.5y,27.94h,99.07t/data=!3m6!1e1!3m4!1sTX1m_LQEX87GOUKVK5Pvhw!2e0!7i13312!8i6656"					076-441-2211	クロムクロ	クロムクロ	第2話で、クロムクロが、黄色い大型ジオフレームと後から現れた4体のジオフレームと交戦していたシーンで描かれていた建物の一つ。				トヤマシ	ク	16	1	4	
0286	0004	完了	富山県	富山市	NHK富山放送会館 前	930-0006	富山県富山市新総曲輪3-1		36.696181	137.212237	"https://www.google.co.jp/maps/@36.6954853,137.212922,3a,20.8y,326.68h,101.15t/data=!3m7!1e1!3m5!1sCAAxM6TBEAAY78rrY9uCYw!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DCAAxM6TBEAAY78rrY9uCYw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D240.79396%26pitch%3D0!7i13312!8i6656!6m1!1e1"						クロムクロ	クロムクロ	第2話で、煙に紛れて姿が見えなくなった大型ジオフレームを探すクロムクロが歩いていたのは、NHK富山放送会館の電波塔と農協会館の前辺りでした。				トヤマシ	ク	16	1	4	
0286	0005	完了	富山県	富山市	富山城	930-0081	富山県富山市本丸1-62		36.692769	137.211509	"https://www.google.co.jp/maps/@36.6919675,137.212078,3a,30.6y,338.55h,93.61t/data=!3m6!1e1!3m4!1spuiiqUk7Vih2P6fGTWWfQA!2e0!7i13312!8i6656?hl=ja"						クロムクロ	クロムクロ	第3話で、大型ジオフレームとの戦いを終えた剣之介が、城を見かけて立ち寄り、居るはずのない城の住人に取り次ぎを願い出て板でした城。				トヤマシ	ク	16	1	4	
0286	0006	完了	富山県	富山市	北日本スクエアビル前の通り	930-0094	富山県富山市安住町2		36.695863	137.209834	"https://www.google.co.jp/maps/@36.6949814,137.2094969,3a,36.3y,90.45h,116.01t/data=!3m6!1e1!3m4!1sMQQOQEoDTY3d_rELz2FISQ!2e0!7i13312!8i6656"						クロムクロ	クロムクロ	第2話で、クロムクロが、黄色い大型ジオフレームと後から現れた4体のジオフレームと交戦していた市電の走る通り。				トヤマシ	ク	16	1	4	
0286	0007	完了	富山県	富山市	サンシップとやま	930-0094	富山県富山市安住町5-21		36.695181	137.208588	"https://www.google.co.jp/maps/@36.6958452,137.2097764,3a,38.8y,216.93h,102.88t/data=!3m6!1e1!3m4!1sBMpEf-Gkq8B_5VSP7K5W3Q!2e0!7i13312!8i6656"					076-432-6141	クロムクロ	クロムクロ	第2話で、クロムクロが、黄色い大型ジオフレームと後から現れた4体のジオフレームと交戦していたシーンで描かれていた建物の一つ。				トヤマシ	ク	16	1	4	
0286	0008	完了	富山県	富山市	北陸新幹線の高架線路	930-0106	富山県富山市高木西		36.721831	137.157386	"https://www.google.co.jp/maps/@36.7214074,137.1574535,3a,40.1y,358.25h,98.9t/data=!3m6!1e1!3m4!1s8GNcPKI0wZ0bR5zFoIBa8Q!2e0!7i13312!8i6656"						クロムクロ	クロムクロ	第2話で、大型ジオフレームが行く手を阻む北陸新幹線の高架線路をぶった切っていた場所。				トヤマシ	ク	16	1	4	
0286	0009	完了	富山県	富山市	工場群の駐車場	930-0106	富山県富山市高木西		36.719968	137.157381	"https://www.google.co.jp/maps/@36.720038,137.1576451,3a,48.4y,12.72h,92.08t/data=!3m6!1e1!3m4!1sr8C0PeQBIrJxC6UkCTePCw!2e0!7i13312!8i6656"						クロムクロ	クロムクロ	第2話で、大型ジオフレームを迎撃していた北陸新幹線の高架線路の南側にある駐車場。				トヤマシ	ク	16	1	4	
0286	0010	完了	富山県	富山市	富岩運河環水公園	930-0805	富山県富山市湊入船町		36.709401	137.212299	"https://www.google.co.jp/maps/@36.7083788,137.2139994,3a,25y,254.0h,91.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE82ajFVUHcycUQ0Um94eUxFUi04el9VVDZoWjhuNHdiMElVVlhT!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE82ajFVUHcycUQ0Um94eUxFUi04el9VVDZoWjhuNHdiMElVVlhT%3Dw203-h100-k-no-pi-13.033536-ya342.7795-ro19.758804-fo100!7i5376!8i2688?dcr=0 "					076-444-6041	クロムクロ	クロムクロ	第16話で、美夏のコスプレ撮影会で由希奈たちが訪れていた場所。				トヤマシ	ク	16	1	4	
0286	0011	完了	富山県	富山市	神通大橋	930-0896	富山県富山市畑中		36.702702	137.200011	"https://www.google.co.jp/maps/@36.7008277,137.2039171,3a,35.5y,320.12h,92.59t/data=!3m6!1e1!3m4!1sBc2Po00x7YGSUh51rVGCCA!2e0!7i13312!8i6656"						クロムクロ	クロムクロ	第2話で、大型ジオフレームが神通川を渡っていた橋。				トヤマシ	ク	16	1	4	
0286	0012	完了	富山県	富山市	富山地方鉄道 横江駅	930-1377	富山県中新川郡立山町横江		36.582150	137.335684	"https://www.google.co.jp/maps/@36.5820237,137.3350623,3a,15y,65.73h,92.57t/data=!3m6!1e1!3m4!1s_w-3qczENIQdwbRhozyynQ!2e0!7i13312!8i6656?hl=ja"						クロムクロ	クロムクロ	第16話で、美夏のコスプレ撮影会に参加したメンバーが、電車で撮影地へ向かうシーンで描かれていた駅。				トヤマシ	ク	16	1	4	
0286	0013	完了	富山県	富山市	黒部ダム	930-1406	富山県中新川郡立山町芦峅寺		36.567261	137.662149	"https://www.google.co.jp/maps/@36.5690135,137.6667879,105a,35y,229.93h,78.23t/data=!3m1!1e3?hl=ja"						クロムクロ	クロムクロ	物語のメイン舞台となっている黒部研究所のある場所で、オープニングを始め、第1話から頻繁に出て来ています。				トヤマシ	ク	16	1	4	
0286	0014	完了	富山県	富山市	ファボーレ（フューチャーシティ・ファボーレ）	939-2716	富山県富山市婦中町下轡田165-1		36.662627	137.171182	"https://www.google.co.jp/maps/@36.6609327,137.1715716,3a,37.3y,355.63h,95.23t/data=!3m6!1e1!3m4!1sKCMHDmlKUPj6jP76xP5okw!2e0!7i13312!8i6656?hl=ja"						クロムクロ	クロムクロ	第16話で、美夏のコスプレ撮影会で、由希奈たちが最後に撮影をしていた場所。作中では廃墟になっていました。				トヤマシ	ク	16	1	4	
0286	0015	完了	富山県	富山市	理容にしの 周辺	939-8064	富山県富山市赤田		36.657788	137.209730	"https://www.google.co.jp/maps/@36.6578348,137.2097317,3a,27.9y,240.59h,93.18t/data=!3m6!1e1!3m4!1sK_NBPHNzGQRC98RR-bEc_A!2e0!7i13312!8i6656?hl=ja"						クロムクロ	クロムクロ	第5話で、富山城址公園に放置されていたクロムクロを黒部研究所に移送していた国道41号線（越中東海道）のカットで、理容にしの周辺が描かれていました。				トヤマシ	ク	16	1	4	
0286	0016	完了	富山県	富山市	セブン-イレブン富山赤田店	939-8064	富山県富山市赤田941-1		36.657446	137.210340	"https://www.google.co.jp/maps/@36.6575021,137.2097248,3a,37.5y,142.61h,85.03t/data=!3m6!1e1!3m4!1s_FZ5zKRYKuMi-j7dnZ9O-g!2e0!7i13312!8i6656?hl=ja"					076-492-0771	クロムクロ	クロムクロ	第5話で、富山城址公園に放置されていたクロムクロを黒部研究所に移送していた国道41号線（越中東海道）のカットで、セブン-イレブン富山赤田店周辺が描かれていました。				トヤマシ	ク	16	1	4	
0286	0017	完了	富山県	富山市	橋	939-8071	富山県富山市上袋		36.659760	137.209838	"https://www.google.co.jp/maps/@36.6600058,137.2084409,3a,16.2y,95.66h,91.66t/data=!3m6!1e1!3m4!1sudXRZCFDbmROHFR-ROvfxw!2e0!7i13312!8i6656?hl=ja"						クロムクロ	クロムクロ	第5話で、富山城址公園に放置されていたクロムクロを黒部研究所に移送する際に通っていた道は国道41号線（越中東海道）で、太田川に架かる橋を渡っていました。				トヤマシ	ク	16	1	4	
0286	0018	完了	富山県	富山市	友杉橋	939-8223	富山県富山市島田		36.640447	137.205520	"https://www.google.co.jp/maps/@36.6402785,137.2054955,3a,38.3y,11.45h,80.59t/data=!3m6!1e1!3m4!1s6QSD84N1XRjxLIqUCZOsFQ!2e0!7i13312!8i6656?hl=ja"						クロムクロ	クロムクロ	"第6話で、イエロークラブとヘッドレスの富山きときと空港飛来のために通行止めされていた熊野川に架かる橋。, "				トヤマシ	ク	16	1	4	
0286	0019	完了	富山県	富山市	ホテルセントリバー 前	939-8223	富山県富山市島田45		36.639852	137.205365	"https://www.google.co.jp/maps/@36.6398239,137.2053543,3a,53.3y,12.61h,95.81t/data=!3m6!1e1!3m4!1scADk0Fo3cWpO755yi-URJg!2e0!7i13312!8i6656?hl=ja"					076-429-7300	クロムクロ	クロムクロ	第6話で、イエロークラブとヘッドレスの富山きときと空港飛来のために通行止めとなり、渋滞していた道のカットで、熊野川沿いの道のホテルセントリバー前辺りが描かれていました。				トヤマシ	ク	16	1	4	
