作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0267	0044	完了	福井県	福井市	九頭竜川橋梁	910-0061	福井県福井市舟橋新町		36.099482	136.204564	-						グラスリップ	グラスリップ	第11話で、ダンススクール帰りの高山やなぎと井美雪哉が乗る電車が渡っていた鉄道橋。				フクイシ	ク	18	1	4	
0267	0001	完了	福井県	福井市	ワタリグラススタジオ	910-3402	福井県福井市鮎川町17-14		36.098836	136.034751	"https://www.google.co.jp/maps/@36.0993505,136.0344528,3a,15y,152.28h,97.05t/data=!3m6!1e1!3m4!1sDkRQZofL0B5GfXbkRNYL7Q!2e0!7i13312!8i6656"				5	0776-88-2025	グラスリップ	グラスリップ	深水透子の父でガラス工芸家の深水健が営むガラス工房「YATAGLASS studio」のモデル。<br />作中では、工房の隣に深水家の住居が描き足されていました。	http://watariglass.p1.bindsite.jp/			フクイシ	ク	18	1	4	
0267	0026	完了	福井県	坂井市	汐見公園　東屋 前	910-0200	福井県坂井市三国町三国		36.209181	136.151243	-						グラスリップ	グラスリップ	オープニングで、高山やなぎが陸上の練習をする井美雪哉のタイムを計測している姿が描かれていた場所。				サカイシ	ク	18	4	4	
0267	0032	完了	福井県	坂井市	国道305号沿いの畑	913-0002	福井県坂井市三国町加戸		36.225603	136.165945	"https://www.google.co.jp/maps/@36.225371,136.1654283,3a,28y,56.51h,91.37t/data=!3m6!1e1!3m4!1su9Fl0Qfh0opizXV7t9-Byw!2e0!7i16384!8i8192"				4		グラスリップ	グラスリップ	第2話で、井美雪哉が深水透子に告白していたベンチのある場所の立地モデル。<br />作中では、地形や道路は一致しますが、畑の敷地がベンチのある広場に描き変えられています。<br />第11話のラスト、第12話冒頭の雪が降るり積もる街のカットの一つでも、同じ場所が描かれていました。<br />第13話で、沖倉駆が家に訪ねて来た高山やなぎと共にカフェ「カゼミチ」に向かう途中で一休みして、沖倉家で開かれた演奏会の話などをしていました。<br />ベンチは、龍翔坂踏切脇のものがモデルのようです。				サカイシ	ク	18	4	4	
0267	0033	完了	福井県	坂井市	カーブの坂道	913-0002	福井県坂井市三国町加戸		36.225943	136.166245	"https://www.google.co.jp/maps/@36.2254289,136.1656184,3a,17.6y,31.71h,90.65t/data=!3m6!1e1!3m4!1sZ2iV1oblmzCu66juTVhMeQ!2e0!7i16384!8i8192"				5		グラスリップ	グラスリップ	第2話で、カフェ「カゼミチ」で自分がいない席で深水透子が恋愛解禁宣言をしたことを聞いた高山やなぎが、何かを察して透子と井美雪哉の後を追って走っていた坂道。<br />この後、坂道に身を隠したやなぎが、雪哉が透子に告白する現場を目撃していました。				サカイシ	ク	18	4	4	
0267	0037	完了	福井県	坂井市	竹田川沿いの道	913-0026	福井県坂井市三国町殿島2		36.206320	136.154063	"https://www.google.co.jp/maps/@36.2058505,136.1547972,3a,38y,320.77h,80.79t/data=!3m6!1e1!3m4!1skXvJUEO2s5UEydg7sgcR4Q!2e0!7i13312!8i6656"						グラスリップ	グラスリップ	第2話で、膝の傷のリハビリでランニングをしていた井美雪哉が、前方を走る沖倉駆を見つけると、対抗心からペースを上げて駆を抜いていた道。				サカイシ	ク	18	4	4	
0267	0031	完了	福井県	坂井市	汐見公園前交差点	913-0027	福井県坂井市三国町汐見		36.207725	136.152611	"https://www.google.co.jp/maps/@36.2076488,136.1525193,3a,50y,61.71h,90.7t/data=!3m6!1e1!3m4!1s9aJjO3CiEiJYW2nDxKD4Lw!2e0!7i16384!8i8192"						グラスリップ	グラスリップ	第10話で、深水透子が駆け足で横断歩道を渡る姿が描かれていた交差点。				サカイシ	ク	18	4	4	
0267	0030	完了	福井県	坂井市	港橋	913-0044	福井県坂井市三国町山王2		36.208038	136.153092	-						グラスリップ	グラスリップ	第6話の、花火に沖倉駆を誘うのを買って出た井美雪哉が自宅を訪ねて駆を連れ出し神社に向かうシーンで、2人が渡っていた橋。<br />第10話で、深水透子がガラス玉を通して街を眺めていたのもこの橋でした。<br />第11話では、沖倉家での演奏会に向かう深水家一行が橋を渡っていました。<br />第13話では、沖倉家での演奏会帰りの深水陽菜、深水健、深水真理が渡っていました。<br />エンディングでは、橋の上で景色を眺める一行の中で、透子だけが後ろを走る駆の方を見ている様子が描かれていました。				サカイシ	ク	18	4	4	
0267	0048	完了	福井県	坂井市	中元交差点	913-0044	福井県坂井市三国町山王2-8		36.208334	136.153534	"https://www.google.co.jp/maps/@36.2082326,136.1542133,125a,35y,289.54h,19.66t/data=!3m1!1e3"						グラスリップ	グラスリップ	第6話の、花火に沖倉駆を誘うのを買って出た井美雪哉が自宅を訪ねて駆を連れ出し神社に向かうシーンで、上空から見下ろす構図で2人が横断歩道を渡る姿が描かれていた交差点。				サカイシ	ク	18	4	4	
0267	0003	完了	福井県	坂井市	ジェラート・カルナ	913-0045	福井県坂井市三国町南本町3-4-34		36.213539	136.149261	"https://www.google.co.jp/maps/@36.2136903,136.1492749,3a,43y,152.62h,88.12t/data=!3m6!1e1!3m4!1siHToVlt4joJ7i6aejVPyIA!2e0!7i16384!8i8192"					0776-81-3225	グラスリップ	グラスリップ	第2話で、深水透子と永宮幸が店前のベンチでアイスを食べていた店。<br />第10話では、みくに龍翔館（作中では「麒麟館」）から透子と白崎祐と一緒に帰る途中の幸が、この店でアイスを買う様子が描かれていました。<br />同話の井美雪哉が陸上部の夏合宿から帰って来たシーンでは、この店の前で、合宿中に高山やなぎから送られてきた謎メール「ジェラート屋さんの前。黒1 白2」の答え合わせをしていました。				サカイシ	ク	18	4	4	
