作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1161	0001	完了	滋賀県	大津市	夢見ヶ丘の展望台の駐車場	520-0017	滋賀県大津市山中町		35.051950	135.839086	"https://www.google.co.jp/maps/@35.0521982,135.8390385,3a,19.5y,144.42h,81.96t/data=!3m6!1e1!3m4!1smKixi7RYb3c6u9xIL5X10g!2e0!7i13312!8i6656"				5		グランベルム	グランベルム	第2話で、新月エルネスタ深海が小日向満月に魔術師の子孫や戦っている理由、グランベルムのことなどを語って聞かせるシーンの挿入カットで描かれていた場所その1。深海がツインテールの娘と一緒に海を見ていました。				オオツシ	ク	25	1	5	
1161	0002	完了	滋賀県	大津市	琵琶湖大橋	520-0241	滋賀県大津市今堅田3		35.121383	135.934496	"https://www.google.co.jp/maps/@35.1214309,135.934343,3a,15.1y,111.62h,89.79t/data=!3m6!1e1!3m4!1s8TE0DbsQu3Jkxb7v5L5NxA!2e0!7i13312!8i6656"				5		グランベルム	グランベルム	第2話で、新月エルネスタ深海が小日向満月に魔術師の子孫や戦っている理由、グランベルムのことなどを語って聞かせるシーンの挿入カットで描かれていた場所その2。<br />第7話では、袴田水晶が橋上の街灯の上に座っている姿が描かれていました。				オオツシ	ク	25	1	5	
1161	0003	完了	滋賀県	大津市	道の駅 びわ湖大橋米プラザ脇から望む琵琶湖大橋	520-0241	滋賀県大津市今堅田3-1		35.123974	135.928544	"https://www.google.co.jp/maps/@35.1238757,135.9285423,3a,15y,185.37h,96.2t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1VNDRybHo1Z1h4N1ZCamlVMUYtYWw5VjMzN2E2cm5mNnZwNkp5!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMU44rlz5gXx7VBjiU1F-al9V337a6rnf6vp6Jy%3Dw203-h100-k-no-pi0-ya47.371613-ro-0-fo100!7i7680!8i3840"				5		グランベルム	グランベルム	第2話で、新月エルネスタ深海が小日向満月に魔術師の子孫や戦っている理由、グランベルムのことなどを語って聞かせるシーンの挿入カットで描かれていた場所。				オオツシ	ク	25	1	5	
1161	0004	完了	滋賀県	大津市	堅田の浮御堂（満月寺浮御堂）	520-0242	滋賀県大津市本堅田1-16		35.109843	135.921625	"https://www.google.co.jp/maps/@35.1098019,135.9213131,3a,73.3y,39.6h,88.09t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE9UNmNoRkZzd1dqU3hsdU1lWWdESU1kVzUtODVacVVKOXRSZUly!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOT6chFFswWjSxluMeYgDIMdW5-85ZqUJ9tReIr%3Dw203-h100-k-no-pi0-ya288.95972-ro-0-fo100!7i8000!8i4000"						グランベルム	グランベルム	第2話で、新月エルネスタ深海が小日向満月に魔術師の子孫や戦っている理由、グランベルムのことなどを語って聞かせるシーンの挿入カットで描かれていた場所その5。<br />第10話のラスト～第11話冒頭で、自身が人間でないことを知り、家にも帰れなくなった満月が、林姉妹が泊めてくれると言うのも一人で考えたいと辞して、恐怖に押しつぶされそうになりながら一人で泣いているところへ、ふいに現れた土御門四翠と話をしていたのも、この御堂でした。				オオツシ	ク	25	1	5	
1161	0012	完了	滋賀県	大津市	葛川森林キャンプ村	520-0475	滋賀県大津市葛川坊村町237-37		35.250369	135.867668	-						グランベルム	グランベルム	第11話で、小日向満月一行が、びわ湖バレイロープウェイに乗ってキャンプをしに行った場所。<br />実際には、ロープウェイの山麓駅からはこのキャンプ場へは行けません。				オオツシ	ク	25	1	5	
1161	0010	完了	滋賀県	大津市	ファミリーマート 志賀和邇店	520-0523	滋賀県大津市和邇南浜16-2		35.160655	135.924195	"https://www.google.com/maps/@35.1606883,135.9244205,3a,33.3y,263.56h,92.92t/data=!3m6!1e1!3m4!1s2ddzKU8fqehgL82_ldWDgw!2e0!7i13312!8i6656"						グランベルム	グランベルム	第3話で、新体操の大会帰りのクレア・フーゴが車中から、小日向満月と一緒にこのコンビニ前にいる新月エルネスタ深海を見かけていました。<br />第10話では、自身が人間でないことを知り、家に帰るも家族すら自分のことを知らない事実に愕然となる小日向満月がこのコンビニに立ち寄り、さらにスマホから友人たちの連絡先が消えていくのに。<br />第9話で精霊召喚を教えてもらったお礼にと、満月が「とんかつマン」を半分新月にあげていたのも、第11話で、絶望の中から希望を見出した満月が、新月と一緒に「とんかつマン」を食べていたのも、このコンビニでした。<br />第13話では、魔力のなくなった世界で、土御門四翠が駆け出てきたり、新月が、かつて満月と一緒に食べた店頭のベンチで一人で「とんかつマン」を食べていました。<br />作中では店名が「Wani Mart」になっていました。ベンチは実際にはありません。<br />※作中に描かれている店舗は2015年に閉店解体され、同年11月11日に北隣へ新築移転した「ファミリーマート 和邇南浜店」の駐車場となっています。				オオツシ	ク	25	1	5	解体
1161	0015	完了	滋賀県	大津市	和邇水防倉庫	520-0526	滋賀県大津市和邇中		35.156281	135.921441	"https://www.google.co.jp/maps/@35.1563044,135.9215185,3a,59.1y,253.26h,94.41t/data=!3m6!1e1!3m4!1sg3UYJjQkKb0-axRI2M6ubQ!2e0!7i13312!8i6656"						グランベルム	グランベルム	第3話で、コンビニ帰りの小日向満月と新月エルネスタ深海が歩いていたシーンで背後に描かれていた建物。<br />新体操の大会帰りのフーゴ家一行が新月を見つけて車から降り、声をかけてきていました。<br />作中では、満月と新月が立ち寄ったコンビニの横に建っている設定になっています。				オオツシ	ク	25	1	5	
1161	0016	完了	滋賀県	大津市	JAレーク大津 志賀町支店 前	520-0526	滋賀県大津市和邇中94-2		35.156575	135.921475	"https://www.google.co.jp/maps/@35.1564843,135.9215004,3a,41.6y,334.79h,96.82t/data=!3m6!1e1!3m4!1sptPfDw16MMr-w0Zneidb_g!2e0!7i13312!8i6656"						グランベルム	グランベルム	第3話で、新体操の大会帰りのフーゴ家一行が車中から新月エルネスタ深海を見かけ、車を停めさせていた場所。車を降りたアンナの母が、走ってきて新月を抱きしめていました。				オオツシ	ク	25	1	5	
1161	0005	完了	滋賀県	大津市	榎の石碑 前	520-0526	滋賀県大津市和邇中96		35.156769	135.921413	"https://www.google.co.jp/maps/@35.156776,135.9214597,3a,61.7y,231.71h,87.82t/data=!3m6!1e1!3m4!1shlAX59ssRXLJmRS5iTQ2-g!2e0!7i13312!8i6656"						グランベルム	グランベルム	第2話で、小日向希望と林寧々の通学シーンで、寧々が柱に頭をぶつけていた場所。希望に魔力の痕跡を感じた土御門九音に声をかけられていました。<br />第3話で、学校帰りの新月エルネスタ深海が小日向満月と歩いているところへ、自動車で通りかかったフーゴ家一行が車を止め、新月と再会していたのも、この場所でした。<br />第4話の通学シーンでも、第2話と同じところで寧々が頭をぶつける天丼が描かれ、同じく土御門九音に声をかけられていました。同話のラストでは、九音に見つけられたことを受け、通学時の満月が新月から気配を察知されにくくなる薬をもらって飲んでいるところへ寧々が現れ、自分が魔術師の子孫で「グランベルム」の参加者であることを告白していたのも、この場所でした。<br />第13話では、「プリンセプス」となって魔力をなくそうとする新月の決意を揺るがそうと、袴田水晶の残留思念が見せた魔力のなくなった世界の幻としてこの場所を見せていました。<br />同話の魔力のなくなった世界の通学シーンで、新月が、小日向希望や林寧々たちが新しい世界で仲良くしている姿を見ていたのも、この場所でした。				オオツシ	ク	25	1	5	
1161	0009	完了	滋賀県	大津市	高城台自治会館横の公園	520-0528	滋賀県大津市和邇高城		35.164829	135.919242	"https://www.google.co.jp/maps/@35.1645925,135.9193033,3a,15y,351.48h,82.31t/data=!3m6!1e1!3m4!1s9E_yg9YVb200a27WbXm3Xg!2e0!7i13312!8i6656"				5		グランベルム	グランベルム	第6話冒頭で、夢で林寧々の記憶の一端を見た小日向満月が、新月エルネスタ深海から、相手の思念と記憶が魔力を通して流れ込んで来たのだろうと説明を受けていた公園。<br />第8話では、夜中に新月からメールを受けた満月が、新月に会いに訪れたのもこの公園で、再び「グランベルム」への参加を止めさせようとする新月に、満月が一緒に戦いたいという気持ちを伝えていました。				オオツシ	ク	25	1	5	
