作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0330	0001	完了	宮城県	仙台市	JR 仙台駅	980-0021	宮城県仙台市青葉区中央1-1-1		38.260278	140.882222		13.0		0			ココロコネクト	ココロコネクト	第11話で青木義文が中学時代の彼女であるに会いに行くために義文と八重樫太一と2人が行った駅。				センダイシ	コ	4	1	1	
0330	0002	完了	茨城県	取手市	北浦川水門	300-1524	茨城県取手市神浦		35.885425	140.128708	"https://www.google.co.jp/maps/@35.8862186,140.1289983,3a,21.3y,190.9h,100.91t/data=!3m4!1e1!3m2!1sqQCCXRlwddJcHD70z532EA!2e0?hl=ja"	15.0		120	3		ココロコネクト	ココロコネクト	第4話で永瀬伊織が八重樫太一に自分のトラウマを打ち明けていた場所。				トリデシ	コ	8	21	2	
0330	0003	完了	神奈川県	横浜市	岸根公園	222-0034	神奈川県横浜市港北区岸根町725-1		35.495969	139.61712							ココロコネクト	ココロコネクト	エンディングに描かれていた橋は、この公園内の篠原池に架かる橋です。	http://www2.kishine-park.org/	http://www2.kishine-park.org/		ヨコハマシ	コ	14	1	2	
0330	0004	完了	神奈川県	横浜市	横浜市営地下鉄 センター北駅	224-0003	神奈川県横浜市都筑区中川中央1-1-1		35.553435	139.578369							ココロコネクト	ココロコネクト	第2話で1・2番線ホームが、後期オープニングで駅舎内が描かれていました。				ヨコハマシ	コ	14	1	2	
0330	0005	完了	神奈川県	横浜市	階段	224-0003	神奈川県横浜市都筑区中川中央1-1-1		35.554292	139.578316							ココロコネクト	ココロコネクト	オープニングにも登場する大階段。第8話では、ここで八重樫太一が藤島麻衣子に相談を聞いてもらっていました。				ヨコハマシ	コ	14	1	2	
0330	0006	完了	神奈川県	横浜市	モザイクモール港北 前	224-0003	神奈川県横浜市都筑区中川中央1-1-1		35.554223	139.578661							ココロコネクト	ココロコネクト	後期オープニング冒頭で虹の光線が重なり合っていた場所。				ヨコハマシ	コ	14	1	2	
0330	0007	完了	神奈川県	横浜市	モザイクモール港北 前	224-0003	神奈川県横浜市都筑区中川中央1-31-1		35.55425	139.578572						045-914-2111	ココロコネクト	ココロコネクト	オープニングで登校する八重樫太一たちが落ち合うシーンで、モール越しの観覧車や、駐輪場、階段などが描かれていました。				ヨコハマシ	コ	14	1	2	
0330	0008	完了	神奈川県	横浜市	高架下	224-0003	神奈川県横浜市都筑区中川中央1-17		35.551347	139.577635							ココロコネクト	ココロコネクト	第2話で精神の入れ替わった八重樫太一と稲葉姫子が歩いているところへ（地域清掃活動中）、太一と永瀬伊織の関係について問い質しに現れた藤島麻衣子に対し、太一と入れ替わっている姫子が「伊織はオレの女だ」と言い放っていた場所。				ヨコハマシ	コ	14	1	2	
0330	0009	完了	神奈川県	横浜市	橋	224-0003	神奈川県横浜市都筑区中川中央2-4-4		35.547863	139.57571							ココロコネクト	ココロコネクト	第3話で八重樫太一が桐山唯に、男が急所攻撃を受けた時の苦しみを教えていた所を、犬の散歩中の藤島麻衣子に怪しまれ、走って逃げて来た橋。				ヨコハマシ	コ	14	1	2	
0330	0010	完了	神奈川県	横浜市	河原	224-0003	神奈川県横浜市都筑区中川中央2-4-4		35.547681	139.576158							ココロコネクト	ココロコネクト	第3話で男が急所攻撃を受けた時の苦しみを教えていた所を犬の散歩中の藤島麻衣子に怪しまれて、八重樫太一と桐山唯が逃げて来た後、男の急所について語りながら歩いていた河原の歩道。				ヨコハマシ	コ	14	1	2	
0330	0011	完了	神奈川県	横浜市	スロープ	224-0032	神奈川県横浜市都筑区茅ヶ崎中央		35.547086	139.575325							ココロコネクト	ココロコネクト	エンディングで描かれていたセンター南駅からセンター北駅に向かってブルーラインとグリーンラインの間を通るスロープ。				ヨコハマシ	コ	14	1	2	
0330	0012	完了	神奈川県	横浜市	サーティワンアイスクリーム 港北センター南店	224-0032	神奈川県横浜市都筑区茅ヶ崎中央14-12		35.542938	139.573402						045-943-0331	ココロコネクト	ココロコネクト	第1話の八重樫太一が学校からの帰途、同じく学校帰りの妹の莉奈と会い、アイスクリームを買ってあげようかと誘っていた店。	http://www.31ice.co.jp/store/index.php?action_public_tenpo_detail=true&linkcd=64A22B4039279AD28217F1E8FF528AE4	http://www.31ice.co.jp/store/index.php?action_public_tenpo_detail=true&linkcd=64A22B4039279AD28217F1E8FF528AE4		ヨコハマシ	コ	14	1	2	
0330	0013	完了	神奈川県	横浜市	横浜学園高等学校	235-0021	神奈川県横浜市磯子区岡村2-4-1		35.417358	139.615598						045-751-6941	ココロコネクト	ココロコネクト	八重樫太一たちが通う「私立山星高等学校」のモデル。	http://www.yokogaku.ed.jp/	http://www.yokogaku.ed.jp/		ヨコハマシ	コ	14	1	2	
