作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0358	0001	完了	東京都	千代田区	半蔵門メディアセンター	102-0083	東京都千代田区麹町1-12		35.684763	139.743968	"https://www.google.co.jp/maps/@35.6845735,139.7442924,3a,40.7y,306.98h,97.06t/data=!3m6!1e1!3m4!1sxvlk8ptl4EvCZSKzNBLhGA!2e0!7i13312!8i6656"						サクラクエスト	サクラクエスト	第20話冒頭で、緑川真希がオーディションを受けていたビル。				チヨダク	サ	13	17	2	
0358	0013	完了	石川県	金沢市	兼六園 桂坂口	920-0936	石川県金沢市兼六町1-4		36.564667	136.662129	"https://www.google.co.jp/maps/@36.5647879,136.6621263,3a,24.2y,173.39h,90.53t/data=!3m6!1e1!3m4!1surVJHNhestlcKiLv2wgX-w!2e0!7i13312!8i6656"						サクラクエスト	サクラクエスト	第25話で、門田丑松会長が、間野山市の合併を有利にする手立てとして姉妹都市提携を直談判するためにナウマン市長を探しに訪れ、目印にチュパカブラのマスクを被って観光客に声をかけていたところを、不審者に間違われて警察官に連行されていた場所。				カナザワシ	サ	17	3	4	
0358	0014	完了	石川県	金沢市	湯涌温泉観光案内所	920-1124	石川県金沢市湯涌田子島町イ30-1		36.491340	136.750304	"https://www.google.co.jp/maps/@36.4915806,136.750353,3a,34.2y,188.61h,93.52t/data=!3m7!1e1!3m5!1sCjS4y5kKxhAm7ZMktwJEBQ!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DCjS4y5kKxhAm7ZMktwJEBQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D66.23217%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"					076-235-1040	サクラクエスト	サクラクエスト	第1話で、国王の依頼を受けて間野山にやって来た木春由乃が案内され、人違いだったことを聞かされていた場所で、2話以降も度々出てきました。作中では名前が「間野山観光案内所」になっていました。				カナザワシ	サ	17	3	4	
0358	0002	完了	富山県	富山市	城址大通り	930-0003	富山県富山市桜町1-4		36.699447	137.213270	"https://www.google.co.jp/maps/@36.6991936,137.2132834,3a,75y,330.57h,108.08t/data=!3m6!1e1!3m4!1sQdMYmVECsAyRvrE2SdS7zA!2e0!7i13312!8i6656"						サクラクエスト	サクラクエスト	第23話で、木春由乃と四ノ宮しおりが、みずち祭り復活に協賛したいとの連絡をしてきた人気洋菓子店ベレンを経営する株式会社アゾレスを訪ねて隣町の富蔵市にやってきたシーンで、2人が歩いていた場所。				トヤマシ	サ	16	1	4	
0358	0003	完了	富山県	富山市	田中ビル	930-0003	富山県富山市桜町1-7-2		36.698788	137.213409	"https://www.google.co.jp/maps/@36.6991733,137.213349,3a,30.8y,171.75h,97.26t/data=!3m6!1e1!3m4!1siIk1AO4BV6UTqgtwQEbulg!2e0!7i13312!8i6656"						サクラクエスト	サクラクエスト	第23話で、木春由乃と四ノ宮しおりが訪ねていたみずち祭り復活に協賛したいという人気洋菓子店ベレンの店と経営会社である株式会社アゾレスが入っていたビル。				トヤマシ	サ	16	1	4	
0358	0004	完了	富山県	南砺市	八日町通り	932-0211	富山県南砺市井波		36.559807	136.971580	"https://www.google.co.jp/maps/@36.559957,136.971444,3a,20.7y,144.25h,92.96t/data=!3m6!1e1!3m4!1s7KHn6-CEw_C-c0HQeaBavA!2e0!7i13312!8i6656"						サクラクエスト	サクラクエスト	第4話で間野山の伝統工芸である間野山彫刻の見学で「木彫村」へ向かうシーンで、木春由乃一行が歩いていた通りのモデル。一部の建物以外は大分改変されています。				ナントシ	サ	16	12	4	
0358	0005	完了	富山県	南砺市	瑞泉寺式台門	932-0211	富山県南砺市井波3050		36.559124	136.971323	-					0763-82-1246	サクラクエスト	サクラクエスト	第4話で間野山の伝統工芸である間野山彫刻を見るために訪れていた場所のモデルで、井波彫刻の門が描かれていました。	http://www.geocities.jp/inamibetuinzuisenji/			ナントシ	サ	16	12	4	
0358	0006	完了	富山県	南砺市	桜ヶ池	939-1835	富山県南砺市立野原東		36.497748	136.868019	-						サクラクエスト	サクラクエスト	チュパカブラ王国の前に広がる「桜池」のモデルとなった巨大な溜池で、作中では、神輿を乗せた筏で桜池を渡る「瑞池祭り」の祭場ともなっていました。橋や桜ヶ池公園など周囲でモデルとなった場所も随所に確認できます。				ナントシ	サ	16	12	4	
0358	0007	完了	富山県	南砺市	桜ヶ池　石橋	939-1835	富山県南砺市立野原東		36.499205	136.870685	"https://www.google.co.jp/maps/@36.4990314,136.870742,3a,21.5y,348.24h,86.25t/data=!3m6!1e1!3m4!1s76zP7VgfL7MG6a0vt_O6Jw!2e0!7i13312!8i6656"						サクラクエスト	サクラクエスト	新国王に就任した木春由乃に最初の仕事として言い渡された「チュパカブラ饅頭1000箱」を1週間で売り切るというミッションを達成スべく、まず最初に「cafeアンジェリカ」へと向かう由乃と四ノ宮しおりが渡っていた石橋のモデル。実際には作中よりも一回り小さいサイズの橋です。				ナントシ	サ	16	12	4	
0358	0008	完了	富山県	南砺市	桜ヶ池神社	939-1835	富山県南砺市立野原東		36.498099	136.868768	-						サクラクエスト	サクラクエスト	第11話で、織部凛々子が婚活ツアーの参加者に、間野山に伝わる「龍の歌」を披露していた場所で、神社のある中の島をバックに歌っていました。				ナントシ	サ	16	12	4	
