作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0361	0001	完了	北海道	小樽市	旭橋の袂	047-0007	北海道小樽市港町4		43.203072	141.000835	"https://www.google.co.jp/maps/@43.2028217,141.0008964,3a,45.6y,354.01h,92.59t/data=!3m6!1e1!3m4!1sWEoPZQxCD31NQc8GwcZG2g!2e0!7i13312!8i6656"						サクラダリセット	サクラダリセット	第18話で、浅井ケイが村瀬陽香と一緒に、浦地正宗の計画で咲良田から能力を消してしまう可能性のある宇川紗々音を探していた場所。				オタルシ	サ	1	3	1	
0361	0002	完了	北海道	小樽市	ローソン 小樽色内店	047-0031	北海道小樽市色内1-15-13		43.198813	140.998306	"https://www.google.co.jp/maps/@43.1988452,140.9978922,3a,38.5y,88.34h,95.27t/data=!3m6!1e1!3m4!1stDOkDeg-aUwpfyFcdWxx8Q!2e0!7i13312!8i6656"						サクラダリセット	サクラダリセット	第7話で、村瀬陽香が岡絵里に接触していたコンビニ。				オタルシ	サ	1	3	1	
0361	0003	完了	北海道	小樽市	マリナーズコート小樽 脇	047-0031	北海道小樽市色内2-11-4		43.199412	140.998851	"https://www.google.co.jp/maps/@43.1992536,140.9989669,3a,15y,329.9h,89.91t/data=!3m6!1e1!3m4!1sFIYLjfBKGjbK90ueHQ51ag!2e0!7i13312!8i6656"						サクラダリセット	サクラダリセット	第16話で、相麻菫の指示に従って浅井ケイと春埼美空がゴミ拾いをしていた場所。中央通り側から北側を望む構図、美空の背後の舊手宫缐跡の史跡、美空が飲み物を買いに行くと言うカットでマリナーズコート小樽前の中央通りの歩道などが描かれていました。				オタルシ	サ	1	3	1	
0361	0004	完了	北海道	小樽市	ミルチ 前	047-0031	北海道小樽市色内2-11-12		43.199538	140.998748	"https://www.google.co.jp/maps/@43.1996052,140.9987103,3a,32.2y,125.17h,84.45t/data=!3m7!1e1!3m5!1sggYFR0iOz3myrGnTjqzIIQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DggYFR0iOz3myrGnTjqzIIQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D98.87267%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						サクラダリセット	サクラダリセット	第16話で、転んだ女の子が暴走させた自分の方に視線を向けなくする能力によって突然前を向けなくなった男が、車の衝突事故を起こしていた場所。				オタルシ	サ	1	3	1	
0361	0005	完了	北海道	小樽市	稲穂2丁目交差点	047-0032	北海道小樽市稲穂2		43.198550	140.995927	"https://www.google.co.jp/maps/@43.198545,140.9959489,3a,55.3y,185.78h,88.42t/data=!3m6!1e1!3m4!1s0M_ZnUiYq1La5JYKb9BxmA!2e0!7i13312!8i6656"	17.0		120	1.7		サクラダリセット	サクラダリセット	第1話の浅井ケイのモノローグシーンで描かれていた交差点。座標地点辺りから小樽都通商店街の入口を望む構図で描かれていました。				オタルシ	サ	1	3	1	
0361	0006	完了	北海道	小樽市	小樽都通商店街	047-0032	北海道小樽市稲穂2		43.197784	140.996235	"https://www.google.co.jp/maps/@43.1978452,140.9962109,3a,29.2y,162.13h,96.46t/data=!3m6!1e1!3m4!1sn5HPHTdwcIflhPbcayKCMA!2e0!7i13312!8i6656"	17.0		120	3		サクラダリセット	サクラダリセット	第1話の浅井ケイのモノローグシーンで描かれていたアーケード商店街。				オタルシ	サ	1	3	1	
0361	0007	完了	北海道	小樽市	小樽都通商店街ゲート脇（村田ビル前）	047-0032	北海道小樽市稲穂2-10-11		43.198196	140.995920	"https://www.google.co.jp/maps/@43.1984096,140.9959458,3a,20y,173.75h,92.83t/data=!3m6!1e1!3m4!1sEWtvWdVMnoUzgBjV9jGBKw!2e0!7i13312!8i6656"						サクラダリセット	サクラダリセット	第7話で、岡絵里に記憶を操作されて逃げてきた村瀬陽香が浅井ケイに助けを求めていた場所。				オタルシ	サ	1	3	1	
0361	0008	完了	北海道	小樽市	船見坂	047-0033	北海道小樽市富岡2		43.198627	140.991132	"https://www.google.co.jp/maps/@43.1986325,140.9911072,3a,15y,70.22h,88.83t/data=!3m6!1e1!3m4!1sVoDIhtY2G74Hb24KSJAcgQ!2e0!7i13312!8i6656"						サクラダリセット	サクラダリセット	第22話で、浅井ケイが、浦地正宗の計画を阻止するために岡絵里に助けて欲しいと頭を下げていたシーンの挿入カットで描かれていた坂。座標地点辺りから港側を望む構図で、小樽グランドパレス越しに第三号埠頭が描かれていました。				オタルシ	サ	1	3	1	
0361	0009	完了	北海道	小樽市	稲穂3丁目交差点（スマイルホテル小樽別館前）	047-0032	北海道小樽市稲穂3-3-1		43.198747	140.996820	"https://www.google.co.jp/maps/@43.1986299,140.9968289,3a,36.3y,349.13h,86.77t/data=!3m6!1e1!3m4!1sqSMb4eDqUTPLGGDCshpmyw!2e0!7i13312!8i6656"					0134-33-0333	サクラダリセット	サクラダリセット	第1話で、学校帰りの浅井ケイと相麻菫が歩いていた交差点。				オタルシ	サ	1	3	1	
0361	0010	完了	北海道	小樽市	住宅街の坂（やまびこ公園前） 1	047-0033	北海道小樽市富岡2-18		43.200410	140.988265	"https://www.google.co.jp/maps/@43.2003254,140.9881341,3a,58.6y,47.52h,83.91t/data=!3m6!1e1!3m4!1soS9IeTi9JEFv28Ou5eU76g!2e0!7i13312!8i6656"	16.0		120	3		サクラダリセット	サクラダリセット	第1話の浅井ケイのモノローグシーンで描かれていた住宅街の坂。				オタルシ	サ	1	3	1	
0361	0011	完了	北海道	小樽市	住宅街の坂（やまびこ公園前） 2	047-0033	北海道小樽市富岡2-18		43.200373	140.988267	"https://www.google.co.jp/maps/@43.2005467,140.9881059,3a,15y,150.72h,94.07t/data=!3m6!1e1!3m4!1sp9ZtZC8fH34TLouU50WZSw!2e0!7i13312!8i6656"						サクラダリセット	サクラダリセット	第22話で、浅井ケイが、浦地正宗の計画を阻止するために岡絵里に助けて欲しいと頭を下げていた場所。				オタルシ	サ	1	3	1	
0361	0012	完了	北海道	小樽市	長橋バイパス	047-0036	北海道小樽市長橋5		43.207474	140.976928	"https://www.google.co.jp/maps/@43.2074973,140.9768459,3a,33.4y,240.25h,87.83t/data=!3m6!1e1!3m4!1ssneci7FgDXCBf-ltOWnj2A!2e0!7i13312!8i6656"	16.0		120	3		サクラダリセット	サクラダリセット	第１話の浅井ケイのモノローグシーンで描かれていた道路。画面奥に長橋トンネルが描かれています。				オタルシ	サ	1	3	1	
