作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0452	0001	完了	東京都	江東区	東京ビッグサイト	135-0063	東京都江東区有明3-11-1		35.629781	139.794128	"https://www.google.co.jp/maps/@35.6308499,139.7932014,3a,49y,75.13h,115.24t/data=!3m8!1e1!3m6!1sAF1QipMpaeODIA8Gnr6yXdRGCWfcXxYHSgBBij5X8e4i!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMpaeODIA8Gnr6yXdRGCWfcXxYHSgBBij5X8e4i%3Dw203-h100-k-no-pi0-ya221.70935-ro0-fo100!7i2508!8i1254"					03-5530-1111	スロウスタート	スロウスタート	第3話で、連休に百地たまてが、イベントに行ったり、絵画を鑑賞したり、本を買ったり、遠方の友人とお会いしたりしていた場所。				コウトウク	ス	13	8	2	
0452	0002	完了	群馬県	前橋市	スズラン 前橋店	371-8556	群馬県前橋市千代田町4-7		36.392237	139.070235	"https://www.google.co.jp/maps/@36.3923512,139.0705684,3a,33y,250.81h,121.47t/data=!3m6!1e1!3m4!1s7hvVS_OIrJKQFoO1N8ubIA!2e0!7i13312!8i6656"					027-233-1111	スロウスタート	スロウスタート	第3話で、十倉栄依子が、佐々木陽菜が限定ぬいぐるみを手に入れるのに付き合って訪れたデパートで、フードコートで2人でお茶していました。作中では店名が「ヤマユリ」になっていました。	http://www.suzuran-dpt.co.jp/maebashi/			マエバシシ	ス	10	1	2	
0452	0003	完了	長野県	北佐久郡	旧軽井沢銀座通り（浅間高原農場前）	389-0102	長野県北佐久郡軽井沢町軽井沢		36.357619	138.634557	"https://www.google.co.jp/maps/@36.3575495,138.6345,3a,29.6y,38.21h,94.64t/data=!3m6!1e1!3m4!1sH4HYxFXkgvxPe_TuDYQ4KQ!2e0!7i13312!8i6656"						スロウスタート	スロウスタート	第1話で、高校初日の帰り道で、一之瀬花名たちが互いの名前の由来についての話で盛り上がっていた商店街。第3話で、花名が下宿する「てまりハイツ」での勉強会に来るたまてたちと、駅でみんなを出迎えの花名が歩いていたのもこの商店街でした。				キタサクグン	ス	20	13	2	
0452	0004	完了	長野県	北佐久郡	軽井沢・プリンスショッピングプラザ ツリーモール	389-0102	長野県北佐久郡軽井沢町軽井沢		36.341008	138.632965	"https://www.google.co.jp/maps/@36.3405945,138.632528,3a,75y,178.73h,96.26t/data=!3m8!1e1!3m6!1sAF1QipPQLZQtSMVuhDaf_2F6c1LAmIk9gQueDlYx-wun!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPQLZQtSMVuhDaf_2F6c1LAmIk9gQueDlYx-wun%3Dw203-h100-k-no-pi-0-ya208.29489-ro0-fo100!7i8704!8i4352"						スロウスタート	スロウスタート	第4話で、万年大会の服を買うために、一之瀬花名たちが訪れたショッピングモール。モールの中央に開けた芝生の広場が描かれていました。<br />第8話で、みんなで海に行く計画を立てていた花名たちが水着を買いに、再びこのショッピングモールを訪れていました。<br />第12話で、いつも母親に洋服を買ってもらっていた花名が、初めて自分で選んで服を買うことになり、十倉栄依子たちと訪れたのも、このショッピングモールでした。				キタサクグン	ス	20	13	2	
0452	0005	完了	長野県	北佐久郡	軽井沢・プリンスショッピングプラザ 通路	389-0102	長野県北佐久郡軽井沢町軽井沢		36.341496	138.634643	-						スロウスタート	スロウスタート	第8話で、ショッピングモールで水着を買った一之瀬花名たちが、駅へ向かうシーンで、屋根のある通路を歩く一行の姿が描かれていました。				キタサクグン	ス	20	13	2	
0452	0006	完了	長野県	北佐久郡	コーチ ファクトリー 軽井沢 前	389-0102	長野県北佐久郡軽井沢町軽井沢	軽井沢プリンスショッピングプラザ ツリーモールE-1 AB	36.340643	138.633305	-						スロウスタート	スロウスタート	第10話で、十倉栄依子が妹の十倉光希とクレープを買っている時に、万年大会からの電話で、トップスの裾をスカートの中に入れるか、外に出すかの相談をされていたシーンで、背後に描かれていた店。作中では、店名が「MARCH」になっていました。軽井沢・プリンスショッピングプラザ内でクレープを売っているのは、軽井沢フラットブレッズですが、サンドウィッチがメインなので、作中のようなクレープ専門店とは異なります。				キタサクグン	ス	20	13	2	
0452	0007	完了	長野県	北佐久郡	JR 軽井沢駅	389-0102	長野県北佐久郡軽井沢町軽井沢		36.343051	138.635336	"https://www.google.co.jp/maps/@36.3432403,138.6353478,3a,55y,192.65h,103.86t/data=!3m7!1e1!3m5!1sbTUXcgq7ZR5_2pU8h326gQ!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DbTUXcgq7ZR5_2pU8h326gQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D1.6133054%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						スロウスタート	スロウスタート	第1話で、学校帰りの一之瀬花名が、電車通学の百地たまてたちを見送っていた駅で、北口駅舎が描かれていました。<br />第3話では、花名が下宿する「てまりハイツ」での勉強会に来るたまてたちと、出迎えの花名が駅前で待ち合わせをしていました。同話の勉強会帰りの見送りでも夕刻の同駅が描かれていました。<br />第12話で、初めて自分で選んだ服を買った花名が、つきあってくれた十倉栄依子たちを見送るシーンでもこの駅が描かれていました。				キタサクグン	ス	20	13	2	
0452	0008	完了	長野県	北佐久郡	軽井沢駅駅前ロータリー	389-0102	長野県北佐久郡軽井沢町軽井沢		36.342071	138.635293	"https://www.google.co.jp/maps/@36.3420752,138.63522,3a,47y,91.64h,92.31t/data=!3m6!1e1!3m4!1sy6BAnx1h1Qw4doFFOw9lXg!2e0!7i13312!8i6656"						スロウスタート	スロウスタート	第8話で、ショッピングモールで水着を買った一之瀬花名たちが、駅へ向かうシーンで、横断歩道を渡る一行の姿が描かれていました。				キタサクグン	ス	20	13	2	
0452	0009	完了	長野県	北佐久郡	長倉神社	389-0111	長野県北佐久郡軽井沢町長倉2283-1		36.350181	138.595058	"https://www.google.co.jp/maps/@36.3491409,138.5947919,3a,25y,6.94h,90.36t/data=!3m6!1e1!3m4!1sLps2UISc_TCaq-g0Shf5Jg!2e0!7i13312!8i6656"						スロウスタート	スロウスタート	第11話で、夏休みに一之瀬花名たちが遊びに訪れた夜祭が行われていた神社。鳥居や社殿が描かれていました。				キタサクグン	ス	20	13	2	
0452	0010	完了	長野県	北佐久郡	トンネル	389-0115	長野県北佐久郡軽井沢町追分		36.331889	138.547711	"https://www.google.co.jp/maps/@36.3317252,138.5480632,3a,34y,298.19h,89.71t/data=!3m6!1e1!3m4!1sgAaRIrXfgSogisHtkVBF_A!2e0!7i13312!8i6656"						スロウスタート	スロウスタート	第11話で、百地たまてに案内されて「とれたて農園」に向かう一之瀬花名たちが歩いていた場所。				キタサクグン	ス	20	13	2	
