作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0474	0001	完了	北海道	札幌市	前田トマト公園	006-0818	北海道札幌市手稲区前田八条15		43.135171	141.252052	"https://www.google.co.jp/maps/@43.135145,141.251782,3a,33.2y,64.74h,85.71t/data=!3m4!1e1!3m2!1slmKhWC4fqpGNvS0RP6odZw!2e0?hl=ja"	16.0		120	3		センコロール	センコロール	学校で自転車に擬態していたセンコを見破ったユキが、テツからセンコのことを聞いていた公園。実写トレース作画なので完全一致します。				サッポロシ	セ	1	1	1	
0474	0002	完了	北海道	札幌市	ビル街	060-0001	北海道札幌市中央区北一条西4		43.061198	141.350232	"https://www.google.co.jp/maps/@43.061205,141.35029,3a,75y,351.65h,114.49t/data=!3m4!1e1!3m2!1s4GFPWKX1l0-HUTxiSLgpwA!2e0?hl=ja"	17.0		120	1.2		センコロール	センコロール	冒頭の巨大生物が出現したシーンで、NTT4丁目ビルと大五ビルヂングの間から北側の北1西4交差点方向上空に浮かぶ巨大生物を見上げる構図で描かれていました。				サッポロシ	セ	1	1	1	
0474	0003	完了	北海道	札幌市	北1西2交差点	060-0002	北海道札幌市中央区北二条西1		43.063611	141.354564	"https://www.google.co.jp/maps/@43.063585,141.354356,3a,49.5y,21.88h,97.3t/data=!3m4!1e1!3m2!1s8Qyo6K88np6VuW6V_E9uZQ!2e0?hl=ja"	14.0		120	3		センコロール	センコロール	シュウの操る巨大生物がセンコを食べていた場所。ピア2・1とSTV北2条ビルの間になります。				サッポロシ	セ	1	1	1	
0474	0004	完了	北海道	札幌市	ピア2・1	060-0002	北海道札幌市中央区北二条西1-10		43.063911	141.354765	"https://www.google.co.jp/maps/@43.063884,141.354497,3a,25.1y,76.09h,115.43t/data=!3m4!1e1!3m2!1sGUrShcgmGRdcDxQI4ObApg!2e0?hl=ja"	14.0		120	1.2		センコロール	センコロール	シュウの操る巨大生物がセンコを食べようと持ち上げていたカットで背景に描かれていたビル。作中では、ピア2・1の文字が「ヒア2・1」になっていました。				サッポロシ	セ	1	1	1	
0474	0005	完了	北海道	札幌市	リッチモンドホテル札幌駅前	060-0003	北海道札幌市中央区北三条西1-1-7		43.06508	141.35455	"https://www.google.co.jp/maps/@43.064705,141.353592,3a,21.9y,57.78h,113.3t/data=!3m4!1e1!3m2!1smbqGWu7iDAXWJLlGqGUuKQ!2e0?hl=ja"	15.0		120	3		センコロール	センコロール	動画革命東京が公開したトレーラーにのみ出てきたビルで、屋上でシュウとテツの操る生物が交戦しているかのような姿が描かれていました。※本編には出てきません。				サッポロシ	セ	1	1	1	
0474	0006	完了	北海道	札幌市	セブンイレブン中央区札幌北3条店 脇	060-0003	北海道札幌市中央区北三条西2		43.064932	141.352638	"https://www.google.co.jp/maps/@43.06493,141.352572,3a,82.5y,80.34h,89.76t/data=!3m4!1e1!3m2!1sMejjw5Z1vtno2H0S0Urr-A!2e0?hl=ja"	15.0		120	3		センコロール	センコロール	自衛隊の戦車が、巨大生物を砲撃していた場所。				サッポロシ	セ	1	1	1	
0474	0007	完了	北海道	札幌市	東急百貨店 さっぽろ店 屋上遊園地	060-0004	北海道札幌市中央区北四条西2		43.066476	141.35297	-	15.0		0		011-212-2211	センコロール	センコロール	冒頭でテツがセンコの背中の上で寝ていたビルの屋上のモデル。	http://www.tokyu-dept.co.jp/sapporo/			サッポロシ	セ	1	1	1	
0474	0008	完了	北海道	札幌市	JRタワー	060-0005	北海道札幌市中央区北五条西2		43.068194	141.352565	"https://www.google.co.jp/maps/@43.069141,141.355255,3a,40.4y,242.7h,109.64t/data=!3m4!1e1!3m2!1seOEILcbhJ1NlpOOOd6IARQ!2e0?hl=ja"	15.0		120	2.5		センコロール	センコロール	冒頭で出現した巨大生物が乗っかって、奥所部分を押し潰していたビル。シュウがユキを人質にしてテツを呼び出していたシーンでは、幌中央郵便局横から高架線路越しに見上げた構図で描かれていました。				サッポロシ	セ	1	1	1	
0474	0009	完了	北海道	札幌市	札幌テレビ塔	060-0042	北海道札幌市中央区大通西1-3		43.061097	141.356406	"https://www.google.co.jp/maps/@43.06076,141.35362,3a,15y,80.45h,115.78t/data=!3m4!1e1!3m2!1soY2i03yOnQ-hEiH6eLrQ6A!2e0?hl=ja"	16.0		120	3		センコロール	センコロール	シュウが呼び出したテツとセンコを、折り取った塔の先端を投げて狙撃していた場所。				サッポロシ	セ	1	1	1	
0474	0010	完了	北海道	札幌市	今井商店	060-0062	北海道札幌市中央区南二条西26		43.053706	141.319164	"https://www.google.co.jp/maps/@43.053762,141.319197,3a,90y,249.36h,89.5t/data=!3m4!1e1!3m2!1swCaUKzpZIbG1z5yNNp0EAw!2e0?hl=ja"	17.0		120			センコロール	センコロール	テツと別れて家へ帰る途中に雨宿りしていたユキが、突然現れたシュウに、テツへ伝言するよう強要されていた場所。作中では店名が「今川商店」に変えられています。				サッポロシ	セ	1	1	1	
