作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1082	0035	完了	東京都	千代田区	農林水産省	100-0013	東京都千代田区霞が関1-2-1		35.673813	139.751618	"https://www.google.co.jp/maps/@35.6736247,139.7507023,3a,75y,90.33h,102.53t/data=!3m6!1e1!3m4!1suzGArjlUacpoGnFACX5pBQ!2e0!7i16384!8i8192"						ソラとウミのアイダ	ソラトウミノアイダ	第11話冒頭で、櫻舞湖の兄が行方不明となった事件の隠蔽に、父親である官房大臣補佐・薪新吾が関わっていたことを知った薪真紀子が、一人で父親を問い質しに訪れた庁舎。<br />作中では省名が「水産省」になっていました。				チヨダク	ソ	13	17	2	
1082	0016	完了	広島県	尾道市	山陽新幹線高梁川橋梁	710-0805	岡山県倉敷市片島町		34.582792	133.712758	"https://www.google.co.jp/maps/@34.5811004,133.7121124,72a,35y,25.31h,79.01t/data=!3m1!1e3"						ソラとウミのアイダ	ソラトウミノアイダ	第1話で尾道に向かう空町春が乗っていた山陽新幹線N700系が渡っていた鉄道橋で、この後、福山駅で電車を乗換えていました。				オノミチシ	ソ	34	12	6	
1082	0017	完了	広島県	尾道市	白雲洞	722-0032	広島県尾道市西土堂町18		34.408852	133.194446	"https://www.google.co.jp/maps/@34.408777,133.1944979,3a,68y,332.57h,89.95t/data=!3m6!1e1!3m4!1sj53wEq_rKtk3Kytihm0wuw!2e0!7i13312!8i6656"						ソラとウミのアイダ	ソラトウミノアイダ	第2話のトレーニングシーンで、空町春と村上波乃が先を争って走っていたトンネル。<br />第8話の尾道宇宙漁師育成センター女子部の密着ドキュメンタリーで、波乃と春がランニングしている姿を撮影していたのもこの場所でした。				オノミチシ	ソ	34	12	6	
1082	0002	完了	広島県	尾道市	岩割の松	722-0033	広島県尾道市東土堂町		34.409901	133.197524	"https://www.google.co.jp/maps/@34.4098272,133.1974658,2a,90y,12.75h,80.43t/data=!3m6!1e1!3m4!1sZzOdUj4NisfbYxLPzT9eHw!2e0!7i13312!8i6656"						ソラとウミのアイダ	ソラトウミノアイダ	第1話で、尾道宇宙漁師育成センター女子部に向かう空町春が、初めて訪れた尾道で観光していた場所の一つ。				オノミチシ	ソ	34	12	6	
1082	0018	完了	広島県	尾道市	共楽園	722-0033	広島県尾道市東土堂町13		34.409823	133.199343	"https://www.google.co.jp/maps/@34.4097775,133.1993241,3a,55.5y,201.26h,74.96t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5oelVGanFTZFlWVTFaOTJNaW9HNjJ4TUZOOTU3WFNpcFYtd2Ni!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNhzUFjqSdYVU1Z92MioG62xMFN957XSipV-wcb%3Dw203-h100-k-no-pi9.942358-ya280.1444-ro3.9558492-fo100!7i7776!8i3888"						ソラとウミのアイダ	ソラトウミノアイダ	第2話で、空町春たちがトレーニング前の準備運動をしていた公園。<br />第8話の尾道宇宙漁師育成センター女子部の密着ドキュメンタリーで、波乃と春がトレーニングをしる姿を撮影していたのもこの場所でした。				オノミチシ	ソ	34	12	6	
1082	0003	完了	広島県	尾道市	鼓岩（ポンポン岩）	722-0033	広島県尾道市東土堂町14		34.409766	133.197633	"https://www.google.co.jp/maps/@34.4098081,133.1976934,2a,44y,168.82h,54.47t/data=!3m6!1e1!3m4!1sJT3eos9OgA8EtR_XEArx4w!2e0!7i13312!8i6656"						ソラとウミのアイダ	ソラトウミノアイダ	第1話で、尾道宇宙漁師育成センター女子部に向かう空町春が、初めて訪れた尾道で観光していた場所の一つ。<br />岩の中が空洞になっていて、叩くとポンポンと音がする岩で、春がハンマーで岩を叩こうとする姿が描かれていました。<br />第6話で、行方不明の兄のことを知ろうとするも、市役所でも尾道宇宙漁業共同組合でも何も教えてむらえなかった櫻舞湖が、夕暮れから夜まで黄昏れていたのも、この場所でした。				オノミチシ	ソ	34	12	6	
1082	0038	完了	広島県	尾道市	千光寺　三十三観音堂脇の展望台	722-0033	広島県尾道市東土堂町14-10		34.410157	133.198613	-						ソラとウミのアイダ	ソラトウミノアイダ	第9話で、浴衣姿でお祭りに来た尾道宇宙漁師育成センター女子部一行が、祭りで賑わう町を見下ろしていた場所。<br />村上波乃が、この辺りは花火がよく見えるから、特に混みそうだと話していました。				オノミチシ	ソ	34	12	6	
1082	0032	完了	広島県	尾道市	千光寺	722-0033	広島県尾道市東土堂町15-1		34.410448	133.198697	"https://www.google.co.jp/maps/@34.4102624,133.1986575,2a,44y,11.44h,99.92t/data=!3m6!1e1!3m4!1sVS1tdEx7CZWjWIJXHQLuKw!2e0!7i13312!8i6656"						ソラとウミのアイダ	ソラトウミノアイダ	第8話で、波乃と春が出演する尾道宇宙漁師育成センター女子部の密着ドキュメンタリー撮影が行われていた場所の一つ。				オノミチシ	ソ	34	12	6	
1082	0004	完了	広島県	尾道市	天寧寺　三重塔	722-0033	広島県尾道市東土堂町16		34.410048	133.199832	"https://www.google.co.jp/maps/@34.4101791,133.199707,3a,69y,343.76h,110.69t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBrcnZYdi00MWFTLVM1eVdmRFJialZKVDZJaXdBcFVpS1BvU19y!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPkrvXv-41aS-S5yWfDRbjVJT6IiwApUiKPoS_r%3Dw203-h100-k-no-pi-3.3049715-ya250.34338-ro6.2542477-fo100!7i3584!8i1792"						ソラとウミのアイダ	ソラトウミノアイダ	第1話で、尾道宇宙漁師育成センター女子部に向かう空町春が、初めて訪れた尾道で観光していた場所の一つ。<br />塔をバックに自撮をしていました。<br />第8話冒頭カットでも、塔越しに見下す街や港が描かれていました。				オノミチシ	ソ	34	12	6	
1082	0005	完了	広島県	尾道市	尾道アート館脇の道	722-0033	広島県尾道市東土堂町19-22		34.410262	133.199728	-						ソラとウミのアイダ	ソラトウミノアイダ	第1話で、市役所に挨拶に行くまで時間があると尾道観光に興じる空町春が、赤いリボンを着けた黒猫を追いかけていた細道。<br />作中では、尾道アート館脇の道の壁に描かれた絵も再現されていました。				オノミチシ	ソ	34	12	6	
