作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0483	0001	完了	東京都	千代田区	皇居 三の丸尚蔵館前の通り	100-8111	東京都千代田区千代田1-1		35.686145	139.758976	-	18					ソードアート・オンラインII	ソードアートオンラインツー	第1話の皇居デートで、結城明日奈と桐ヶ谷和人が歩いていた場所。				チヨダク	ソ	13	17	2	
0483	0002	完了	東京都	千代田区	皇居 同心番所 前	100-8111	東京都千代田区千代田1-1		35.686210	139.758367	-	18					ソードアート・オンラインII	ソードアートオンラインツー	第1話の結城明日奈と桐ヶ谷和人の皇居デートシーンで描かれていた場所。				チヨダク	ソ	13	17	2	
0483	0003	完了	東京都	千代田区	皇居 中雀門跡	100-8111	東京都千代田区千代田1-1		35.685094	139.756894	-						ソードアート・オンラインII	ソードアートオンラインツー	第1話の結城明日奈と桐ヶ谷和人の皇居デートシーンで描かれていた場所。				チヨダク	ソ	13	17	2	
0483	0004	完了	東京都	千代田区	皇居 天守台	100-8111	東京都千代田区千代田1-1		35.688324	139.754373	-	17					ソードアート・オンラインII	ソードアートオンラインツー	第1話の結城明日奈と桐ヶ谷和人の皇居デートシーンで、記念撮影をしていた場所。				チヨダク	ソ	13	17	2	
0483	0005	完了	東京都	千代田区	皇居 午砲台跡	100-8111	東京都千代田区千代田1-1		35.686030	139.755902	-	18					ソードアート・オンラインII	ソードアートオンラインツー	第1話の結城明日奈と桐ヶ谷和人の皇居デートシーンで描かれていた石碑。				チヨダク	ソ	13	17	2	
0483	0006	完了	東京都	千代田区	皇居 ベンチ	100-8111	東京都千代田区千代田1-1		35.686481	139.755266	-						ソードアート・オンラインII	ソードアートオンラインツー	第1話の皇居デートで、結城明日奈と桐ヶ谷和人が座っていたベンチ。				チヨダク	ソ	13	17	2	
0483	0007	完了	東京都	千代田区	東京メトロ 大手町駅 C10出入口	100-0004	東京都千代田区大手町1-1-3		35.685641	139.762483	"https://www.google.co.jp/maps/@35.68559,139.762177,3a,15y,75.24h,89.65t/data=!3m6!1e1!3m4!1sUbu93VmhC_5iOp0HmqDOKg!2e0!7i16384!8i8192"	17					ソードアート・オンラインII	ソードアートオンラインツー	第1話本編冒頭の銀座のシーンで、結城明日奈が母親とのSNSメッセージを終え、携帯電話の日時表記に時間の流れの早さを実感していた場所。<br />階段下から入口を見上げる構図で描かれていました。				チヨダク	ソ	13	17	2	
0483	0008	完了	東京都	千代田区	大手門 前	100-0005	東京都千代田区丸の内1-1		35.685712	139.760916	"https://www.google.co.jp/maps/@35.6857133,139.7612651,3a,20y,274.89h,88.88t/data=!3m6!1e1!3m4!1s60-Vp0m3UM0sDxLgyMHmvg!2e0!7i13312!8i6656"	17					ソードアート・オンラインII	ソードアートオンラインツー	第1話の皇居デートのシーンで、結城明日奈が桐ヶ谷和人と待ち合わせをしていた場所。大手門の他、向かいのパレスホテル東京なども描かれていました。				チヨダク	ソ	13	17	2	
0483	0009	完了	東京都	千代田区	有楽町マリオン	100-0006	東京都千代田区有楽町2-5-1		35.673279	139.762616	"https://www.google.co.jp/maps/@35.6731207,139.762496,3a,18y,33.39h,99.51t/data=!3m6!1e1!3m4!1sJnrNIVuWPTJlm5OqhDtALw!2e0!7i16384!8i8192"	17			5		ソードアート・オンラインII	ソードアートオンラインツー	第1話のAパートとBパートの冒頭カットで、ビル前面の時計と映画の看板などが描かれていました。第14話でも再登場。				チヨダク	ソ	13	17	2	
0483	0010	完了	東京都	中央区	サロン・ド・カフェ	104-0061	東京都中央区銀座8-8-3	東京銀座資生堂ビル3F	35.668554	139.761889	"https://www.google.co.jp/maps/@35.6684895,139.7622836,3a,34.7y,278.02h,104.57t/data=!3m6!1e1!3m4!1s4OAEuuvIUjrKnNe60DT0Jw!2e0!7i13312!8i6656"	18				03-5537-6231	ソードアート・オンラインII	ソードアートオンラインツー	第1話で、キリト（桐ヶ谷和人）が菊岡誠二郎に呼び出された店。店内の様子が忠実に再現されていました。<br />ちなみにキリトが注文していたのは、パルフェ・オ・ショコラとフランボワズのミルフィーユ、ヘーゼルナッツ・ラテ、ショートケーキでした。<br />第14話でキリトが菊岡に朝田詩乃を引き合わせていたのも同じ店で、第14話の方では店内だけでなく外観も描かれていました。	http://parlour.shiseido.co.jp/restaurants/list/salondecafeginza.html			チュウオウク	ソ	13	16	2	
0483	0021	完了	東京都	文京区	文京シビックセンター 展望ラウンジからの眺望	112-8555	東京都文京区春日1-16-21	文京シビックセンター 25F	35.708103	139.752219	-						ソードアート・オンラインII	ソードアートオンラインツー	第1話冒頭カットで、展望ラウンジからモード学園コクーンタワーを正面に望む構図でビル群が描かれていました。				ブンキョウク	ソ	13	21	2	
