作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1084	0017	完了	佐賀県	佐賀市	佐賀城公園　鯱の門	840-0041	佐賀県佐賀市城内2-13		33.245971	130.302884	"https://www.google.co.jp/maps/@33.2460846,130.3024551,3a,29y,109.53h,99.78t/data=!3m6!1e1!3m4!1siEif3yBvscPsxIpml_E1Tw!2e0!7i13312!8i6656"				4		ゾンビランドサガ	ゾンビランドサガ	第2話で、源さくらたちゾンビ娘が出演した「第11回 鯱の門 ふれあいコンサート」の会場シーンの冒頭カットで描かれていた門。				サガシ	ソ	41	1	8	
1084	0016	完了	佐賀県	佐賀市	鍋島直正公銅像	840-0041	佐賀県佐賀市城内2-14		33.246312	130.302929	"https://www.google.co.jp/maps/@33.246315,130.3028259,3a,75y,78.46h,104.62t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBldTZUYk01akQ3V0VieFd5MkgxZTE2V2tvOW8wTWgyUFliYWFQ!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPeu6TbM5jD7WEbxWy2H1e16Wko9o0Mh2PYbaaP%3Dw203-h100-k-no-pi-0-ya1.2141417-ro-0-fo100!7i7168!8i3584"						ゾンビランドサガ	ゾンビランドサガ	第2話のアイキャッチで描かれていた銅像。				サガシ	ソ	41	1	8	
1084	0020	完了	佐賀県	佐賀市	佐賀城本丸歴史館 駐車場	840-0041	佐賀県佐賀市城内2-15		33.246446	130.303365	"https://www.google.co.jp/maps/@33.246395,130.3035493,43a,35y,300.38h,30.18t/data=!3m1!1e3"						ゾンビランドサガ	ゾンビランドサガ	第2話で、「第11回 鯱の門 ふれあいコンサート」でライブを公演する前の源さくらたちゾンビ娘が、バンの中で、巽幸太郎によるメイキャップを施されていた駐車場。				サガシ	ソ	41	1	8	
1084	0019	完了	佐賀県	佐賀市	佐賀城公園　本丸御殿	840-0041	佐賀県佐賀市城内2-18-1		33.245563	130.302927	"https://www.google.co.jp/maps/@33.2459755,130.3030396,3a,21.6y,191.62h,94.02t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcE1nUlRuMlcyNEpLSDZaUUpYUUswOGN3TUgxQ2dCeEJsSVNISjVh!2e10!7i7168!8i3584"						ゾンビランドサガ	ゾンビランドサガ	第2話で、源さくらたちゾンビ娘が「デス娘ふれあいライブ」を公演した「第11回 鯱の門 ふれあいコンサート」が行われた会場。ユニット名は急遽「グリーンフェイス」に変えられていました。				サガシ	ソ	41	1	8	
1084	0037	完了	佐賀県	佐賀市	イオンモール佐賀大和店	840-0201	佐賀県佐賀市大和町大字尼寺3535		33.304066	130.280785	-						ゾンビランドサガ	ゾンビランドサガ	第8話で、源さくらたちゾンビ娘のユニット「フランシュシュ」が営業（「みんなで楽しもう！ハッピーステージ！」）をしているカットの一つとして描かれていた商業施設。				サガシ	ソ	41	1	8	
1084	0043	完了	佐賀県	佐賀市	アパホテル 佐賀駅南口（旧・佐賀ワシントンホテルプラザ）	840-0801	佐賀県佐賀市駅前中央1-164		33.263004	130.299567	"https://www.google.com/maps/@33.2637228,130.2987361,3a,20y,133.3h,100.64t/data=!3m6!1e1!3m4!1sV9u2Z1B8O30EmTEOATKrkQ!2e0!7i13312!8i6656?hl=ja"				4		ゾンビランドサガ	ゾンビランドサガ	第11話の回想シーンで、源さくらが中学校生活の全てを賭けて勉学に励んで県内屈指の名門高校受験に挑むべく、万全を期して試験前日に宿泊していた会場近くのホテル。<br />作中では名前が「サガホテルプラザ」になっていました。				サガシ	ソ	41	1	8	
1084	0001	完了	佐賀県	佐賀市	Live House 佐賀GEILS	840-0801	佐賀県佐賀市駅前中央2-7-18		33.266996	130.297894	"https://www.google.co.jp/maps/@33.2672507,130.2978338,3a,22y,148.89h,103.05t/data=!3m6!1e1!3m4!1sMcSRKmQIeIS-U8TRuZ25uQ!2e0!7i13312!8i6656"						ゾンビランドサガ	ゾンビランドサガ	第1話で、源さくらたちゾンビ娘がデスメタルのライブに飛び入り出演したライブハウス。<br />第6話で、「フランシュシュ」がミニライブ＆チェキ会を行ったのも、このライブハウスでした。				サガシ	ソ	41	1	8	
1084	0052	完了	佐賀県	佐賀市	神野公園	840-0806	佐賀県佐賀市神園4-1		33.265910	130.281236	-						ゾンビランドサガ	ゾンビランドサガ	第8話のエンディングで、星川リリィの歌によるエンディングシーンの回想カットで、リリィとパピー（豪剛雄）の在りし日の姿が描かれていた桜咲く公園。				サガシ	ソ	41	1	8	
1084	0006	完了	佐賀県	佐賀市	ムツゴロウデザインのマンホール（小型タイプ）	840-0823	佐賀県佐賀市柳町1		33.253962	130.306426	-						ゾンビランドサガ	ゾンビランドサガ	エンディングにて水彩画タッチで描かれていた佐賀の風景その4				サガシ	ソ	41	1	8	
1084	0035	完了	佐賀県	佐賀市	プラザ656（むつごろう広場）	840-0824	佐賀県佐賀市呉服元町2-25		33.253907	130.303756	"https://www.google.co.jp/maps/@33.2537726,130.3037698,3a,33.4y,342.81h,88.75t/data=!3m7!1e1!3m5!1sKCDrbk9PaCN85es6BpMeDg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DKCDrbk9PaCN85es6BpMeDg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D69.992424%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"				3.5		ゾンビランドサガ	ゾンビランドサガ	第8話で、源さくらたちゾンビ娘のユニット「フランシュシュ」のイベントが開かれていた会場。前回のイベントに来た星川リリィの父親が再び訪れ、もう来ないと告げていました。<br />同話のラストでは、リリィが父親への想いを込めた新曲を披露していたのも、この会場でした。				サガシ	ソ	41	1	8	
