作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1158	0001	完了	東京都	世田谷区	駒沢オリンピック公園総合運動場硬式野球場	154-0013	東京都世田谷区駒沢公園1-1	駒沢オリンピック公園総合運動場内	35.626154	139.657603	"https://www.google.co.jp/maps/@35.6269018,139.6578331,2a,15y,183.66h,103.41t/data=!3m6!1e1!3m4!1sVIkWa3G5q78fvhyUrSgV1g!2e0!7i13312!8i6656"				5		ダイヤのA actII	ダイヤノエースアクトツー	第26話で、ゴールデンウィーク最終日の5月5日に、薬師（西東京）と上田（神奈川）の試合が行われていた球場。				セタガヤク	タ	13	14	2	
1158	0002	完了	東京都	新宿区	明治神宮野球場	160-0013	東京都新宿区霞ヶ丘町3-1		35.674256	139.716950	"https://www.google.com/maps/@35.6735568,139.716408,3a,33.9y,58.82h,102.44t/data=!3m6!1e1!3m4!1sA7CdYTtruKcXHC9c9v2l5A!2e0!7i13312!8i6656?hl=ja"						ダイヤのA actII	ダイヤノエースアクトツー	第45～46話で、夏季大会（全国高等学校野球選手権大会東京大会）の開会式が行われていた球場で、ライバルたちが一堂に会していました。				シンジュクク	タ	13	11	2	
1158	0003	完了	東京都	新宿区	明治神宮第ニ球場	160-0013	東京都新宿区霞ヶ丘町3-2		35.675760	139.715985	"https://www.google.co.jp/maps/@35.6752473,139.7153836,3a,29.5y,73.24h,109.15t/data=!3m6!1e1!3m4!1socY0YtQ5vZX_7tdCjaBhfA!2e0!7i16384!8i8192"				4		ダイヤのA actII	ダイヤノエースアクトツー	第6～17話で、春季東京都大会Aブロックの試合が行われていた球場。<br />第9話では、大会4日目の4月12日に、青道高校野球部がが朋大と試合を行っていました。<br />第10～11話では、4月20日に準々決勝で春日一と対戦。<br />第13～17話では、4月26日に準決勝で市大三高と対戦。				シンジュクク	タ	13	11	2	
1158	0004	完了	東京都	府中市	明治大学 内海・島岡ボールパーク	183-0005	東京都府中市若松町5-6-1		35.678782	139.503425	-						ダイヤのA actII	ダイヤノエースアクトツー	第35～41話で、御幸一也が参加した東京選抜チームとアメリカのウインドユースアカデミーチームが試合をしていた球場。<br />作中では球場名が「明神大学 鶴島ボールパーク」になっていました。				フチュウシ	タ	13	44	2	
1158	0005	完了	東京都	府中市	府中市民球場	183-0056	東京都府中市寿町2-19		35.676447	139.474788	"https://www.google.co.jp/maps/@35.6762539,139.4740259,3a,32y,49.83h,103.05t/data=!3m6!1e1!3m4!1s0oTF1dIBlAgVgGH2mvFrwg!2e0!7i16384!8i8192"						ダイヤのA actII	ダイヤノエースアクトツー	第6話で、春季東京都大会Bブロック3回戦で、市大三（西東京）と河村（東東京）の試合が行われた球場。				フチュウシ	タ	13	44	2	
1158	0006	完了	東京都	八王子市	ダイワハウススタジアム八王子（富士森公園野球場）	193-0931	東京都八王子市台町2-2		35.651419	139.321233	"https://www.google.com/maps/@35.6508543,139.320471,3a,21.4y,25.49h,90.35t/data=!3m6!1e1!3m4!1sqnHoepqr6wIUMHStJH2TMg!2e0!7i13312!8i6656"				4.5		ダイヤのA actII	ダイヤノエースアクトツー	第50話で、7月16日の第1試合で、市大三高（市川大学第三高等学校）と梅ケ谷高校が、第2試合で薬師高校と五味大付（五味大学付属高校）が対戦していた球場。<br />第52話では、7月20日に西日本大会5回戦の第1試合で青道高校と法華学園が、第2試合で光和高校と創聖高校が対戦していました。<br />作中では球場名が「レイワハウススタジアム八王子」になっています。				ハチオウジシ	タ	13	38	2	
1158	0007	完了	東京都	昭島市	ネッツ多摩 昭島スタジアム（昭島市民球場）	196-0033	東京都昭島市東町5-12		35.703409	139.385673	"https://www.google.com/maps/@35.7042204,139.3849247,3a,32.1y,138.44h,92.28t/data=!3m6!1e1!3m4!1sJBaYeZhRGrCLgbOkyrRVhQ!2e0!7i16384!8i8192"						ダイヤのA actII	ダイヤノエースアクトツー	第47～49話で、7月15日に夏季の西東京大会の3回戦で青道高校が由良総合高校と対決した球場。<br />第50～51話では、7月17日の第1試合で青道高校と八弥王子高校が、第2試合で、法華学園と市大学院が対戦していました。				アキシマシ	タ	13	24	2	
1158	0008	完了	埼玉県	さいたま市	さいたま市営浦和球場	330-0073	埼玉県さいたま市浦和区元町1-29-10	浦和総合運動場内	35.869553	139.658438	"https://www.google.co.jp/maps/@35.8702056,139.6586924,3a,28.5y,193.7h,112.33t/data=!3m6!1e1!3m4!1s75wTM2ihjiGfqbWuvkBN-w!2e0!7i13312!8i6656"				4		ダイヤのA actII	ダイヤノエースアクトツー	第23話のゴールデンウィークを利用した練習試合で、5月3日に、青道高校野球部が山雅（埼玉）及び大桐（埼玉）と練習試合を行っていた球場。				サイタマシ	タ	11	1	2	
1158	0009	完了	埼玉県	さいたま市	栄心寮	331-0061	埼玉県さいたま市西区大字西遊馬1906-3		35.910743	139.559854	"https://www.google.co.jp/maps/@35.9106216,139.559647,3a,24.5y,44.46h,100.9t/data=!3m6!1e1!3m4!1sz9r74gBuxYFmzV_FMw1zhw!2e0!7i13312!8i6656"				4		ダイヤのA actII	ダイヤノエースアクトツー	沢村栄純たち青道高校野球部が暮らす学生寮「青心寮」のモデル。<br />※2009年に新しい寮（大志寮）が完成したため、寮として使用されなくなり、寮名の看板は撤去されています。				サイタマシ	タ	11	1	2	
1158	0010	完了	埼玉県	さいたま市	埼玉栄高等学校	331-0078	埼玉県さいたま市西区西大宮3-11-1		35.925884	139.577420	-						ダイヤのA actII	ダイヤノエースアクトツー	沢村栄純たちが通う「青道高校」のモデル。				サイタマシ	タ	11	1	2	
