作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1279	0001	完了	東京都	千代田区	内堀通り（二重橋前交差点）	101-0002	東京都千代田区皇居外苑1		35.679312	139.757535	"https://www.google.com/maps/@35.6797137,139.7576326,3a,17y,194.64h,95.26t/data=!3m6!1e1!3m4!1sf0l0d7CoZHq1J0lien2hYA!2e0!7i16384!8i8192"				5		ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ベイオウルブズの隊員たちが、自爆テロを狙うヒステリカ配下のヴァンパイアたちの確認情報を報告していたシーンで描かれていた場所。				チヨダク	タ	13	17	2	
1279	0002	完了	東京都	千代田区	和田倉噴水公園から望むビル群	100-0002	東京都千代田区皇居外苑3-1		35.683457	139.760849	"https://www.google.com/maps/@35.683562,139.760463,2a,22y,95.74h,106.16t/data=!3m6!1e1!3m4!1shWm2QKAJoFogK3cbV22S3Q!2e0!7i13312!8i6656"				4.5		ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）がベイオウルブズの隊員たちに、ヴァンパイアの血液と反応して激しい燃焼を起こす化学薬品「アグリの血」のアンプルを体内に埋め込んだヒステリカ配下のヴァンパイアが、都内各所に配置して同時に自爆テロを起こさせるというヒステリカの計画を説明していたシーンの挿入カットで描かれていた場所その1。				チヨダク	タ	13	17	2	
1279	0003	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675923	139.745072	-						ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第2話冒頭で、証人喚問を受けたミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）が国会に向かうシーンで、堂内が描かれていました。<br />第7話では、ヴァンパイアバンド（ヴァンパイア専用居住区）の設立に関する法案が可決される様子が描かれていました。				チヨダク	タ	13	17	2	
1279	0004	完了	東京都	中央区	和光本館	104-8105	東京都中央区銀座4-5-11		35.671565	139.765043	"https://www.google.com/maps/@35.6710284,139.7648782,3a,35y,18.95h,102.68t/data=!3m6!1e1!3m4!1sUWEY_f0vEgy1vbP-u59kSA!2e0!7i16384!8i8192"						ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）がベイオウルブズの隊員たちに、ヴァンパイアの血液と反応して激しい燃焼を起こす化学薬品「アグリの血」のアンプルを体内に埋め込んだヒステリカ配下のヴァンパイアが、都内各所に配置して同時に自爆テロを起こさせるというヒステリカの計画を説明していたシーンの挿入カットで描かれていた場所その5。				チュウオウク	タ	13	16	2	
1279	0005	完了	東京都	港区	東京メトロ 虎ノ門駅	105-0001	東京都港区虎ノ門1-3		35.670212	139.749953	"https://www.google.com/maps/@35.6701066,139.7502593,2a,45.5y,139.33h,85.61t/data=!3m6!1e1!3m4!1sJqt3lft_GmNeUK1vkBX0kQ!2e0!7i13312!8i6656"						ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）がヒステリカの自爆指令を無効化したことを受け、ベイオウルブズの隊員が、ホームにいたヴァンパイアを始末していた駅。<br />同じく、自爆テロを狙うヴァンパイアを追尾していた鏑木アキラが、相手が同級生の彦坂だと知って躊躇して電車に乗って逃げられてしまったため、狼に変身して電車を追っていました。				ミナトク	タ	13	22	2	
1279	0006	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658619	139.745436	"https://www.google.com/maps/@35.6619312,139.7470669,248a,35y,201.69h,78.76t/data=!3m1!1e3"						ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）がベイオウルブズの隊員たちに、ヴァンパイアの血液と反応して激しい燃焼を起こす化学薬品「アグリの血」のアンプルを体内に埋め込んだヒステリカ配下のヴァンパイアが、都内各所に配置して同時に自爆テロを起こさせるというヒステリカの計画を説明していたシーンの挿入カットで描かれていた場所その3。				ミナトク	タ	13	22	2	
1279	0007	完了	東京都	港区	森タワー	106-0032	東京都港区六本木6-10-1	六本木ヒルズ	35.660397	139.729246	"https://www.google.com/maps/@35.6599401,139.7335141,264a,35y,271.55h,71.36t/data=!3m1!1e3"						ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）がベイオウルブズの隊員たちに、ヴァンパイアの血液と反応して激しい燃焼を起こす化学薬品「アグリの血」のアンプルを体内に埋め込んだヒステリカ配下のヴァンパイアが、都内各所に配置して同時に自爆テロを起こさせるというヒステリカの計画を説明していたシーンの挿入カットで描かれていた場所その6。				ミナトク	タ	13	22	2	
1279	0008	完了	東京都	港区	台場公園	135-0091	東京都港区台場1-10		35.633513	139.771144	"https://www.google.com/maps/@35.6334844,139.7712019,3a,20y,289.3h,95.28t/data=!3m6!1e1!3m4!1sxCLepTLOMp45pL1YqX7i0A!2e0!7i16384!8i8192"				4.5		ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	学校帰りの鏑木アキラが海を眺めていた場所で、公園から望むレインボーブリッジが描かれていました。<br />作中では公園ではなく、港の岸壁のように描かれていました。				ミナトク	タ	13	22	2	
1279	0009	完了	東京都	台東区	浅草寺 雷門	111-0032	東京都台東区浅草2-3-1		35.711137	139.796374	"https://www.google.com/maps/@35.7110678,139.7963711,2a,55y,3h,118.04t/data=!3m6!1e1!3m4!1sxskfrVGd1pIH4_3q62l9Dg!2e0!7i13312!8i6656"						ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ミナ（ヴィルヘルミナ・ヴラド・ツェペッシュ）がベイオウルブズの隊員たちに、ヴァンパイアの血液と反応して激しい燃焼を起こす化学薬品「アグリの血」のアンプルを体内に埋め込んだヒステリカ配下のヴァンパイアが、都内各所に配置して同時に自爆テロを起こさせるというヒステリカの計画を説明していたシーンの挿入カットで描かれていた場所その4。				タイトウク	タ	13	15	2	
1279	0010	完了	東京都	品川区	大井料金所付近	140-0003	東京都品川区八潮3-2		35.597351	139.755218	"https://www.google.com/maps/@35.5970243,139.7552492,3a,18.7y,1.12h,95.22t/data=!3m6!1e1!3m4!1sgz8K8atlHAywO4RojHocug!2e0!7i13312!8i6656"				5		ダンス イン ザ ヴァンパイアバンド	ダンスインザヴァンパイアバンド	第9話で、ベイオウルブズの隊員たちが、自爆テロを狙うヒステリカ配下のヴァンパイアたちの確認情報を報告していたシーンで描かれていた場所。<br />座標地点の道路標識越しに料金所が描かれていましたが、2018年5月22日に廃止され、撤去済。				シナガワク	タ	13	9	2	
