作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0548	0001	完了	東京都	江戸川区	都営地下鉄 船堀駅	134-0091	東京都江戸川区船堀3-6-1		35.683817	139.864281	-	15		0			ディーふらぐ！	ディーフラグ	オープニングの船堀のカットで、船堀がホームで電車待ちをしている姿が描かれていました。主要キャラクターそれぞれが、自分の名前の由来となっている駅にいるカットになっています。				エドガワク	テ	13	4	2	
0548	0002	完了	東京都	世田谷区	京王 桜上水駅	156-0045	東京都世田谷区桜上水5-29-52		35.667662	139.631341	"https://www.google.co.jp/maps/@35.667541,139.631051,3a,15y,52.99h,96.64t/data=!3m5!1e1!3m3!1suGsAhXJfmwrsn0wq8uPylA!2e0!5s20090701T000000!6m1!1e1"						ディーふらぐ！	ディーフラグ	オープニングで、水上桜が電車からホームに降りる姿が描かれていました。梯子置き場の位置は作画上でアレンジされています。次駅の表示が右側で上北沢になっているので、3・4番線ホームから1・2番線ホームを望む構図かと思われます。主要キャラクターそれぞれが、自分の名前の由来となっている駅にいるカットになっています。				セタガヤク	テ	13	14	2	
0548	0003	完了	東京都	世田谷区	京王 千歳烏山駅	157-0062	東京都世田谷区南烏山6-1-1		35.668194	139.601111	"https://www.google.co.jp/maps/@35.668075,139.601421,3a,90y,302.28h,91.87t/data=!3m4!1e1!3m2!1sStm9q3jzPT5qRKkxCHaTNA!2e0"						ディーふらぐ！	ディーフラグ	オープニングの烏丸千歳のカットで、千歳が駅舎の壁に寄りかかる姿が描かれていました。主要キャラクターそれぞれが、自分の名前の由来となっている駅にいるカットになっています。				セタガヤク	テ	13	14	2	
0548	0004	完了	東京都	調布市	多摩川沿いの道	182-0025	東京都調布市多摩川4-32		35.641866	139.534983	"https://www.google.co.jp/maps/@35.641951,139.534393,3a,15y,98.16h,90.49t/data=!3m4!1e1!3m2!1sJgZem25WRgbKpPey5YSk0g!2e0"						ディーふらぐ！	ディーフラグ	第4話本編冒頭の通学シーンで、風間堅次が長山ひろしと横縞と一緒に歩いていた場所。				チョウフシ	テ	13	36	2	
0548	0005	完了	東京都	調布市	横断歩道	182-0025	東京都調布市多摩川4-32		35.641982	139.534482	"https://www.google.co.jp/maps/@35.641982,139.5351841,67a,20y,270h,41.83t/data=!3m1!1e3"						ディーふらぐ！	ディーフラグ	第4話本編冒頭で、風間一派が、魔の十四楽団と遭遇していた横断歩道。				チョウフシ	テ	13	36	2	
0548	0006	完了	東京都	調布市	多摩川児童公園内運動施設 ソフトボール場	182-0025	東京都調布市多摩川3-75		35.642935	139.529138	"https://www.google.co.jp/maps/@35.642921,139.530553,3a,15y,271.32h,87.96t/data=!3m4!1e1!3m2!1sj-FxPFnyS-I4XXmTRZKneQ!2e0"						ディーふらぐ！	ディーフラグ	オープニングのラストカットで主要メンバー勢揃いのカットで背景に描かれていた河川敷の野球場。第2話では、停学中の風間堅次が、この場所で高尾たちゲーム制作部に取り囲まれていました。	http://www.city.chofu.tokyo.jp/www/contents/1176118859488/			チョウフシ	テ	13	36	2	
0548	0007	完了	東京都	府中市	ホテルコンチネンタル新館脇の自動販売機前	183-0055	東京都府中市府中町1-5-1		35.672346	139.481844	"https://www.google.co.jp/maps/@35.672465,139.481891,3a,47.2y,195.56h,85.33t/data=!3m4!1e1!3m2!1sCzzbFIKXLPpCeD7XnCRKOQ!2e0"						ディーふらぐ！	ディーフラグ	第8話で、風間堅次と柴崎芦花の意外な親密さを知った高尾が、居た堪れなくなってゲーム店の開店待ちの行列を逃げ出し、自己嫌悪で蹲っていた場所。白い自動販売機の他、コルト（ホテル内カフェ）のエアコンの室外機、シティテル府中の看板、さくらパーキングなどが描かれていました。				フチュウシ	テ	13	44	2	
0548	0008	完了	東京都	府中市	古沢ビル	183-0055	東京都府中市府中町1-6-1		35.672529	139.481115	"https://www.google.co.jp/maps/@35.672594,139.481108,3a,50.1y,178.19h,86.5t/data=!3m4!1e1!3m2!1syZFmQB9Molt-47Xiu1GSvg!2e0"						ディーふらぐ！	ディーフラグ	第8話で、高尾と風間堅次が「魔道村」シリーズの新作ゲームを買うために、、「ゲームショップ バーチャルッポイ」の開店待ちの行列に並んでいるシーンで描かれていた、2人が並んでいた場所の向かいのビル。				フチュウシ	テ	13	44	2	
0548	0009	完了	東京都	府中市	府中駅前ビル 前	183-0055	東京都府中市府中町1-8-1		35.672610	139.481051	"https://www.google.co.jp/maps/@35.672554,139.481054,3a,27.9y,22.46h,89.21t/data=!3m4!1e1!3m2!1s1I8_g7elk3G3EfCUg8U69g!2e0"					042-360-2227	ディーふらぐ！	ディーフラグ	第8話で高尾と風間堅次が「魔道村」シリーズの新作ゲームを買うために、「ゲームショップ バーチャルッポイ」の開店待ちの行列に並んでいた場所。作中では実際の風景を左右反転して描かれていました。				フチュウシ	テ	13	44	2	
0548	0010	完了	東京都	府中市	マンガの王様	183-0055	東京都府中市府中町1-8-6		35.672667	139.481258	"https://www.google.co.jp/maps/@35.672595,139.481186,3a,38.9y,55.52h,88.61t/data=!3m4!1e1!3m2!1sKBLY1CsU6MTCb8BheUvtBg!2e0"					042-360-2227	ディーふらぐ！	ディーフラグ	第8話で高尾と風間堅次が「魔道村」シリーズの新作ゲームを買うために行列に並んでいた「ゲームショップ バーチャルッポイ」のモデル。作中では実際の風景を左右反転して描かれていました。				フチュウシ	テ	13	44	2	
