作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0555	0001	完了	東京都	練馬区	都営光が丘第3アパート　第二ゲート	179-0072	東京都練馬区光が丘2-7		35.761896	139.630606	"https://www.google.co.jp/maps/@35.761885,139.6304572,3a,16y,84.57h,89.79t/data=!3m6!1e1!3m4!1stGefTJJExPqaAxty_svfvA!2e0!7i13312!8i6656"						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを飛び出したアグモンが、ヒカリを背中に乗せたまま歩いていた場所。<br />後を追ってきた太一が、ヒカリとアグモンを探していたのもこの場所でした。				ネリマク	テ	13	20	2		2
0555	0002	完了	東京都	練馬区	都営光が丘第3アパート4号	179-0072	東京都練馬区光が丘2-7-4		35.761773	139.631490	-						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを飛び出したアグモンが、ヒカリを背中に乗せたままマンションから落下する姿が描かれていた場所。				ネリマク	テ	13	20	2		3
0555	0003	完了	東京都	練馬区	大戸屋ごはん処 光が丘店 前	179-0072	東京都練馬区光が丘2-10		35.760182	139.629316	"https://www.google.co.jp/maps/@35.760174,139.6293075,2a,75y,21.74h,119.81t/data=!3m6!1e1!3m4!1sWR-Vhj0-Wpvet-G258Ai1g!2e0!7i13312!8i6656"						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを飛び出し、ヒカリを背中に乗せたまま歩いていたアグモンが、上空を飛ぶ飛行機を見上げていた場所。				ネリマク	テ	13	20	2		2
0555	0004	完了	東京都	練馬区	プロムナード10番街2号棟の通路	179-0072	東京都練馬区光が丘2-10-2		35.760326	139.629669	-						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを飛び出したアグモンが、ヒカリを背中に乗せたまま歩いていた通路。				ネリマク	テ	13	20	2		2
0555	0005	完了	東京都	練馬区	練馬光が丘病院交差点	179-0072	東京都練馬区光が丘2-11		35.762457	139.630373	"https://www.google.co.jp/maps/@35.7626339,139.6305476,3a,15y,218.89h,91.39t/data=!3m6!1e1!3m4!1sDIixjMEBmvKRA3beGJh8nw!2e0!7i13312!8i6656"						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを飛び出したアグモンが、ヒカリを背中に乗せたまま歩いていた交差点。				ネリマク	テ	13	20	2		2
0555	0006	完了	東京都	練馬区	てんびん橋	179-0072	東京都練馬区光が丘3-9		35.758187	139.625676	-						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	マンションを飛び出したアグモンとヒカリを探す太一が渡っていた歩道橋。				ネリマク	テ	13	20	2		2
0555	0007	完了	東京都	練馬区	月見大橋の下	179-0072	東京都練馬区光が丘4-1		35.762543	139.628951	"https://www.google.co.jp/maps/@35.7624617,139.6291178,3a,15y,300.38h,91.1t/data=!3m6!1e1!3m4!1sFaOjJimTYETINEnfDOgpfQ!2e0!7i13312!8i6656"						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを抜け出したアグモンが、ヒカリを背中に乗せたまま歩いていた場所。				ネリマク	テ	13	20	2		2
0555	0008	完了	東京都	練馬区	月見大橋脇の階段下	179-0072	東京都練馬区光が丘5-1		35.758808	139.629028	"https://www.google.co.jp/maps/@35.7586542,139.6290483,3a,23y,9.35h,87.13t/data=!3m6!1e1!3m4!1s8eLC3LQklXGCMDGP_vk5OQ!2e0!7i13312!8i6656"						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	太一のマンションを抜け出したアグモンが、ヒカリを背中に乗せたまま歩いていた場所。				ネリマク	テ	13	20	2		2
0555	0009	完了	東京都	練馬区	月見大橋	179-0072	東京都練馬区光が丘5-1		35.758642	139.628994	-						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	パロットモンの攻撃で破壊されてしまった橋。				　ｖｈ	テ	13	20	2		2
0555	0010	完了	東京都	練馬区	都道443号線	179-0072	東京都練馬区光が丘5-1		35.758522	139.627470	-						デジモンアドベンチャー（劇場版）	デジモンアドベンチャー	グレイモンとパロットモンとの戦いの場となっていた場所。プロムナード10番街1号棟の高層階から見下ろす構図で道路一帯が描かれていました。				ネリマク	テ	13	20	2		4
