作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0758	0001	完了	東京都	中央区	銀座四丁目交差点	104-0061	東京都中央区銀座4		35.671236	139.765032	"https://www.google.co.jp/maps/@35.6710779,139.7649692,3a,45y,9.03h,110.91t/data=!3m6!1e1!3m4!1sgwE7u4QKjhoZxi2fgS9aHA!2e0!7i16384!8i8192"						デジモンアドベンチャー:	デジモンアドベンチャー	第15話のラストで、デジタルワールドで二手に分かれて聖なるデジモンを目指して上っていた八神太一、泉光子郎、太刀川ミミの3人とパートナーデジモンたちが、洞窟を抜け出たと思った瞬間、現実世界に戻って来ていた場所。一行が出て来たと思われる地下鉄の出入口や、和光本館や銀座三越のビル越しに東京タワーが描かれていました。実際には距離的にも方角的にも交差点から東京タワーは望めません。				チュウオウク	テ	13	16	2		4
0758	0002	完了	東京都	中央区	東京メトロ 銀座駅　A10番出入口	104-0061	東京都中央区銀座4-5		35.671497	139.764894	-						デジモンアドベンチャー:	デジモンアドベンチャー	第16話で、デジタルワールドにいたはずが、突然現実世界に戻って来てしまった八神太一、泉光子郎、太刀川ミミの3人とパートナーデジモンたちが、とりあえず家に帰ろうと地下鉄に乗り込むシーンで描かれていた出入口。ここから渋谷駅に向かっていました。				チュウオウク	テ	13	16	2		1
0758	0003	完了	東京都	中央区	和光本館	104-0061	東京都中央区銀座4-5-11		35.671532	139.765055	"https://www.google.co.jp/maps/@35.6713399,139.7651182,3a,49.2y,353.58h,131.19t/data=!3m6!1e1!3m4!1sAZuzWsNio73HToJG04fNJQ!2e0!7i16384!8i8192"						デジモンアドベンチャー:	デジモンアドベンチャー	第16話で、デジタルワールドにいたはずが、突然現実世界に戻って来てしまった八神太一、泉光子郎、太刀川ミミの3人とパートナーデジモンたちが、唖然として現実世界を見ていたシーンの街のカットとして描かれていたビル。				チュウオウク	テ	13	16	2		0
0758	0004	完了	東京都	中央区	銀座三越	104-0061	東京都中央区銀座4--6-16		35.671260	139.765430	"https://www.google.co.jp/maps/@35.6712718,139.7650961,3a,41.2y,84.47h,125.16t/data=!3m6!1e1!3m4!1sXnYXJUolqx-droIql8r7IQ!2e0!7i16384!8i8192"						デジモンアドベンチャー:	デジモンアドベンチャー	第16話で、デジタルワールドにいたはずが、突然現実世界に戻って来てしまった八神太一、泉光子郎、太刀川ミミの3人とパートナーデジモンたちが、唖然として現実世界を見ていたシーンの街のカットとして描かれていたビル。				チュウオウク	テ	13	16	2		0
0758	0005	完了	東京都	中央区	銀座文明堂 BUNMEIDO CAFE GINZA	104-0061	東京都中央区銀座5-7-10	中村積善会ビル 1F	35.670623	139.764130	"https://www.google.co.jp/maps/@35.6704368,139.7641808,3a,15y,344.88h,89.87t/data=!3m6!1e1!3m4!1st2-vwn6Q2s_VMcISmFFRbw!2e0!7i16384!8i8192"						デジモンアドベンチャー:	デジモンアドベンチャー	第16話で、デジタルワールドにいたはずが、突然現実世界に戻って来てしまった八神太一、泉光子郎、太刀川ミミの3人とパートナーデジモンたちが、唖然として現実世界を見ていたシーンの街のカットとして描かれていた喫茶店。				チュウオウク	テ	13	16	2		0
0758	0012	完了	東京都	渋谷区	渋谷スクランブルスクエア　エスカレーター 前	150-0002	東京都渋谷区渋谷2-24-12		35.658604	139.702135	-						デジモンアドベンチャー:	デジモンアドベンチャー	第16話で、現実世界に戻り、家に帰ろうと銀座から地下鉄に乗って渋谷駅へやって来た八神太一たち一行が、この駅からさらに東急東横線に乗り換えて家に向かう太一たちと、渋谷駅が家の最寄りである太刀川ミミとパルモンが、エレベーター前で二手に別れていました。				シブヤク	テ	13	10	2		3
0758	0006	完了	東京都	渋谷区	しぶちか神南口（渋谷駅A7a出入口） 前	150-0041	東京都渋谷区神南1-23		35.659637	139.700756	"https://www.google.co.jp/maps/@35.6596394,139.7006902,3a,58y,101.62h,98.56t/data=!3m6!1e1!3m4!1ssq2E8yTJdTGKxVwf_9fdbw!2e0!7i13312!8i6656"						デジモンアドベンチャー:	デジモンアドベンチャー	第19話で、偽りの渋谷でのオロチモンとの戦いの後、現実世界に戻ってきてしまった泉光子郎たちが、デジタルワールドに残ったままの八神太一と石田ヤマトに連絡を取っていた場所。<br />作中では「しぶちか」の文字が「しぶらか」になっていました。				シブヤク	テ	13	10	2		3
0758	0007	完了	東京都	渋谷区	Q's eye	150-0042	東京都渋谷区宇田川町21-6		35.659767	139.700418	"https://www.google.co.jp/maps/@35.6595443,139.7004933,3a,43.9y,344.91h,116.63t/data=!3m6!1e1!3m4!1syvM02h16CbbOH1MyJ9gc8Q!2e0!7i16384!8i8192"						デジモンアドベンチャー:	デジモンアドベンチャー	第15話で、東京大停電の災害から3日目の朝、ネットワークに繋がった電子機器のみが謎の稼働を続けている状況を伝えるニュース映像が映し出されていた巨大モニター。				シブヤク	テ	13	10	2		0
0758	0008	完了	東京都	渋谷区	渋谷駅前	150-0043	東京都渋谷区道玄坂2-1		35.659278	139.700599	"https://www.google.com/maps/@35.659279,139.7004821,3a,46y,126.68h,110.83t/data=!3m6!1e1!3m4!1sAEKZUYZ3jECiDazhR5e93w!2e0!7i16384!8i8192"						デジモンアドベンチャー:	デジモンアドベンチャー	第1話冒頭の八神太一が母親と電話で話しているシーンで、母親がまだ渋谷で乗り換え中だと話すカットでハチ公像や青ガエル（東急5000系車両・2020年月撤去済）、東急百貨店東横店（2020年3月31閉館）などが描かれていました。<br />第16話で現実世界に戻って来た太一たちが家に帰ろうと銀座から地下鉄に乗ってやって来たシーンや、第67話（最終話）のラストでレオモンが若いデジモンたちに「選ばれし子供たち」のことを語るシーンでも、同じ構図のカットが使われていました。				シブヤク	テ	13	10	2		0
0758	0009	完了	東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂2-1		35.659062	139.700625	-						デジモンアドベンチャー:	デジモンアドベンチャー	第19話の、偽りの渋谷でのオロチモンとの戦いの後、泉光子郎がデジタルワールドの八神太一たちに、現実世界に戻ってきてしまったことを伝えるシーンで、ハチ公像で待ち合わせをする人々の様子が描かれていました。<br />第67話（最終話）のラストで、パタモンをリュックに隠した高石タケルが、石田ヤマトとパーカーとサングラス姿のガブモンと待ち合わせをしていたのもこの場所でした。				シブヤク	テ	13	10	2		3
