作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0569	0001	完了	宮城県	仙台市	仙台三越 前	980-0811	宮城県仙台市青葉区一番町4-8		38.265844	140.870706	"https://www.google.co.jp/maps/@38.2659132,140.8707105,3a,50.6y,165.55h,88.67t/data=!3m6!1e1!3m4!1slfKk_fW8zXiufDqHmd6Luw!2e0!7i16384!8i8192"	17.0					デュラララ!!×2 承	デュラララカケルニショウ	第12話ラストで、東京を離れた折原臨也が顧客である「明日機組」の人間と電話で話しながら歩いていた場所。				センダイシ	テ	4	1	1	
0569	0002	完了	宮城県	仙台市	稲荷小路 前	980-0811	宮城県仙台市青葉区一番町4-10		38.265642	140.869645	"https://www.google.co.jp/maps/@38.2655519,140.8697113,3a,55.8y,350.48h,86.38t/data=!3m6!1e1!3m4!1sGFUO6bjf_yJ_tCoFeOt_Nw!2e0!7i13312!8i6656"	17.0					デュラララ!!×2 承	デュラララカケルニショウ	第12話のラストで、折原臨也が澱切陣内を名乗る男に刺されて倒れていた場所。	http://www.towafood-net.co.jp/cafe/store/tubakiya_ikebukuro/tabid/235/Default.aspx			センダイシ	テ	4	1	1	
0569	0003	完了	東京都	台東区	JR 上野駅	110-0005	東京都台東区上野7-1-1		35.713889	139.777222	-	14					デュラララ!!×2 承	デュラララカケルニショウ	第9話で、平和島静雄に「粟楠会」の事務所襲撃の濡れ衣を着せ、その他いろんな工作を済ませた折原臨也が、自分の仕掛けた騒動の行方を見ることなく、ほとぼりが冷めるまで東京を離れていようと電車に乗り込んでいた駅。	http://standard.navitime.biz/lotteria/FreeSearch.act?fwd=%93%8C%92r%91%DC			タイトウク	テ	13	15	2	
0569	0004	完了	東京都	新宿区	旧近衛邸のケヤキ	161-0033	東京都新宿区下落合2-17		35.719797	139.704163	"https://www.google.co.jp/maps/@35.7199759,139.7041523,3a,30y,174.54h,94.78t/data=!3m6!1e1!3m4!1sh9dIVMLM-ILNwWyPSgWXIw!2e0!7i13312!8i6656"						デュラララ!!×2 承	デュラララカケルニショウ	第10話の粟楠茜によるモノローグシーンで、友達の家に忘れた携帯電話を取りに戻る茜が歩いていた場所。				シンジュクク	テ	13	11	2	
0569	0005	完了	東京都	豊島区	豊島清掃事務所 裏	170-0011	東京都豊島区池袋本町1-7-3		35.738239	139.713210	"https://www.google.co.jp/maps/@35.7382136,139.713276,3a,49.8y,307.49h,93.64t/data=!3m6!1e1!3m4!1sLyxEib7qVDN-WluS1xSNCA!2e0!7i13312!8i6656"						デュラララ!!×2 承	デュラララカケルニショウ	第12話で、「来良学園第二グラウンド」での「ダラーズ」と「To羅丸」の抗争の中、スペツナズ・ナイフで攻撃してきたヴァローナを追う平和島静雄が、イゴールの乗るトラックに合流したヴァローナからマシンガンで銃撃されていた場所。				トシマク	テ	13	18	2	
0569	0006	完了	東京都	豊島区	Partner 池袋本町1丁目パーキング	170-0011	東京都豊島区池袋本町1-15		35.738660	139.713092	"https://www.google.co.jp/maps/@35.738535,139.7131255,3a,25y,350.7h,83.69t/data=!3m6!1e1!3m4!1s207HEzsmOXxHUNgbEpptRg!2e0!7i16384!8i8192"				4		デュラララ!!×2 承	デュラララカケルニショウ	第12話で、粟楠茜を攫ったヴァローナたちのトラックを追う平和島静雄が、蹴転がして銃弾避けに使った自動車を拝借していた駐車場。	http://www10.ocn.ne.jp/~milky91f/			トシマク	テ	13	18	2	
0569	0007	完了	東京都	豊島区	自動販売機 前	170-0011	東京都豊島区池袋本町1-24		35.740148	139.712263	"https://www.google.co.jp/maps/@35.7401522,139.712314,3a,26.6y,253.05h,80.55t/data=!3m6!1e1!3m4!1sVP-pOcrI5LA8gEegBwBYhA!2e0!7i13312!8i6656"				4		デュラララ!!×2 承	デュラララカケルニショウ	第12話で、平和島静雄がヴァローナたちから無事救出した粟楠茜に抱きつかれていた場所。				トシマク	テ	13	18	2	
0569	0008	完了	東京都	豊島区	池袋本町中央通り（本むら豆腐店 前）	170-0011	東京都豊島区池袋本町1-46		35.740172	139.712299	"https://www.google.co.jp/maps/@35.740137,139.712303,3a,51.5y,352.43h,108.58t/data=!3m4!1e1!3m2!1sichUTaegdO1ag0zNXRr7-Q!2e0"						デュラララ!!×2 承	デュラララカケルニショウ	第12話で、粟楠茜を抱きかかえてトラックから飛び降りた平和島静雄を、セルティ・ストゥルルソンが影で作り出したネットで受け止めていた場所。				トシマク	テ	13	18	2	
0569	0009	完了	東京都	豊島区	池袋大橋	170-0012	東京都豊島区上池袋2-5		35.733929	139.71399	"https://www.google.co.jp/maps/@35.7340938,139.7137596,3a,34.2y,203.19h,92.51t/data=!3m6!1e1!3m4!1sz-ic8vIczTTgeQbZkT73hg!2e0!7i13312!8i6656"	16.0					デュラララ!!×2 承	デュラララカケルニショウ	第5話で、六条千景が、「ダラーズ」へ報復するために集結させた「To羅丸」のメンバーに号令をかけていた橋。				トシマク	テ	13	18	2	
0569	0010	完了	東京都	豊島区	住宅地（石原駐車場前）	170-0012	東京都豊島区上池袋2-26		35.736318	139.715504	"https://www.google.co.jp/maps/@35.736497,139.7160747,3a,38y,259.08h,95.01t/data=!3m6!1e1!3m4!1s6j8ZD39_-2vNm8nYzJ4dFQ!2e0!7i13312!8i6656"						デュラララ!!×2 承	デュラララカケルニショウ	第12話で、「ダラーズ」との抗争が和解に終わった後、彼女と帰路についていた六条千景が、後を追ってきた竜ヶ峰帝人から、池袋にこれ以上手を出さないで欲しいと土下座して懇願されていた場所。				トシマク	テ	13	18	2	
0569	0011	完了	東京都	豊島区	国道254号線の歩道	170-0012	東京都豊島区上池袋2-28		35.736185	139.714941	"https://www.google.co.jp/maps/@35.7361783,139.7150531,3a,64.7y,253.21h,110t/data=!3m6!1e1!3m4!1sT_tjDxxGjb118-4jekjPew!2e0!7i16384!8i8192"						デュラララ!!×2 承	デュラララカケルニショウ	第12話で、これ以上池袋に手を出さないで欲しいと土下座し、自分が「ダラーズ」の創始者であることを打ち明けた竜ヶ峰帝人が、六条千景に「ダラーズ」の創始者であることを信じてもらえず、もしそうだとしても、「お前みたいに純真過ぎるやつには荷が重いから手放せ」だったり、「お前は日常が似合っているよ」などと言われ、自分が唯一縋っていた拠り所を全否定された思いで泣いていた姿を、紀田正臣が見下ろしていた場所。				トシマク	テ	13	18	2	
0569	0012	完了	東京都	豊島区	カラオケ館池袋東口店 前	170-0013	東京都豊島区東池袋1-2-12		35.729760	139.713948	"https://www.google.co.jp/maps/@35.7297143,139.7140914,3a,41.6y,275.52h,93.54t/data=!3m6!1e1!3m4!1sd-YumX0S5z-nH-pGAMaN-w!2e0!7i13312!8i6656"						デュラララ!!×2 承	デュラララカケルニショウ	第5話で万引き犯の男に制裁を加えていた六条千景が、駆けつけた警察官から逃れるべく、女子高生たちに急かされながら歩いていた場所。				トシマク	テ	13	18	2	
0569	0013	完了	東京都	豊島区	椿屋珈琲店 池袋茶寮	170-0013	東京都豊島区東池袋1-6-4	伊藤ビルB1F	35.731411	139.713222	"https://www.google.co.jp/maps/@35.7315182,139.7132125,3a,24y,144.02h,91.86t/data=!3m6!1e1!3m4!1s0lRT1elcNdX1qi1AZ38zEg!2e0!7i13312!8i6656"				4	03-5949-3133	デュラララ!!×2 承	デュラララカケルニショウ	第10話冒頭で、セルティ・ストゥルルソンたちの乗る馬車に驚き、人々が振り向いていたシーンで背景に描かれていた店。	http://www.adores.jp/tenpo/sunshine.html			トシマク	テ	13	18	2	
0569	0014	完了	東京都	豊島区	ロッテリア 池袋東口店	170-0013	東京都豊島区東池袋1-11-4		35.729621	139.714172	"https://www.google.co.jp/maps/@35.7295332,139.7141647,3a,28y,31.16h,88.18t/data=!3m6!1e1!3m4!1sBxnUsyfavO7QlWi2xepDuw!2e0!7i13312!8i6656"				4	03-3982-8781	デュラララ!!×2 承	デュラララカケルニショウ	第5話で、お茶をしていた平和島静雄がトムが、店の外から静雄を見つめる粟楠茜に遭遇していた店。<br />作中では店名が「LOTTARIA」になっていました。<br />第10話で、ダラーズに奈倉（折原臨也 or 矢霧波江）がリークした六条千景の彼女であるノンの画像で、ノンや園崎杏里のクラスメイトの神近莉緒が写っていたのもこの店でした。				トシマク	テ	13	18	2	
0569	0015	完了	東京都	豊島区	東口五差路交差点 1	170-0013	東京都豊島区東池袋1-12		35.729470	139.714031	"https://www.google.co.jp/maps/@35.7294573,139.7140225,3a,38y,110.87h,77.09t/data=!3m6!1e1!3m4!1sUtGYkBshzX9r7eI3hsrfgA!2e0!7i13312!8i6656"						デュラララ!!×2 承	デュラララカケルニショウ	第4話で、セルティ・ストゥルルソンと門田京平たちの乗るバンと、それを追う暴走族の集団と大王テレビのロケ車が走り抜けていた交差点。<br />富士喜ビル1F（Cafe SPAZIO）が描かれていました。				トシマク	テ	13	18	2	
0569	0016	完了	東京都	豊島区	東口五差路交差点 2	170-0013	東京都豊島区東池袋1-12		35.729472	139.714144	"https://www.google.co.jp/maps/@35.7293457,139.7140692,3a,15y,23.46h,86.08t/data=!3m6!1e1!3m4!1st0treIjW43Ofc2NZzhWH9g!2e0!7i13312!8i6656"				5		デュラララ!!×2 承	デュラララカケルニショウ	第5話冒頭の折原臨也が人間の心を使ったゲームをしようと話しているシーンの挿入カットで、折原九瑠璃と折原舞流が歩いている姿が描かれていた交差点。				トシマク	テ	13	18	2	
