作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0570	0001	完了	北海道	函館市	五稜郭タワー	040-0001	北海道函館市五稜郭町43-9		41.794606	140.753949	"https://www.google.co.jp/maps/@41.7941376,140.7549027,3a,54.1y,311.01h,117.2t/data=!3m6!1e1!3m4!1sVi1I1_2ggOTLfJVIB0dz6A!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	第18話の聖辺ルリの回想シーン冒頭に描かれていた搭。				ハコダテシ	テ	1	4	1	
0570	0002	完了	東京都	千代田区	ホテルニューオータニ	102-0094	東京都千代田区紀尾井町4-1		35.681873	139.733742	"https://www.google.co.jp/maps/@35.6820242,139.7336606,3a,43y,155.16h,109.13t/data=!3m6!1e1!3m4!1sbnN7nhjGQj5eQB4iSSNqoQ!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	第24話で、鯨木かさねが付き従っていた澱切陣内（8番）が、地下駐車場で折原臨也の放った刺客によって車にはねられていたホテル。<br />北側の駐車場出入口から外に出る鯨木の姿が描かれていました。				チヨダク	テ	13	17	2	
0570	0075	完了	東京都	中央区	銀座ガス灯通り	104-0061	東京都中央区銀座4-4		35.672141	139.765261	-						デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、偽平和島静雄（野襖志津夫）が、「九十九屋」の名を騙る折原臨也の口車に乗せられて殴った男たちに追いかけられていた通り。				チュウオウク	テ	13	16	2	
0570	0072	完了	東京都	中央区	ギャラリー・オカベ	104-0061	東京都中央区銀座4-4-5		35.671962	139.764972	"https://www.google.co.jp/maps/@35.6719497,139.7650509,3a,68y,283.11h,98.71t/data=!3m6!1e1!3m4!1s90MpKAE26G33URE4GiSiHg!2e0!7i13312!8i6656"						デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、「粟楠会」の名を騙る男たちが贋作を売る商売をしていた偽画廊のモデル。<br />「九十九屋」の名を騙る折原臨也の口車に乗せられた偽平和島静雄（野襖志津夫）が、店前にいた男を殴っていました。				チュウオウク	テ	13	16	2	
0570	0070	完了	東京都	中央区	和光本館	104-0061	東京都中央区銀座4-5-11		35.671531	139.765054	"https://www.google.co.jp/maps/@35.671087,139.7649926,3a,41.1y,4.74h,110.26t/data=!3m6!1e1!3m4!1sRO3ZePhbhdkQeb_0VsNWdA!2e0!7i13312!8i6656"						デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、偽平和島静雄（野襖志津夫）が、「九十九屋」の名を騙る折原臨也の口車に乗せられてやって来た銀座シーンの冒頭カットで描かれていたビル。				チュウオウク	テ	13	16	2	
0570	0113	完了	東京都	港区	首都高速都心環状線（芝公園出口まで250m標識）	105-0011	東京都港区芝公園2-12		35.653599	139.751017	"https://www.google.co.jp/maps/@35.6535493,139.7512147,3a,64.4y,278.46h,93.18t/data=!3m6!1e1!3m4!1skjpvDrinSNndk_i4Al6Gtg!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	第17話で、ある富豪からの依頼で、セルティ・ストゥルルソンが国際的犯罪組織とカーチェイスをしていた場所。				ミナトク	テ	13	22	2	
0570	0061	完了	東京都	中野区	路地	165-0025	東京都中野区沼袋1-34		35.720010	139.664647	"https://www.google.co.jp/maps/@35.720118,139.6644762,3a,15y,126h,86.68t/data=!3m6!1e1!3m4!1szqFOM-GNjFbs7DFNrD5tgQ!2e0!7i13312!8i6656"				5		デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）冒頭で、チンピラの2人が、サラリーマン風の男から財布を脅し取っていた路地。<br />作中では、路地の先がブロック塀に描き変えられ行き止まりになっていました。				ナカノク	テ	13	19	2	
0570	0062	完了	東京都	中野区	BAR ANGEL	165-0025	東京都中野区沼袋1-34-6		35.720237	139.664722	-						デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）冒頭で、野襖志津夫が働いていたバー。<br />※2018年6月11日閉店済。				ナカノク	テ	13	19	2	閉店
0570	0063	完了	東京都	中野区	西武鉄道 沼袋駅	165-0025	東京都中野区沼袋1-35-1		35.719534	139.663788	"https://www.google.co.jp/maps/@35.7195823,139.6636416,3a,15y,116.84h,96.49t/data=!3m6!1e1!3m4!1swu8i0Jff7wGZJFbrldjPzg!2e0!7i13312!8i6656"				5		デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）の冒頭カットで描かれていた駅。野襖志津夫が働いているバーの最寄駅という設定でした。				ナカノク	テ	13	19	2	
0570	0003	完了	東京都	新宿区	住宅地（新幸ハイム前）	169-0074	東京都新宿区北新宿1-3		35.698541	139.695630	"https://www.google.co.jp/maps/@35.6986439,139.6955688,3a,50y,150.71h,99.96t/data=!3m6!1e1!3m4!1saNQTRFQFclwGjRXm8cFGXQ!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	第23話で、仕事帰りに自宅へ向けて歩いていた矢霧波江が、不穏な気配を感じて逃げ出していた場所。				シンジュクク	テ	13	11	2	
0570	0024	完了	東京都	豊島区	池袋跨線人道橋　出入口（池袋駅前公園脇）	170-0013	東京都豊島区上池袋2		35.733434	139.713686	"https://www.google.co.jp/maps/@35.7332942,139.7136986,3a,21.8y,351.59h,85.99t/data=!3m6!1e1!3m4!1sOrWNP8IrEeNrnRR9XrIShA!2e0!7i16384!8i8192"				4.5		デュラララ!!×2 転	デュラララカケルニテン	第15話、赤林海月が、後ろからナイフで襲おうとした若者を撃退した後、杖を付いて歩道橋を降りて来た、若者たちが道端に座り込んだり屯していた場所。				トシマク	テ	13	18	2	
0570	0025	完了	東京都	豊島区	池袋跨線人道橋（パークブリッジ）	170-0013	東京都豊島区上池袋2		35.733617	139.713903	-						デュラララ!!×2 転	デュラララカケルニテン	オープニングで、紀田正臣と三ヶ島沙樹が手すりに腰掛けていた歩道橋。<br />第15話では、赤林海月が、後ろからナイフで襲おうとした若者を、いともあっさりと撃退していました。<br />第23話冒頭では、門田京平が車に轢き逃げされた事件の知らせを見たスケボー少年たちが驚く姿が描かれていました。				トシマク	テ	13	18	2	
0570	0100	完了	東京都	豊島区	池袋六ツ又歩道橋	170-0012	東京都豊島区上池袋2-4		35.734846	139.715887	"https://www.google.co.jp/maps/@35.734866,139.7158068,3a,27y,99.69h,117.06t/data=!3m6!1e1!3m4!1shqyguzTUVBGMnL4c-wvFvQ!2e0!7i13312!8i6656"				4		デュラララ!!×2 転	デュラララカケルニテン	オープニングで、園原杏里と紀田正臣が佇む姿が描かれていた歩道橋。				トシマク	テ	13	18	2	
0570	0081	完了	東京都	豊島区	池袋大橋	170-0012	東京都豊島区上池袋2-5		35.734113	139.713428	"https://www.google.co.jp/maps/@35.734129,139.7135749,3a,33y,204.1h,86.81t/data=!3m6!1e1!3m4!1s8khPz2h4PegBStDZAE1gug!2e0!7i13312!8i6656"						デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、ヴァローナに蹴られて気を失い、前後の記憶が飛んでしまった偽平和島静雄（野襖志津夫）が、痛む顔を押さえながら渡っていた橋。				トシマク	テ	13	18	2	
0570	0004	完了	東京都	豊島区	JR池袋駅 35番出入口	170-0013	東京都豊島区東池袋1-1		35.729927	139.712968	"https://www.google.co.jp/maps/@35.7297292,139.7131725,3a,23.6y,336.54h,90.14t/data=!3m6!1e1!3m4!1sAGL3RdrZv2XxX3de_b5PWQ!2e0!7i16384!8i8192"				4.5		デュラララ!!×2 転	デュラララカケルニテン	第1話で、折原臨也の入院している病院へ向かう間宮愛美が、両親とお出かけ中の神近莉緒にぶつかったのも気にせず、足早に入って行った駅への出入口。				トシマク	テ	13	18	2	
0570	0068	完了	東京都	豊島区	タカセ 池袋本店	170-0013	東京都豊島区東池袋1-1-4		35.730038	139.713027	-						デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、野襖志津夫が平和島静雄に扮してやって来た池袋シーンの冒頭カットで店頭の食品サンプルが描かれていました。				トシマク	テ	13	18	2	
0570	0093	完了	東京都	豊島区	東口五叉路交差点（丸忠ビル前の広場）	170-0013	東京都豊島区東池袋1-2		35.729520	139.713860	"https://www.google.co.jp/maps/@35.7292865,139.7137976,3a,15y,8.46h,90.25t/data=!3m6!1e1!3m4!1sWl4CjHiGE1EiXkOT-4hXoQ!2e0!7i16384!8i8192"				5		デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、平和島静雄に扮して池袋やって来た野襖志津夫が歩いていた場所。<br />第22話で、黒沼青葉が待ち構えていた泉井蘭と再会していたのもこの場所でした。				トシマク	テ	13	18	2	
0570	0005	完了	東京都	豊島区	サンシャイン通り（SUIT SELECT前）	170-0013	東京都豊島区東池袋1-3		35.730528	139.713276	"https://www.google.co.jp/maps/@35.7305879,139.713418,3a,22y,252.49h,82.87t/data=!3m6!1e1!3m4!1sByZ3oYnSWmTcZdF0hntb3A!2e0!7i16384!8i8192"				4.5		デュラララ!!×2 転	デュラララカケルニテン	第14話の回想シーンで、矢霧波江が電話で岸谷新羅に手術の依頼をしながら歩いていた場所で、明治通りへ出て、そのまま横断歩道を駅に向かって歩いていきました。				トシマク	テ	13	18	2	
0570	0104	完了	東京都	豊島区	JR池袋駅 33番出入口	170-0013	東京都豊島区東池袋1-3		35.730409	139.713045	"https://www.google.co.jp/maps/@35.7304285,139.7129993,3a,34y,99.11h,86.41t/data=!3m6!1e1!3m4!1sKv9IqCKoFSwa1_ifPJ74Bw!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	オープニングで園原杏里が立っていた場所。				トシマク	テ	13	18	2	
0570	0006	完了	東京都	豊島区	サンシャイン通り（ヤマダ電機脇）	170-0013	東京都豊島区東池袋1-5		35.730613	139.713807	"https://www.google.co.jp/maps/@35.7305887,139.7130196,3a,21y,86.88h,89.33t/data=!3m6!1e1!3m4!1sqbrXgulAG5O3GYFSrMNo8Q!2e0!7i13312!8i6656"				4.5		デュラララ!!×2 転	デュラララカケルニテン	第2話で、デート中の矢霧誠二と張間美香が、セルティの首や姉の矢霧波江について話しながら歩いていた場所。<br />ヤマダ電機の脇辺りを2人が歩く後ろ姿が、明治通り側から望む構図で描かれていました。				トシマク	テ	13	18	2	
0570	0085	完了	東京都	豊島区	WACCA IKEBUKURO 前	170-0013	東京都豊島区東池袋1-8		35.731314	139.714163	"https://www.google.com/maps/@35.7313225,139.7141496,3a,48y,41.16h,111.46t/data=!3m6!1e1!3m4!1sxGrdbwIRTxIELLQZMb7w7Q!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	第23話冒頭で、門田京平が車に轢き逃げされた事件の知らせを見たサラリーマン風の男が驚く姿が描かれていた場所。				トシマク	テ	13	18	2	
0570	0049	完了	東京都	豊島区	サンシャイン通り（ライトオン 池袋店前）	170-0013	東京都豊島区東池袋1-9		35.730657	139.714709	"https://www.google.co.jp/maps/@35.7306624,139.7147351,3a,44.6y,276.77h,78.37t/data=!3m6!1e1!3m4!1suXH-a_dedEspxjXaPZudWw!2e0!7i16384!8i8192"						デュラララ!!×2 転	デュラララカケルニテン	第1話で、張間美香と寄り添って歩いていた矢霧誠二が、目の前を横切った竜ヶ峰帝人に気づき、声をかけていた場所。				トシマク	テ	13	18	2	
0570	0083	完了	東京都	豊島区	サンシャイン60通り（大和ビル前付近）	170-0013	東京都豊島区東池袋1-11		35.729584	139.714400	"https://www.google.co.jp/maps/@35.7296108,139.7144391,3a,19.5y,245.23h,86.14t/data=!3m6!1e1!3m4!1szQL6xNqo9YgAesRboQXXdg!2e0!7i16384!8i8192"				5		デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、平和島静雄に扮して池袋やって来た野襖志津夫が人々の注目を浴びながら歩いていた通り。				トシマク	テ	13	18	2	
0570	0087	完了	東京都	豊島区	ビックカメラアウトレット池袋東口店前の通り	170-0013	東京都豊島区東池袋1-11		35.729681	139.714053	"https://www.google.co.jp/maps/@35.7296206,139.7140802,3a,18.9y,2.86h,103.69t/data=!3m6!1e1!3m4!1sOaXaC80OTRjcAb1NVE_aQg!2e0!7i13312!8i6656"				5		デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）の偽平和島静雄（野襖志津夫）が平和島静雄に殴り飛ばされてから「数日後」とテロップされたカットで、ビックカメラアウトレット池袋東口店前から北側を望む構図で通りのビル群が描かれていました。				トシマク	テ	13	18	2	
0570	0060	完了	東京都	豊島区	ロッテリア 池袋東口店	170-0013	東京都豊島区東池袋1-11-4		35.729667	139.714220	"https://www.google.co.jp/maps/@35.7295132,139.7140737,3a,19.2y,36.85h,93.41t/data=!3m6!1e1!3m4!1s6d1kPLwSNOanqIr5LmqVtA!2e0!7i13312!8i6656"				5		デュラララ!!×2 転	デュラララカケルニテン	第19.5話（番外編）で、偽平和島静雄（野襖志津夫）に「九十九屋」の名を騙って近づいた折原臨也が、良いように利用するため丸め込んでいた店。				トシマク	テ	13	18	2	
