作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1222	0001	完了	東京都	台東区	仲見世商店街	111-0032	東京都台東区浅草1-18		35.711510	139.796404	"https://www.google.co.jp/maps/@35.7115653,139.7964161,2a,24.6y,184.65h,92.01t/data=!3m6!1e1!3m4!1sh6FFLElm9KZGqMb936uj7Q!2e0!7i13312!8i6656"						ネコぱら	ネコパラ	第10話で、ショコラとバニラが、鈴の更新試験に合格したご褒美で水無月時雨に遊びに連れて行ってもらった浅草寺で買い物をしていた				タイトウク	ネ	13	15	2	
1222	0002	完了	東京都	台東区	浅草寺　雷門	111-0032	東京都台東区浅草2-3		35.711147	139.796374	"https://www.google.co.jp/maps/@35.7109737,139.7963554,2a,48y,3.94h,101.44t/data=!3m6!1e1!3m4!1sAG9ErO1rzBqe-6m__siObQ!2e0!7i13312!8i6656"						ネコぱら	ネコパラ	第10話で、ショコラとバニラが、鈴の更新試験に合格したご褒美で水無月時雨に遊びに連れて行ってもらった浅草寺で、ショコラがぴょんぴょん撥ねながら大提灯に触ろうとしていた門。				タイトウク	ネ	13	15	2	
1222	0003	完了	東京都	台東区	浅草寺　お水舎	111-0032	東京都台東区浅草2-3		35.714375	139.796806	"https://www.google.co.jp/maps/@35.714373,139.7966887,2a,15y,91.74h,89.21t/data=!3m6!1e1!3m4!1s8OCsZNt8KIC_LU17Wvjzxg!2e0!7i13312!8i6656"						ネコぱら	ネコパラ	第10話で、ショコラとバニラが、鈴の更新試験に合格したご褒美で水無月時雨に遊びに連れて行ってもらった浅草寺で、ショコラが直接柄杓に口をつけようとして、時雨に注意されていた手水舎。				タイトウク	ネ	13	15	2	
1222	0004	完了	東京都	台東区	浅草寺　おみくじ売り場	111-0032	東京都台東区浅草2-3		35.714102	139.796780	"https://www.google.co.jp/maps/@35.7140576,139.7968552,2a,20.2y,296.23h,89.24t/data=!3m6!1e1!3m4!1sXQ1hLH7lLYWFMoLjYeNs7A!2e0!7i13312!8i6656"				4.5		ネコぱら	ネコパラ	第10話で、ショコラとバニラが、鈴の更新試験に合格したご褒美で水無月時雨に遊びに連れて行ってもらった浅草寺で、カカオを含めた4人がおみくじを引いていた場所。				タイトウク	ネ	13	15	2	
1222	0005	完了	神奈川県	横浜市	山響楽器店 青葉台店	227-0062	神奈川県横浜市青葉区青葉台2-11-20		35.546177	139.516847	"https://www.google.co.jp/maps/@35.5460683,139.5169343,3a,15y,331.49h,91.08t/data=!3m6!1e1!3m4!1skFGEhzXiZ77Ilq-6Prebtw!2e0!7i13312!8i6656"				5		ネコぱら	ネコパラ	第9話で、歌手を目指すメイプルが、まずはギターを買おうと、みんなに内緒でアルバイトをしていた楽器店。				ヨコハマシ	ネ	14	1	2	
1222	0006	完了	神奈川県	横浜市	横浜貿易会館（PENNY'S DINER、SCANDIA）	231-0002	神奈川県横浜市中区海岸通1-1		35.447849	139.644362	-						ネコぱら	ネコパラ	水無月嘉祥が経営するケーキ屋「ラ・ソレイユ」の立地モデル。建物は描き変えられていますが、横浜開港資料館など周囲の建物が描かれています。				ヨコハマシ	ネ	14	1	2	
1222	0007	完了	神奈川県	横浜市	開港広場前交差点	231-0002	神奈川県横浜市中区海岸通1-1		35.447834	139.644594	"https://www.google.co.jp/maps/@35.447725,139.6443931,3a,56.7y,60.69h,90.52t/data=!3m6!1e1!3m4!1slXyeU2mAzmk4fC-e_AbxGQ!2e0!7i13312!8i6656"						ネコぱら	ネコパラ	第8話で、何故か元気のない水無月時雨を心配するアズキたちが、実家を出た兄である水無月嘉祥とのコミュニケーションが足りないせいだと推測して「ラ・ソレイユ」に時雨を連れてくるも、解消しないまま一人で帰っていく姿が描かれていた場所。				ヨコハマシ	ネ	14	1	2	
1222	0008	完了	神奈川県	横浜市	神奈川県民ホール	231-0023	神奈川県横浜市中区山下町3-1		35.446213	139.646975	"https://www.google.co.jp/maps/@35.4468519,139.6469097,3a,62.5y,190.46h,105.48t/data=!3m6!1e1!3m4!1s_THZo-qSN7sOqgjs_AqLPw!2e0!7i13312!8i6656"						ネコぱら	ネコパラ	第9話で、歌手を目指すメイプルが入賞商品のギターを手に入れるために出場した「のど自慢大会 in 神奈川（セリフでは「歌パラ」）」の会場。<br />作中では施設名が「神奈川大ホール（セリフでは「NKPホール」）」になっていました。				ヨコハマシ	ネ	14	1	2	
1222	0009	完了	神奈川県	横浜市	子の前公園	231-0066	神奈川県横浜市中区日ノ出町2-132-2		35.443339	139.625499	"https://www.google.co.jp/maps/@35.4432389,139.6256927,3a,73y,300.55h,93.27t/data=!3m6!1e1!3m4!1sTMvo7P2NSM5MUJNthUzBHA!2e0!7i16384!8i8192"				2		ネコぱら	ネコパラ	第1話で、ポン酢を買いに行くショコラが神社の境内を抜けて近道をしようと通った際に、カカオと出会った境内に隣接する公園のモデル。				ヨコハマシ	ネ	14	1	2	
1222	0010	完了	神奈川県	横浜市	元町仲通り（たまや前）	231-0861	神奈川県横浜市中区元町3-141		35.439781	139.647790	"https://www.google.co.jp/maps/@35.4398937,139.6477226,3a,36y,150.31h,96.7t/data=!3m6!1e1!3m4!1sbA68ixd6JRUuPmniIuhyQQ!2e0!7i16384!8i8192"						ネコぱら	ネコパラ	第1話で、ポン酢を買いに行くショコラが走っていた場所。				ヨコハマシ	ネ	14	1	2	
