作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0647	0001	完了	埼玉県	新座市	市場坂橋	352-0014	埼玉県新座市栄1-12		35.778162	139.577262	"https://www.google.co.jp/maps/@35.777987,139.576585,3a,30y,73.28h,91.72t/data=!3m4!1e1!3m2!1sUYHBlHV7cz42KI7ko1bVlA!2e0?hl=ja"	17.0		120	3		ノラガミ	ノラガミ	第1話で壱岐ひよりが、夜トから魂が抜けやすい体質になってしまったことを教えられ、元に戻して欲しいと夜トに依頼していた橋。				ニイザシ	ノ	11	12	2	
0647	0002	完了	東京都	中央区	末廣神社	103-0013	東京都中央区日本橋人形町2-25-20		35.686818	139.784060	"https://www.google.co.jp/maps/@35.686729,139.78417,3a,76.9y,293.57h,83.49t/data=!3m4!1e1!3m2!1sWfl6fcHkLR2XE5n-fJgPtw!2e0?hl=ja"	18		120	1.7		ノラガミ	ノラガミ	第9話で壱岐ひよりが禊に協力してもらうために兆麻を呼びに行った神社。				チュウオウク	ノ	13	16	2	
0647	0003	完了	東京都	台東区	国立科学博物館	110-8718	東京都台東区上野公園7-20		35.716356	139.776518	"https://www.google.co.jp/maps/@35.7165918,139.7761638,3a,75y,153.41h,100.48t/data=!3m5!1e1!3m3!1sDIIK4Z3jTdnZRQNdCBCPaA!2e0!3e5?hl=ja"	16		120	1.5	03-5777-8600	ノラガミ	ノラガミ	第10話で夜トと雪音が蠃蚌の放った無数の妖と戦っていた場所。				タイトウク	ノ	13	15	2	
0647	0004	完了	東京都	文京区	湯島天神入口交差点	113-0034	東京都文京区湯島3-30		35.707604	139.7671	"https://www.google.co.jp/maps/@35.7076238,139.7669478,3a,75y,90.04h,98.19t/data=!3m4!1e1!3m2!1syp5savacIxzMYNSfgzAjqQ!2e0?hl=ja"	17		120	3		ノラガミ	ノラガミ	第10話のラストで、初詣帰りに山下晶と田端愛と別れた美壱岐ひよりが、夜トと雪音に声を掛けられていた場所。				ブンキョウク	ノ	13	21	2	
0647	0005	完了	東京都	文京区	湯島天神	113-0034	東京都文京区湯島3-30-1		35.707747	139.768217	"https://www.google.co.jp/maps/@35.7075511,139.7681686,3a,75y,12.83h,98.66t/data=!3m5!1e1!3m3!1sAkvKT_TG4XxkpbnVrzMAbw!2e0!3e5?hl=ja"	17		120	1.8		ノラガミ	ノラガミ	第3話で夜トたちが菅原道真に呼び出されていた神社。第7話では雪音が転職を求めて訪れ、それを追って壱岐ひよりが訪ねていました。				ブンキョウク	ノ	13	21	2	
0647	0006	完了	東京都	練馬区	石神井公園	177-0045	東京都練馬区石神井台1-26-1		35.737839	139.596965	"https://www.google.co.jp/maps/@35.737792,139.597356,3a,75y,246.31h,82.48t/data=!3m5!1e1!3m3!1shYnUlau6C4xu2YaaY0wTeA!2e0!3e5?hl=ja"						ノラガミ	ノラガミ	第2話で夜トと壱岐ひよりが言い争っていた公園。第4話で夜トがひよりにエビス小福を引き合わせるために連れて来た公園。				ネリマク	ノ	13	20	2	
0647	0007	完了	東京都	練馬区	豊島屋	177-0045	東京都練馬区石神井台1-27-19		35.738102	139.597432	"https://www.google.co.jp/maps/@35.7380001,139.5975167,3a,75y,331.13h,84.57t/data=!3m5!1e1!3m3!1s9K6cLbbecbzDRb5xmDON_g!2e0!3e5?hl=ja"					03-5393-6793	ノラガミ	ノラガミ	第4話で夜トたちが訪れ、以降度々作中に登場したエビス小福と大黒の住処のモデル。				ネリマク	ノ	13	20	2	
0647	0008	完了	東京都	練馬区	大泉図書館	178-0061	東京都練馬区大泉学園町2-21-17		35.760616	139.587105	"https://www.google.co.jp/maps/@35.760807,139.586776,3a,75y,116.92h,92.58t/data=!3m4!1e1!3m2!1s-26gSmYjS_DEAOEfPDb63A!2e0?hl=ja"					03-3921-0991	ノラガミ	ノラガミ	第10話で壱岐ひよりと山下晶と田端愛美の3人が学校帰りに勉強をしていた図書館。	https://www.lib.nerima.tokyo.jp/institution/9			ネリマク	ノ	13	20	2	
0647	0009	完了	東京都	練馬区	踏切	178-0063	東京都練馬区東大泉1-12		35.747326	139.591753	"https://www.google.co.jp/maps/@35.7473183,139.5916882,3a,75y,76.69h,91.12t/data=!3m4!1e1!3m2!1sm3GBG6fr5AIsnoHY2pjPgQ!2e0?hl=ja"						ノラガミ	ノラガミ	第4話で夜トたちが菅原道真に退治を依頼された妖が巣食っていた踏切。※西武池袋線連続立体交差事業のため、作中とは様相が変わってしまっています。				ネリマク	ノ	13	20	2	
0647	0010	完了	東京都	練馬区	大泉学園駅前	178-0063	東京都練馬区東大泉1-30		35.749865	139.586201	"https://www.google.co.jp/maps/@35.7497554,139.5864668,3a,75y,301.22h,94.79t/data=!3m4!1e1!3m2!1sZHoj1cNPb1lbuXMAcC2JcQ!2e0?hl=ja"						ノラガミ	ノラガミ	第1話サブタイトル直後の駅前カットで描かれていた場所。作中では、英林堂書店の看板の文字が「A林堂書店」、ノヴェルの看板の文字が「ノワール」になっていました。※英林堂書店は閉店済。				ネリマク	ノ	13	20	2	
0647	0011	完了	東京都	練馬区	大泉学園駅入口第一交差点	178-0063	東京都練馬区東大泉1-37		35.751036	139.585756	"https://www.google.co.jp/maps/@35.7510493,139.5858087,3a,75y,33.17h,82.5t/data=!3m4!1e1!3m2!1spzV3PK2iITQ5mWSIiNJ37A!2e0?hl=ja"						ノラガミ	ノラガミ	第1話で壱岐ひよりが夜トを庇ってバスに撥ねられていた交差点。				ネリマク	ノ	13	20	2	
0647	0012	完了	東京都	練馬区	北野神社	178-0063	東京都練馬区東大泉4-25-4		35.752009	139.583684	-					03-3922-6248	ノラガミ	ノラガミ	第2話で夜トが勝手に寝泊まりしていた神社。社の形状が少々違います。				ネリマク	ノ	13	20	2	
