作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1271	0001	完了	鳥取県	鳥取市	日本海新聞本社ビル 前	680-0845	鳥取県鳥取市富安2-137		35.491467	134.227562	"https://www.google.com/maps/@35.4913152,134.2276717,3a,26y,345.34h,94.31t/data=!3m6!1e1!3m4!1sMpyJmb882WnQqWBlvJ7bog!2e0!7i13312!8i6656"				4		映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	エンディングで原画マンがテロップされていた、椎名旭が竜ヶ崎怜に飛び上がって手を降っていたカットで描かれていた場所。				トットリシ	エ	31	1	6	
1271	0002	完了	鳥取県	鳥取市	鳥取市立中央図書館	680-0845	鳥取県鳥取市富安2-138-4		35.491588	134.226796	"https://www.google.com/maps/@35.4912451,134.2262747,3a,43.2y,57h,102.56t/data=!3m6!1e1!3m4!1sNH8Ib3-3ZmYGRgEtetkY8Q!2e0!7i13312!8i6656"						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	急にフリーが泳げなくなってしまった椎名旭が、メンタル面での問題を克服すべく参考書を探しに訪れた図書館で、偶然出会った竜ヶ崎怜に、参考書探しを手伝ってもらっていました。				トットリシ	エ	31	1	6	
1271	0003	完了	鳥取県	岩美郡	浦富海岸　向島	681-0003	鳥取県岩美郡岩美町浦富		35.591965	134.322809	"https://www.google.com/maps/@35.5905175,134.3220206,3a,15y,20.09h,89.77t/data=!3m6!1e1!3m4!1s1qqk6g5sS4lq16rVgTzNEQ!2e0!7i16384!8i8192"				5		映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	冒頭の製作のテロップがされているカットで描かれていた恵比須神社の鳥居が建つ島。				イワミグン	エ	31	2	6	
1271	0004	完了	鳥取県	岩美郡	浦富海岸	681-0003	鳥取県岩美郡岩美町浦富		35.590351	134.322984	-						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	学校帰りの橘真琴が七瀬遙が歩いていた場所。				イワミグン	エ	31	2	6	
1271	0005	完了	鳥取県	岩美郡	浦富海岸(浦富海岸バス停裏）	681-0003	鳥取県岩美郡岩美町浦富		35.590744	134.321994	-						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	学校帰りの橘真琴が七瀬遙に、自分がバスケ部に入るのに賛成かとか聞いていた場所。				イワミグン	エ	31	2	6	
1271	0006	完了	鳥取県	岩美郡	岩美駅入口交差点（旭タクシー岩美営業所前）	681-0003	鳥取県岩美郡岩美町浦富		35.574466	134.332993	"https://www.google.com/maps/@35.5744679,134.3329675,3a,64.6y,90.06h,88.14t/data=!3m6!1e1!3m4!1s6EO4_D8QjIhT_wfDr-WMZA!2e0!7i13312!8i6656"						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	学校帰りに「岩鳶SC」へ向かう七瀬遙と橘真琴が渡っていた交差点。<br />背景に描かれていた旭タクシー岩美営業所は解体済。				イワミグン	エ	31	2	6	
1271	0007	完了	鳥取県	岩美郡	浦富交差点	681-0003	鳥取県岩美郡岩美町浦富		35.586792	134.327420	"https://www.google.com/maps/@35.5867408,134.3276251,3a,43y,285.84h,87.5t/data=!3m6!1e1!3m4!1s9GE2-88PAlfmCp0Z_ppglg!2e0!7i13312!8i6656"						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	学校帰りの七瀬遙と橘真琴が、交差点を西に向かう椎名旭、桐嶋郁弥と別れていた交差点。<br />入院中の芹沢尚のお見舞い帰りに、椎名旭たちにつられて走っていた遙が低血糖で倒れていたのもこの交差点でした。				イワミグン	エ	31	2	6	
1271	0008	完了	鳥取県	岩美郡	国道178号（かまや旅館脇）	681-0003	鳥取県岩美郡岩美町浦富		35.586282	134.327142	"https://www.google.com/maps/@35.5863966,134.3272594,3a,43y,217.8h,81.58t/data=!3m6!1e1!3m4!1sv88uSUhYd9Rz8o2BxVFilg!2e0!7i13312!8i6656"						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	学校帰りの椎名旭が後ろからやって来た芹沢尚に声をかけられ、一緒に歩き出していた場所。				イワミグン	エ	31	2	6	
1271	0009	完了	鳥取県	岩美郡	岩美中学校	681-0003	鳥取県岩美郡岩美町浦富707		35.574849	134.330321	"https://www.google.com/maps/@35.5744132,134.331201,3a,35y,300.04h,97.25t/data=!3m6!1e1!3m4!1sDs9KpMq6gzptH2QjVXwoUw!2e0!7i16384!8i8192"						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	七瀬遙と橘真琴が入学した「岩鳶中学校」のモデル。<br />作中の入学シーンではグラウンド入口に校門が描き足されていました。				イワミグン	エ	31	2	6	
1271	0010	完了	鳥取県	岩美郡	岩美病院	681-0003	鳥取県岩美郡岩美町浦富1029-2		35.572970	134.333634	"https://www.google.com/maps/@35.5738461,134.3329462,3a,42y,132.88h,88.96t/data=!3m6!1e1!3m4!1sOS65mFTYAIBzm7GTdPr6IA!2e0!7i13312!8i6656"						映画 ハイ☆スピード！-Free! Starting Days-	エイガハイスピードフリースターティングデイズ	芹沢尚が網膜剥離の手術をするために入院していた病院。<br />作中では病院名が「岩鳶病院」になっていました。				イワミグン	エ	31	2	6	
